Model,Introduction,Intro-Price,SuperPI1M,wPrime32,3DMark06,TDP(Watt)
Celeron M 340,2003,134,90,125,NA,21
Celeron M 320,2003,107,68,NA,NA,21
Pentium M 718,2003,284,NA,139,NA,10
Pentium M 713,2003,241,79,NA,NA,5
Celeron M 360,2004,134,76,131,NA,21
Celeron M 370,2004,134,60,121,NA,21
Celeron M 380,2004,134,56,111,NA,21
Celeron M 373,2004,161,154,NA,NA,5
Celeron M 390,2004,107,59,102,NA,21
Pentium M 715,2004,209,50,115,NA,21
Pentium M 735,2004,294,45,104,698,21
Pentium M 760,2004,423,42,86,830,27
Pentium M 740,2004,241,47,102,737,27
Pentium M 780,2004,637,NA,80,933,27
Pentium M 765,2004,637,40,NA,864,21
Pentium M 755,2004,637,40,89,NA,21
Pentium M 730,2004,209,48,108,663,27
Pentium M 725,2004,241,35,111,684,21
Pentium M 770,2004,637,NA,NA,740,27
Pentium M 733,2004,262,64,NA,NA,5
Pentium M 738,2004,284,55,128,NA,10
Pentium M 745,2004,423,46,103,NA,21
Pentium M 753,2004,262,63,146,NA,6
Pentium M 758,2004,284,52,117,NA,10
Pentium M 750,2004,294,39,95,803,27
Celeron M 420,2006,107,44,109,NA,27
Celeron M 440,2006,107,39,93,980,27
Celeron M 430,2006,134,41,101,NA,27
Celeron M 410,2006,86,46,119,NA,27
Core 2 Duo T7400,2006,423,24,43,1862,34
Core 2 Duo U7600,2006,289,43,69,1008,10
Core 2 Duo T5600,2006,241,31,49,1560,34
Core 2 Duo U7500,2006,262,NA,NA,875,10
Core 2 Duo T7200,2006,294,26,46,1718,34
Core 2 Duo T7600,2006,637,22,38,2005,34
Core 2 Duo U7700,2006,289,46,74,1047,10
Core Duo U2500,2006,289,49,NA,922,9
Core Duo T2600,2006,637,28,40,1766,31
Core Duo T2300E,2006,209,35,52,NA,31
Core Duo L2500,2006,316,33,NA,NA,15
Core Duo U2400,2006,262,55,82,NA,9
Core Duo T2400,2006,294,32,48,1488,31
Core Duo T2500,2006,423,30,44,1621,31
Core Duo T2700,2006,637,25,NA,1860,31
Core Duo T2300,2006,241,35,52,1380,31
Core Solo U1400,2006,262,49,135,NA,6
Core Solo T1400,2006,209,33,95,NA,27
Core Solo T1300,2006,209,37,105,NA,27
Core Solo U1300,2006,241,55,NA,NA,5
Celeron 550,2006,134,NA,89,NA,31
Celeron M 530,2007,107,38,105,739,30
Celeron M 520,2007,134,39,115,NA,30
Core 2 Duo T5500,2007,209,33,55,1392,34
Core 2 Duo T7250,2007,209,30,45,1705,35
Core 2 Duo T7800,2007,530,19,35,2258,35
Core 2 Duo L7700,2007,316,34,NA,NA,17
Core 2 Duo T7300,2007,241,24,46,1729,34
Core 2 Duo T7700,2007,530,21,42,2058,34
Core 2 Duo L7300,2007,284,NA,65,NA,17
Core 2 Duo T7500,2007,316,23,38,1907,35
Core 2 Duo T7100,2007,209,31,50,1536,34
Core 2 Duo L7500,2007,316,NA,62,NA,17
Core 2 Extreme X7900,2007,851,19,31,2449,44
Core 2 Extreme X7800,2007,851,20,32,2079,44
Core 2 Solo U2100,2007,241,58,NA,NA,6
Core Solo U1500,2007,262,49,NA,545,5
