CPU Type,Introduced,Last Production,Lifetime,Notes
Intel 4004,1971,1981,10,NA
Intel 8008,1972,1983,11,NA
Intel 8080,1974,1990,16,NA
Intel 4040,1974,1981,7,NA
Motorola 6800,1974,2006,32,NA
TI TMS1000,1974,1985,11,NA
Microchip PIC16,1975,2009,4,NA
MOS 6502,1975,2009,34,SS
AMD 2901,1975,2009,34,SS
Zilog Z80,1976,2009,33,NA
Intel 8085,1976,2000,24,SS
Fairchild 3850,1976,1984,8,NA
Signetics 2650,1976,1987,11,NA
Intel MCS-48,1976,2009,33,SS
RCA 1802,1977,1995,18,SS
Intel 8086,1978,1998,20,SS
Intel 8088,1979,1998,19,SS
Motorola 68000,1979,2009,30,NA
Intel MCS-51,1980,2009,29,SS
Intel 80186/8,1982,2009,27,SS
Intel 80286,1982,1991,9,SS
NEC V20,1984,1995,11,NA
Intel 80386,1985,2007,22,EMB
AMD 29000,1987,1996,9,NA
Intel i960,1988,2007,19,NA
Intel i486,1989,2007,16,EMB
AMD 29050,1990,2005,15,SS
AMD 29030,1991,1998,7,NA
Digital 21064,1991,1997,6,NA
Intel Pentium,1993,2009,16,NA
Intel Pentium II,1995,2001,6,NA
Cyrix 6x86,1995,2000,5,NA
AMD K5,1996,1998,2,NA
Sun UltraSparc II,1996,2001,5,NA
AMD K6,1997,1998,1,NA
IDT Winchip,1997,2000,3,NA
AMD K6-2,1998,2001,3,NA
Intel Pentium III,1999,2009,10,NA
