Workload,Worklet,Phase,Load Level,Performance,Transactions/sec,Input Generation Time,Successful Time,Sum Average Watts,Watts_1,Volts_1,Amps_1,Uncert_1,PF_1
CPU,Compress,Measurement,100,31135.131132,31135.003314,141.172,3692.133,431.385794,431.385794,226.433778,1.923213,0.003491,0.990689
CPU,Compress,Measurement,98,30543.687617,30543.296828,135.027,3530.876,427.505238,427.505238,226.412763,1.906446,0.003513,0.990487
CPU,Compress,Measurement,96,29917.9589,29917.564028,129.628,3387.840,422.316746,422.316746,226.479971,1.883046,0.003539,0.990363
CPU,Compress,Measurement,94,29290.18637,29289.832297,123.135,3131.816,413.962143,413.962143,226.43281,1.847229,0.003591,0.989773
CPU,Compress,Measurement,92,28693.384255,28692.966171,119.123,3023.394,408.394365,408.394365,226.40225,1.823128,0.003624,0.989494
CPU,Compress,Measurement,90,28046.908744,28046.636764,114.810,2911.630,402.09627,402.09627,226.544017,1.79449,0.003663,0.989152
CPU,Compress,Measurement,88,27447.626678,27447.221041,113.716,2877.031,388.487381,388.487381,226.508615,1.736895,0.003757,0.988171
CPU,Compress,Measurement,86,26811.799949,26811.3991,130.118,3253.531,325.026349,325.026349,226.764168,1.458553,0.004271,0.982711
CPU,Compress,Measurement,84,26185.307952,26184.300423,125.008,3125.528,321.50746,321.50746,227.221407,1.440567,0.004306,0.982234
CPU,Compress,Measurement,82,25533.371098,25532.952629,120.054,2998.904,317.175635,317.175635,227.651902,1.419739,0.004354,0.981357
CPU,Compress,Measurement,80,24937.292974,24937.125598,115.551,2887.536,312.780317,312.780317,228.207713,1.397718,0.004402,0.980607
CPU,Compress,Measurement,78,24335.192837,24334.697025,111.426,2781.705,308.217222,308.217222,228.128056,1.378445,0.00445,0.980146
CPU,Compress,Measurement,76,23658.812684,23658.662721,106.871,2666.216,303.328254,303.328254,228.34455,1.356299,0.004504,0.979418
CPU,Compress,Measurement,74,23085.684379,23085.528949,103.095,2571.934,298.848889,298.848889,228.603563,1.335218,0.004551,0.979092
CPU,Compress,Measurement,72,22465.489565,22465.161588,99.178,2474.507,294.275714,294.275714,228.505705,1.316672,0.004609,0.978111
CPU,Compress,Measurement,70,21839.416733,21839.083965,95.413,2377.965,289.596984,289.596984,228.17361,1.298244,0.004663,0.97764
CPU,Compress,Measurement,68,21191.286416,21191.03574,91.556,2281.491,284.54254,284.54254,228.098301,1.276852,0.004725,0.976983
CPU,Compress,Measurement,66,20581.860477,20581.608713,88.226,2195.719,279.714048,279.714048,228.043516,1.256178,0.004785,0.976457
CPU,Compress,Measurement,64,19930.380301,19929.732149,84.623,2106.097,274.793651,274.793651,228.095664,1.234711,0.00485,0.975739
CPU,Compress,Measurement,62,19341.343464,19341.265842,81.604,2028.132,270.054365,270.054365,228.1552,1.214182,0.004916,0.974856
CPU,Compress,Measurement,60,18710.48717,18710.289994,78.401,1946.292,265.041746,265.041746,228.041219,1.192798,0.004983,0.974414
CPU,Compress,Measurement,58,18073.697907,18073.510982,75.380,1868.339,260.642857,260.642857,227.842189,1.174661,0.005045,0.973874
CPU,Compress,Measurement,56,17455.830874,17455.551209,72.557,1793.963,254.915635,254.915635,227.761949,1.150075,0.005129,0.973177
CPU,Compress,Measurement,54,16818.5936,16818.504272,69.778,1721.452,249.959286,249.959286,228.083848,1.12646,0.005201,0.972898
CPU,Compress,Measurement,52,16199.03452,16198.827676,67.290,1654.257,246.785794,246.785794,227.956537,1.105839,0.005178,0.979
