Name,Theme,Initial.Cost,Latest.Cost,Change.Cost,Initial.Schedule,Final.Schedule,Change.Schedule,No,Country.ranks,Launch.date,Sponsor,Sponsoring.Agency
ace,Heliophysics,141.1,108.5,-23.1,57,62,8.2,1518,(497th civilian),1997-08-25,Astronomy,NA
acrimsat,Earth-Sci,NA,NA,NA,43,45,4.7,1577,(531st civilian),1999-12-21,Solar studies,NA
acts,NA,354,656,85.3,48,98,104.2,1397,(436th civilian),1993-09-12,Technology,NA
aim,Heliophysics,61.1,81.2,32.9,40,50,24.7,1752,(617th civilian),2007-04-25,C Earth/Space Science,NA
aqua,Earth-Sci,762.5,1006,31.9,89,107,19.4,1652,(568th civilian),2002-05-04,Earth remote sensing,NA
aura,NA,524,763,45.6,114,133,17.4,1689,(588th civilian),2004-07-15,Earth sciences,NA
cassini,Planetary,1436.4,1375.9,-4.2,92,110,19.6,1521,(499th civilian),1997-10-15,Planetary probe,NA
chipsat,ASO,NA,NA,NA,30,40,33.3,1664,(578th civilian),2003-01-13,Astronomy,NA
clementine,NA,NA,NA,NA,NA,19,NA,1404,(964th military),1994-01-25,Technology and lunar probe,NA
cloudsat,Earth-Sci,80.2,144,79.6,36,85,136.6,1713,(601st civilian),2006-04-28,C Earth/space sciences,NA
cobe,ASO,NA,NA,NA,68,88,29.4,1281,(402nd civilian),1989-11-18,Astronomy,NA
contour,Planetary,69.1,96.8,40.1,38,40,4.2,1655,(571st civilian),2002-07-03,Planetary probe,NA
crres,Earth-Sci,NA,NA,NA,38,86,126.3,1306,(406th civilian),1990-07-25,Earth sciences,NA
dart,NA,NA,NA,NA,31,43,38.7,1700,(593rd civilian),2005-04-15,Technology,NA
dawn,Planetary,202.8,287.1,41.6,37,53,43.2,1761,(623rd civilian),2007-09-27,C Planetary Probe,NA
deep impact,NA,194.1,252,29.8,44,63,43.9,1695,(591st civilian),2005-01-12,Planetary probe,NA
deep space 1,Planetary,73.3,99.3,35.5,33,43,28.5,1546,(510th civilian),1998-10-24,Planetary probe,NA
eo-1,Earth-Sci,72,158.1,119.6,33,58,74.2,1609,(541st civilian),2000-11-21,Technology/Earth remote sensing,NA
euve,ASO,107.4,322,199.8,48,58,20.8,1355,(420th civilian),1992-06-07,Astronomy,NA
fast,Heliophysics,32.5,42.9,32,44,89,101.1,1494,(479th civilian),1996-08-21,Earth sciences,NA
fuse,ASO,85.9,143.7,67.3,44,107,143.2,1569,(526th civilian),1999-06-24,Astronomy,NA
galex,ASO,41.1,87.1,111.9,37,60,61.4,1672,(581st civilian),2003-04-28,Astronomy,NA
genesis,Earth-Sci,126.1,162.9,29.2,34,46,34.9,1626,(553rd civilian),2001-08-08,Planetary probe,NA
