No,Spacecraft,Country ranks,Launch date,Sponsor,Sponsoring Agency
1,Vanguard TV-3,(1st civilian),6 Dec 57,Technology,Navy's NRL
2,Explorer 1,(2nd civilian),1 Feb 58,Science & technology,Army's ABMA + JPL & Univ. of Iowa
3,Vanguard TV-3bu,(3rd civilian),5 Feb 58,Technology,Navy's NRL
4,Explorer 2,(4th civilian),5 Mar 58,Science,Army's ABMA + JPL & Univ. of Iowa
5,Vanguard I,(5th civilian),17 Mar 58,Technology,Navy's NRL
6,Explorer 3,(6th civilian),26 Mar 58,Science,Army's ABMA
7,Vanguard TV-5,(7th civilian),29 Apr 58,Technology,Navy's NRL
8,Vanguard SLV-1,(8th civilian),28 May 58,Technology and science,Navy's NRL
9,Vanguard SLV-2,(9th civilian),26 Jun 58,Technology and science,Navy's NRL
10,NOTS 1,(1st military),25 Jul 58,Technology,NA
11,Explorer 4,(10th civilian),26 Jul 58,Earth sciences,Army's ABMA
12,NOTS 2,(2nd military),12 Aug 58,Technology,NA
13,Able 1 / Pioneer 0,(11th civilian),17 Aug 58,Planetary probe,Air Force's BMD
14,NOTS 3,(3rdt military),22 Aug 58,Technology,NA
15,Explorer 5,(12th civilian),24 Aug 58,Earth sciences,Army's ABMA
16,NOTS 4,(4th military),25 Aug 58,Technology,NA
17,NOTS 5,(5th military),26 Aug 58,Technology,NA
18,NOTS 6,(6th military),28 Aug 58,Technology,NA
19,Vanguard SLV-3,(13th civilian),26 Sep 58,Earth sciences,NA
20,Able 2 / Pîoneer 1,(14th civilian),11 Oct 58,Planetary probe,Assigned to NASA (Hq.) delegated to Air Force’s BMD
21,Beacon 1,(15th civilian),23 Oct 58,Technology,NA
22,Pioneer 2,(16th civilian),8 Nov 58,Planetary probe,Assigned to NASA (Hq.) delegated to Air Force’s BMD
23,Able 3 / Pioneer 3,(17th civilian),6 Dec 58,Planetary probe,Assigned to NASA (Hq). delegated to Army’s ABMA
24,Score,(7th military),18 Dec 58,Technology,NA
25,Discoverer 0 / KH-1,(8th military) ,21 Jan 59,Reconnaissance,NA
26,Vanguard II,(18th civilian),17 Feb 59,Earth sciences,NA
27,Discoverer 1 / KH-1,(9th military),28 Feb 59,Reconnaissance,NA
28,Pioneer 4,(19th civilian),3 Mar 59,Planetary probe,Assigned to NASA (Hq.) delegated to Army’s ABMA
29,Discoverer 2 / KH-1,(10th military),13 Apr 59,Reconnaissance,NA
30,Vanguard SLV 5,(20th civilian),14 Apr 59,Earth sciences,NA
31,Discoverer 3 / KH-1,(11th military),3 Jun 59,Reconnaissance,NA
32,Vanguard SLV-6,(21st civilian),22 Jun 59,Earth sciences,NA
33,Discoverer 4 / KH-1,(12th military),25 Jul 59,Reconnaissance,NA
34,Explorer S-1,(22nd civilian),16 Jul 59,Earth sciences,NA
35,Explorer 6 (S-2),(23rd civilian),7 Aug 59,Earth sciences,NASA's GSFC (“First NASA Explorer put into orbit”)
36,Discoverer 5 / KH-1,(13th military),13 Aug 59,Reconnaissance,NA
37,Beacon 2,(24th civilian),15 Aug 59,Earth sciences,NA
38,Discoverer 6 / KH-1,(14th military),19 Aug 59,Reconnaissance,NA
39,Transit 1A,(15th military),17 Sep 59,Navigation,NA
40,Vanguard III,(25th civilian),18 Sep 59,Earth sciences,NA
41,Explorer 7 (S-la),(26th civilian),13 Oct 59,Earth sciences,NASA's GSFC (Built at ABMA)
42,Discoverer 7 / KH-1,(16th military),7 Nov 59,Reconnaissance,NA
43,Discoverer 8 / KH-1,(17th military),20 Nov 59,Reconnaissance,NA
44,Pioneer P-3,(27th civilian),26 Nov 59,Planetary probe,NA
