Ops #,Satellite Name,Intl Designation,Launch,Re-entry
Ops-0048,KH 4-18,1963,002A,7-Jan-1963,24-Jan-1963
Ops-0054,P35-23,1970,012A,11-Feb-1970,
Ops-0082,NNSS-30090,1966,041A,19-May-1966,
Ops-0100,NNSS-30120,1967,034A,14-Apr-1967,
Ops-0165,KH 4A-48,1968,078A,18-Sep-1968,8-Oct-1968
Ops-0180,Ferret-4,1963,003A,16-Jan-1963,9-Jan-1969
Ops-0203,P35-24,1970,070A,3-Sep-1970,
Ops-0240,P35-3,1963,005A,19-Feb-1963,26-Dec-1979
Ops-0252,NOSS-4,1983,008A,9-Feb-1983,
Ops-0340,P35-15,1966,026A,31-Mar-1966,
Ops-0440,KH,4B-9,1970,016A,4-Mar-1970,26-Mar-1970
Ops-0441,Chalet-4,1984,009A,31-Jan-1984,
Ops-0460,KH 9-14,1978,029A,16-Mar-1978,11-Sep-1978
Ops-0562,KH 4A-4,1967,109A,2-Nov-1967,2-Dec-1967
Ops-0583,KH 4-19,failed,28-Feb-1963,NA
Ops-0627,KH 6-1,failed,18-Mar-1963,NA
Ops-0720,KH 4-20,1963,007A,1-Apr-1963,26-Apr-1963
Ops-0721,KH 9-19,1983,060A,20-Jun-1983,21-Mar-1984
Ops-0757,Tacsat,1969,013A,9-Feb-1969,
Ops-0804,Transit-5A2,failed,5-Apr-1963,NA
Ops-0855,OV4-3,1966,099A,3-Nov-1966,9-Jan-1967
Ops-0856,I.,Midas-2,1966,077A,19-Aug-1966,
Ops-0879,KH 7-26,1966,022A,18-Mar-1966,24-Mar-1966
Ops-0910,KH 7-27,1966,032A,19-Apr-1966,26-Apr-1966
Ops-0924,KH 6-2,1963,016A,18-May-1963,27-May-1963
Ops-0964,Ferret-19,1968,086A,5-Oct-1968,26-Mar-1971
Ops-0974,A3,1966,022B,18-Mar-1966,23-Mar-1966
Ops-0999,KH 4A-13,1963,025A,27-Jun-1963,26-Jul-1963
Ops-1001,KH 4B-2,1967,122A,9-Dec-1967,25-Dec-1967
Ops-1008,KH 5-8,failed,26-Apr-1963,NA
Ops-1077,KH 8-22,1969,050A,3-Jun-1969,14-Jun-1969
Ops-1085,Samos-4,failed,22-Nov-1961,NA
Ops-1101,KH 4A-51,1969,041A,2-May-1969,23-May-1969
Ops-1110,KH 6-2,1963,016A,18-May-1963,27-May-1963
Ops-1117,NNSS-30080,1966,024A,26-Mar-1966,
Ops-1127,P35-22,1969,062A,22-Jul-1969,
Ops-1157,KH 4-18,1963,002A,7-Jan-1963,24-Jan-1963
Ops-1166,KH 8-52,1981,019A,28-Feb-1981,20-Jun-1981
Ops-1184,KH 7-25,1966,012A,15-Feb-1966,23-Feb-1966
Ops-1201,P35-1,failed,23-May-1962,NA
Ops-1240,Midas-8,failed,12-Jun-1963,NA
Ops-1257,NA,failed,28-Aug-1985,NA
Ops-1264,P35-19,1967,096A,11-Oct-1967,
Ops-1266,KH 4-23,1963,029A,18-Jul-1963,13-Aug-1963
Ops-1292,EP-3,1980,052C,18-Jun-1980,
Ops-1294,DMSP,F-2,1983,113A,18-Nov-1983,
Ops-1298,P35-4,failed,26-Apr-1963,NA
Ops-1315,KH 4B-5,1968,098A,3-Nov-1968,23-Nov-1968
Ops-1353,KH 4A-2,1963,037A,23-Sep-1963,12-Oct-1963
Ops-1370,KH 6-3,1963,032A,30-Jul-1963,11-Aug-1963
Ops-1388,KH 4-26,1963,055A,21-Dec-1963,8-Jan-1964
Ops-1418,P72-2,failed,12-Apr-1975,NA
Ops-1419,KH 4A-1,1963,034A,25-Aug-1963,12-Sep-1963
Ops-1419,KH 4B-3,1968,039A,1-May-1968,15-May-1968
Ops-1427,OV3-4,1966,052A,10-Jun-1966,
Ops-1439,Ferret-14,1966,009A,9-Feb-1966,26-Sep-1969
Ops-1440,Ferret-6,1963,027A,29-Jun-1963,26-Oct-1969
Ops-1467,KH 7-1,1963,028A,12-Jul-1963,18-Jul-1963
Ops-1508,KH 4A-32,failed,3-May-1966,NA
Ops-1509,NNSS-30060,1965,109A,21-Dec-1965,
Ops-1527,OV3-1,1966,034A,22-Apr-1966,
Ops-1545,KH 4A-35,1966,072A,9-Aug-1966,11-Sep-1966
Ops-1561,KH 5-9,1963,035A,29-Aug-1963,7-Nov-1963
Ops-1570,IMEWS-3,1972,010A,1-Mar-1972,
Ops-1577,KH 7-29,1966,048A,3-Jun-1966,9-Jun-1966
Ops-1584,Ferret-15,1966,118A,29-Dec-1966,5-Apr-1969
Ops-1587,Hitchiker-16,1967,109B,6-Nov-1967,28-Mar-1969
Ops-1593,NNSS-30070,1966,005A,28-Jan-1966,
Ops-1599,KH 4A-34,1966,055A,21-Jun-1966,14-Jul-1966
Ops-1610,P35-5,failed,27-Sep-1963,NA
Ops-1612,KH 4A-31,1966,029A,7-Apr-1966,26-Apr-1966
Ops-1660,KH 4-20,1963,007A,1-Apr-1963,26-Apr-1963
Ops-1664,KH 4A-38,1967,002A,14-Jan-1967,2-Feb-1967
Ops-1678,KH 8-35,1972,016A,17-Mar-1972,11-Apr-1972
Ops-1686,KH 7-32,1966,083A,16-Sep-1966,23-Sep-1966
Ops-1703,KH 4A-36,1966,085A,20-Sep-1966,12-Oct-1966
Ops-1721,Hitchiker-24,1969,041B,2-May-1969,16-Feb-1970
Ops-1737,KH 9-2,1972,002A,20-Jan-1972,29-Feb-1972
Ops-1776,KH 8-43,1974,042A,6-Jun-1974,23-Jul-1974
Ops-1778,KH 4A-33,1966,042A,24-May-1966,9-Jun-1966
Ops-1807,Ferret-21,1969,082B,30-Sep-1969,
Ops-1832,KH 7-31,1966,074A,16-Aug-1966,24-Aug-1966
Ops-1844,KH 8-34,failed,16-Feb-1972,NA
Ops-1850,KH 7-30,1966,062A,12-Jul-1966,20-Jul-1966
Ops-1856,Pickaback,1966,048B,5-Jun-1966,9-Jun-1966
Ops-1866,KH 4A-37,1966,102A,8-Nov-1966,29-Nov-1966
Ops-1873,Hitchiker-15,1967,062B,16-Jun-1967,22-Oct-1968
Ops-1879,Ferret-17,1967,071A,25-Jul-1967,5-Jun-1969
Ops-1890,KH 7-35,1966,109A,5-Dec-1966,14-Dec-1966
Ops-1920,I.,Midas-3,1966,089A,5-Oct-1966,
Ops-1947,KH 7-2,1963,036A,6-Sep-1963,13-Sep-1963
Ops-1948,Chalet-2,1979,086A,1-Oct-1979,
Ops-1950,KH 7-28,1966,039A,14-May-1966,21-May-1966
Ops-1960,I.,Midas-1,1966,051A,9-Jun-1966,3-Dec-1966
Ops-1965,Ferret-18,1968,004A,17-Jan-1968,7-Jul-1970
Ops-1967,Hitchiker-14,1967,043B,12-May-1967,20-May-1967
Ops-2055,KH 7-33,1966,090A,12-Oct-1966,20-Oct-1966
Ops-2070,KH 7-34,1966,098A,2-Nov-1966,10-Nov-1966
Ops-2093,KH 8-39,1973,028A,16-May-1973,13-Jun-1973
Ops-2112,IMEWS-6,1976,059A,26-Jun-1976,
Ops-2155,KH 4A-26,1965,086A,28-Oct-1965,17-Nov-1965
Ops-2196,KH 7-3,1963,041A,25-Oct-1963,9-Oct-1963
Ops-2222,Canyon-1,1968,063A,6-Aug-1968,
Ops-2243,KH 4A-45,1968,008A,24-Jan-1968,27-Feb-1968
Ops-2260,KH 4-25,1963,048A,27-Nov-1963,15-Dec-1963
Ops-2268,KH 4-24,failed,9-Nov-1963,NA
Ops-2285,Hitchiker-23,1969,026B,19-Mar-1969,6-Dec-1971
Ops-2301,Ferret-1,1962,d1,21-Feb-1962,9-Mar-1962
Ops-2312,Ferret-2,1962,?1,18-Jun-1962,30-Oct-1963
Ops-2366,NNSS-30100,1966,076A,18-Aug-1966,
Ops-2371,KH 7-4,1963,051A,18-Dec-1963,20-Dec-1963
Ops-2394,P35-14,failed,6-Jan-1966,NA
Ops-2432,KH 7-5,1964,009A,25-Feb-1964,1-Mar-1964
Ops-2437,KH 5-10,1963,042A,29-Oct-1963,21-Jan-1964
Ops-2439,Jumpseat-3,1975,017A,10-Mar-1975,
Ops-2644,Hitchiker-22,1969,010B,6-Feb-1969,
Ops-2739,KH 5-12,1964,048A,21-Aug-1964,31-Mar-1965
Ops-2849,KH 9-17,1982,006A,21-Jan-1982,23-May-1982
Ops-2863,KH 8-26,1970,031A,15-Apr-1970,6-May-1970
Ops-2921,KH 4A-5,1964,022A,27-Apr-1964,26-May-1964
Ops-2925,KH 8-53,1983,032A,15-Apr-1983,21-Aug-1983
Ops-3004,KH 8-44,1974,065A,14-Aug-1974,29-Sep-1974
Ops-3011,Bluebell,1966,012B,15-Feb-1966,16-Feb-1966
Ops-3014,KH 8-1,1966,069A,29-Jul-1966,6-Aug-1966
Ops-3031,Bluebell,1966,012C,15-Feb-1966,22-Feb-1966
Ops-3042,KH 4A-9,1964,043A,5-Aug-1964,31-Aug-1964
Ops-3062,Ferret-10,1964,072A,4-Nov-1964,5-Nov-1969
Ops-3123,KH 9-16,1980,052A,18-Jun-1980,6-Mar-1981
Ops-3148,Canyon-2,1969,036A,13-Apr-1969,
Ops-3151,IMEWS-7,1977,007A,6-Feb-1977,
Ops-3165,IMEWS-5,1975,118A,14-Dec-1975,
Ops-3179,Pickaback,1966,002B,19-Jan-1966,23-Jan-1966
Ops-3236,KH 5-11,1964,030A,13-Jun-1964,2-Jun-1965
Ops-3255,NOSS,failed,9-Dec-1980,NA
Ops-3297,KH 4B-13,failed,17-Feb-1971,NA
Ops-3316,Hitchiker-6,1964,045B,14-Aug-1964,8-Mar-1979
Ops-3333,KH 4A-11,1964,061A,5-Oct-1964,26-Oct-1964
Ops-3334,Canyon-1,1968,063A,6-Aug-1968,
Ops-3358,KH 4A-15,1964,085A,19-Dec-1964,14-Jan-1965
Ops-3360,KH 4A-14,1964,075A,18-Nov-1964,6-Dec-1964
Ops-3367,P35-6,1964,002B,19-Jan-1964,
Ops-3373,Starad-2,failed,2-Sep-1965,NA
Ops-3395,Ferret-9,1964,035A,3-Jul-1964,7-Aug-1969
Ops-3402,Hitchiker-26,1970,016B,5-Mar-1970,10-Nov-1971
Ops-3435,KH 7-6,1964,012A,11-Mar-1964,16-Mar-1964
Ops-3444,KH 4A-3,1964,008A,15-Feb-1964,9-Mar-1964
Ops-3467,KH 4A-4,failed,24-Mar-1964,NA
Ops-3483,KH 4A-6,1964,027A,4-Jun-1964,18-Jun-1964
Ops-3488,KH 4A-30,1966,018A,9-Mar-1966,29-Mar-1966
