Year,Volume,Page,X.1,Year.1,Month,Day.1,Day..adj.,Hour,Min,Days.since.1.AD,Date,X.2,Dec..deg.,Dec..min.,Dec..sec.,Declination
1584,10,321,NA,1584,11,13,23,13,26,578883.06,1584.9,1,15,54,NA,15.9
1584,10,322,NA,1584,11,27,37,2,15,578896.59,1584.93,1,14,42,NA,14.7
1585,10,384,NA,1585,1,14,24,16,40,578945.19,1585.07,1,16,27,NA,16.45
1585,10,388,NA,1585,1,22,32,14,55,578953.12,1585.09,1,17,31,NA,17.52
1585,10,389,NA,1585,2,3,13,9,43,578964.9,1585.12,1,19,1,10,19.02
1585,10,389,NA,1585,2,3,13,9,39,578964.9,1585.12,1,19,3,NA,19.05
1585,10,389,NA,1585,2,3,13,6,15,578964.76,1585.12,1,19,2,NA,19.03
1585,10,389,NA,1585,2,4,14,9,14,578965.88,1585.12,1,19,9,45,19.16
1585,10,389,NA,1585,2,4,14,8,16,578965.84,1585.12,1,19,8,NA,19.13
1585,10,389,NA,1585,2,4,14,6,40,578965.78,1585.12,1,19,9,45,19.16
1585,10,391,NA,1585,2,17,27,9,45,578978.91,1585.16,1,20,21,45,20.36
1585,10,392,NA,1585,2,17,27,9,30,578978.9,1585.16,1,20,21,30,20.36
1585,10,392,NA,1585,2,17,27,9,50,578978.91,1585.16,1,20,21,30,20.36
1585,10,397,NA,1585,3,12,22,9,20,579001.89,1585.22,1,20,32,45,20.55
1585,10,397,NA,1585,3,16,26,7,50,579005.83,1585.23,1,20,23,NA,20.38
1585,10,397,NA,1585,3,19,29,8,15,579008.84,1585.24,1,20,5,30,20.09
1585,10,398,NA,1585,3,26,36,8,20,579015.85,1585.26,1,19,44,0,19.73
1585,10,398,NA,1585,4,15,25,9,48,579035.91,1585.31,1,17,38,40,17.64
1585,10,399,NA,1585,4,15,25,9,50,579035.91,1585.31,1,17,38,45,17.65
1585,10,399,NA,1585,4,26,36,9,50,579046.91,1585.34,1,16,8,30,16.14
1585,10,401,NA,1585,5,7,17,11,24.5,579057.98,1585.37,1,14,22,30,14.38
1585,10,401,NA,1585,5,7,17,9,20,579057.89,1585.37,1,14,22,NA,14.37
1585,10,401,NA,1585,5,7,17,11,15,579057.97,1585.37,1,14,22,30,14.38
1585,10,401,NA,1585,5,17,27,11,30,579067.98,1585.4,1,12,38,30,12.64
1585,10,402,NA,1585,5,18,28,10,40,579068.94,1585.4,1,12,27,NA,12.45
1586,11,63,NA,1586,9,23,33,5,12,579561.72,1586.75,1,18,5,30,18.09
1586,11,64,NA,1586,9,24,34,3,55,579562.66,1586.76,1,17,56,30,17.94
1586,11,64,NA,1586,10,10,20,2,32,579578.61,1586.8,1,15,3,45,15.06
1586,11,64,NA,1586,10,10,20,2,32,579578.61,1586.8,1,15,3,30,15.06
1586,11,64,NA,1586,10,10,20,6,14,579578.76,1586.8,1,13,0,30,13.01
1586,11,64,NA,1586,10,10,20,6,14,579578.76,1586.8,1,13,0,40,13.01
1586,11,64,NA,1586,10,24,34,6,35,579592.77,1586.84,1,12,39,45,12.66
1586,11,64,NA,1586,10,25,35,5,11,579593.72,1586.84,1,12,29,20,12.49
1586,11,64,NA,1586,10,25,35,5,16,579593.72,1586.84,1,12,29,20,12.49
1586,11,64,NA,1586,10,25,35,5,32,579593.73,1586.84,1,12,29,20,12.49
1586,11,64,NA,1586,11,1,11,5,6,579600.71,1586.86,1,11,2,45,11.05
1586,11,64,NA,1586,11,2,12,4,46.16666,579601.7,1586.86,1,11,3,NA,11.05
1586,11,65,NA,1586,11,8,18,6,34,579607.77,1586.88,1,10,4,30,10.08
1586,11,65,NA,1586,11,10,20,7,20,579609.81,1586.89,1,9,32,30,9.54
1586,11,65,NA,1586,11,10,20,7,28.5,579609.81,1586.89,1,9,33,NA,9.55
1586,11,65,NA,1586,11,11,21,4,19.8333,579610.68,1586.89,1,9,25,30,9.43
