source,params,count,percent
cbook,0,5781,10.8
cbook,1,18063,33.7
cbook,2,13275,24.8
cbook,3,8409,15.7
cbook,4,4532,8.5
cbook,5,1846,3.4
cbook,6,856,1.6
cbook,7,370,0.7
cbook,8,234,0.4
cbook,9,112,0.2
cbook,10,63,0.1
cbook,11,25,0.01
cbook,12,19,0.01
cbook,13,10,0.01
cbook,14,5,0.01
cbook,15,3,0.01
cbook,16,2,0.01
cbook,17,1,0.01
cbook,18,10,0.01
cbook,19,2,0.01
cbook,20,1,0.01
cbook,21,1,0.01
cbook,22,10,0.01
SPECint95,0,NA,7.6
SPECint95,1,NA,27.0
SPECint95,2,NA,15.5
SPECint95,3,NA,9.5
SPECint95,4,NA,9.6
SPECint95,5,NA,10.3
SPECint95,6,NA,9.2
SPECint95,7,NA,6.3
SPECint95,8,NA,4.6
Embedded,0,NA,51.0
Embedded,1,NA,27.8
Embedded,2,NA,11.5
Embedded,3,NA,5.4
Embedded,4,NA,2.0
Embedded,5,NA,1.4
Embedded,6,NA,0.5
Embedded,7,NA,0.2
Embedded,8,NA,0.3
