Before 91,Phase,SRS/IRS,Prelim Design,Detailed Design,Code,Unit Test Procs.,Int. Test Procs.,Other Del,AVG
1,Rqmts Analysis,0.36,NA,NA,NA,NA,NA,NA,0.36
1,Prelim Design,0.95,0.20,NA,NA,NA,NA,0.13,0.28
1,Detailed Design,0.46,0.81,0.15,NA,NA,NA,0.85,0.17
1,Code,1.58,0.44,0.11,0.07,NA,NA,0.08,0.09
1,Unit Test,0.75,1.42,0.33,0.16,0.07,NA,3.00,0.12
1,Integ. Test,1.07,0.69,0.43,0.74,0.16,0.38,7.08,0.61
1,Function Test,2.00,1.88,3.43,2.52,0.07,3.37,NA,2.60
1,System Test,0.81,3.69,3.17,2.42,0.16,4.29,0.06,2.21
1,SW Maint.,0.65,3.63,2.45,1.30,0.20,0.58,0.09,0.51
1,AVG.,0.63,0.37,0.30,0.29,0.07,0.43,0.14,0.28
0,Rqmts. Analysis,0.05,NA,NA,NA,NA,NA,NA,0.05
0,Prelim,0.15,0.08,NA,NA,NA,NA,NA,0.08
0,Detailed Design,0.07,0.04,0.11,NA,0.02,0.04,0.03,0.10
0,Code,0.17,0.07,0.11,0.15,0.03,0.18,0.01,0.14
0,Unit Test,0.25,0.13,0.52,0.13,0.10,NA,NA,0.15
0,Integ. Test,0.51,0.69,1.28,0.67,0.71,0.16,0.06,0.57
0,Function Test,0.47,1.46,0.70,0.67,0.78,1.23,NA,0.70
0,System Test,0.58,1.37,1.34,1.00,NA,0.84,NA,1.03
0,SW Maint.,NA,10.00,0.23,0.48,NA,NA,0.30,0.65
0,AVG.,0.09,0.15,0.18,0.29,0.08,0.18,0.10,0.22
