resolved_timestamp,type
"2010-10-04 12:49:14+00:00",PS
"2010-10-13 14:06:42+00:00",PS
"2010-10-13 14:10:25+00:00",PS
"2010-10-13 14:11:09+00:00",PS
"2010-10-13 14:11:32+00:00",PS
"2010-10-13 14:12:07+00:00",PS
"2010-10-13 14:12:50+00:00",PS
"2010-10-14 08:04:38+00:00",PS
"2010-10-14 08:06:58+00:00",PS
"2010-10-22 13:53:07+00:00",PS
"2010-11-02 12:37:44+00:00",PS
"2010-11-16 08:34:56+00:00",PS
"2010-11-16 09:24:20+00:00",PS
"2010-11-16 10:01:39+00:00",PS
"2010-11-16 10:21:49+00:00",PS
"2010-11-16 10:23:14+00:00",PS
"2010-11-16 10:56:40+00:00",PS
"2010-11-18 09:35:27+00:00",PS
"2010-11-23 11:13:30+00:00",PS
"2010-11-23 11:21:56+00:00",PS
"2010-11-25 09:24:52+00:00",PS
"2010-11-25 12:40:43+00:00",PS
"2010-12-22 09:35:29+00:00",PS
"2010-12-22 09:36:07+00:00",PS
"2010-12-22 09:37:24+00:00",PS
"2010-12-22 09:38:02+00:00",PS
"2010-12-22 09:38:58+00:00",PS
"2010-12-22 09:39:24+00:00",PS
"2010-12-22 09:39:42+00:00",PS
"2010-12-22 12:28:45+00:00",PS
"2010-12-28 16:32:56+00:00",PS
"2011-01-18 09:02:31+00:00",PS
"2011-01-18 09:27:17+00:00",PS
"2011-01-20 11:18:30+00:00",PS
"2011-01-20 11:29:55+00:00",PS
"2011-01-20 11:33:44+00:00",PS
"2011-01-21 05:36:06+00:00",PS
"2011-01-21 05:46:26+00:00",PS
"2011-01-21 05:52:28+00:00",PS
"2011-01-21 05:53:36+00:00",PS
"2011-01-26 09:43:56+00:00",PS
"2011-01-26 09:44:14+00:00",PS
"2011-01-26 09:44:32+00:00",PS
"2011-01-26 09:44:49+00:00",PS
"2011-01-26 09:45:28+00:00",PS
"2011-01-26 09:46:15+00:00",PS
"2011-01-26 09:52:02+00:00",PS
"2011-01-26 09:59:10+00:00",PS
"2011-01-26 10:03:32+00:00",PS
"2011-01-26 12:14:13+00:00",PS
"2011-01-26 12:16:11+00:00",PS
"2011-02-10 05:55:07+00:00",PS
"2011-02-10 05:58:29+00:00",PS
"2011-02-11 09:07:35+00:00",PS
"2011-02-18 09:43:29+00:00",PS
"2011-02-23 13:27:49+00:00",PS
"2011-02-23 15:34:33+00:00",PS
"2011-02-23 15:40:34+00:00",PS
"2011-02-24 08:04:43+00:00",PS
"2011-02-25 08:22:27+00:00",PS
"2011-02-28 09:00:52+00:00",PS
"2011-04-13 10:53:28+00:00",PS
"2011-04-18 12:12:33+00:00",PS
"2011-04-18 13:35:29+00:00",PS
"2011-04-18 13:36:03+00:00",PS
"2011-04-18 13:36:31+00:00",PS
"2011-04-18 13:36:59+00:00",PS
"2011-04-18 13:37:23+00:00",PS
"2011-04-18 13:37:49+00:00",PS
"2011-04-18 13:38:13+00:00",PS
"2011-04-20 12:21:11+00:00",PS
"2011-05-03 08:30:02+00:00",PS
"2011-05-03 08:31:09+00:00",PS
"2011-05-03 08:31:48+00:00",PS
