branch;line;nd
#ifdef DOXYGEN;4;1
#if !defined(WIN32);8;1
#elif defined(AP_DECLARE_STATIC);12;1
#elif defined(AP_DECLARE_EXPORT);16;1
#else;20;1
#if !defined(WIN32) || defined(AP_MODULE_DECLARE_STATIC);25;2
#else;33;1
#if (!defined(WIN32) && !defined(NETWARE)) || defined(__MINGW32__);40;1
#ifndef DEFAULT_PIDLOG;44;1
#if defined(NETWARE);47;1
#if defined(AP_ENABLE_DTRACE) && HAVE_SYS_SDT_H;50;1
#else;52;1
#ifdef _DTRACE_VERSION;55;1
#else;57;1
#if APR_HAS_OTHER_CHILD;60;1
#if defined(__STDC_VERSION__) && __STDC_VERSION__ >= 199901L;63;1
#if (defined(__GNUC__) && !defined(__cplusplus)) || defined(AP_HAVE_C99);66;1
#ifndef __has_attribute;69;1
#if (defined(__GNUC__) && __GNUC__ >= 4) || __has_attribute(sentinel);72;1
#else;74;1
#if ( defined(__GNUC__) &&       (__GNUC__ >= 4 || ( __GNUC__ == 3 && __GNUC_MINOR__ >= 4)))     || __has_attribute(warn_unused_result);77;1
#else;79;1
#if ( defined(__GNUC__) &&       (__GNUC__ >= 4 && __GNUC_MINOR__ >= 3))     || __has_attribute(alloc_size);82;1
#else;85;1
#ifdef __cplusplus;6;1
#ifdef __cplusplus;93;1
#if defined(AP_HOOK_PROBES_ENABLED) && !defined(APR_HOOK_PROBES_ENABLED);3;1
#ifdef APR_HOOK_PROBES_ENABLED;6;1
#ifdef DOXYGEN;12;1
#ifdef __cplusplus;6;1
#ifdef __cplusplus;35;1
#ifndef MODULE_MAGIC_NUMBER_MAJOR;4;1
#ifdef __cplusplus;6;1
#ifdef GPROF;53;1
#else;56;1
#ifdef AP_ENABLE_EXCEPTION_HOOK;59;1
#ifdef __cplusplus;66;1
#ifdef __cplusplus;4;1
#ifdef __cplusplus;26;1
#ifdef __cplusplus;4;1
#ifdef DOXYGEN;55;1
#else;57;1
#ifdef __cplusplus;63;1
#if defined(WIN32) || defined(DOXYGEN);3;2
#if !AP_SERVER_DEVBUILD_BOOLEAN;11;1
#else;13;2
#ifndef APR_STRINGIFY;18;1
#if APR_HAVE_UNISTD_H;14;1
#ifdef __cplusplus;17;1
#ifdef __cplusplus;45;1
#ifdef __cplusplus;7;1
#ifdef __cplusplus;54;1
#ifdef __cplusplus;5;1
#ifdef __cplusplus;18;1
#ifdef __cplusplus;6;1
#if defined(AP_HAVE_DESIGNATED_INITIALIZER) || defined(DOXYGEN);25;1
#else;59;1
#if !defined(AP_DEBUG);161;1
#if !defined(AP_DEBUG);173;1
#ifdef __cplusplus;348;1
#ifdef __cplusplus;5;1
#ifdef __cplusplus;21;1
#if APR_HAVE_STRUCT_RLIMIT;10;1
#ifdef __cplusplus;14;1
#ifndef AP_DEBUG;64;1
#else;68;1
#ifdef RLIMIT_CPU;130;1
#if defined (RLIMIT_DATA) || defined (RLIMIT_VMEM) || defined(RLIMIT_AS);133;1
#ifdef RLIMIT_NPROC;136;1
#ifdef __cplusplus;312;1
#ifdef __cplusplus;3;1
#ifdef HAVE_SYSLOG;8;2
#else;30;1
#ifndef DEFAULT_LOGLEVEL;52;1
#ifdef __cplusplus;57;1
#else;58;1
#ifdef __cplusplus;61;1
#else;63;1
#ifdef DOXYGEN;66;1
#ifndef APLOG_MAX_LOGLEVEL;69;1
#else;74;1
#ifdef DOXYGEN;122;1
#else;126;2
#ifdef DOXYGEN;138;1
#else;142;2
#ifdef DOXYGEN;154;1
#else;158;2
#ifdef DOXYGEN;170;1
#else;174;2
#ifdef DOXYGEN;186;1
#else;191;2
#ifdef __cplusplus;219;1
#ifdef __cplusplus;6;1
#ifdef __cplusplus;22;1
#ifdef __cplusplus;8;1
#if APR_HAS_MMAP;47;1
#if APR_CHARSET_EBCDIC;91;1
#else;96;1
#ifdef __cplusplus;131;1
#ifdef __cplusplus;5;1
#ifdef __cplusplus;96;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;20;1
#if APR_HAVE_STDLIB_H;17;1
#ifdef __cplusplus;20;1
#ifndef HTTPD_ROOT;23;2
#ifndef DOCUMENT_LOCATION;34;2
#ifndef DYNAMIC_MODULE_LIMIT;41;1
#ifndef DEFAULT_ERRORLOG;45;2
#ifndef DEFAULT_ACCESS_FNAME;52;2
#ifndef SERVER_CONFIG_FILE;59;1
#ifndef DEFAULT_PATH;62;1
#ifndef SUEXEC_BIN;65;1
#ifndef DEFAULT_TIMEOUT;68;1
#ifndef DEFAULT_KEEPALIVE_TIMEOUT;71;1
#ifndef DEFAULT_KEEPALIVE;74;1
#ifndef DEFAULT_LIMIT_REQUEST_LINE;77;1
#ifndef DEFAULT_LIMIT_REQUEST_FIELDSIZE;80;1
#ifndef DEFAULT_LIMIT_REQUEST_FIELDS;83;1
