feature;sd
APR_HAVE_IPV6;22
AP_RL_DECLARE_EXPORT;1
DEFAULT_MAX_FREE_DAEMON;3
LOG_KERN;1
APR_HAS_USER;6
HAVE_GRP_H;7
APR_HAS_SOLARIS_LDAPSDK;2
yystrlen;1
DEFAULT_THREAD_STACKSIZE;1
BCRYPT_ALGO_SUPPORTED;3
NETSCAPE_DBM_COMPAT;2
SERVER_CONFIG_FILE;3
__MINGW32__;2
APR_HAS_RANDOM;1
REWRITE_MAX_ROUNDS;1
SATISFY_NOSPEC;1
AP_ENABLE_EXCEPTION_HOOK;7
NO_LINGCLOSE;3
APR_HOOK_ALMOST_LAST;1
HAVE_SYS_PROCESSOR_H;3
APR_HAS_POSIXSEM_SERIALIZE;4
ap_set_core_module_config;1
HAVE_GETGRNAM;2
LDAP_CONSTRAINT_VIOLATION;1
AUTHZ_DBD_DECLARE_STATIC;1
HAVE_UNC_PATHS;1
DEFAULT_MIN_FREE_THREADS;1
LOG_FTP;1
AJP_USE_HTTPD_WRAP;1
LDAPSSL_VERIFY_SERVER;1
APR_HAVE_STRING_H;5
__STDC_VERSION__;1
SECURITY_HOLE_PASS_AUTHORIZATION;3
MC_DEFAULT_SERVER_SMAX;1
HAVE_ECC;8
SSL_OP_NO_COMPRESSION;2
HAVE_OCSP_STAPLING;17
ERROR_WRITE_FAULT;1
EHOSTUNREACH;1
DEFAULT_OCSP_TIMEOUT;1
APR_HAVE_ARPA_INET_H;3
APR_HAS_ANSI_FS;10
strrchr;1
__DATE__;1
HAVE_SHMGET;2
DEFAULT_PIDLOG;3
IPHASH_STATISTICS;2
APR_HAS_PROC_PTHREAD_SERIALIZE;3
PATH_MAX;1
__GNUC__;10
ERROR_INVALID_INDEX;1
YYLEX_PARAM;1
APR_TCP_NODELAY_INHERITED;1
HAVE_STACK;2
SSL_CTRL_SET_TLS_EXT_SRP_USERNAME_CB;1
REWRITE_PRG_MAP_BUF;1
LDAP_OPT_NETWORK_TIMEOUT;5
OPENSSL_NO_SSL_INTERN;7
NO_USE_SIGACTION;7
STRICT;1
YYCOPY;1
SSL_set_tlsext_host_name;1
CMSG_DATA;1
ap_strrchr_c;1
XML2ENC_DECLARE_STATIC;1
AP_EXPR_DEBUG;3
APU_HAVE_NDBM;1
AP_NONBLOCK_WHEN_MULTI_LISTEN;2
EXIT_SUCCESS;6
HAVE_ARPA_INET_H;1
LDAP_OPT_CONNECT_TIMEOUT;1
USE_USLOCK_SERIALIZED_ACCEPT;1
AM_STRINGIFY;1
HAVE_SYS_IPC_H;1
RLIMIT_DATA;17
APR_HAVE_STDIO_H;6
AP_UID_MIN;2
DEFAULT_RENEG_BUFFER_SIZE;1
APU_MINOR_VERSION;6
TRUE;1
WE_EVER_FIGURE_OUT_WHY_THIS_DOESNT_WORK;1
OPENSSL_NO_OCSP;6
ECONNABORTED;1
MSG_PEEK;1
APR_HAVE_STRUCT_RLIMIT;4
PCRE_ERROR_BADUTF8;1
AP_OS_H;1
HM_UPDATE_SEC;1
ENABLE_NLS;1
APR_SIZEOF_VOIDP;1
APR_HAS_OTHER_CHILD;10
LOG_NEWS;1
DBPRINT_ON;1
YYERROR_VERBOSE;8
APR_HAVE_NETINET_IN_H;7
REWRITELOG_DISABLED;3
APR_HAVE_PROCESS_H;3
__SIZE_TYPE__;1
HAVE_GETLOADAVG;1
HAVE_SSL_CONF_CMD;13
LOG_AUTHPRIV;1
APR_USE_FCNTL_SERIALIZE;3
RLIMIT_NPROC;16
LOG_LOCAL5;1
LDAP_OPT_TIMEOUT;2
YYPRINT;2
YYTYPE_UINT16;1
HAVE_FIPS;7
SIGXCPU;6
warn_unused_result;1
_PROXY_FDPASS_H_;1
SSL_get_secure_renegotiation_support;3
YYENABLE_NLS;1
