guard;line;td
#ifdef DOXYGEN;4;1
#if !defined(WIN32);8;1
#elif defined(AP_DECLARE_STATIC);12;1
#elif defined(AP_DECLARE_EXPORT);16;1
#if !defined(WIN32) || defined(AP_MODULE_DECLARE_STATIC);25;2
#if defined(WIN32);26;1
#if (!defined(WIN32) && !defined(NETWARE)) || defined(__MINGW32__);40;3
#ifndef DEFAULT_PIDLOG;44;1
#if defined(NETWARE);47;1
#if defined(AP_ENABLE_DTRACE) && HAVE_SYS_SDT_H;50;2
#ifdef _DTRACE_VERSION;55;1
#if APR_HAS_OTHER_CHILD;60;1
#if defined(__STDC_VERSION__) && __STDC_VERSION__ >= 199901L;63;1
#if (defined(__GNUC__) && !defined(__cplusplus)) || defined(AP_HAVE_C99);66;3
#ifndef __has_attribute;69;1
#if (defined(__GNUC__) && __GNUC__ >= 4) || __has_attribute(sentinel);72;2
#if ( defined(__GNUC__) &&       (__GNUC__ >= 4 || ( __GNUC__ == 3 && __GNUC_MINOR__ >= 4)))     || __has_attribute(warn_unused_result);77;3
#if ( defined(__GNUC__) &&       (__GNUC__ >= 4 && __GNUC_MINOR__ >= 3))     || __has_attribute(alloc_size);82;3
#ifdef __cplusplus;6;1
#ifdef __cplusplus;93;1
#if defined(AP_HOOK_PROBES_ENABLED) && !defined(APR_HOOK_PROBES_ENABLED);3;2
#ifdef APR_HOOK_PROBES_ENABLED;6;1
#ifdef DOXYGEN;12;1
#ifdef __cplusplus;6;1
#ifdef __cplusplus;35;1
#ifndef MODULE_MAGIC_NUMBER_MAJOR;4;1
#ifdef __cplusplus;6;1
#ifdef GPROF;53;1
#ifdef AP_ENABLE_EXCEPTION_HOOK;59;1
#ifdef __cplusplus;66;1
#ifdef __cplusplus;4;1
#ifdef __cplusplus;26;1
#ifdef __cplusplus;4;1
#ifdef DOXYGEN;55;1
#ifdef __cplusplus;63;1
#if defined(WIN32) || defined(DOXYGEN);3;2
#ifdef __cplusplus;7;1
#ifdef __cplusplus;62;1
#if !AP_SERVER_DEVBUILD_BOOLEAN;11;1
#ifndef AP_SERVER_ADD_STRING;14;1
#ifndef APR_STRINGIFY;18;1
#if APR_HAVE_UNISTD_H;14;1
#ifdef __cplusplus;17;1
#ifdef __cplusplus;45;1
#ifdef __cplusplus;7;1
#ifdef __cplusplus;54;1
#ifdef __cplusplus;5;1
#ifdef __cplusplus;18;1
#ifdef __cplusplus;6;1
#if defined(AP_HAVE_DESIGNATED_INITIALIZER) || defined(DOXYGEN);25;2
#if !defined(AP_DEBUG);161;1
#if !defined(AP_DEBUG);173;1
#ifdef __cplusplus;348;1
#ifdef __cplusplus;5;1
#ifdef __cplusplus;21;1
#if APR_HAVE_STRUCT_RLIMIT;10;1
#ifdef __cplusplus;14;1
#ifndef AP_DEBUG;64;1
#ifdef RLIMIT_CPU;130;1
#if defined (RLIMIT_DATA) || defined (RLIMIT_VMEM) || defined(RLIMIT_AS);133;3
#ifdef RLIMIT_NPROC;136;1
#ifdef __cplusplus;312;1
#ifdef __cplusplus;3;1
#ifdef HAVE_SYSLOG;8;1
#ifndef LOG_PRIMASK;10;1
#ifndef DEFAULT_LOGLEVEL;52;1
#ifdef __cplusplus;57;1
#ifdef __cplusplus;61;1
#ifdef DOXYGEN;66;1
#ifndef APLOG_MAX_LOGLEVEL;69;1
#ifdef DOXYGEN;122;1
#ifdef AP_HAVE_C99;127;1
#ifdef DOXYGEN;138;1
#if defined(AP_HAVE_C99) && defined(APLOG_MAX_LOGLEVEL);143;2
#ifdef DOXYGEN;154;1
#ifdef AP_HAVE_C99;159;1
#ifdef DOXYGEN;170;1
#ifdef AP_HAVE_C99;175;1
#ifdef DOXYGEN;186;1
#ifdef AP_HAVE_C99;192;1
#ifdef __cplusplus;219;1
#ifdef __cplusplus;6;1
#ifdef __cplusplus;22;1
#ifdef __cplusplus;8;1
#if APR_HAS_MMAP;47;1
#if APR_CHARSET_EBCDIC;91;1
#ifdef __cplusplus;131;1
#ifdef __cplusplus;5;1
#ifdef __cplusplus;96;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;20;1
#if APR_HAVE_STDLIB_H;17;1
#ifdef __cplusplus;20;1
#ifndef HTTPD_ROOT;23;1
#ifdef OS2;24;1
#elif defined(WIN32);26;1
#elif defined (NETWARE);28;1
#ifndef DOCUMENT_LOCATION;34;1
#ifdef OS2;35;1
#ifndef DYNAMIC_MODULE_LIMIT;41;1
#ifndef DEFAULT_ERRORLOG;45;1
#if defined(OS2) || defined(WIN32);46;2
#ifndef DEFAULT_ACCESS_FNAME;52;1
#ifdef OS2;53;1
#ifndef SERVER_CONFIG_FILE;59;1
#ifndef DEFAULT_PATH;62;1
#ifndef SUEXEC_BIN;65;1
#ifndef DEFAULT_TIMEOUT;68;1
#ifndef DEFAULT_KEEPALIVE_TIMEOUT;71;1
