branch;line;nd
# if (__GNUC__ == 3 && __GNUC_MINOR__ >= 3) || __GNUC__ > 3;2;1
# else;4;1
#if defined __cplusplus;3;1
#else;5;1
#if defined __cplusplus && defined GNULIB_NAMESPACE;12;1
#else;14;1
#if defined __cplusplus && defined GNULIB_NAMESPACE;17;1
#else;19;1
#if defined __cplusplus && defined GNULIB_NAMESPACE;22;1
#else;24;1
#if defined __cplusplus && defined GNULIB_NAMESPACE;27;1
#else;29;1
#if defined __cplusplus && defined GNULIB_NAMESPACE;32;1
#else;34;1
#else;47;1
#else;60;1
#else;21;1
#else;51;1
#if C_CTYPE_ASCII;78;1
#else;80;1
#if C_CTYPE_CONSECUTIVE_DIGITS;111;1
#else;113;1
#if C_CTYPE_CONSECUTIVE_LOWERCASE;127;1
#else;129;1
#if C_CTYPE_ASCII;146;1
#else;148;1
#if C_CTYPE_ASCII;179;1
#else;181;1
#if C_CTYPE_ASCII;212;1
#else;216;1
#if C_CTYPE_CONSECUTIVE_UPPERCASE;241;1
#else;243;1
#else;269;1
#if C_CTYPE_CONSECUTIVE_UPPERCASE && C_CTYPE_CONSECUTIVE_LOWERCASE;285;1
#else;287;1
#if C_CTYPE_CONSECUTIVE_UPPERCASE && C_CTYPE_CONSECUTIVE_LOWERCASE;323;1
#else;325;1
#ifdef __cplusplus;4;1
#if ('A' <= 'Z')     && ('A' + 1 == 'B') && ('B' + 1 == 'C') && ('C' + 1 == 'D')     && ('D' + 1 == 'E') && ('E' + 1 == 'F') && ('F' + 1 == 'G')     && ('G' + 1 == 'H') && ('H' + 1 == 'I') && ('I' + 1 == 'J')     && ('J' + 1 == 'K') && ('K' + 1 == 'L') && ('L' + 1 == 'M')     && ('M' + 1 == 'N') && ('N' + 1 == 'O') && ('O' + 1 == 'P')     && ('P' + 1 == 'Q') && ('Q' + 1 == 'R') && ('R' + 1 == 'S')     && ('S' + 1 == 'T') && ('T' + 1 == 'U') && ('U' + 1 == 'V')     && ('V' + 1 == 'W') && ('W' + 1 == 'X') && ('X' + 1 == 'Y')     && ('Y' + 1 == 'Z');8;1
#if ('a' <= 'z')     && ('a' + 1 == 'b') && ('b' + 1 == 'c') && ('c' + 1 == 'd')     && ('d' + 1 == 'e') && ('e' + 1 == 'f') && ('f' + 1 == 'g')     && ('g' + 1 == 'h') && ('h' + 1 == 'i') && ('i' + 1 == 'j')     && ('j' + 1 == 'k') && ('k' + 1 == 'l') && ('l' + 1 == 'm')     && ('m' + 1 == 'n') && ('n' + 1 == 'o') && ('o' + 1 == 'p')     && ('p' + 1 == 'q') && ('q' + 1 == 'r') && ('r' + 1 == 's')     && ('s' + 1 == 't') && ('t' + 1 == 'u') && ('u' + 1 == 'v')     && ('v' + 1 == 'w') && ('w' + 1 == 'x') && ('x' + 1 == 'y')     && ('y' + 1 == 'z');11;1
#ifdef __cplusplus;101;1
#ifdef __cplusplus;4;1
#ifdef __cplusplus;10;1
#ifndef SIZE_MAX;8;1
#ifndef SSIZE_MAX;11;1
#if HAVE_READLINKAT;11;1
#else;10;1
#ifndef FILE_SYSTEM_DRIVE_PREFIX_CAN_BE_RELATIVE;14;1
#if FILE_SYSTEM_DRIVE_PREFIX_CAN_BE_RELATIVE;17;1
# else;19;1
#ifndef _GL_EXECINFO_INLINE;4;1
#if HAVE_ST_DM_MODE;3;1
#else;5;1
#if ! HAVE_DECL_STRMODE;8;1
# if HAVE_DECL_STRMODE;4;1
# ifdef __cplusplus;8;1
# if !HAVE_DECL_STRMODE;11;1
# ifdef __cplusplus;15;1
#elif LENGTH == 2;15;1
#ifndef STRTOF;32;1
#if ! GNULIB_SNPRINTF;35;1
#if FLT_RADIX == 10;16;1
# if HAVE_SYS_PARAM_H;7;1
# if !defined (BSD) && defined (ultrix);11;1
# ifdef NeXT;14;1
# ifdef __GNU__;18;1
# if defined (HPUX) && !defined (hpux);22;1
# if defined (__hpux) && !defined (hpux);25;1
# if defined (__sun) && !defined (sun);28;1
# if defined (hp300) && !defined (hpux);31;1
# if defined (ultrix) && defined (mips);34;1
# if defined (__SVR4) && !defined (SVR4);37;1
# if (defined (sun) && defined (SVR4)) || defined (SOLARIS2);40;1
# if defined (__osf__) && (defined (__alpha) || defined (__alpha__));43;1
# if defined (__osf__) && (defined (mips) || defined (__mips__));51;1
# if !defined (tek4300) && defined (unix) && defined (m68k) && defined (mc68000) && defined (mc68020) && defined (_MACH_IND_SYS_TYPES);55;1
# ifdef OSF_ALPHA;105;1
# if defined (alliant) && defined (i860);109;1
# if !defined (LDAV_CVT) && defined (FSCALE);134;1
# if defined (sgi) || (defined (mips) && !defined (BSD));142;1
# if !defined (KERNEL_FILE) && defined (sequent);145;1
# if !defined (KERNEL_FILE) && defined (hpux);148;1
# if !defined (KERNEL_FILE) && (defined (_SEQUENT_) || defined (MIPS) || defined (SVR4) || defined (ISC) || defined (sgi) || (defined (ardent) && defined (titan)));151;1
# if !defined (LDAV_SYMBOL) && defined (alliant);154;1
# if !defined (LDAV_SYMBOL) && ((defined (hpux) && !defined (hp9000s300)) || defined (_SEQUENT_) || defined (SVR4) || defined (ISC) || defined (sgi) || (defined (ardent) && defined (titan)) || (defined (_AIX) && !defined(HAVE_LIBPERFSTAT)));157;1
# if !defined (LOAD_AVE_TYPE) && (defined (BSD) || defined (LDAV_CVT) || defined (KERNEL_FILE) || defined (LDAV_SYMBOL));161;1
# if defined (__GNU__) && !defined (NeXT);206;1
# ifdef sgi;217;1
# ifdef DGUX;240;1
# if (defined __linux__ || defined __CYGWIN__ || defined SUNOS_5       || (defined LOAD_AVE_TYPE && ! defined __VMS));243;1
# ifdef NeXT;246;1
# ifdef UMAX;250;1
# ifdef DGUX;254;1
# ifdef NO_GET_LOAD_AVG;272;1
# if !defined (LDAV_DONE) && defined (HAVE_LIBKSTAT);277;1
# if !defined (LDAV_DONE) && defined (hpux) && defined (HAVE_PSTAT_GETDYNAMIC);317;1
# if ! defined LDAV_DONE && defined HAVE_LIBPERFSTAT;330;1
# if !defined (LDAV_DONE) && defined (NeXT);412;1
# if !defined (LDAV_DONE) && defined (UMAX);441;1
# if !defined (LDAV_DONE) && defined (DGUX);494;1
# if !defined (LDAV_DONE) && defined (apollo);506;1
# if !defined (LDAV_DONE) && defined (OSF_MIPS);518;1
# if !defined (LDAV_DONE) && (defined (__MSDOS__) || defined (WINDOWS32));527;1
# if !defined (LDAV_DONE) && defined (OSF_ALPHA);534;1
# if !defined (LDAV_DONE) && defined (LOAD_AVE_TYPE);675;1
# if !defined LDAV_DONE;684;1
#ifndef _LIBC;1;1
#ifdef _LIBC;9;1
#else;11;1
#if defined _LIBC && defined USE_IN_LIBIO;15;1
#if defined HAVE_DECL_GETENV && !HAVE_DECL_GETENV;24;1
#else;38;1
#if defined _LIBC && defined USE_NONOPTION_FLAGS;48;1
#if defined _LIBC && defined USE_NONOPTION_FLAGS;118;1
#if defined _LIBC && defined USE_NONOPTION_FLAGS;170;1
#else;172;1
#if defined _LIBC && defined USE_IN_LIBIO;273;1
#else;300;1
#if defined _LIBC && defined USE_IN_LIBIO;336;1
#if defined _LIBC && defined USE_IN_LIBIO;342;1
#else;345;1
#if defined _LIBC && defined USE_IN_LIBIO;352;1
#else;356;1
#if defined _LIBC && defined USE_IN_LIBIO;362;1
#if defined _LIBC && defined USE_IN_LIBIO;389;1
#else;403;1
#if defined _LIBC && defined USE_IN_LIBIO;429;1
#if defined _LIBC && defined USE_IN_LIBIO;435;1
#else;438;1
#if defined _LIBC && defined USE_IN_LIBIO;445;1
#else;448;1
#if defined _LIBC && defined USE_IN_LIBIO;453;1
#if defined _LIBC && defined USE_IN_LIBIO;481;1
#if defined _LIBC && defined USE_IN_LIBIO;485;1
#else;488;1
#if defined _LIBC && defined USE_IN_LIBIO;491;1
#if defined _LIBC && defined USE_IN_LIBIO;527;1
#else;541;1
#if defined _LIBC && defined USE_IN_LIBIO;584;1
#else;597;1
#if defined _LIBC && defined USE_IN_LIBIO;617;1
#else;631;1
#if defined _LIBC && defined USE_IN_LIBIO;648;1
#else;662;1
#if defined _LIBC && defined USE_IN_LIBIO;711;1
#else;724;1
#if _LIBC;760;1
#else;762;1
#ifdef _LIBC;773;1
#ifdef TEST;783;1
#ifdef _LIBC;1;1
#else;3;1
#ifdef __GNU_LIBRARY__;9;1
#ifndef NULL;12;1
#ifdef TEST;46;1
#if __GNUC__ >= 3;2;1
#if defined _LIBC && defined USE_NONOPTION_FLAGS;24;1
#ifdef GNULIB_defined_setlocale;40;1
#ifdef DEFAULT_TEXT_DOMAIN;46;1
#else;48;1
#ifdef DEFAULT_TEXT_DOMAIN;53;1
#else;55;1
#ifdef __GNUC__;60;1
#ifdef __GNUC__;78;1
#if (((__GNUC__ >= 3 || __GNUG__ >= 2) && !defined __STRICT_ANSI__)                                           );99;1
#else;101;1
#if !_LIBGETTEXT_HAVE_VARIABLE_SIZE_ARRAYS;104;1
#ifdef __GNUC__;109;1
#if _LIBGETTEXT_HAVE_VARIABLE_SIZE_ARRAYS;124;1
#else;126;1
#if !_LIBGETTEXT_HAVE_VARIABLE_SIZE_ARRAYS;139;1
#ifdef __GNUC__;150;1
#if _LIBGETTEXT_HAVE_VARIABLE_SIZE_ARRAYS;166;1
#else;168;1
#if !_LIBGETTEXT_HAVE_VARIABLE_SIZE_ARRAYS;181;1
#if HAVE_NANOTIME;7;1
#if HAVE_SYS_TIMEB_H;4;1
#if GETTIMEOFDAY_CLOBBERS_LOCALTIME || TZSET_CLOBBERS_LOCALTIME;7;1
#if TZSET_CLOBBERS_LOCALTIME;31;1
# if __GNUC__ < 3 || (__GNUC__ == 3 && __GNUC_MINOR__ < 4);3;1
# else;5;1
#if 2 <= __GNUC__ || 0x5110 <= __SUNPRO_C;18;1
#else;20;1
#if _GL_HAVE___TYPEOF__;23;1
#else;25;1
#if __GNUC__ >= 3;1;1
#if !HAVE_LSTAT;3;1
#else;5;1
#if USE_UNLOCKED_IO;8;1
#ifdef WORDS_BIGENDIAN;24;1
#else;26;1
#if BLOCKSIZE % 64 != 0;30;1
#if !_STRING_ARCH_unaligned;143;1
#ifndef _LIBC;21;1
# ifdef __cplusplus;30;1
# ifdef __cplusplus;53;1
#ifndef min;1;1
#ifndef max;4;1
#ifndef _LIBC;1;1
#ifndef LEAP_SECONDS_POSSIBLE;4;1
#if DEBUG;10;1
#if INT_MAX <= LONG_MAX / 2;25;1
#else;27;1
#ifndef TIME_T_MIN;37;1
#ifndef TIME_T_MAX;40;1
#ifndef _LIBC;60;1
#ifndef _LIBC;68;1
#ifdef _LIBC;309;1
#ifdef weak_alias;314;1
#ifdef _LIBC;317;1
#if DEBUG;321;1
# ifndef _POSIX_PATH_MAX;5;1
# if defined HAVE_SYS_PARAM_H && !defined PATH_MAX && !defined MAXPATHLEN;8;1
# if !defined PATH_MAX && defined MAXPATHLEN;11;1
# ifdef __hpux;14;1
# if (defined _WIN32 || defined __WIN32__) && ! defined __CYGWIN__;18;1
#if !HAVE_PSELECT;5;1
#else;39;1
#if PTHREAD_SIGMASK_INEFFECTIVE;5;1
#if PTHREAD_SIGMASK_UNBLOCK_BUG;8;1
#else;52;1
#if !HAVE_READLINK;6;1
#if USE_UNLOCKED_IO;7;1
#ifdef WORDS_BIGENDIAN;10;1
#else;12;1
#if BLOCKSIZE % 64 != 0;16;1
#if !_STRING_ARCH_unaligned;131;1
# ifdef __cplusplus;5;1
# ifdef __cplusplus;29;1
#if USE_UNLOCKED_IO;7;1
#ifdef WORDS_BIGENDIAN;10;1
#else;12;1
#if BLOCKSIZE % 64 != 0;16;1
#if !_STRING_ARCH_unaligned;216;1
# ifdef __cplusplus;5;1
# ifdef __cplusplus;31;1
#if USE_UNLOCKED_IO;7;1
#ifdef WORDS_BIGENDIAN;10;1
#else;12;1
#if BLOCKSIZE % 128 != 0;16;1
#if !_STRING_ARCH_unaligned;217;1
# ifdef __cplusplus;5;1
# ifdef __cplusplus;31;1
#if __GNUC__ >= 3;1;1
#if defined __need_sig_atomic_t || defined __need_sigset_t || defined _GL_ALREADY_INCLUDING_SIGNAL_H || (defined _SIGNAL_H && !defined __SIZEOF_PTHREAD_MUTEX_T);5;1
#ifndef _GL_STAT_TIME_INLINE;6;1
#elif defined HAVE_STRUCT_STAT_ST_ATIMESPEC_TV_NSEC;15;1
#elif defined HAVE_STRUCT_STAT_ST_ATIMENSEC;17;1
#elif defined HAVE_STRUCT_STAT_ST_ATIM_ST__TIM_TV_NSEC;19;1
# if defined STAT_TIMESPEC;25;1
# elif defined STAT_TIMESPEC_NS;27;1
# else;29;1
# if defined STAT_TIMESPEC;36;1
# elif defined STAT_TIMESPEC_NS;38;1
# else;40;1
# if defined STAT_TIMESPEC;47;1
# elif defined STAT_TIMESPEC_NS;49;1
# else;51;1
# if defined HAVE_STRUCT_STAT_ST_BIRTHTIMESPEC_TV_NSEC;58;1
# elif defined HAVE_STRUCT_STAT_ST_BIRTHTIMENSEC;60;1
# else;62;1
#ifdef STAT_TIMESPEC;70;1
#else;72;1
#ifdef STAT_TIMESPEC;82;1
#else;84;1
#ifdef STAT_TIMESPEC;94;1
#else;96;1
#if (defined HAVE_STRUCT_STAT_ST_BIRTHTIMESPEC_TV_NSEC      || defined HAVE_STRUCT_STAT_ST_BIRTHTIM_TV_NSEC);107;1
#elif defined HAVE_STRUCT_STAT_ST_BIRTHTIMENSEC;109;1
#elif (defined _WIN32 || defined __WIN32__) && ! defined __CYGWIN__;112;1
#else;115;1
#if (defined HAVE_STRUCT_STAT_ST_BIRTHTIMESPEC_TV_NSEC      || defined HAVE_STRUCT_STAT_ST_BIRTHTIM_TV_NSEC      || defined HAVE_STRUCT_STAT_ST_BIRTHTIMENSEC);120;1
#if REPLACE_FUNC_STAT_FILE;40;1
#if REPLACE_FUNC_STAT_DIR;51;1
#if defined __cplusplus;4;1
#else;7;1
#if __GNUC__ || __IBMC__ || __IBMCPP__ || 0x5110 <= __SUNPRO_C;12;1
#elif 1300 <= _MSC_VER;14;1
#ifdef _Alignas;17;1
#if defined __BEOS__ && !defined __HAIKU__;3;1
#ifdef __cplusplus;8;1
#ifdef __cplusplus;27;1
#else;30;1
#if __GNUC__ >= 3;1;1
#if __GNUC__ >= 3;1;1
#if defined __need_FILE || defined __need___FILE || defined _GL_ALREADY_INCLUDING_STDIO_H;5;1
#if __GNUC__ >= 3;1;1
#if defined __need_malloc_and_calloc;5;1
#ifdef _LIBC;1;1
#if HAVE_TZNAME && !HAVE_DECL_TZNAME;19;1
#if !(defined __osf__ && 0);22;1
#if DO_MULTIBYTE;26;1
#ifdef COMPILE_WIDE;35;1
#else;43;1
#ifndef __isleap;54;1
#ifdef _LIBC;57;1
#if !HAVE_TM_GMTOFF;61;1
#ifndef FPRINTFTIME;67;1
#if FPRINTFTIME;70;1
#else;73;1
#if FPRINTFTIME;77;1
#elif defined COMPILE_WIDE;81;1
#else;84;1
#if FPRINTFTIME;88;1
#else;90;1
#if FPRINTFTIME;94;1
#else;96;1
#if FPRINTFTIME;99;1
#else;101;1
#if defined _LIBC && defined USE_IN_EXTENDED_LOCALE_MODEL;111;1
#if FPRINTFTIME;146;1
#else;165;1
#if ! HAVE_TM_GMTOFF;183;1
#ifdef __GNUC__;206;1
#if defined emacs && !defined my_strftime;217;1
#if FPRINTFTIME;220;1
#ifdef my_strftime;224;1
#if defined _LIBC && defined USE_IN_EXTENDED_LOCALE_MODEL;246;1
#if FPRINTFTIME;249;1
#ifdef _NL_CURRENT;253;1
#if DO_MULTIBYTE && !defined COMPILE_WIDE;267;1
#if ! defined _LIBC && ! HAVE_RUN_TZSET_TEST;270;1
#if HAVE_TM_ZONE;275;1
#if DO_MULTIBYTE && !defined COMPILE_WIDE;320;1
#else;379;1
#ifdef _NL_CURRENT;453;1
#else;456;1
#ifdef _NL_CURRENT;467;1
#else;470;1
#ifdef _NL_CURRENT;482;1
#else;485;1
#ifdef _NL_CURRENT;496;1
#else;499;1
#ifdef _NL_CURRENT;505;1
#else;512;1
#else;568;1
#ifdef _NL_CURRENT;580;1
#else;587;1
#ifdef _NL_CURRENT;618;1
#else;630;1
#ifndef _LIBC;727;1
#ifndef _NL_CURRENT;747;1
#ifdef _NL_CURRENT;756;1
#else;759;1
#ifdef _NL_CURRENT;766;1
#else;772;1
#ifdef _NL_CURRENT;801;1
#else;808;1
#else;892;1
#if HAVE_STRUCT_ERA_ENTRY;904;1
#else;912;1
#if HAVE_TZNAME;928;1
#ifdef COMPILE_WIDE;934;1
#else;941;1
#if HAVE_TM_GMTOFF;962;1
#else;964;1
#if ! FPRINTFTIME;1026;1
#if defined _LIBC && ! FPRINTFTIME;1040;1
#if defined emacs && ! FPRINTFTIME;1043;1
#ifdef __cplusplus;2;1
#ifdef __cplusplus;7;1
#ifdef UNSIGNED;20;1
#else;27;1
#if Have_long_long;35;1
#else;40;1
#ifdef _LIBC;1;1
#else;3;1
#ifndef __set_errno;8;1
#ifdef USE_NUMBER_GROUPING;15;1
#ifndef UNSIGNED;18;1
#else;21;1
#else;108;1
#ifdef USE_IN_EXTENDED_LOCALE_MODEL;114;1
#else;119;1
#ifdef USE_NUMBER_GROUPING;155;1
#ifdef USE_NUMBER_GROUPING;230;1
#if !UNSIGNED;275;1
#if UNSIGNED;285;1
#else;287;1
#ifdef weak_function;304;1
#ifdef _LIBC;3;1
#if HAVE_SYMLINK;6;1
#else;21;1
# if __GNUC__ >= 3;1;1
#if @HAVE_SYS_SELECT_H@ && defined __osf__ && (defined _SYS_TYPES_H_ && !defined _GL_SYS_SELECT_H_REDIRECT_FROM_SYS_TYPES_H) && defined _OSF_SOURCE;5;1
#elif @HAVE_SYS_SELECT_H@ && defined __osf__ && (defined _SYS_TIME_H_ && !defined _GL_SYS_SELECT_H_REDIRECT_FROM_SYS_TIME_H) && defined _OSF_SOURCE;7;1
#elif @HAVE_SYS_SELECT_H@ && defined __sgi && (defined _SYS_BSD_TYPES_H && !defined _GL_SYS_SELECT_H_REDIRECT_FROM_SYS_BSD_TYPES_H);9;1
#elif @HAVE_SYS_SELECT_H@ && defined __OpenBSD__ && (defined _PTHREAD_H_ && !defined PTHREAD_MUTEX_INITIALIZER);11;1
#if __GNUC__ >= 3;1;1
#if defined __need_system_sys_stat_h;5;1
#if __GNUC__ >= 3;1;1
#if __GNUC__ >= 3;1;1
#if __GNUC__ >= 3;1;1
#if (defined __need_time_t || defined __need_clock_t      || defined __need_timespec      || defined _@GUARD_PREFIX@_TIME_H);5;1
#ifndef _GL_TIMESPEC_INLINE;5;1
#ifndef _GL_U64_INLINE;3;1
#ifdef UINT64_MAX;7;1
#if __GNUC__ >= 3;1;1
#if HAVE_UTIME_H;13;1
#ifndef HAVE_STRUCT_UTIMBUF;16;1
#ifndef REPLACE_FUNC_STAT_FILE;25;1
#if HAVE_UTIMENSAT || HAVE_FUTIMENS;28;1
#if HAVE_BUGGY_NFS_TIME_STAMPS;109;1
#if ! ((HAVE_FUTIMESAT && !FUTIMESAT_NULL_BUG)         || (HAVE_WORKING_UTIMES && HAVE_FUTIMES));237;1
#if HAVE_WORKING_UTIMES;242;1
#else;244;1
#if HAVE_LUTIMES && !HAVE_UTIMENSAT;318;1
# if (4 < __GNUC__ || (__GNUC__ == 4 && 6 <= __GNUC_MINOR__)) && !defined __cplusplus;3;1
# if (99 < __GNUC__) && defined __cplusplus;6;1
# if defined __COUNTER__ && __COUNTER__ != __COUNTER__;11;1
# else;13;1
# elif defined _GL_HAVE__STATIC_ASSERT;27;1
# else;29;1
# ifdef _GL_HAVE__STATIC_ASSERT;32;1
# else;34;1
#ifndef SEEK_END;8;1
#if defined (__MSDOS__);14;1
#ifdef DEBUG;857;1
#else;859;1
#ifndef VERSION;2462;1
#ifdef WINDOWSNT;2;1
#ifdef HAVE_GETCWD;51;1
#ifndef VERSION;54;1
#ifndef EXIT_SUCCESS;57;1
#ifndef EXIT_FAILURE;60;1
#ifndef FALSE;63;1
#ifndef TRUE;66;1
#ifdef min;70;1
#ifndef NO_SOCKETS_IN_FILE_SYSTEM;102;1
#ifdef WINDOWSNT;186;1
#ifdef WINDOWSNT;296;1
#ifndef NO_SOCKETS_IN_FILE_SYSTEM;323;1
#else;325;1
#ifndef NO_SOCKETS_IN_FILE_SYSTEM;338;1
#if defined (NS_IMPL_COCOA);387;1
#elif defined (HAVE_NTGUI);389;1
#ifdef WINDOWSNT;403;1
#ifndef NO_SOCKETS_IN_FILE_SYSTEM;421;1
#ifndef WINDOWSNT;425;1
#if !defined (HAVE_SOCKETS) || !defined (HAVE_INET_SOCKETS);443;1
#ifdef DEBUG;4;1
#else;7;1
#ifndef _GNU_SOURCE;12;1
#ifdef WIN32_NATIVE;15;1
#ifdef MSDOS;20;1
#else;26;1
#else;40;1
#ifdef NDEBUG;58;1
#ifdef NO_LONG_OPTIONS;62;1
#else;67;1
#ifdef CTAGS;72;1
#else;75;1
#if DEBUG;94;1
#else;98;1
#ifdef STDIN;290;1
#if CTAGS;317;1
#else;327;1
#if CTAGS;363;1
#else;366;1
#ifndef EMACS_NAME;524;1
#ifndef VERSION;527;1
#ifndef PRINT_UNDOCUMENTED_OPTIONS_HELP;539;1
#ifdef DOS_NT;630;1
#ifdef DOS_NT;776;1
#ifdef DOS_NT;4410;1
#else;4412;1
#ifdef HAVE_GETCWD;4672;1
#ifdef DOS_NT;4718;1
#ifdef DOS_NT;4742;1
#ifdef DOS_NT;4762;1
#ifdef DOS_NT;4804;1
#ifdef DOS_NT;4814;1
#ifdef WINDOWSNT;10;1
#ifdef MSDOS;4;1
#ifdef WINDOWSNT;7;1
#ifdef DOS_NT;12;1
#else;17;1
#ifdef WINDOWSNT;76;1
#ifdef DEBUG;767;1
#ifdef DEBUG;897;1
#ifdef DEBUG;1031;1
#ifdef DEBUG;1038;1
#ifdef HAVE_FCNTL_H;10;1
#ifdef MAIL_USE_POP;15;1
#ifdef MSDOS;18;1
#ifdef WINDOWSNT;21;1
#ifndef F_OK;29;1
#ifdef WINDOWSNT;35;1
#ifdef MAIL_USE_LOCKF;38;1
#ifdef MAIL_USE_FLOCK;41;1
#ifdef MAIL_USE_MMDF;44;1
#ifdef MAIL_USE_POP;58;1
#if (defined MAIL_USE_MAILLOCK      || (!defined DISABLE_DIRECT_ACCESS && !defined MAIL_USE_MMDF   && !defined MAIL_USE_SYSTEM_LOCK));65;1
#ifndef MAIL_USE_SYSTEM_LOCK;84;1
#ifdef MAIL_USE_MAILLOCK;92;1
#ifdef MAIL_USE_POP;95;1
#else;98;1
#ifdef WINDOWSNT;103;1
#ifdef MAIL_USE_POP;110;1
#ifdef MAIL_USE_POP;123;1
#else;125;1
#ifdef MAIL_USE_POP;130;1
#else;133;1
#ifdef MAIL_USE_MMDF;140;1
#ifdef MAIL_USE_POP;145;1
#ifdef MAIL_USE_MAILLOCK;383;1
#ifdef sleep;6;1
#ifndef fileno;57;1
#ifdef HAVE_FCNTL_H;11;1
#ifndef HAVE_DIFFTIME;19;1
#ifdef HAVE_SHARED_GAME_DIR;81;1
#else;83;1
#ifdef HAVE_GETDELIM;181;1
#else;189;1
#ifdef HAVE_GETLINE;211;1
#else;220;1
#ifdef HAVE_MKSTEMP;320;1
#else;322;1
#ifdef HAVE_XAW3D;10;1
#else;17;1
#ifdef HAVE_XFT;26;1
#ifdef HAVE_XFT;47;1
#ifdef HAVE_XFT;225;1
#ifdef HAVE_XFT;248;1
#ifdef HAVE_XFT;280;1
#ifdef HAVE_XFT;370;1
#ifdef HAVE_XFT;402;1
#ifdef HAVE_XFT;415;1
#ifdef HAVE_XFT;433;1
#ifdef HAVE_XAW3D;490;1
#ifdef HAVE_XFT;499;1
#ifdef HAVE_XAW3D;520;1
#ifdef HAVE_XFT;529;1
#if 0;11;1
#ifdef emacs;83;1
#if 0;98;1
#if 0;104;1
#ifdef XmNpositionIndex;514;1
#ifdef ENERGIZE;1215;1
#ifdef ENERGIZE;1305;1
#if XmVersion < 1002 || (defined LESSTIF_VERSION && LESSTIF_VERSION < 84);1366;1
#ifdef HAVE_XFT;11;1
#if defined (USE_LUCID);10;1
#if defined (USE_MOTIF);13;1
#if !defined (USE_LUCID) && !defined (USE_MOTIF);28;1
#ifndef max;31;1
#ifdef USE_MOTIF;36;1
#else;38;1
#if 0;309;1
#else;311;1
#if defined (USE_LUCID);475;1
#if defined (USE_MOTIF);479;1
#if defined (USE_XAW);483;1
#if defined (USE_LUCID);607;1
#if defined(USE_MOTIF);611;1
#if defined (USE_XAW);615;1
#if defined (USE_LUCID);623;1
#if defined(USE_MOTIF);625;1
#if defined (USE_XAW);629;1
#if defined (USE_LUCID);702;1
#if defined (USE_MOTIF);707;1
#if defined (USE_XAW);712;1
#ifdef USE_MOTIF;771;1
#ifdef USE_MOTIF;788;1
#if defined (USE_LUCID);811;1
#if defined (USE_MOTIF);818;1
#if defined (USE_XAW);825;1
#if defined (USE_LUCID);848;1
#if defined (USE_MOTIF);852;1
#if defined (USE_XAW);856;1
#if defined (USE_LUCID);867;1
#if defined (USE_MOTIF);871;1
#if defined (USE_XAW);875;1
#if defined (USE_MOTIF);956;1
#else;958;1
#if defined (USE_XAW);1000;1
#if defined (USE_MOTIF);1003;1
#if defined (USE_LUCID);1014;1
#if defined (USE_MOTIF);1017;1
#if defined (USE_MOTIF);1027;1
#if defined (USE_MOTIF);1034;1
#if (defined __sun) && !(defined SUNOS41);6;1
#else;10;1
#ifdef emacs;19;1
#else;22;1
#ifdef HAVE_X_I18N;34;1
#ifdef HAVE_XFT;38;1
#else;40;1
#ifdef HAVE_XFT;231;1
#ifdef HAVE_X_I18N;241;1
#ifdef HAVE_XFT;252;1
#ifdef HAVE_XFT;757;1
#ifdef HAVE_XFT;786;1
#ifdef HAVE_XFT;807;1
#ifdef HAVE_X_I18N;819;1
#ifdef HAVE_XFT;851;1
#ifdef HAVE_X_I18N;865;1
#ifdef HAVE_XFT;1065;1
#ifdef HAVE_XFT;1137;1
#if 0;1201;1
#ifdef HAVE_X_I18N;1278;1
#else;1284;1
#ifndef emacs;1346;1
#ifdef emacs;1373;1
#else;1377;1
#ifdef emacs;1394;1
#else;1398;1
#ifdef HAVE_XFT;1487;1
#if 0;1532;1
#ifdef HAVE_XFT;1542;1
#ifdef HAVE_X_I18N;1559;1
#ifdef HAVE_XFT;1582;1
#ifdef emacs;1604;1
#ifdef emacs;1608;1
#ifdef HAVE_XFT;1619;1
#if 0;1672;1
#ifdef HAVE_XFT;1677;1
#ifdef HAVE_XFT;1689;1
#ifdef HAVE_XFT;1697;1
#ifdef HAVE_XFT;1722;1
#ifdef HAVE_X_I18N;1725;1
#else;1728;1
#ifdef HAVE_XFT;1751;1
#ifdef HAVE_X_I18N;1774;1
#ifdef emacs;2109;1
#ifdef emacs;2131;1
#ifdef HAVE_XFT;5;1
#ifdef HAVE_XFT;20;1
#ifdef HAVE_X_I18N;26;1
#ifdef HAVE_XFT;30;1
