feature;sd
GNULIB_defined_sig_atomic_t;1
XDEBUG;1
LINUX_LDAV_FILE;1
HAVE_GCONF;9
HAVE_SLEEP;1
HAVE_UTIMENSAT;8
SIGNALS_VIA_CHARACTERS;2
_GL_STAT_TIME_INLINE;1
XtNshowGrip;1
__IBMC__;1
W32_DEBUG_DISPLAY;2
SCNuLEAST32;1
INT_FAST32_MAX;4
__ANDROID__;1
UMAX_43;1
FT_LOAD_TARGET_MONO;1
PWinGravity;1
HAVE_RAW_DECL_CANONICALIZE_FILE_NAME;1
MMAP_ALLOCATED_P;1
HAVE_SIGSET_T;1
XtCGeometry;1
S_IXUGO;1
IFF_PROMISC;1
REPLACE_FSTATAT;1
GNULIB_IMAXABS;1
UNSIGNED;7
PRIuLEAST8;1
MAIL_USE_MAILLOCK;9
_GL_STATIC_ASSERT_H;1
GNULIB_ENVIRON;1
S_IFBLK;1
PTY_TTY_NAME_SPRINTF;1
HAVE_REALPATH;1
__MINGW32__;16
HAVE_NTGUI;137
HAVE_VDPRINTF;1
GNULIB_STRTOULL;1
EISDIR;1
MIPS;2
XK_dead_diaeresis;2
eunice;3
SCNxMAX;1
GNULIB_CHOWN;1
HAVE_STRUCT_IFREQ_IFR_BROADADDR;1
PRIx8;1
GNULIB_OBSTACK_PRINTF_POSIX;1
NTTYDISC;1
PRIoPTR;1
GNULIB_RANDOM;4
RUN_TIME_REMAP;1
SO_PRIORITY;1
XtNgeometry;1
HAVE_RAW_DECL_MKFIFOAT;1
emacs_raise;1
_WINSOCK2_H;1
GCTYPEBITS;2
HAVE_RAW_DECL_FCHDIR;1
S_IFMPB;1
USABLE_SIGIO;27
INTPTR_MAX;4
REPLACE_VPRINTF;1
HAVE_DECL_GETUSERSHELL;3
GNULIB_FOPEN;1
SCNxFAST32;1
MAX_SECTIONS;1
MOD_ALT;1
PRIuLEAST16;1
PRIo64;1
IMAGE_REL_BASED_SECTION;1
va_copy;2
HAVE_BDFFONT;2
ECONNREFUSED;1
PRIiFAST32;1
PRIxLEAST64;1
__THROW;3
HAVE_RAW_DECL_STAT;1
GNULIB_PERROR;1
__alpha__;6
REPLACE_READ;1
PRIdPTR;1
BSD_SYSTEM;7
WUNTRACED;1
CREAD;1
CNEW_RTSCTS;2
MAC_OS_X_VERSION_10_4;1
__LP64__;2
GC_SETJMP_WORKS;3
DGUX;3
HAVE_READLINKAT;2
SCNx32;1
GNULIB_TIMEGM;1
FD_SETSIZE;1
GC_MARK_STACK_CHECK_GCPROS;4
libc;1
READ_BUF_SIZE;1
BSD_SYSTEM_AHB;1
SCNiPTR;1
SO_KEEPALIVE;1
__MSDOS__;3
SCNuFAST8;1
GNULIB_SIGNAL_H_SIGPIPE;1
__GNU__;2
SIGMIGRATE;1
XK_dead_grave;2
HAVE_XKBGETKEYBOARD;2
__STDC_VERSION__;2
DISPEXTERN_INLINE;1
INT_FAST8_MAX;8
HAVE_RAW_DECL_RMDIR;1
HAVE_NANOTIME;1
_STRUCT_TIMEVAL;1
SIGAIO;1
HAVE_DECL_STRTOUMAX;1
random;1
CLOCK_MONOTONIC;1
PRId8;1
PRIiLEAST8;1
S_ISWHT;1
GNULIB_VFPRINTF;2
convex;1
HAVE_GTK_ORIENTABLE_SET_ORIENTATION;1
_PC_MAX_CANON;1
EHOSTUNREACH;1
HAVE_FSYNC;4
USE_XAW;9
HAVE_STRUCT_STAT_ST_ATIMENSEC;1
IFF_DYNAMIC;1
UINT32_MAX_LT_UINTMAX_MAX;7
HAVE_RAW_DECL_CHDIR;1
HAVE_DBUS_WATCH_GET_UNIX_FD;1
GNULIB_STRTOD;1
MAIL_UNLINK_SPOOL;1
HAVE_LOCAL_SOCKETS;11
S_TYPEISSHM;1
NS_IMPL_COCOA;18
GNULIB_UNLOCKPT;1
SCNu32;1
VSWTCH;2
__need_FILE;1
FUTIMESAT_NULL_BUG;3
REPLACE_GETTIMEOFDAY;1
__osf__;8
PURESIZE;1
HAVE_RAW_DECL_GETUSERSHELL;1
INTTYPES_H;2
HAVE_RAW_DECL_GETLINE;1
HAVE_RAW_DECL_RENAMEAT;1
REPLACE_FSEEK;1
SIGLWP;1
OSF_ALPHA;3
TIME_H_DEFINES_STRUCT_TIMESPEC;1
HAVE_RAW_DECL_LSEEK;1
GNU_MALLOC;2
SYS_TIME_H_DEFINES_STRUCT_TIMESPEC;1
GNULIB_SPRINTF_POSIX;1
HAVE_MKFIFOAT;1
SYSTEM_MALLOC;19
GNULIB_overrides_vfprintf;1
_WINSOCKAPI_;1
PATH_MAX;3
HAVE_STRUCT_IFREQ_IFR_NETMASK;2
HAVE_GETPAGESIZE;2
__GNUC__;83
IFF_LINK1;1
GNULIB_SYMLINK;1
SCNoLEAST8;1
_STDLIB_H;2
LOCALTIME_CACHE;5
SCNoFAST64;1
HAVE_SYS_WAIT_H;1
GNULIB_PREAD;2
S_ISBLK;1
GNU_LINUX;17
REPLACE_FREOPEN;1
_HAVE_BTOWC;1
XMALLOC_BLOCK_INPUT_CHECK;1
HAVE_RAW_DECL_DUP2;1
NO_ADAPTIVE_READ_BUFFERING;1
sequent;3
HAVE_MKSTEMP;4
__amigaos4__;1
GNULIB_GETTIMEOFDAY;1
REPLACE_UNLINKAT;1
_STDIO_H;2
PRIoFAST32;1
REPLACE_FCHDIR;2
_LIBGETTEXT_HAVE_VARIABLE_SIZE_ARRAYS;5
_GL_HAVE_STATIC_ASSERT;1
HAVE_RAW_DECL_POPEN;1
PRIxFAST32;1
GNULIB_MBTOWC;1
SOLARIS2;2
FSCALE;2
XUNTAG;1
_OSF_SOURCE;2
EPROTOTYPE;1
HAVE_USLEEP;1
PRIX16;1
PRIoLEAST8;1
UINT32_MAX;28
REPLACE_FUNC_STAT_DIR;2
SIGSTOP;3
_ALPHA_;1
HAVE_SOCKETS;4
CS7;1
FD_CLOEXEC;4
XMALLOC_CLEAR_FREE_MEMORY;1
PRIdFAST8;1
NeXT;5
DBUS_VERSION_STRING;1
EXIT_SUCCESS;2
CCL_DEBUG;5
LC_MAIN;1
VAL_MAX;4
ENOPROTOOPT;1
SCNxFAST16;1
_UNISTD_H;4
PRIuFAST8;1
REPLACE_MKNOD;1
HAVE_DECL_SETHOSTNAME;1
USE_SEPARATE_SCREEN;3
S_IROTH;1
F_SETFL;2
WINDOWS_64_BIT_ST_SIZE;3
_GL_GETOPT_H;1
GNULIB_SIGPROCMASK;1
_GL_EXECINFO_INLINE;1
HAVE_DBUS;10
GNULIB_REALPATH;1
HAVE_GETRLIMIT;1
HAVE_MKDIRAT;1
FRAME_TOOLBAR_LEFT_WIDTH;1
GNULIB_SELECT;1
_GL_UTIMENS_INLINE;1
GNULIB_defined_struct_random_data;1
GNULIB_overrides_fprintf;1
ALLOC_XPM_COLORS;7
FRAME_NS_TITLEBAR_HEIGHT;1
TRUE;3
HAVE_MKOSTEMP;1
HAVE_RAW_DECL__EXIT;1
TIOCSTI;1
HAVE_PREAD;1
PRIX64;1
ECONNABORTED;1
GNULIB_MKOSTEMP;1
PRIXFAST16;1
MAP_ANONYMOUS;2
PRIu8;1
HAVE_RAW_DECL_GETSUBOPT;1
LDAV_CVT;4
GNULIB_FREAD;1
HAVE_STRUCT_NLIST_N_UN_N_NAME;1
HAVE_CHOWN;1
XtNfont;1
DISPNEW_NEEDS_STDIO_EXT;1
__has_feature;1
REPLACE_GETPAGESIZE;1
PRIo32;1
GNULIB_GRANTPT;1
HAVE_RAW_DECL_GETLOADAVG;1
GNULIB_ATOLL;1
__TANDEM;3
AF_LOCAL;2
HAVE_RAW_DECL_ENDUSERSHELL;1
HAVE_DECL_IMAXABS;1
__UCLIBC__;3
GNULIB_MALLOC_POSIX;1
HAVE_NANOSLEEP;1
GNULIB_TIME_R;1
ENABLE_NLS;1
HAVE_LIBINTL_H;1
IFF_LINK0;1
LC_MESSAGES;1
LC_DYLIB_CODE_SIGN_DRS;2
SO_BROADCAST;1
HAVE_GTK_WIDGET_GET_SENSITIVE;1
HAVE_STRUCT_IFREQ_IFR_HWADDR;2
HAVE_RSVG;3
TIOCSETD;1
MAIL_USE_SYSTEM_LOCK;9
IFF_LOOPBACK;1
EFAULT;2
HAVE_GETTIMEOFDAY;2
VERBOSE;3
ENERGIZE;2
_SYS_TYPES_H_;2
S_ISCTG;1
XK_dead_hook;1
MAX_RW_COUNT;1
HAVE_RAW_DECL_SIGDELSET;1
SCNdLEAST16;1
EAFNOSUPPORT;1
LC_DATA_IN_CODE;3
C_CTYPE_CONSECUTIVE_UPPERCASE;11
GNULIB_defined_siginfo_types;1
HAVE_RAW_DECL_VDPRINTF;1
XK_dead_horn;1
_SYS_SELECT_H;4
WCOREDUMP;1
HAVE_RAW_DECL_INITSTATE_R;2
REPLACE_VFPRINTF;1
C_CTYPE_CONSECUTIVE_DIGITS;6
CATEGORY_INLINE;1
HAVE_RAW_DECL_UNLINKAT;1
XK_dead_abovedot;2
GNULIB_IMAXDIV;1
HAVE_DECL_GETLINE;2
GNULIB_DPRINTF;1
GNULIB_GETC;1
HAVE_RAW_DECL_MKNOD;1
HAVE_RAW_DECL_FCHMODAT;1
CLOCK_PROCESS_CPUTIME_ID;1
REPLACE_RENAMEAT;1
tek4300;3
M17NLIB_MAJOR_VERSION;1
SIGIO;2
TERMCAP_FILE;1
HAVE_RAW_DECL_RPMATCH;1
GNULIB_PIPE2;1
GNULIB_FSCANF;1
LISP_INLINE;1
HAVE_RAW_DECL_UNSETENV;1
DBUS_VERSION;1
BOOT_TIME;4
FRAME_TOOLBAR_HEIGHT;1
REPLACE_REALPATH;1
HAVE_GETLINE;1
HAVE_RAW_DECL_STRTOLL;1
_XMenuInternal_h_;1
WNOHANG;2
BSD4_2;3
WM_MOUSEHWHEEL;1
EOVERFLOW;1
HAVE_LIBMAIL;1
noinline;1
SETUP_SLAVE_PTY;1
PRId64;1
NO_EDITRES;2
REPLACE_TMPFILE;1
GCALIGNMENT;1
HAVE_LONG_FILE_NAMES;1
HAVE_LINK;1
SIGRETRACT;2
HAVE_GTK_FILE_SELECTION_NEW;3
HAVE_MKNOD;1
SIGXCPU;3
B_PAGE_SIZE;1
PRIxFAST64;1
EMACS_OUTQSIZE;1
FC_EMBOLDEN;2
GNULIB_defined_rpl_mkdir;1
HAVE_G_TYPE_INIT;2
XtCFont;1
WIFSTOPPED;1
HAVE_RAW_DECL_GETS;1
PRIdLEAST16;1
_STDARG_H;2
HAVE_SYS_SOUNDCARD_H;1
USG_SUBTTY_WORKS;2
CTAGS;3
FRAME_MENUBAR_HEIGHT;1
HAVE_RAW_DECL_LINKAT;1
MENU_DEBUG;2
REPLACE_PRINTF;1
isgraph;1
S_ISOFD;1
HAVE_GTK_WINDOW_SET_HAS_RESIZE_GRIP;1
MSG_DEBUG;1
GNULIB_READLINKAT;2
HAVE_UNLOCKPT;1
USE_LUCID;32
NO_LONG_OPTIONS;1
HAVE_SYS_UTSNAME_H;3
GNULIB_PUTC;1
VREPRINT;1
HAVE_DECL_GETPAGESIZE;1
HAVE_SYS_TYPES_H;4
SCNi16;1
GNULIB_VDPRINTF;1
SCNdFAST16;1
GNULIB_MKDTEMP;1
GNULIB_GETDOMAINNAME;2
HAVE_OTF_GET_VARIATION_GLYPHS;3
LIBOTF_RELEASE_NUMBER;1
_SSIZE_T_DEFINED_;1
GNULIB_defined_struct_option;2
S_IRGRP;1
SIGTALRM;1
NBPG;2
ultrix;2
INTERNAL_TERMINAL;1
PRIdFAST32;1
_GNU_SOURCE;1
_GL_TIMESPEC_INLINE;1
SCNxFAST64;1
__MACH__;2
HAVE_STRINGS_H;1
__CYGWIN__;18
EINTR;3
_MSC_VER;37
HAVE_SYMLINKAT;1
GC_CHECK_MARKED_OBJECTS;5
PRId32;1
O_NDELAY;9
MUST_REDEF_SELECT;1
GNULIB_defined_struct_time_t_must_be_integral;1
__sparc64__;1
__OPTIMIZE_SIZE__;1
RE_DUP_MAX;1
PRIxFAST16;1
PT_LOAD;1
__set_errno;1
__BOUNDED_POINTERS__;1
HAVE_DECL_FPURGE;1
_GL_NO_LARGE_FILES;4
PRIxLEAST8;1
HAVE_ALSA;3
ENOMEM;1
HAVE_STDINT_H;1
GNULIB_GETCWD;2
GNULIB_REMOVE;1
HAVE_RAW_DECL_CHOWN;1
GNULIB_UNLINK;2
__STRICT_ANSI__;1
REPLACE_SYMLINK;1
HAVE_PROCFS;2
HAVE_RAW_DECL_FTELLO;1
HAVE_RAW_DECL_MKSTEMP;1
TIOCEXCL;1
UNISTD_H_HAVE_WINSOCK2_H;5
alliant;3
XFlush;3
GNULIB_REALLOC_POSIX;1
FILE_SYSTEM_DRIVE_PREFIX_CAN_BE_RELATIVE;2
HAVE_PTSNAME;1
GC_CHECK_STRING_FREE_LIST;1
HAVE_RAW_DECL_SYMLINKAT;1
unix;1
NO_GET_LOAD_AVG;1
SCNoMAX;1
_AIX;10
HAVE_RAW_DECL_ENVIRON;1
EMACS_INT_MAX;2
USG5;1
DebPrint;1
SCNdLEAST32;1
SCNxPTR;1
HAVE_PIPE2;1
HAVE_STRUCT_IFREQ_IFR_FLAGS;1
chdir;1
HAVE_KRB5_ERROR_TEXT;1
TERMHOOKS_INLINE;1
PRIX32;1
HAVE_DECL_FSEEKO;1
ENOTCONN;1
MAIL_USE_LOCKF;2
GNULIB_FDUTIMENSAT;1
TABDLY;1
ESHUTDOWN;1
DONT_REOPEN_PTY;2
__linux__;10
REPLACE_POPEN;1
__HAIKU__;2
HAVE_COPYSIGN;2
__restrict_arr;1
REPLACE_FUNC_STAT_FILE;3
IFF_BROADCAST;1
_GETOPT_H;2
_GL_FSEEK_WARN;1
HAVE_DIRENT_H;2
DAEMON_MUST_EXEC;3
HAVE_ATOLL;1
GNULIB_SETHOSTNAME;1
REPLACE_NULL;1
O_IGNORE_CTTY;2
timeval;1
GC_SAVE_REGISTERS_ON_STACK;4
__VMS_VER;1
HAVE_TM_ZONE;1
XK_dead_circumflex;2
isfinite;1
malloc;2
HAVE_FCHDIR;1
GNULIB_FSEEKO;1
XOS_NEEDS_TIME_H;1
__need_system_sys_stat_h;1
HAVE_TERM_H;1
UNISTD_H_HAVE_WINSOCK2_H_AND_USE_SOCKETS;1
PRIiLEAST16;1
SIOCGIFADDR;3
S_ISNAM;1
XK_dead_acute;2
GNULIB_TMPFILE;1
HAVE_FREETYPE;10
WINDOWSNT;179
ISO_FUNCTION_KEY_OFFSET;1
TIME_T_MIN;2
HAVE_FPATHCONF;1
EnumSystemLocales;1
_WINSOCK_H;1
REL_ALLOC;17
HAVE_PERSONALITY_LINUX32;2
SIGPTY;1
HAVE_RAW_DECL_UNLINK;1
XtNpickTop;1
SIGUSR2;3
HAVE_GSETTINGS;9
FRAME_X_OUTPUT;1
PRIXLEAST64;1
_Noreturn;1
F_DUPFD;3
XK_dead_iota;1
HAVE_CLOSEDIR;1
SCNxLEAST64;1
_WIN64;7
HAVE_STRUCT_UTIMBUF;1
GNULIB_defined_setlocale;1
HAVE_ITIMERSPEC;8
macintosh;1
HAVE_XSCREENRESOURCESTRING;1
GNULIB_DUP3;1
HAVE_GETWD;1
HAVE_RAW_DECL_IMAXDIV;1
XtNforeground;1
REPLACE_NANOSLEEP;1
TIME_T_MAX;2
NS_IMPL_GNUSTEP;6
NETBSD_LDAV_FILE;1
REPLACE_LSTAT;1
interface;1
SIGCONT;4
SIGTTOU;3
LOAD_AVE_TYPE;7
CSTOPB;1
GC_MARK_STACK;37
HAVE_DECL_GETLOADAVG;1
_UNICODE;2
POLL_FOR_INPUT;10
STRTOF;1
_STDINT_H;2
WM_UNICHAR;1
S_TYPEISSEM;1
HAVE_DECL_TTYNAME_R;1
stat;3
__GETOPT_PREFIX;4
HAVE_RAW_DECL_MKOSTEMP;1
_STRING_ARCH_unaligned;4
TIOCGSIZE;1
_PTHREAD_H_;1
SIGTHAW;1
_CS_DARWIN_USER_TEMP_DIR;1
CANNOT_DUMP;16
SIGALRM;2
USE_WIDE_CHAR;5
HAVE_GET_CURRENT_DIR_NAME;3
UTIME_NOW;1
SIGDLK;1
SCNu16;1
HAVE_GETPWENT;1
MagickLibVersion;1
XK_ISO_Lock;1
SCNo64;1
ATTACH_THREADS;3
HAVE_RAW_DECL_MKFIFO;1
SIGHUP;2
SIGWINCH;7
_IOFBF;1
HAVE_SELECT;4
NON_BLOCKING_CONNECT;11
HAVE_RAW_DECL_SRANDOM_R;1
PRIi8;1
HAVE_LIBXML2;4
TEST;4
SCNx8;1
_GL_U64_INLINE;1
GTK_MINOR_VERSION;5
HAVE_GETGRENT;1
alignas;2
GUARD_PREFIX;32
REPLACE_FTELL;1
HAVE_RAW_DECL_POSIX_OPENPT;1
PRIiFAST16;1
CSIZE;1
HAVE_PSELECT;2
DEBUG;25
sun;4
HAVE_RAW_DECL_MKNODAT;1
REPLACE_REALLOC;1
XK_dead_abovering;1
O_CLOEXEC;1
ECONNRESET;1
F_OK;2
sleep;1
GC_CHECK_CONS_LIST;2
__need_wint_t;2
PRIu16;1
GC_MARK_SECONDARY_STACK;1
GNULIB_RENAME;1
LC_SOURCE_VERSION;1
GNULIB_defined_function_taking_int_returning_void_t;1
HAVE_RAW_DECL_PTSNAME;1
__STDC_LIMIT_MACROS;1
Pixel;1
HAVE_GHOSTSCRIPT;3
ps2;1
GNULIB_CANONICALIZE_FILE_NAME;1
GNULIB_defined_struct_timespec;1
HAVE_PTY_H;1
LLONG_MAX;3
SBITS;1
CLEARTYPE_QUALITY;1
GNULIB_defined_imaxdiv_t;1
REPLACE_ISATTY;1
XK_dead_macron;2
HAVE_SYS_BITYPES_H;1
UNICODE_NOCHAR;1
HAVE_RAW_DECL_ISATTY;1
PRIXFAST32;1
SITELOAD_PURESIZE_EXTRA;1
BYTE_MAINTAIN_TOP;3
RE_NREGS;1
SO_LINGER;2
FC_DUAL;2
GNULIB_FCLOSE;1
GNULIB_MKSTEMPS;2
ADAPTIVE_READ_BUFFERING;9
HAVE_GETSUBOPT;1
HAVE_GETGROUPS;1
SCNdFAST32;1
HAVE_STRUCT_IFREQ_IFR_ADDR_SA_LEN;1
GNULIB_FPRINTF_POSIX;4
REPLACE_STRTOIMAX;1
CLEARTYPE_NATURAL_QUALITY;1
DOUG_LEA_MALLOC;22
TERMINFO;6
HAVE_UNSIGNED_LONG_LONG_INT;7
PRIuPTR;1
HAVE_RAW_DECL_SIGEMPTYSET;1
SCNuLEAST16;1
HESIOD;3
PRIiMAX;1
SIGCLD;2
PRIiPTR;1
SCNuFAST16;1
REPLACE_RANDOM_R;5
PRIu32;1
HAVE_DECL_VSNPRINTF;1
USG;15
GNULIB_FPUTC;1
SETPGRP_RELEASES_CTTY;1
REPLACE_SETENV;2
HAVE_RAW_DECL_PIPE;1
GNULIB_defined_stdint_types;1
HAVE_RAW_DECL_GETLOGIN;1
S_IXUSR;2
ULIMIT_BREAK_VALUE;2
GNULIB_TTYNAME_R;1
GNULIB_MKSTEMP;2
PRIxMAX;1
PRIuMAX;1
HAVE_LIBSELINUX;8
SVR4;6
REPLACE_SLEEP;1
HAVE_SYS_INTTYPES_H;1
BYTE_CODE_METER;6
SIGPROF;4
AT_FDCWD;1
_GL_SYSTEM_GETOPT;1
USE_NEW_GTK_FONT_CHOOSER;2
REPLACE_LCHOWN;1
