guard;line;td
#if !defined _Noreturn && __STDC_VERSION__ < 201112;1;2
# if (3 <= __GNUC__ || (__GNUC__ == 2 && 8 <= __GNUC_MINOR__)       || 0x5110 <= __SUNPRO_C);2;3
# elif 1200 <= _MSC_VER;4;1
# if (__GNUC__ == 3 && __GNUC_MINOR__ >= 3) || __GNUC__ > 3;2;2
#if defined __cplusplus;3;1
#if defined __cplusplus && defined GNULIB_NAMESPACE;12;2
#if defined __cplusplus && defined GNULIB_NAMESPACE;17;2
#if defined __cplusplus && defined GNULIB_NAMESPACE;22;2
#if defined __cplusplus && defined GNULIB_NAMESPACE;27;2
#if defined __cplusplus && defined GNULIB_NAMESPACE;32;2
#if defined __cplusplus && defined GNULIB_NAMESPACE;37;2
# if !__OPTIMIZE__;40;1
# elif __GNUC__ >= 3 && GNULIB_STRICT_CHECKING;42;2
#if defined __cplusplus && defined GNULIB_NAMESPACE;50;2
# if !__OPTIMIZE__;53;1
# elif __GNUC__ >= 3 && GNULIB_STRICT_CHECKING;55;2
#ifndef _GL_WARN_ON_USE;1;1
# if 4 < __GNUC__ || (__GNUC__ == 4 && 3 <= __GNUC_MINOR__);2;2
# elif __GNUC__ >= 3 && GNULIB_STRICT_CHECKING;4;2
#ifndef _GL_WARN_ON_USE_CXX;10;1
# if 4 < __GNUC__ || (__GNUC__ == 4 && 3 <= __GNUC_MINOR__);11;2
# elif __GNUC__ >= 3 && GNULIB_STRICT_CHECKING;13;2
#ifndef _GL_WARN_EXTERN_C;19;1
# if defined __cplusplus;20;1
#ifndef alloca;3;1
# ifdef __GNUC__;4;1
# elif defined _AIX;6;1
# elif defined _MSC_VER;8;1
# elif defined __DECC && defined __VMS;11;2
# elif defined __TANDEM && defined _TNS_E_TARGET;13;2
# ifdef __cplusplus;14;1
# ifdef __cplusplus;22;1
#if C_CTYPE_CONSECUTIVE_DIGITS     && C_CTYPE_CONSECUTIVE_UPPERCASE && C_CTYPE_CONSECUTIVE_LOWERCASE;12;3
#if C_CTYPE_ASCII;13;1
#if C_CTYPE_CONSECUTIVE_UPPERCASE && C_CTYPE_CONSECUTIVE_LOWERCASE;45;2
#if C_CTYPE_ASCII;46;1
#if C_CTYPE_ASCII;78;1
#if C_CTYPE_CONSECUTIVE_DIGITS;111;1
#if C_CTYPE_CONSECUTIVE_LOWERCASE;127;1
#if C_CTYPE_ASCII;146;1
#if C_CTYPE_ASCII;179;1
#if C_CTYPE_ASCII;212;1
#if C_CTYPE_CONSECUTIVE_UPPERCASE;241;1
#if C_CTYPE_CONSECUTIVE_DIGITS     && C_CTYPE_CONSECUTIVE_UPPERCASE && C_CTYPE_CONSECUTIVE_LOWERCASE;260;3
#if C_CTYPE_ASCII;261;1
#if C_CTYPE_CONSECUTIVE_UPPERCASE && C_CTYPE_CONSECUTIVE_LOWERCASE;285;2
#if C_CTYPE_CONSECUTIVE_UPPERCASE && C_CTYPE_CONSECUTIVE_LOWERCASE;323;2
#ifdef __cplusplus;4;1
#if defined __GNUC__ && defined __OPTIMIZE__ && !defined __OPTIMIZE_SIZE__ && !defined NO_C_CTYPE_MACROS;32;4
#if C_CTYPE_CONSECUTIVE_DIGITS     && C_CTYPE_CONSECUTIVE_UPPERCASE && C_CTYPE_CONSECUTIVE_LOWERCASE;35;3
#if C_CTYPE_ASCII;36;1
#if C_CTYPE_CONSECUTIVE_UPPERCASE && C_CTYPE_CONSECUTIVE_LOWERCASE;44;2
#if C_CTYPE_ASCII;45;1
