feature;sd
HAVE_ptr_extend;6
ASM_OUTPUT_DWARF_DELTA;1
HAVE_STPCPY;4
E;2
__INT_TO_PTR;1
B2_EMPTY;1
__javax_swing_text_ElementIterator;1
_GLIBCXX_DEBUG;134
DYNAMIC_CHAIN_ADDRESS;1
__javax_swing_plaf_metal_MetalComboBoxEditor;3
assert;1
HAVE_YNL;2
USAGE_ERROR_ACTION;1
DefaultTextField__;1
EndAction__;1
ImageScrollListener__;1
__TSAN_HAS_INT128;12
UNSIGNED_64BIT_TYPE;13
SUBLANG_ARABIC_UAE;1
VECTOR_STORE_FLAG_VALUE;1
__ARM_FEATURE_SAT;3
__mn10300__;3
alpha;2
IQ2000_STACK_ALIGN;1
HOST_BITS_PER_HALF_WIDE_INT;3
HAVE_clear_cache;1
__gnu_java_awt_peer_gtk_GtkWindowPeer__;1
Z_LARGE64;3
CLEAR_HARD_REG_SET;1
ASM_OUTPUT_SYMBOL_REF;1
HAVE_YN;3
FrameSetRow__;1
ASM_OUTPUT_ADDR_VEC_END;2
HAVE_SLEEP;2
ProxyData__;1
_GLIBCXX_PTRDIFF_T_IS_INT;2
__386BSD__;1
HAVE_UTIMENSAT;1
__java_util_prefs_AbstractPreferences;2
HAVE_SSE4;1
__FP_FAST_FMAF;5
_SGI_SOURCE;1
_ALL_SOURCE;2
B0;1
IFCVT_MODIFY_MULTIPLE_TESTS;1
SUN_AUTH_PROTO_CHECK;1
STANDARD_STARTFILE_PREFIX_2;2
L_divtc3;3
AreaIterator;1
USE_CLOCK;3
__pjl__;1
__IBMC__;1
TO_UTQ;1
__gnu_javax_management_Server;4
InternalFrameCloseIcon__;1
AccessibleAWTContainer__;1
MetalRootLayout__;1
__umulsidi3;1
PTHREAD_STACK_MIN;3
GdkPixbufWriter__;1
Kind__;2
HAVE_LONG_DOUBLE;2
HAVE_TRUNC;2
JUMP_TABLES_IN_TEXT_SECTION;3
_AVX2INTRIN_H_INCLUDED;1
PaletteBorder__;1
_GLIBCXX_HAVE_FLOORL;2
__java_awt_geom_CubicCurve2D;3
TARGET_DEFAULT_PIC_DATA_IS_TEXT_RELATIVE;1
LazyValue__;1
_GLIBCXX_LOCALE_H;1
LIBGCJ_SONAME;1
Run__;1
INT_FAST32_MAX;1
__ANDROID__;25
_GLIBCXX_HAVE_POLL;2
LDBL_OK;1
FE_TOWARDZERO;7
HAVE_ARCH_GTM_THREAD_DISP;5
MAX_ARTIFICIAL_LABEL_BYTES;1
__ICC;12
AccessibleAWTCheckboxMenuItem__;1
_M_IA64;1
VXWORKS_MKDIR_MACRO_CHECK;1
STANDALONE_DEMANGLER;1
FairSync__;3
__cpluspus;1
_KERNEL;1
AccessibleAWTButton__;1
HAVE_STRCMP;1
UNS_TYPE;2
SUBLANG_MALAY_MALAYSIA;1
IconCellRenderer__;1
CRAY_STACK;1
LIMIT_RELOAD_CLASS;5
NO_MAX_TYPES;1
_FP_STRUCT_LAYOUT;1
_GLIBCXX_HAVE_MODFF;1
MethodType__;1
V_TYPE;1
__LONG_DOUBLE_128__;22
ATARI;1
NEED_ARM_FEATURE_SAT;1
ByteWrapper__;1
WINDOWS;7
WIDEST_HARDWARE_FP_SIZE;2
__x86_64__;236
HAVE_LOCAL_CPU_DETECT;2
__gnu_java_awt_peer_qt_QtButtonPeer__;1
HAVE_KERNEL64;1
STDC_HEADERS;8
_IEEE_LIBM;13
_GLIBCXX_USE_CLOCK_MONOTONIC;2
L_gcov_indirect_call_profiler_v2;1
MenuDragMouseHandler__;2
FP_ARITH_MAY_WIDEN;1
PRECOMPUTE_SELECTORS;4
EMULTIHOP;1
__H8300H__;4
__javax_swing_plaf_metal_MetalFileChooserUI;18
PB_DS_LC_NS_HEAP_TRACE_;4
__gnu_javax_sound_midi_alsa_AlsaMidiDeviceProvider__;1
__ADSPBF544M__;1
yystrlen;1
Type__;10
UCHAR_MAX;7
_FP_FRACBITS_D;2
__gnu_java_awt_peer_gtk_ComponentGraphicsCopy__;1
FIXED_LSHR;1
DECSUBSET;81
ibm032;1
HOSTILE_THREAD_THRESHOLD;1
MetalComboBoxLayoutManager__;1
VerticalMidLayout__;1
__javax_swing_plaf_basic_BasicMenuBarUI;5
PRIuLEAST8;1
ScrollingPanel;1
BAD_STRUCT_TERM_CHECK;1
DWARF_ALT_FRAME_RETURN_COLUMN;2
AllPermissionCollection__;1
DECVERB;12
TARGET_CPU_niagara3;3
__AVX__;50
SUBTARGET_CPU_DEFAULT;2
HAVE_WCSWIDTH;1
FieldBorder__;1
MAX_TEST;4
ObjectReference__;1
L_ne_sf;2
_GLIBCXX_HAVE_EOVERFLOW;4
L_pthread_default_stacksize_np;1
HAVE_REALPATH;2
Obj__;1
__MINGW32__;107
__javax_swing_JSplitPane;1
L_div_df;4
__AVX512PF__;1
__java_util_concurrent_ScheduledThreadPoolExecutor;3
_GLIBCXX_PROFILE_HASHTABLE_TOO_LARGE;1
L_gt_df;2
__javax_swing_plaf_basic_BasicDesktopPaneUI;5
ShortHandlerCreator__;1
BeginAction__;1
DARWIN_X86;1
EISDIR;2
USE_I18N_NUMBER_H;3
__gnu_java_security_util_IntegerUtil;1
__gnu_linux__;4
GTM_SELF_SPECS;1
GC_PTHREAD_SYM_VERSION;1
__javax_swing_JRadioButton;1
MIPS;4
c99_repeat;1
RETURN_ON_ALLOCATION_FAILURE;3
EROFS;1
__calls__;1
IRIX6;1
COLLECT_RUN_DSYMUTIL;1
L_udi_to_dd;3
__gnu_java_net_loader_Load_gcjlib;1
fun_like;2
DoubleClickListener__;1
BLOCK_SOURCE_END_LOCATION;1
__java_awt_dnd_DropTargetContext;1
getrlimit;1
__GXX_TYPEINFO_EQUALITY_INLINE;2
conj;1
_BSD_WCHAR_T_DEFINED_;1
DefaultKeyTypedAction__;1
USE_LOAD_POST_INCREMENT;1
__LONG_MAX__;19
PRIx8;1
CHECK_H;345
LANG_DIVEHI;1
L_floatunditf;1
IOAPI_NO_64;1
__javax_swing_JTextField;3
POWERPC;18
_GLIBCXX_HAVE_SINHF;1
GEN_ERRNO_RTX;1
atexit;1
YyRindexClass__;1
LOCAL_DECL_ALIGNMENT;1
OP_lt2;1
BasicCaret__;1
HAVE_FLOORF;2
DEBUG_MANGLE;2
DBL_MIN;3
;1
LiveNodeList__;1
PRIoPTR;1
BIND_RESTRICTED;1
RECORD_ON_REPLAY;5
Inaccurate_Divide;1
HAVE_SYS_ERRLIST;7
__RX_32BIT_DOUBLES__;1
L_ITM_deregisterTMCloneTable;1
HOST_BITS_PER_WIDEST_INT;3
HAVE_CRT_EXTERNS_H;1
__INT32_MAX__;3
ARM_DEFAULT_ABI;1
DISABLE_PARALLEL_REDUCERS;2
AccessibleJTable__;1
L_negate_sf;3
GC_DLL;8
PB_DS_DATA_FALSE_INDICATOR;14
L_fpcmp_parts_df;1
HAVE_ON_EXIT;1
__mvs__;2
HAVE_AS_NAN;1
SUPPORTS_ONE_ONLY;2
STRSIZE;1
HAVE_AS_IX86_REP_LOCK_PREFIX;1
HAVE_ARGZ_NEXT;1
NO_SIGNALS;2
__WCHAR_TYPE__;8
LOCAL_ALIGNMENT;1
STD_MINGW;1
HAVE_NL_LANGINFO;1
ASAN_AVOID_EXPENSIVE_TESTS;1
ASM_STABS_OP;1
__ARM_ARCH_6ZK__;2
UNITS_PER_WORD;1
SP_REGNO;1
AccessibleJTabbedPane__;1
_GLIBCXX_HAVE_SYS_SEM_H;1
X;2
WeakEntrySet__;2
__java_lang_VMProcess__;1
