feature;sd
__GIMP_CONFIG_UTILS_H__;1
HAVE_IPC_H;2
MNG_SUPPORT_DISPLAY;1
yystrlen;3
__GIMP_VECTOR_H__;1
__GIMP_COLOR_NOTEBOOK_H__;1
ENABLE_MEMSIZE_LABEL;2
__MINGW32__;1
LERP;1
GDK_WINDOWING_X11;21
__GIMP_TILE_H__;1
__GIMP_COLOR_AREA_H__;1
G_OS_UNIX;4
COMPILE_SSE_IS_OKAY;5
__GIMP_BUFFER_PDB_H__;1
__GIMP_PALETTES_H__;1
__GIMP_BRUSHES_H__;1
_SC_PHYS_PAGES;1
R_OK;1
__GIMP_DRAWABLE_TRANSFORM_PDB_H__;1
FIRST_CELLSEGS;1
INTERP_DEBUG;2
__GIMP_BRUSH_MENU_H__;1
__GIMP_SELECTION_H__;1
__GIMP_CONFIG_ERROR_H__;1
__STDC_VERSION__;1
__GIMP_COLOR_CONFIG_H__;1
__GIMP_IMAGE_COMBO_BOX_H__;1
__GIMP_COLOR_MANAGED_H__;1
__GIMP_GIMPRC_PDB_H__;1
ARCH_PPC;3
__GIMP_DRAWABLE_H__;1
HAVE_FSYNC;1
COMPILE_MMX_IS_OKAY;5
FILM_DEBUG;2
COMPILE_ALTIVEC_IS_OKAY;4
__GIMP_PREVIEW_H__;1
HAVE_DBUS_GLIB;6
PATH_MAX;1
__GIMP_CONVERT_PDB_H__;1
__GNUC__;34
GIMP_DISABLE_DEPRECATED;55
HAVE_EXECINFO_H;2
XMC_DEBUG;2
YYLEX_PARAM;3
__GIMP_CONFIG_DESERIALIZE_H__;1
HAVE_SYS_WAIT_H;3
__GIMP_FILEOPS_PDB_H__;1
TILE_DEBUG;2
USE_MMX;8
NCSA_Y_TAB_H;1
YYCOPY;3
DEBUG_IMAGE_UNDO;4
__GIMP_REGION_ITERATOR_H__;1
__GIMP_BILINEAR_H__;1
ALWAYS_INLINE;1
__GIMP_FONT_MENU_H__;1
__GIMP_H_INSIDE__;76
__GIMP_MD5_H__;1
DIVBOX_LOOKS_LIKE_SPINBUTTON;3
__GIMP_ASPECT_PREVIEW_H__;1
__GIMP_BASE_H_INSIDE__;11
__dbus_glib_marshal_gimp_MARSHAL_H__;1
DEBUG_VECTORS_IMPORT;2
EXIT_SUCCESS;18
ICO_DBG;1
__GIMP_FONTS_PDB_H__;1
GDK_WINDOWING_QUARTZ;27
TSGRIND;1
S_IROTH;1
_SC_PAGE_SIZE;1
DEBUG_CAGE;2
__GIMP_BRUSH_PDB_H__;1
timersub;1
USE_NO_FEATURES;1
__GIMP_MODULE_H_INSIDE__;1
__GIMP_VECTORS_H__;1
__GIMP_FONT_SELECT_PDB_H__;1
__GIMP_PARASITE_H__;1
__GIMP_COLOR_SELECTOR_H__;1
__GIMP_LAYER_H__;1
DEBUG_MEMSIZE;4
__GIMP_COLOR_SPACE_H__;1
SUNRAS_32;1
BIG_MATRIX;2
ENABLE_NLS;3
YYERROR_VERBOSE;24
VERBOSE;13
__GIMP_PROGRESS_H__;1
__GIMP_STOCK_H__;1
_DEBUG;15
__GIMP_HSL_H__;1
__SIZE_TYPE__;3
HAVE_X11_XMU_WINUTIL_H;5
HAVE_DX_DINPUT;1
TIMINGS;2
PNG_iCCP_SUPPORTED;2
BTN_GEAR_UP;1
__GIMP_ENUM__LABEL_H__;1
G_PLATFORM_WIN32;1
CONFIG_DEBUG;1
YYPRINT;6
DEBUG_CONTAINER;1
DEBUG_XMP_PARSER;8
USE_STRING_PORTS;3
__GIMP_MODULE_DB_H__;1
PROFILE;5
BTN_GEAR_DOWN;1
YYTYPE_UINT16;3
__GIMP_3_MIGRATION_H__;1
__GIMP_FRAME_H__;1
__GIMP_ENV_H__;1
__GIMP_CONFIG_WRITER_H__;1
SIGNED_COMPARE_SLOW;7
YYENABLE_NLS;3
GIMP_COMPOSITE_16BIT;5
__GIMP_UNIT_STORE_H__;1
sparc;5
size_t;3
__GIMP_PATTERN_SELECT_BUTTON_H__;1
USE_ASCII_NAMES;4
__GIMP_HELP_UI_H__;1
HAVE_IEEEFP_H;1
__INTEL_COMPILER;4
YYTYPE_INT16;3
__GIMP_WIDGETS_ERROR_H__;1
S_IRGRP;1
__GIMP_HINT_BOX_H__;1
_GNU_SOURCE;4
__GIMP_ACTION_GROUP_H__;1
_MSC_VER;59
PG_DEBUG;15
__GIMP_COLOR_BUTTON_H__;1
__GIMP_CONTEXT_PDB_H__;1
ARCH_X86;8
USE_MATH;7
NO_IMPORT_PYGIMPCOLOR;1
__GIMP_PALETTE_SELECT_PDB_H__;1
HAVE_ALSA;8
GDK_WINDOWING_DIRECTFB;1
GDK_NATIVE_WINDOW_POINTER;3
__GIMP_ADAPTIVE_SUPERSAMPLE_H__;1
HAVE_ACCEL;2
_IBMR2;1
_MAC_;1
PY_VERSION_HEX;1
IPC_RMID_DEFERRED_RELEASE;2
_AIX;4
DEBUG_TOOLTIP;2
__GIMP_TEXT_LAYER_PDB_H__;1
__GIMP_GRAIDENT_SELECT_H__;1
short;3
__GIMP_CELL_RENDERER_TOGGLE_H__;1
__YES_I_NEED_GIMP_PLUG_IN_MANAGER_CALL__;1
__GIMP_GRADIENTS_PDB_H__;1
TIFFTAG_ICCPROFILE;3
__GIMP_FLOATING_SEL_PDB_H__;1
ENABLE_MP;19
YY_LOCATION_PRINT;3
USE_SYSV_SHM;7
SRGB;4
malloc;6
GIMP_HELP_DEBUG;8
_UNIX_;1
HAVE_XVFB_RUN;6
YYFREE;6
DEBUG_OUTPUT;4
_WIN64;3
__GIMP_COLOR_SCALE_H__;1
DEBUG_XMP_MODEL;13
ENABLE_BINRELOC;3
APSTUDIO_READONLY_SYMBOLS;1
OPAQUE;2
__GIMP_PROCEDURAL_DB_PDB_H__;1
XWD_COL_DEBUG;4
DEBUG_VIEW;1
__GIMP_PALETTE_PDB_H__;1
__GIMP_FONT_SELECT_H__;1
__GIMP_ENUM_STORE_H__;1
SANITY;8
CSIM_Y_TAB_H;1
__GIMP_RULER_H__;1
__GIMP_PROC_BROWSER_DIALOG_H__;1
YYSTACK_USE_ALLOCA;6
DEBUG;40
_NOT_READY_YET_;3
LIB_ENVVAR;1
F_OK;1
__GIMP_UI_H_INSIDE__;21
FITS_NO_DEMO;1
__BUILTIN_VA_ARG_INCR;3
__GIMP_DATAFILES_H__;1
__GIMP_PATTERN_SELECT_PDB_H__;1
__GIMP_HSV_H__;1
YYSIZE_T;6
__GIMP_COLOR_HEX_ENTRY_H__;1
APSTUDIO_INVOKED;1
USE_WIN32_SHM;6
EXPERIMENTAL_BACKDROP_CODE;1
YYSTYPE_IS_DECLARED;6
APPROX;1
YYTYPE_UINT8;3
HAVE_LIBGUDEV;2
__GIMP_SELECT_BUTTON_H__;1
S_IXUSR;1
__GIMP_OFFSET_AREA_H__;1
__GIMP_IMAGE_H__;1
HAVE_CONFIG_H;13
__GIMP_GIMP_PDB_H__;1
__GIMP_PATH_EDITOR_H__;1
__GIMP_ITEM_COMBO_BOX_H__;1
USE_TRACING;6
GETTEXT_PACKAGE;5
_SCHEME_SOURCE;1
GIMP_COMPOSITE_32BIT;5
CAIRO_VERSION;1
TIMER;2
NO_IMPORT;2
G_BIG_ENDIAN;5
G_HAVE_GNUC_VARARGS;1
prompt;1
_INSIDE_PYGIMP_;1
__GIMP_COLOR_DISPLAY_STACK_H__;1
AI_ADDRCONFIG;2
YYSTYPE;6
IPV6_V6ONLY;1
USE_SCHEME_STACK;1
__GIMP_GRADIENT_PDB_H__;1
GIMP_THUMB_DEBUG;7
MIN;1
__GIMP_ENUM_WIDGETS_H__;1
__GIMP_BRUSH_SELECT_PDB_H__;1
__GIMP_SELECTION_TOOLS_PDB_H__;1
WAIT_ANY;1
__GIMP_GUIDES_PDB_H__;1
XWD_COL_WAIT_DEBUG;1
__GIMP_BRUSH_SELECT_H__;1
__GIMP_FILE_ENTRY_H__;1
USE_INTEL_COMPILER_ANYWAY;3
__GIMP_ITEM_TRANSFORM_PDB_H__;1
__GIMP_MESSAGE_PDB_H__;1
__GIMP_QUERY_BOX_H__;1
__GIMP_COLOR_SCALES_H__;1
__GIMP_DYNAMICS_PDB_H__;1
HAVE_XFIXES;4
HAVE__NL_MEASUREMENT_MEASUREMENT;2
HAVE_DIFFTIME;1
__GIMP_INT_COMBO_BOX_H__;1
__GIMP_THUMB_UTILS_H__;1
YYDEBUG;21
GIMP_MATH_COMPILATION;3
GIF_UN;3
MNG_SUPPORT_WRITE;1
InitFile;1
USE_PLIST;4
G_OS_WIN32;156
__GIMP_ZOOM_MODEL_H__;1
__GIMP_PROGRESS_PDB_H__;1
EMBED_PAGE_SETUP;13
__GIMP_SCROLLED_PREVIEW_H__;1
DEBUG_ACTIVE_STATE;4
ROTATE_OPTIMIZE;2
HAVE_LCMS2;5
GET_MODULE_HANDLE_EX_FLAG_FROM_ADDRESS;1
S_IRUSR;1
__GIMP_DRAWABLE_PDB_H__;1
USE_DL;5
__GIMP_ENUM_COMBO_BOX_H__;1
HAVE_ALTIVEC_SYSCTL;1
YY_NULL;3
GIMP_COMPILATION;97
HAVE_WEBKIT;1
__GIMP_CONFIG_IFACE_H__;1
__GIMP_PALETTE_H__;1
G_ENABLE_DEBUG;4
COMPILE_SSE2_IS_OKAY;5
__GIMP_UNDO_PDB_H__;1
WIN32;6
GIF_RLE;3
ENABLE_DEBUG_MENU;4
__GIMP_COLOR_PDB_H__;1
GIMP_CONFIG_DEBUG;4
DUMP_DB;3
__GIMP_IMAGE_SELECT_PDB_H__;1
ARCH_X86_64;7
__GIMP_PROC_VIEW_H__;1
SENDMAIL;1
__GIMP_COLOR_SELECTION_H__;1
USE_VIS;1
FACEHUGGERS;5
HAVE_FINITE;4
__GIMP_GRADIENT_SELECT_PDB_H__;1
__GIMP_VERSION_H__;1
yyoverflow;15
__GIMP_PALETTE_MENU_H__;1
__GIMP_COLOR_PROFILE_COMBO_BOX_H__;1
TWAIN_ALTERNATE_MAIN;1
YYPARSE_PARAM;9
__GIMP_UTILS_H__;1
yystpcpy;3
TILE_PROFILING;38
S_ISREG;1
YYTOKENTYPE;6
_O_TEMPORARY;2
HAVE_ISFINITE;4
MNG_SUPPORT_READ;1
__GIMP_PLUG_IN_H__;1
VERSION;2
__GIMP_BRUSH_SELECT_BUTTON_H__;1
__GIMP_WIDGETS_H_INSIDE__;53
_stdcall;2
_ALLOCA_H;3
USE_OBJECT_LIST;2
WITHOUT_GIMP;1
HAVE_LCMS;5
FALSE;1
S_IXOTH;1
__GIMP_MEMSIZE_H__;1
__GIMP_PATHS_PDB_H__;1
ARCH_SPARC;1
__GIMP_SCANNER_H__;1
FANCY_PRESSURE;1
_SC_NPROCESSORS_ONLN;1
GIMP_APP_GLUE_COMPILATION;8
__GIMP_MENU_H__;1
__GIMP_CONFIG_PARAMS_H__;1
HAVE_SYS_SELECT_H;2
ENABLE_FILE_SYSTEM_ICONS;1
__GIMP_HELP_PDB_H__;1
HAVE_POPPLER;2
__sparc__;5
USE_ALIST_ENV;2
NO_FD_SET;1
MNG_ACCESS_CHUNKS;1
NULL;1
PNG_iTXt_SUPPORTED;2
__GIMP_PATTERN_SELECT_H__;1
__GIMP_NUMBER_PAIR_ENTRY_H__;1
__GIMP_CHECKS_H__;1
__GIMP_ITEM_PDB_H__;1
gettext_noop;1
GIMP_COLOR_COMPILATION;8
GIMP_ENABLE_CONTROLLER_UNDER_CONSTRUCTION;1
PIC;5
__cplusplus;74
__GIMP_BRUSHES_PDB_H__;1
EVENT_VERBOSE;1
YYSTACK_ALLOC_MAXIMUM;6
CLAMP;1
HAVE_UNISTD_H;65
USE_COLON_HOOK;2
__SUNPRO_C;6
