guard;line;td
#ifdef ENABLE_DEBUG_MENU;9;1
#ifdef ENABLE_DEBUG_MENU;49;1
#ifdef ENABLE_DEBUG_MENU;28;1
#ifdef GIMP_UNSTABLE;3;1
#ifdef ENABLE_DEBUG_MENU;6;1
#if defined (G_OS_WIN32);181;1
#elif defined (PLATFORM_OSX);183;1
#ifndef __GIMP_ACTION_GROUP_H__;3;1
#ifndef GIMP_UNSTABLE;53;1
#ifdef HAVE_SYS_PARAM_H;6;1
#ifdef HAVE_UNISTD_H;9;1
#ifdef G_OS_WIN32;13;1
#ifndef GIMP_CONSOLE_COMPILATION;27;1
#ifndef GIMP_CONSOLE_COMPILATION;50;1
#ifndef GIMP_CONSOLE_COMPILATION;61;1
#ifndef GIMP_CONSOLE_COMPILATION;67;1
#ifdef GIMP_CONSOLE_COMPILATION;122;1
#ifndef GIMP_CONSOLE_COMPILATION;137;1
#ifdef GIMP_UNSTABLE;196;1
#ifndef GIMP_APP_GLUE_COMPILATION;3;1
#ifdef HAVE_UNISTD_H;2;1
#ifdef G_OS_WIN32;6;1
#if defined(G_OS_UNIX) && defined(HAVE_EXECINFO_H);11;2
#ifdef G_OS_UNIX;28;1
#if defined(HAVE_UNISTD_H) && defined(_SC_NPROCESSORS_ONLN);29;2
#ifdef G_OS_WIN32;33;1
#ifdef G_OS_UNIX;43;1
#if defined(HAVE_UNISTD_H) && defined(_SC_PHYS_PAGES) && defined (_SC_PAGE_SIZE);44;3
#ifdef G_OS_WIN32;48;1
# if defined(_MSC_VER) && (_MSC_VER <= 1200);49;1
#if defined(G_OS_UNIX) && defined(HAVE_EXECINFO_H);66;2
#ifdef G_OS_WIN32;7;1
#ifdef GIMP_UNSTABLE;68;1
#ifndef G_OS_WIN32;102;1
#ifndef __GLIBC__;4;1
#ifdef SRGB;10;1
#ifndef CLAMP;27;1
#ifndef SRGB;34;1
#ifdef SANITY;72;1
#ifdef SANITY;190;1
#ifdef SANITY;236;1
#ifdef APPROX;278;1
#ifdef SANITY;279;1
#ifdef SRGB;293;1
#ifdef SANITY;312;1
#ifdef SANITY;325;1
#ifdef SANITY;346;1
#ifdef SRGB;357;1
#ifdef SANITY;411;1
#ifdef ENABLE_MP;10;1
#ifdef ENABLE_MP;19;1
#ifdef ENABLE_MP;36;1
#ifdef ENABLE_MP;65;1
#ifdef ENABLE_MP;71;1
#ifdef ENABLE_MP;96;1
#ifdef ENABLE_MP;418;1
#ifdef ENABLE_MP;607;1
#ifdef ENABLE_MP;2;1
#ifdef ENABLE_MP;35;1
#ifdef ENABLE_MP;45;1
#ifdef ENABLE_MP;193;1
#ifdef ENABLE_MP;292;1
#ifdef ENABLE_MP;306;1
#ifdef SIOX_DEBUG;230;1
#ifdef SIOX_DEBUG;268;1
#ifdef SIOX_DEBUG;274;1
#ifdef SIOX_DEBUG;545;1
#ifdef SIOX_DEBUG;597;1
#ifdef SIOX_DEBUG;646;1
#ifdef SIOX_DEBUG;794;1
#ifdef SIOX_DEBUG;827;1
#ifdef SIOX_DEBUG;832;1
#ifdef SIOX_DEBUG;876;1
#ifdef SIOX_DEBUG;990;1
#ifdef TILE_PROFILING;24;1
#ifdef ENABLE_MP;32;1
#ifdef TILE_PROFILING;44;1
#ifdef ENABLE_MP;50;1
#ifdef ENABLE_MP;70;1
#ifdef TILE_PROFILING;104;1
#ifdef TILE_PROFILING;119;1
#ifdef TILE_PROFILING;153;1
#ifdef TILE_PROFILING;213;1
#ifdef TILE_PROFILING;232;1
#ifdef TILE_PROFILING;246;1
#ifdef TILE_PROFILING;257;1
#ifdef TILE_PROFILING;266;1
#ifdef TILE_PROFILING;281;1
#ifdef TILE_PROFILING;286;1
#ifdef TILE_PROFILING;296;1
#ifdef TILE_PROFILING;302;1
#ifdef TILE_PROFILING;312;1
#ifdef TILE_PROFILING;13;1
#ifdef GIMP_UNSTABLE;17;1
#ifdef GIMP_UNSTABLE;30;1
#ifdef GIMP_UNSTABLE;74;1
#ifdef GIMP_UNSTABLE;93;1
#ifdef DEBUG_TILE_MANAGER;166;1
#ifdef TILE_PROFILING;188;1
#ifdef DEBUG_TILE_MANAGER;220;1
#ifdef DEBUG_TILE_MANAGER;259;1
#ifdef TILE_PROFILING;321;1
#ifdef DEBUG_TILE_MANAGER;368;1
#ifdef DEBUG_TILE_MANAGER;381;1
#ifdef DEBUG_TILE_MANAGER;384;1
#ifdef DEBUG_TILE_MANAGER;389;1
#ifdef GIMP_UNSTABLE;6;1
#ifdef TILE_PROFILING;18;1
#ifdef HINTS_SANITY;19;1
#ifdef HINTS_SANITY;38;1
#ifdef HINTS_SANITY;59;1
#ifdef HINTS_SANITY;73;1
#ifdef HINTS_SANITY;77;1
#ifdef HINTS_SANITY;83;1
#ifdef HINTS_SANITY;92;1
#ifdef HINTS_SANITY;136;1
#ifdef HINTS_SANITY;140;1
#ifdef HINTS_SANITY;146;1
#ifdef HINTS_SANITY;155;1
#ifdef HAVE_UNISTD_H;5;1
#ifdef G_OS_WIN32;12;1
#ifndef _O_BINARY;17;1
#ifndef _O_TEMPORARY;20;1
#ifdef TILE_PROFILING;76;1
#ifdef G_OS_WIN32;92;1
#ifdef GIMP_UNSTABLE;109;1
#ifdef TILE_PROFILING;148;1
#ifdef GIMP_UNSTABLE;174;1
#ifdef G_OS_WIN32;182;1
#ifdef TILE_PROFILING;259;1
#ifdef TILE_PROFILING;266;1
#ifdef TILE_PROFILING;278;1
#ifdef TILE_PROFILING;312;1
#ifdef TILE_PROFILING;352;1
#ifdef TILE_PROFILING;368;1
#ifdef TILE_PROFILING;397;1
#ifdef TILE_PROFILING;429;1
#ifdef TILE_PROFILING;11;1
#ifdef TILE_PROFILING;27;1
#ifdef TILE_PROFILING;40;1
#ifdef TILE_PROFILING;71;1
#ifdef TILE_PROFILING;91;1
#ifdef TILE_PROFILING;114;1
#ifdef TILE_PROFILING;129;1
#ifdef TILE_PROFILING;169;1
#ifdef TILE_DEBUG;172;1
#ifdef TILE_DEBUG;189;1
#ifdef TILE_PROFILING;208;1
#ifndef GIMP_APP_GLUE_COMPILATION;3;1
#if defined(COMPILE_3DNOW_IS_OKAY);17;1
#if defined(COMPILE_3DNOW_IS_OKAY);14;1
#ifdef COMPILE_3DNOW_IS_OKAY;7;1
#if !defined(__INTEL_COMPILER);5;1
#if defined(USE_MMX);6;1
#if defined(ARCH_X86);7;1
#if __GNUC__ >= 3;8;1
#if defined(ARCH_X86_64) || (!defined(PIC) && !defined(__PIC__));9;3
#if defined(COMPILE_ALTIVEC_IS_OKAY);17;1
#if defined(COMPILE_ALTIVEC_IS_OKAY);14;1
#ifdef COMPILE_ALTIVEC_IS_OKAY;7;1
#ifdef HAVE_ALTIVEC_H;8;1
#ifdef HAVE_ALTIVEC_H;11;1
#if defined(USE_ALTIVEC);5;1
#if defined(ARCH_PPC);6;1
#if __GNUC__ >= 3;7;1
#ifdef COMPILE_ALTIVEC_IS_OKAY;12;1
#if defined(sparc) || defined(__sparc__);42;2
#if defined(sparc) || defined(__sparc__);55;2
#if defined(sparc) || defined(__sparc__);87;2
#if defined(COMPILE_MMX_IS_OKAY);16;1
#if defined(COMPILE_MMX_IS_OKAY);50;1
#if defined(COMPILE_MMX_IS_OKAY);14;1
#ifdef COMPILE_MMX_IS_OKAY;6;1
#if !defined(__INTEL_COMPILER) || defined(USE_INTEL_COMPILER_ANYWAY);5;2
#if defined(USE_MMX);6;1
#if defined(ARCH_X86);7;1
#if __GNUC__ >= 3;8;1
#if defined(ARCH_X86_64) || (!defined(PIC) && !defined(__PIC__));9;3
#ifdef COMPILE_MMX_IS_OKAY;16;1
#ifndef timersub;5;1
#if GIMP_COMPOSITE_16BIT;114;1
#if GIMP_COMPOSITE_32BIT;140;1
#ifdef GIMP_COMPOSIE_16BIT;25;1
#ifdef GIMP_COMPOSIE_32BIT;49;1
#if defined(COMPILE_SSE_IS_OKAY);16;1
#if defined(COMPILE_SSE_IS_OKAY);48;1
#if defined(COMPILE_SSE_IS_OKAY);14;1
#ifdef COMPILE_SSE_IS_OKAY;7;1
#if !defined(__INTEL_COMPILER) || defined(USE_INTEL_COMPILER_ANYWAY);5;2
#if defined(USE_SSE);6;1
#if defined(ARCH_X86);7;1
#if __GNUC__ >= 3;8;1
#if defined(ARCH_X86_64) || (!defined(PIC) && !defined(__PIC__));9;3
#ifdef COMPILE_SSE_IS_OKAY;16;1
#if defined(COMPILE_SSE2_IS_OKAY);16;1
#if defined(COMPILE_SSE2_IS_OKAY);44;1
#if defined(COMPILE_SSE2_IS_OKAY);14;1
#ifdef COMPILE_SSE2_IS_OKAY;6;1
#if !defined(__INTEL_COMPILER) || defined(USE_INTEL_COMPILER_ANYWAY);5;2
#if defined(USE_SSE);6;1
#if defined(ARCH_X86);7;1
#if __GNUC__ >= 3;8;1
#if defined(ARCH_X86_64) || (!defined(PIC) && !defined(__PIC__));9;3
#ifdef COMPILE_SSE2_IS_OKAY;16;1
#if defined(COMPILE_VIS_IS_OKAY);16;1
#if defined(COMPILE_VIS_IS_OKAY);14;1
#ifdef COMPILE_VIS_IS_OKAY;7;1
#if defined(USE_VIS);5;1
#if defined(ARCH_SPARC);6;1
#if __GNUC__ >= 3;7;1
#ifdef ARCH_X86;7;1
#if GIMP_COMPOSITE_16BIT;17;1
#if GIMP_COMPOSITE_32BIT;23;1
#if GIMP_COMPOSITE_16BIT;37;1
#if GIMP_COMPOSITE_32BIT;43;1
#if GIMP_COMPOSITE_16BIT;57;1
#if GIMP_COMPOSITE_32BIT;63;1
#if GIMP_COMPOSITE_16BIT;202;1
#if GIMP_COMPOSITE_32BIT;208;1
#ifdef HAVE_UNISTD_H;2;1
#ifdef GIMP_UNSTABLE;86;1
#ifdef HAVE_UNISTD_H;4;1
#ifdef G_OS_WIN32;12;1
#ifdef G_OS_WIN32;8;1
#ifdef HAVE_WEBKIT;9;1
#ifdef CAIRO_VERSION;105;1
#ifdef HAVE_UNISTD_H;3;1
#if defined (HAVE_FINITE);7;1
#elif defined (HAVE_ISFINITE);9;1
#elif defined (G_OS_WIN32);11;1
#ifdef HAVE_UNISTD_H;6;1
#ifdef PLATFORM_OSX;10;1
#ifdef G_OS_WIN32;14;1
#ifdef PLATFORM_OSX;97;1
#ifdef GIMP_UNSTABLE;183;1
#ifdef HAVE__NL_MEASUREMENT_MEASUREMENT;6;1
#ifdef G_OS_WIN32;10;1
#ifdef G_OS_WIN32;228;1
#if defined (HAVE__NL_MEASUREMENT_MEASUREMENT);266;1
#elif defined (G_OS_WIN32);275;1
#ifdef GIMP_CONFIG_DEBUG;650;1
#ifdef GIMP_CONFIG_DEBUG;658;1
#ifdef HAVE_UNISTD_H;8;1
#ifndef _O_BINARY;11;1
#ifdef G_OS_WIN32;17;1
#if G_BYTE_ORDER == G_LITTLE_ENDIAN;244;2
#ifdef HAVE_UNISTD_H;5;1
#ifdef HAVE_UNISTD_H;5;1
#ifdef HAVE_UNISTD_H;6;1
#ifndef _O_BINARY;10;1
#ifdef G_OS_WIN32;15;1
#ifdef DEBUG_CONTAINER;9;1
#ifdef G_OS_WIN32;6;1
#if defined (HAVE_FINITE);8;1
#elif defined (HAVE_ISFINITE);10;1
#elif defined (G_OS_WIN32);12;1
#ifdef HAVE_UNISTD_H;4;1
#ifdef G_OS_WIN32;10;1
#if defined (HAVE_FINITE);26;1
#elif defined (HAVE_ISFINITE);28;1
#elif defined (G_OS_WIN32);30;1
#ifdef GIMP_UNSTABLE;361;1
#ifdef GIMP_UNSTABLE;404;1
#ifndef _MSC_VER;885;1
#ifdef DEBUG_IMAGE_UNDO;347;1
#ifdef DEBUG_IMAGE_UNDO;359;1
#ifdef DEBUG_IMAGE_UNDO;376;1
#ifdef DEBUG_IMAGE_UNDO;387;1
#ifdef DEBUG;48;1
#ifdef GIMP_UNSTABLE;481;1
#ifdef GIMP_UNSTABLE;107;1
#ifdef G_ENABLE_DEBUG;3;1
#ifdef DEBUG_MEMSIZE;280;1
#ifdef DEBUG_MEMSIZE;296;1
#ifdef HAVE_UNISTD_H;7;1
#ifndef _O_BINARY;10;1
#ifdef G_OS_WIN32;16;1
#ifdef HAVE_UNISTD_H;5;1
#ifdef HAVE_UNISTD_H;3;1
#ifdef G_OS_WIN32;7;1
#ifdef HAVE_UNISTD_H;7;1
#ifdef G_OS_WIN32;13;1
#ifndef _O_BINARY;16;1
#ifdef PREVIEW_CACHE_DEBUG;59;1
#ifdef PREVIEW_CACHE_DEBUG;80;1
#ifdef PREVIEW_CACHE_DEBUG;87;1
#ifdef PREVIEW_CACHE_DEBUG;103;1
#ifdef PREVIEW_CACHE_DEBUG;114;1
#ifdef PREVIEW_CACHE_DEBUG;130;1
#ifdef PREVIEW_CACHE_DEBUG;140;1
#ifdef PREVIEW_CACHE_DEBUG;158;1
#ifdef PREVIEW_CACHE_DEBUG;192;1
#if DEBUG_GIMP_TAG_CACHE;200;1
#ifdef GIMP_UNSTABLE;5;1
#ifdef HAVE_UNISTD_H;3;1
#ifdef G_OS_WIN32;9;1
#ifdef GIMP_UNSTABLE;43;1
#ifdef GIMP_UNSTABLE;99;1
#ifdef GIMP_UNSTABLE;140;1
#ifdef GIMP_UNSTABLE;437;1
