feature;sd
assert;1
USAGE_ERROR_ACTION;1
NOT_IN_libc;2
ngettext;1
WINDOWS;1
__x86_64__;8
STDC_HEADERS;1
NO_INITGROUPS;1
_hpux;2
__MINGW32__;5
_PATH_DEFPATH;1
USE_LIBPCRE;2
va_copy;1
SNPRINTF_SIZE_CORR;1
USE_ST_TIMESPEC;1
DGUX;1
__USE_GNU;7
NO_TRUSTABLE_FILEMODE;1
find_last_dir_sep;1
libc;3
LACKS_SYS_MMAN_H;1
__STDC_VERSION__;6
ZOS_USS;2
NS_INT16SZ;2
__LITTLE_ENDIAN;1
HAVE_STDBOOL_H;1
MALLINFO_FIELD_TYPE;1
__s390__;1
PATH_MAX;1
HAVE_GETPAGESIZE;1
__GNUC__;37
NO_INTPTR_T;1
FOOTERS;11
LIBCURL_VERSION_NUM;26
OVERRIDE_STRDUP;1
HAVE_SYS_FILIO_H;1
USE_WIN32_MMAP;2
DEFAULT_MMAP_THRESHOLD;1
NO_MKSTEMPS;2
INTERNAL_QSORT;1
HAVE_DEV_TTY;2
NI_MAXHOST;1
_SC_PAGE_SIZE;2
__s390x__;1
_RE_DEFINE_LOCALE_FUNCTIONS;1
__NeXT__;1
TRACE_CONTEXT;1
ECONNABORTED;1
MAP_ANONYMOUS;2
MSG_PEEK;1
NI_MAXSERV;1
PRIo32;1
__TANDEM;1
ENABLE_NLS;1
HAVE_LIBINTL_H;1
_SSIZE_T_;1
fstat;1
HAVE_STDDEF_H;1
USE_DEV_RANDOM;2
_DEBUG;1
MORECORE_CONTIGUOUS;3
PROT_READ;1
EAFNOSUPPORT;1
__va_copy;1
OBSTACK_INTERFACE_VERSION;1
NO_LIBGEN_H;1
LACKS_STRINGS_H;1
isgraph;1
HAVE_WCTYPE_H;1
__attribute__;2
HAVE_SYS_TYPES_H;1
__INTEL_COMPILER;2
NO_OPENSSL;12
ewah_calloc;1
NBPG;1
GMTIME_UNRELIABLE_ERRORS;1
__MACH__;1
HAVE_STRINGS_H;1
__CYGWIN__;3
_MSC_VER;20
RE_DUP_MAX;1
DIR_HAS_BSD_GROUP_SEMANTICS;1
NO_SYMLINK_HEAD;2
HAVE_STDINT_H;2
DIRECT_MMAP;1
LACKS_FCNTL_H;1
NO_ST_BLOCKS_IN_STRUCT_STAT;1
_XPG6;1
DIFF_DEBUG;2
USE_STDEV;1
NO_INTTYPES_H;1
NO_DEFLATE_BOUND;1
__linux__;2
__restrict_arr;1
LACKS_STDLIB_H;1
REPLACE_SYSTEM_ALLOCATOR;1
MORECORE;1
PROCEED_ON_ERROR;3
DEBUG_BISECT;1
_OFF_T_;1
DBRT_DEBUG;2
DEFAULT_TRIM_THRESHOLD;1
BYTE_ORDER;1
has_dos_drive_prefix;1
NO_SETITIMER;1
HOST_NAME_MAX;1
GLIBC_2_3;1
LIBCURL_CAN_HANDLE_AUTH_ANY;1
stat;1
STRUCT_MALLINFO_DECLARED;1
NS_INADDRSZ;2
XMALLOC_POISON;1
SHELL_PATH;1
NO_MKDTEMP;1
THREADCACHEMAX;5
Q_;1
DEBUG;35
NO_IPV6;14
__wctype;1
PATH_SEP;1
COPYING_UNIT;1
RE_NREGS;1
MALLOC_ALIGNMENT;2
EXTSPEC;1
_M_AMD64;1
MSPACES;4
PRIu32;1
CORRUPTION_ERROR_ACTION;1
USE_BUILTIN_FFS;3
HAVE_PATHS_H;1
PRIuMAX;1
HAVE_CONFIG_H;1
HAVE_MEMPCPY;1
_SC_CRAY_NCPU;1
MMAP;1
NO_ICONV;3
LITTLE_ENDIAN;1
inline;1
CURLOPT_FTP_SSL;1
BSD;1
PRECOMPOSE_UNICODE;1
NO_NORETURN;1
INSECURE;5
NO_MEMMEM;1
_WIN32_WCE;2
FULLSANITYCHECKS;15
IPV6_V6ONLY;1
isblank;2
REG_STARTEND;1
__PTRDIFF_TYPE__;1
NO_INET_PTON;1
PTHREAD_MUTEX_RECURSIVE;1
DEBUG_ATTR;2
ELOOP;1
USE_SPIN_LOCKS;2
HAVE_LIBCHARSET_H;1
_XOPEN_SOURCE;2
MALLOC_FAILURE_ACTION;2
INFTIM;1
_MODE_T_;1
NO_GETPAGESIZE;1
NO_STRTOUMAX;1
THREADCACHEMAXFREESPACE;1
__PPC__;1
NO_UNSETENV;1
GIT_BIG_ENDIAN;1
WIN32_LEAN_AND_MEAN;1
NO_MALLINFO;13
_stati64;1
_REGEX_RE_COMP;3
__ppc64__;1
GLIBC_2_3_4;2
bswap32;1
WIN32;19
LACKS_UNISTD_H;1
DEFAULT_PAGER;1
RLIMIT_NOFILE;1
LACKS_STRING_H;1
O_NOATIME;1
MMAP_CLEARS;2
NO_SEGMENT_TRAVERSAL;1
NO_STRTOULL;2
DEFAULT_GIT_TEMPLATE_DIR;1
__sgi;1
NO_PTHREADS;29
__powerpc64__;1
NO_STRCASESTR;1
NO_THE_INDEX_COMPATIBILITY_MACROS;1
MKDIR_WO_TRAILING_SLASH;1
USE_DL_PREFIX;1
APPLE_COMMON_CRYPTO;1
__GNU_LIBRARY__;1
HAVE_MREMAP;3
ewah_realloc;1
HAVE_WCHAR_H;1
_SC_NPROCESSORS_ONLN;3
