guard;line;td
#ifndef GIT_WINDOWS_NATIVE;156;1
#ifndef DEBUG_ATTR;14;1
#if DEBUG_ATTR;325;1
#ifdef DEBUG_85;3;1
#ifdef DEBUG_85;92;1
#if !DEBUG_BISECT;85;1
#if defined(__GNUC__) && (defined(__i386__) || defined(__x86_64__));3;3
#if defined(__i386__) || defined(__x86_64__);12;2
#elif defined(__GNUC__) && defined(__arm__);14;2
#ifndef DEBUG;44;1
#ifdef NO_D_INO_IN_DIRENT;36;1
#ifndef NO_PTHREADS;21;1
#ifndef NO_PTHREADS;215;1
#ifndef NO_PTHREADS;239;1
#ifndef NO_PTHREADS;669;1
#ifndef NO_PTHREADS;675;1
#ifndef DEFAULT_HELP_FORMAT;8;1
#ifndef open_html;324;1
#ifndef NO_PTHREADS;39;1
#ifndef NO_PTHREADS;75;1
#ifndef NO_PTHREADS;276;1
#ifndef NO_PTHREADS;284;1
#ifndef NO_PTHREADS;816;1
#ifndef NO_PTHREADS;897;1
#ifdef NO_PTHREADS;1137;1
#ifdef NO_PTHREADS;1278;1
#ifndef NO_PTHREADS;1349;1
#ifndef DEFAULT_GIT_TEMPLATE_DIR;5;1
#ifdef NO_TRUSTABLE_FILEMODE;8;1
#ifndef NO_PTHREADS;1180;1
#ifndef NO_PTHREADS;1422;1
#ifdef NO_PTHREADS;1680;1
#ifdef NO_PTHREADS;2066;1
#ifndef DEBUG;5;1
#if DEBUG;94;1
#if DEBUG;294;1
#if DEBUG;307;1
#if DEBUG;335;1
#if DEBUG;401;1
#ifndef git_SHA_CTX;11;1
#if defined(DT_UNKNOWN) && !defined(NO_D_TYPE_IN_DIRENT);39;2
#if CE_EXTENDED_FLAGS & 0x803FFFFF;108;1
#ifndef NO_THE_INDEX_COMPATIBILITY_MACROS;203;1
#if defined(__GNUC__);858;1
#ifndef COMMIT_SLAB_SIZE;3;1
#if __MAC_OS_X_VERSION_MIN_REQUIRED >= 1070;11;1
#ifdef APPLE_LION_OR_NEWER;16;1
#if defined(__GNUC__) && (defined(__i386__) || defined(__x86_64__));21;3
#if defined(__x86_64__);33;1
#elif defined(_MSC_VER) && (defined(_M_IX86) || defined(_M_X64));57;3
#if defined(bswap32);62;1
#if defined(bswap64);68;1
#if defined(__BYTE_ORDER) && defined(__LITTLE_ENDIAN) && defined(__BIG_ENDIAN);76;3
#elif defined(BYTE_ORDER) && defined(LITTLE_ENDIAN) && defined(BIG_ENDIAN);80;3
# if defined(_BIG_ENDIAN) && !defined(_LITTLE_ENDIAN);87;2
# elif defined(_LITTLE_ENDIAN) && !defined(_BIG_ENDIAN);89;2
#if GIT_BYTE_ORDER == GIT_BIG_ENDIAN;95;2
#if defined(__i386__) || defined(__x86_64__) ||     defined(_M_IX86) || defined(_M_X64) ||     defined(__ppc__) || defined(__ppc64__) ||     defined(__powerpc__) || defined(__powerpc64__) ||     defined(__s390__) || defined(__s390x__);103;10
#ifndef NS_INADDRSZ;2;1
#ifndef NS_IN6ADDRSZ;5;1
#ifndef NS_INT16SZ;8;1
#ifndef NO_IPV6;27;1
#ifndef NO_IPV6;99;1
#ifndef NS_INT16SZ;2;1
#ifndef NS_INADDRSZ;5;1
#ifndef NS_IN6ADDRSZ;8;1
#ifndef NO_IPV6;12;1
#ifndef NO_IPV6;49;1
#ifndef NO_IPV6;131;1
#ifndef EWOULDBLOCK;25;1
#ifndef ELOOP;28;1
#ifndef EAFNOSUPPORT;41;1
#ifndef ECONNABORTED;44;1
#ifndef NO_OPENSSL;98;1
#if defined(USE_WIN32_MMAP) || defined(_MSC_VER);186;2
#ifdef stat;205;1
#ifdef fstat;212;1
#ifdef lstat;216;1
#ifndef _stati64;220;1
#elif defined (_USE_32BIT_TIME_T);222;1
#ifndef DLMALLOC_VERSION;1;1
#if defined(linux);4;1
#ifndef WIN32;7;1
#ifdef _WIN32;8;1
#ifdef _WIN32_WCE;11;1
#ifdef WIN32;16;1
#ifndef _WIN32_WINNT;18;1
#ifndef MALLOC_FAILURE_ACTION;31;1
#ifdef _WIN32_WCE;34;1
#if defined(DARWIN) || defined(_DARWIN);40;2
#ifndef HAVE_MORECORE;41;1
#ifndef MALLOC_ALIGNMENT;44;1
#ifndef LACKS_SYS_TYPES_H;49;1
#ifndef ONLY_MSPACES;53;1
#ifndef MSPACES;58;1
#if ONLY_MSPACES;59;1
#ifndef MALLOC_ALIGNMENT;65;1
#ifndef FOOTERS;68;1
#ifndef ABORT;71;1
#ifndef ABORT_ON_ASSERT_FAILURE;74;1
#ifndef PROCEED_ON_ERROR;77;1
#ifndef USE_LOCKS;80;1
#ifndef USE_SPIN_LOCKS;83;1
#if USE_LOCKS && (defined(__GNUC__) && ((defined(__i386__) || defined(__x86_64__)))) || (defined(_MSC_VER) && _MSC_VER>=1310);84;5
#ifndef INSECURE;90;1
#ifndef HAVE_MMAP;93;1
#ifndef MMAP_CLEARS;96;1
#ifndef HAVE_MREMAP;99;1
#ifdef linux;100;1
#ifndef MALLOC_FAILURE_ACTION;106;1
#ifndef HAVE_MORECORE;109;1
#if ONLY_MSPACES;110;1
#if !HAVE_MORECORE;116;1
#ifndef MORECORE_CONTIGUOUS;120;1
#ifndef DEFAULT_GRANULARITY;124;1
#if (MORECORE_CONTIGUOUS || defined(WIN32));125;2
#ifndef DEFAULT_TRIM_THRESHOLD;131;1
#ifndef MORECORE_CANNOT_TRIM;132;1
#ifndef DEFAULT_MMAP_THRESHOLD;138;1
#if HAVE_MMAP;139;1
#ifndef MAX_RELEASE_CHECK_RATE;145;1
#if HAVE_MMAP;146;1
#ifndef USE_BUILTIN_FFS;152;1
#ifndef USE_DEV_RANDOM;155;1
#ifndef NO_MALLINFO;158;1
#ifndef MALLINFO_FIELD_TYPE;161;1
#ifndef NO_SEGMENT_TRAVERSAL;164;1
#if !NO_MALLINFO;170;1
#ifdef HAVE_USR_INCLUDE_MALLOC_H;171;1
#ifndef STRUCT_MALLINFO_DECLARED;174;1
#ifndef FORCEINLINE;191;1
#if defined(__GNUC__);192;1
#elif defined(_MSC_VER);194;1
#ifndef NOINLINE;198;1
#if defined(__GNUC__);199;1
#elif defined(_MSC_VER);201;1
#ifdef __cplusplus;207;1
#ifndef FORCEINLINE;209;1
#ifndef FORCEINLINE;213;1
#if !ONLY_MSPACES;216;1
#ifndef USE_DL_PREFIX;217;1
#if !NO_MALLINFO;244;1
#if MSPACES;254;1
#if !NO_MALLINFO;271;1
#ifdef __cplusplus;279;1
#ifdef WIN32;282;1
#ifndef __GNUC__;283;1
#ifndef LACKS_ERRNO_H;288;1
#if FOOTERS;291;1
#ifndef LACKS_STDLIB_H;294;1
#ifdef DEBUG;297;1
#if ABORT_ON_ASSERT_FAILURE;298;1
#ifndef assert;304;1
#ifndef LACKS_STRING_H;309;1
#if USE_BUILTIN_FFS;312;1
#ifndef LACKS_STRINGS_H;313;1
#if HAVE_MMAP;317;1
