feature;sd
FP_FAST_FMAL;4
HAVE_STPCPY;4
ENTRY_POINT;1
POSSIBLY_UNALIGNED;4
__USE_XOPEN2KXSI;1
HAVE_EHDR_START;1
GT_DIR;1
__pthread_mutex_lock;1
MACH_MSG_PORT_DESCRIPTOR;2
_PROTO;2
_CS_POSIX_V7_LP64_OFF64_CFLAGS;1
__mn10300__;1
_SC_V7_ILP32_OFFBIG;1
_SC_NZERO;1
NOT_IN_libc;211
SIGRTMAX;1
__FP_FAST_FMAF;4
IDNA_ACE_PREFIX;1
B0;1
SHELL;1
__NR_epoll_pwait;1
GLIBC_2_3_2;13
__umulsidi3;1
__amdfam10;1
PTHREAD_STACK_MIN;3
AF_IPX;1
_CS_LFS64_LIBS;1
RESTORE_AVX;5
ELF_PREFERRED_ADDRESS;1
__k6__;2
INT_FAST32_MAX;2
_PATH_RESCONF;1
HAVE_AUX_XID;2
FE_TOWARDZERO;17
__ICC;2
_M_IA64;1
_SC_XOPEN_XPG2;1
__ASSUME_ACCEPT4_SOCKETCALL;2
_PC_SYMLINK_MAX;1
_FP_STRUCT_LAYOUT;1
INSERT_WORDS;1
__LONG_DOUBLE_128__;6
libc_fetestexcept;1
_UTMP_H;3
__cacosf;1
TCSBRKP;1
__x86_64__;60
GETTIME;1
_SC_UIO_MAXIOV;2
STDC_HEADERS;16
_IEEE_LIBM;3
EMULTIHOP;2
yystrlen;1
_FP_FRACBITS_D;8
atomic_exchange_and_add;2
NO_INCR;8
PREAD;1
_ATFILE_SOURCE;1
_SC_DEVICE_SPECIFIC_R;1
_HAVE_STAT64___UNUSED3;1
UNSIGNED;8
__clock_t_defined;1
PRIuLEAST8;1
__pthread_mutex_trylock;1
SA_INTERRUPT;1
__AVX__;25
__NR_accept4;1
INTERNAL_SIZE_T;1
_ISOC99_SOURCE;3
_CS_POSIX_V7_LP64_OFF64_LINTFLAGS;1
EXCEPTION_TESTS_long_double;1
INCLUDED_SELF;6
FLAGS;2
__have_siginfo_t;8
__NR_setresuid32;2
libc_feholdsetround_noex_ctx;1
_HAVE_STRING_ARCH_strsep;2
EISDIR;2
_SYS_AUXV_H;4
libc_feresetround_noex;1
EROFS;2
_SC_AIO_PRIO_DELTA_MAX;1
__USE_ATFILE;32
TIOCSPTLCK;1
_HAVE_STAT___PAD2;2
_SC_SPIN_LOCKS;1
MAX_STRING_LENGTH;1
_G_IO_NO_BACKWARD_COMPAT;1
__LONG_MAX__;6
__libc_lock_trylock;1
PRIx8;1
_UTSNAME_MACHINE_LENGTH;1
_BSD_SOURCE;1
INTERNAL_SYSCALL;3
HAVE_ASM_UNIQUE_OBJECT;6
__ASSUME_ACCEPT4_SYSCALL_WITH_SOCKETCALL;1
atexit;1
ARCH_CANCEL_INIT;2
FROM_LOOP_MAX_NEEDED_TO;2
EGRATUITOUS;2
_CS_POSIX_V6_ILP32_OFFBIG_LIBS;1
PRIoPTR;1
_HAVE_STRING_ARCH_strcmp;1
DELAYTIMER_MAX;1
