guard;line;td
#ifdef HAVE_CONFIG_H;1;1
#ifdef HAVE_CONFIG_H;1;1
#ifndef ARGP_FMTSTREAM_USE_LINEWRAP;11;1
#ifndef isblank;12;1
#ifdef _LIBC;15;1
#ifdef weak_alias;51;1
#ifdef weak_alias;67;1
#ifdef _LIBC;189;1
#ifdef _LIBC;230;1
#ifdef weak_alias;288;1
#ifndef __attribute__;6;1
# if __GNUC__ < 2 || (__GNUC__ == 2 && __GNUC_MINOR__ < 5) || defined __STRICT_ANSI__;7;3
# if __GNUC__ < 2 || (__GNUC__ == 2 && __GNUC_MINOR__ < 7) || defined __STRICT_ANSI__;10;3
#if defined (__GNU_LIBRARY__) && defined (HAVE_LINEWRAP_H);15;2
#ifdef ARGP_FMTSTREAM_USE_LINEWRAP;18;1
#ifdef __OPTIMIZE__;108;1
#if !_LIBC;109;1
#ifndef ARGP_FS_EI;120;1
#if !_LIBC;192;1
#ifdef HAVE_CONFIG_H;1;1
#if _LIBC - 0 && !defined (ARGP_FMTSTREAM_USE_LINEWRAP) && defined (weak_alias);9;3
#ifndef _GNU_SOURCE;1;1
#ifdef HAVE_CONFIG_H;4;1
#ifndef __GNUC__;7;1
# if HAVE_ALLOCA_H || defined _LIBC;8;2
# ifdef _AIX;11;1
# ifndef alloca;14;1
#ifdef _LIBC;28;1
#ifndef _;32;1
# if defined HAVE_LIBINTL_H || defined _LIBC;33;2
# ifdef _LIBC;35;1
#ifndef _LIBC;43;1
# if HAVE_STRERROR_R;44;1
# if !HAVE_DECL_STRERROR_R;45;1
# if !HAVE_DECL_STRERROR;49;1
#ifndef SIZE_MAX;57;1
#if SIZE_MAX <= UINT_MAX;252;2
#ifdef _tolower;488;1
#if SIZE_MAX <= UINT_MAX;540;2
#if _LIBC || (HAVE_FLOCKFILE && HAVE_FUNLOCKFILE);1048;3
#if _LIBC || (HAVE_FLOCKFILE && HAVE_FUNLOCKFILE);1055;3
#if _LIBC || (HAVE_FLOCKFILE && HAVE_FUNLOCKFILE);1136;3
#ifdef weak_alias;1148;1
#ifndef _LIBC;1151;1
# if HAVE_DECL_PROGRAM_INVOCATION_SHORT_NAME;1160;1
# elif HAVE_DECL_PROGRAM_INVOCATION_NAME;1162;1
# if __GNUC__;1165;1
#ifdef weak_alias;1190;1
#if _LIBC || (HAVE_FLOCKFILE && HAVE_FUNLOCKFILE);1202;3
#ifdef _LIBC;1206;1
#if _LIBC || (HAVE_FLOCKFILE && HAVE_FUNLOCKFILE);1223;3
#ifdef weak_alias;1229;1
#if _LIBC || (HAVE_FLOCKFILE && HAVE_FUNLOCKFILE);1241;3
#ifdef _LIBC;1244;1
#ifdef _LIBC;1255;1
#ifdef _LIBC;1271;1
# ifdef HAVE_STRERROR_R;1277;1
#if _LIBC || (HAVE_FLOCKFILE && HAVE_FUNLOCKFILE);1288;3
#ifdef weak_alias;1296;1
#if !_LIBC;1;1
#if defined(HAVE_DECL_CLEARERR_UNLOCKED) && !HAVE_DECL_CLEARERR_UNLOCKED;72;1
#if defined(HAVE_DECL_FEOF_UNLOCKED) && !HAVE_DECL_FEOF_UNLOCKED;75;1
#if defined(HAVE_DECL_FERROR_UNLOCKED) && !HAVE_DECL_FERROR_UNLOCKED;78;1
#if defined(HAVE_DECL_FFLUSH_UNLOCKED) && !HAVE_DECL_FFLUSH_UNLOCKED;81;1
#if defined(HAVE_DECL_FGETS_UNLOCKED) && !HAVE_DECL_FGETS_UNLOCKED;84;1
#if defined(HAVE_DECL_FPUTC_UNLOCKED) && !HAVE_DECL_FPUTC_UNLOCKED;87;1
#if defined(HAVE_DECL_FPUTS_UNLOCKED) && !HAVE_DECL_FPUTS_UNLOCKED;90;1
#if defined(HAVE_DECL_FREAD_UNLOCKED) && !HAVE_DECL_FREAD_UNLOCKED;93;1
#if defined(HAVE_DECL_FWRITE_UNLOCKED) && !HAVE_DECL_FWRITE_UNLOCKED;96;1
#if defined(HAVE_DECL_GETC_UNLOCKED) && !HAVE_DECL_GETC_UNLOCKED;99;1
#if defined(HAVE_DECL_GETCHAR_UNLOCKED) && !HAVE_DECL_GETCHAR_UNLOCKED;102;1
#if defined(HAVE_DECL_PUTC_UNLOCKED) && !HAVE_DECL_PUTC_UNLOCKED;105;1
#if defined(HAVE_DECL_PUTCHAR_UNLOCKED) && !HAVE_DECL_PUTCHAR_UNLOCKED;108;1
#ifndef __set_errno;113;1
#if defined _LIBC || HAVE_DECL_PROGRAM_INVOCATION_SHORT_NAME;116;2
#ifdef HAVE_CONFIG_H;1;1
#ifndef __GNUC__;4;1
# if HAVE_ALLOCA_H || defined _LIBC;5;2
# ifdef _AIX;8;1
# ifndef alloca;11;1
#ifndef _;23;1
# if defined HAVE_LIBINTL_H || defined _LIBC;24;2
# ifdef _LIBC;26;1
#ifndef N_;35;1
#if defined _LIBC || HAVE_DECL_PROGRAM_INVOCATION_NAME;75;2
