branch;line;nd
#if defined(EXPLICIT_TEMPLATE_INSTANTIATION);2000;1
#if !defined(MAGICKCORE_WINDOWS_SUPPORT);6;1
#if (MAGICKCORE_QUANTUM_DEPTH < 32);57;1
#if defined(MagickDLLExplicitTemplate);10;2
#else;17;1
#if defined(MagickDLLExplicitTemplate);56;1
#if defined(MagickDLLExplicitTemplate);109;1
#if defined(MagickDLLExplicitTemplate);147;1
#if defined(MagickDLLExplicitTemplate);1634;1
#if defined(MagickDLLExplicitTemplate);1753;1
#if defined(MagickDLLExplicitTemplate);1864;1
#if !defined(_MAGICK_CONFIG_H);3;2
#if defined(__BORLANDC__);19;1
#if defined(WIN32) && !defined(__CYGWIN__) && !defined(__MINGW32__);29;1
#if defined(MagickCplusPlusDLLSupported);32;5
#else;212;2
#if (defined(WIN32) || defined(WIN64)) && defined(_VISUALC_);221;1
#if defined(MAGICKCORE_IMPLEMENTATION);853;1
#if defined(_VISUALC_);4;2
#if defined(MAGICKCORE_HAVE_PTHREAD);13;1
#if defined(MAGICKCORE_HAVE_PTHREAD);28;1
#if defined(_MT) && defined(_VISUALC_);31;1
#if defined(MAGICKCORE_HAVE_PTHREAD);7;1
#else;21;2
#if defined(MAGICKCORE_HAVE_PTHREAD);41;1
#if defined(_MT) && defined(_VISUALC_);48;1
#if defined(MAGICKCORE_HAVE_PTHREAD);56;1
#if defined(_MT) && defined(_VISUALC_);63;1
#if defined(MAGICKCORE_HAVE_PTHREAD);71;1
#if defined(_MT) && defined(_VISUALC_);78;1
#if MAGICKCORE_QUANTUM_DEPTH == 8;59;1
#elif MAGICKCORE_QUANTUM_DEPTH == 16;61;1
#elif MAGICKCORE_QUANTUM_DEPTH == 32;63;1
#elif MAGICKCORE_QUANTUM_DEPTH == 64;65;1
#else;67;1
#if defined(USE_VECTOR);7;1
#if defined(USE_MAP);11;1
#if defined(USE_MAP);26;1
#elif defined(USE_VECTOR);28;1
#if (MAGICKCORE_QUANTUM_DEPTH == 8);32;1
#elif (MAGICKCORE_QUANTUM_DEPTH == 16);34;1
#else;36;1
#if defined(USE_MAP);41;1
#elif defined(USE_VECTOR);43;1
#if defined(MISSING_STD_IOS_BINARY);5;1
#else;7;1
#if !defined(MAGICKCORE_WINDOWS_SUPPORT) || defined(__MINGW32__) || defined(__MINGW64__);32;1
#if defined(MAGICKCORE_TIFF_DELEGATE);23;1
#if defined(MAGICKCORE_TIFF_DELEGATE);180;1
#if defined(MAGICKCORE_TIFF_DELEGATE);191;1
#if defined(MAGICKCORE_TIFF_DELEGATE);207;1
#if defined(MAGICKCORE_HAVE_LOCALTIME_R);691;1
#else;693;1
#if defined(MAGICKCORE_WINGDI32_DELEGATE);2;2
#if defined(MAGICKCORE_WINGDI32_DELEGATE);26;1
#if defined(MAGICKCORE_WINGDI32_DELEGATE);30;1
#if defined(MAGICKCORE_WINGDI32_DELEGATE);148;1
#if defined(MAGICKCORE_WINGDI32_DELEGATE);163;1
#ifndef SIZE_MAX;69;1
#if !defined(MAGICKCORE_WINDOWS_SUPPORT) || defined(__MINGW32__) || defined(__MINGW64__);70;1
#if defined(MAGICKCORE_DJVU_DELEGATE);19;1
#if defined(MAGICKCORE_DJVU_DELEGATE);30;4
#if defined(DJVU_LIBDJVU_VER_STRING);598;1
#if defined(MAGICKCORE_DJVU_DELEGATE);603;1
#if defined(MAGICKCORE_GVC_DELEGATE);24;1
#if defined(MAGICKCORE_GVC_DELEGATE);30;2
#if defined(MAGICKCORE_GVC_DELEGATE);90;1
#if defined(MAGICKCORE_GVC_DELEGATE);98;1
#if defined(MAGICKCORE_GVC_DELEGATE);105;1
#if defined(MAGICKCORE_GVC_DELEGATE);114;1
#if defined(MAGICKCORE_DPS_DELEGATE);22;1
#if defined(MAGICKCORE_DPS_DELEGATE);26;1
#if defined(MAGICKCORE_DPS_DELEGATE);381;1
#if defined(MAGICKCORE_WINGDI32_DELEGATE);2;3
#if defined(MAGICKCORE_WINGDI32_DELEGATE);49;3
#if defined(MAGICKCORE_WINGDI32_DELEGATE);569;1
#if defined(MAGICKCORE_WINGDI32_DELEGATE);579;1
#if defined(MAGICKCORE_OPENEXR_DELEGATE);20;1
#if defined(MAGICKCORE_OPENEXR_DELEGATE);33;1
#if defined(MAGICKCORE_OPENEXR_DELEGATE);146;1
#if defined(MAGICKCORE_OPENEXR_DELEGATE);162;2
