feature;sd
MAGICKCORE_HAVE_INTMAX_T;1
fprintf_l;1
MAGICKCORE_EXCLUDE_DEPRECATED;4
_MAGICKCORE_POSIX_SUPPORT_VERSION;7
_MAGICK_CONFIG_H;1
MAGICKCORE_HAVE_MEMORY_H;3
_ALL_SOURCE;1
MAGICKCORE_CIPHER_SUPPORT;4
mmap;1
MAGICKCORE_HAVE_STRERROR_R;2
MAGICKCORE_INCLUDE_PATH;1
__ICC;1
MAGICKCORE_HAVE_DOUBLE_T;1
PWinGravity;1
STDC_HEADERS;2
MAGICKCORE_HAVE_TIFFCONF_H;4
_magickcore_restrict;5
SA_INTERRUPT;1
__MINGW32__;42
MAGICKCORE_MODULES_DIRNAME;1
MAGICKCORE_RSVG_DELEGATE;6
read;1
_magickcore_const;4
MAGICK_PIXEL_RGBA;1
lt_dlsym;1
MAGICK_TARGET_CPU;1
MAGICKCORE_SIZEOF_SIGNED_INT;1
MAGICKWAND_WINDOWS_SUPPORT;11
__CYGWIN32__;1
MAGICKCORE_MAGICK_TARGET_CPU;1
MAGICKCORE_HAVE_EXECVP;2
MAGICKCORE_LIBRARY_RELATIVE_PATH;1
MAGICKCORE_HAVE__ALIGNED_MALLOC;4
_SC_PHYS_PAGES;1
MAGICKCORE_HAVE_SYS_TIMEB_H;1
PNG_SKIP_sRGB_CHECK_PROFILE;1
TIFFTAG_RICHTIFFIPTC;1
__MSDOS__;1
__GNU__;1
MAGICKCORE_HAVE_SYS_IPC_H;1
MAGICKCORE_MODULES_PATH;1
MAGICKCORE_SIZEOF_SIGNED_LONG;1
munmap;1
MAGICKCORE_HAVE_MKSTEMP;3
MAGICKCORE_HAVE_MACHINE_PARAM_H;1
MAGICKCORE_INCLUDEARCH_PATH;1
D_PROGRESSIVE_SUPPORTED;2
MAGICKCORE_HAVE_DECL_PREAD;3
_MAGICKCORE_CONFIG_H;2
MAGICKCORE_LIBRARY_NAME;2
LIBRSVG_CHECK_VERSION;1
MAGICKCORE_HAVE_STRCHR;1
O_BINARY;2
PNG_WRITE_EMPTY_PLTE_SUPPORTED;12
MAGICKCORE_SELECT_TYPE_ARG5;1
MAGICKCORE_SIZEOF_SSIZE_T;1
PRE_R6_ICCCM;3
PATH_MAX;3
__GNUC__;15
MAGICKCORE_HAVE_CABS;2
MAGICKCORE_HAVE_STRRCHR;1
PNG_READ_sRGB_SUPPORTED;1
PNG_READ_bKGD_SUPPORTED;2
MAGICKCORE_HAVE_GETEXECNAME;1
FT_OPEN_PATHNAME;1
PTHREAD_MUTEX_ERRORCHECK;1
MAGICKCORE_HAVE_LONG_DOUBLE_WIDER;1
MAGICKCORE_HAVE_COMPLEX_H;6
TARGET_OS_IPHONE;2
MAGICKCORE_HAVE_MEMMOVE;1
WITH_CGRAPH;1
PixelCacheThreshold;1
MAGICKCORE_HAVE_REALPATH;1
lt_dlinit;1
MAGICKCORE_HAVE_STRTOL;1
EILSEQ;1
MAGICKWAND_POSIX_SUPPORT;3
MAGICKCORE_HAVE_TELLDIR;1
gs_main_instance_DEFINED;1
MAGICKCORE_HAVE_MBSTATE_T;1
PREDICTOR_HORIZONTAL;1
MAGICKCORE_LIBRARY_PATH;2
PNG_MNG_FEATURES_SUPPORTED;11
MAGICKCORE_JPEG_DELEGATE;18
_SC_PAGE_SIZE;1
__OS2__;13
MAGICKCORE_WMF_DELEGATE;6
MAGICKCORE_HAVE_NDIR_H;4
TIFFTAG_XMLPACKET;2
MAGICKCORE_SELECT_TYPE_ARG234;1
isatty;1
MAP_ANONYMOUS;2
MAGICKCORE_HAVE_FT2BUILD_H;1
vsnprintf_l;1
_DLL;10
ForgetGravity;1
PNG_TRANSFORM_GRAY_TO_RGB;1
MAGICKCORE_HAVE_MEMSET;1
ftell;1
MAGICKCORE_HAVE_SETVBUF;3
fsync;1
MAGICKCORE_HAVE_LCMS_LCMS2_H;2
MAGICKCORE_SIZEOF_OFF_T;1
MAGICKCORE_HAVE_NAMESPACE_STD;1
MAGICKCORE_HAVE_GETDTABLESIZE;2
MAGICKCORE_HAVE_MMAP;3
fstat;1
MAGICKCORE_LIB_BIN_BASEDIRNAME;1
MAGICKCORE_PACKAGE_VERSION;1
locale_t;1
MNG_COALESCE_LAYERS;1
_DEBUG;9
MAGICKCORE_HAVE_TIFFREADEXIFDIRECTORY;4
FT_FREETYPE_H;2
KEY_WOW64_32KEY;1
LZMA_SUPPORT;2
MAGICKCORE_CONFIGURE_RELATIVE_PATH;1
MAGICKCORE_PANGO_DELEGATE;1
MAGICKCORE_HAVE_ERRNO_H;1
_MAGICKLIB_;2
MAGICKCORE_HAVE_STRDUP;1
MAGICKCORE_MODULES_SUPPORT;11
MSG_NOSIGNAL;1
MAGICKCORE_AUTOTRACE_DELEGATE;3
future;3
MAGICKCORE_HAVE_SHAPE;6
MAGICKCORE_HAVE_READDIR_R;3
JPEG_LIB_VERSION;4
SIGXCPU;2
_POSIX_PTHREAD_SEMANTICS;1
PANGO_VERSION_STRING;1
MAGICKCORE_IMPLEMENTATION;2
MAGICKCORE_HAVE_FLOOR;1
MNG_OBJECT_BUFFERS;9
FREETYPE_MAJOR;1
XS_VERSION;3
FT_GLYPH_H;1
_GNU_SOURCE;1
PNG_USER_MEM_SUPPORTED;3
getcwd;1
__CYGWIN__;32
PNG_READ_CHECK_FOR_INVALID_INDEX_SUPPORTED;1
__DECCXX;1
MAGICKCORE_RETSIGTYPE;2
PNG_WRITE_iCCP_SUPPORTED;1
__MSVCRT_VERSION__;7
_MSC_VER;19
MAGICKCORE_SIZEOF_SIZE_T;1
MAGICKCORE_HAVE_LOCALE_H;1
MAGICKCORE_HAVE_STDBOOL_H;1
MAGICKCORE_HAVE_ATANH;5
ZIP_SUPPORT;1
MAGICKCORE_JBIG_DELEGATE;13
MAGICKCORE_HAVE_STRSTR;1
DEBUG_HIT_MISS;2
TIFFTAG_PHOTOSHOP;2
PNG_WRITE_sRGB_SUPPORTED;1
MAGICK_PLUSPLUS_IMPLEMENTATION;1
X11_APPLICATION_PATH;1
YCBCR_SUPPORT;1
MAGICKCORE_HAVE_SYS_RESOURCE_H;3
_TANDEM_SOURCE;1
MAGICKCORE_HAVE_SIGACTION;3
MAGICKCORE_LZMA_DELEGATE;15
lseek;2
chdir;1
MAGICKCORE_HAVE_ACOSH;3
MAGICKCORE_FFTW_DELEGATE;7
MAGICKCORE_HAVE_TIFFISBIGENDIAN;2
TIFFTAG_ICCPROFILE;2
MAGICKCORE_MAGICK_TARGET_OS;1
MAGICKCORE_HDRI_ENABLE_OBSOLETE_IN_H;2
MAGICKCORE_HAVE_FLOAT_T;1
MAGICKCORE_HAVE_NAMESPACES;1
AC_APPLE_UNIVERSAL_BUILD;1
__VMS_VER;2
MAGICKCORE_HAVE_QSORT_R;1
MAGICKCORE_TIFF_DELEGATE;27
TIFFTAG_COPYRIGHT;1
closedir;1
MAGICKCORE_LQR_DELEGATE;9
MNG_BASI_SUPPORTED;2
MAGICKCORE_HAVE_FCNTL_H;1
MAGICKCORE_ZLIB_DELEGATE;48
CLK_TCK;1
_WIN64;6
macintosh;21
__BIG_ENDIAN__;1
MAGICKCORE_LCMS_DELEGATE;11
MAGICKCORE_FILTER_PATH;2
MAGICKCORE_HAVE_SEEKDIR;1
SIGABRT;2
MAGICKCORE_HAVE_DECL_STRERROR_R;1
Z_RLE;2
MAGICKCORE_HAVE_NEWLOCALE;3
stat;1
MAGICKCORE_PNG_DELEGATE;19
MAGICKCORE_HAVE_ATOLL;1
PRE_R4_ICCCM;5
MAGICKCORE_HAVE_LIMITS_H;1
SIGHUP;2
mkdir;1
MAGICKCORE_HAVE_SYS_DIR_H;4
MAGICKCORE_HAVE_STRTOD_L;6
MAGICKCORE_MAGICK_TARGET_VENDOR;1
DEBUG_OPT_FRAME;15
DEBUG;12
tempnam;1
MAGICKCORE_HAVE_POPEN;2
MAGICKCORE_HAVE_ISNAN;2
MagickImageCoderSignatureText;1
FREETYPE_MINOR;1
_OPENMP;3
MAGICKCORE_PACKAGE_TARNAME;1
MAGICKCORE_CODER_DIRNAME;1
MAGICKCORE_PACKAGE_STRING;1
MAGICKCORE_HAVE_MUNMAP;1
MAGICKCORE_HAVE_INTTYPES_H;3
PACKBITS_SUPPORT;1
MAGICKCORE_HAVE_SELECT;2
MAGICKCORE_SIZEOF_LONG_DOUBLE;4
MAGICKCORE_HAVE_SYSCONF;4
MAGICKCORE_HAVE_GMTIME_R;2
MAGICKCORE_WEBP_DELEGATE;11
RGBColorMatchExact;1
MAGICKCORE_HAVE_WINTHREADS;13
TIFF_VERSION;1
MAGICKCORE_HAVE_CTIME_R;1
MAGICKCORE_HAVE_ASINH;3
SIGBUS;4
MAGICKCORE_HAVE_STDARG_H;1
MAGICKCORE_HAVE_NETINET_IN_H;1
MAGICKCORE_HAVE_TIFFSETTAGEXTENDER;4
inline;5
USE_VECTOR;3
__VMS;2
MaxTextExtent;2
PNG_SET_OPTION_SUPPORTED;1
MAGICKCORE_SHAREARCH_PATH;2
MAGICKCORE_HAVE_VPRINTF;1
_WIN32_WCE;1
MAGICKCORE_HAVE_UINTMAX_T;1
MAGICKCORE_HAVE_SYMLINK;2
_OPENCL;1
msync;1
MAGICKCORE_HAVE_BOOL;1
SIG_ERR;1
MAGICKCORE_HAVE_VFORK;1
PNG_sRGB_SUPPORTED;1
MAGICKCORE_HAVE_USLEEP;2
__MINGW64__;40
JPEG_SUPPORT;3
MAGICKCORE_HAVE_UINTPTR_T;1
MAGICKCORE_OPENEXR_DELEGATE;8
FC_VERSION;1
MAGICKCORE_HAVE_STDINT_H;3
MAGICKCORE_MODULES_RELATIVE_PATH;1
MAGICKCORE_LIBOPENJP2_DELEGATE;16
CCITT_SUPPORT;1
EWA;3
DISABLE_SIOUX;12
MISSING_STD_IOS_BINARY;1
MAGICKCORE_HAVE_PREAD;8
MagickCountTempFiles;3
C_PROGRESSIVE_SUPPORTED;1
MAGICKCORE_HAVE_DECL_PWRITE;3
FT_BBOX_H;1
MAGICKCORE_HAVE_ATEXIT;1
MAGICKCORE_HAVE_CLOCK;2
IMPNG_SETJMP_NOT_THREAD_SAFE;11
TMP_MAX;1
STDIN_FILENO;2
MAGICKCORE_HAVE_STRUCT_TM_TM_ZONE;1
MAGICKCORE_HAVE_STRERROR;3
MAGICKCORE_SIZEOF_UNSIGNED_LONG_LONG;2
PNG_UNKNOWN_CHUNKS_SUPPORTED;4
MAGICKCORE_HAVE_OPENCL_CL_H;3
MAGICKCORE_CODER_PATH;4
PNG_READ_EMPTY_PLTE_SUPPORTED;8
MAGICKCORE_HAVE__EXIT;2
MAGICKCORE_LT_OBJDIR;1
PNG_INTRAPIXEL_DIFFERENCING;1
MAGICKCORE_HAVE_SETLOCALE;1
LIBXML_DOTTED_VERSION;1
MAGICKCORE_HAVE_GETCWD;1
MAGICKCORE_HAVE_SYS_TIMES_H;3
MAGICKCORE_HAVE_LOCALTIME_R;5
MAGICKCORE_HAVE_GETRUSAGE;2
MAGICKCORE_HAVE_STRSPN;1
MAGICKCORE_HAVE_NANOSLEEP;2
FILTER_LUT;6
MAGICKCORE_HAVE_PROCESS_H;1
sysconf;1
_VISUALC_;30
S_IRUSR;2
open;1
MNG_INSERT_LAYERS;13
