guard;line;td
#if defined(EXPLICIT_TEMPLATE_INSTANTIATION);2000;1
#if !defined(MAGICKCORE_WINDOWS_SUPPORT);6;1
#if (MAGICKCORE_QUANTUM_DEPTH < 32);57;1
#if defined(MagickDLLExplicitTemplate);10;1
# if defined(MAGICK_PLUSPLUS_IMPLEMENTATION);11;1
#if defined(MagickDLLExplicitTemplate);56;1
#if defined(MagickDLLExplicitTemplate);109;1
#if defined(MagickDLLExplicitTemplate);147;1
#if defined(MagickDLLExplicitTemplate);1634;1
#if defined(MagickDLLExplicitTemplate);1753;1
#if defined(MagickDLLExplicitTemplate);1864;1
#if !defined(_MAGICK_CONFIG_H);3;1
# if !defined(vms) && !defined(macintosh);5;2
#if defined(__BORLANDC__);19;1
#if defined(WIN32) && !defined(__CYGWIN__) && !defined(__MINGW32__);29;3
#if defined(MagickCplusPlusDLLSupported);32;1
# if defined(_MT) && defined(_DLL) && !defined(_LIB) && !defined(STATIC_MAGICK);33;4
# if defined(_VISUALC_);34;1
# if !defined(MAGICKCORE_IMPLEMENTATION);39;1
# if defined(__GNUC__);40;1
# if defined(_VISUALC_);46;1
# if defined(__BORLANDC__) || defined(__MINGW32__);51;2
# if defined(__BORLANDC__);54;1
# if defined(__GNUC__);59;1
# if defined(_VISUALC_);66;1
# if defined(_VISUALC_);74;1
# if defined(_MSC_VER) && defined(STATIC_MAGICK) && !defined(NOAUTOLINK_MAGICK);78;3
# if defined(_DEBUG);79;1
# if defined(MAGICKCORE_BZLIB_DELEGATE);80;1
# if defined(MAGICKCORE_LQR_DELEGATE);84;1
# if defined(MAGICKCORE_LQR_DELEGATE);88;1
# if defined(MAGICKCORE_JBIG_DELEGATE);92;1
# if defined(MAGICKCORE_JP2_DELEGATE);95;1
# if defined(MAGICKCORE_JPEG_DELEGATE);98;1
# if defined(MAGICKCORE_LCMS_DELEGATE);101;1
# if defined(MAGICKCORE_LIBOPENJP2_DELEGATE);104;1
# if defined(MAGICKCORE_LQR_DELEGATE);108;1
# if defined(MAGICKCORE_PANGOCAIRO_DELEGATE);113;1
# if defined(MAGICKCORE_PNG_DELEGATE);118;1
# if defined(MAGICKCORE_RSVG_DELEGATE);121;1
# if defined(MAGICKCORE_TIFF_DELEGATE);125;1
# if defined(MAGICKCORE_FREETYPE_DELEGATE);128;1
# if defined(MAGICKCORE_WEBP_DELEGATE);132;1
# if defined(MAGICKCORE_X11_DELEGATE);135;1
# if defined(MAGICKCORE_ZLIB_DELEGATE);138;1
# if defined(MAGICKCORE_BZLIB_DELEGATE);142;1
# if defined(MAGICKCORE_LQR_DELEGATE);146;1
# if defined(MAGICKCORE_LQR_DELEGATE);150;1
# if defined(MAGICKCORE_JBIG_DELEGATE);154;1
# if defined(MAGICKCORE_JP2_DELEGATE);157;1
# if defined(MAGICKCORE_JPEG_DELEGATE);160;1
# if defined(MAGICKCORE_LCMS_DELEGATE);163;1
# if defined(MAGICKCORE_LIBOPENJP2_DELEGATE);166;1
# if defined(MAGICKCORE_LQR_DELEGATE);170;1
# if defined(MAGICKCORE_PANGOCAIRO_DELEGATE);175;1
# if defined(MAGICKCORE_PNG_DELEGATE);180;1
# if defined(MAGICKCORE_RSVG_DELEGATE);183;1
# if defined(MAGICKCORE_TIFF_DELEGATE);187;1
# if defined(MAGICKCORE_FREETYPE_DELEGATE);190;1
# if defined(MAGICKCORE_WEBP_DELEGATE);194;1
# if defined(MAGICKCORE_X11_DELEGATE);197;1
# if defined(MAGICKCORE_ZLIB_DELEGATE);200;1
# if defined(_WIN32_WCE);204;1
# if __GNUC__ >= 4;213;1
#if (defined(WIN32) || defined(WIN64)) && defined(_VISUALC_);221;3
#if defined(MAGICKCORE_IMPLEMENTATION);853;1
#if defined(_VISUALC_);4;1
#if defined(_MT);6;1
#if defined(MAGICKCORE_HAVE_PTHREAD);13;1
#if defined(MAGICKCORE_HAVE_PTHREAD);28;1
#if defined(_MT) && defined(_VISUALC_);31;2
#if defined(MAGICKCORE_HAVE_PTHREAD);7;1
#if defined(_VISUALC_) && defined(_MT);22;2
#if defined(MAGICKCORE_HAVE_PTHREAD);41;1
#if defined(_MT) && defined(_VISUALC_);48;2
#if defined(MAGICKCORE_HAVE_PTHREAD);56;1
#if defined(_MT) && defined(_VISUALC_);63;2
#if defined(MAGICKCORE_HAVE_PTHREAD);71;1
#if defined(_MT) && defined(_VISUALC_);78;2
