branch;line;nd
#ifdef LIBXML_DOCB_ENABLED;3;1
#ifdef LIBXML_HTML_ENABLED;3;3
#ifdef LIBXML_HTML_ENABLED;3;2
#ifdef LIBXML_LEGACY_ENABLED;20;3
#ifndef SIZE_T_MAX;20;1
#ifdef DEBUG_SAX;194;1
#ifdef DEBUG_SAX;220;1
#ifdef DEBUG_SAX;307;1
#ifdef DEBUG_SAX;323;1
#ifdef DEBUG_SAX;385;1
#ifdef DEBUG_SAX;399;1
#ifdef DEBUG_SAX;454;1
#ifdef LIBXML_VALID_ENABLED;483;1
#ifdef DEBUG_SAX;504;1
#ifdef LIBXML_VALID_ENABLED;520;1
#ifdef DEBUG_SAX;537;1
#ifdef LIBXML_VALID_ENABLED;558;1
#ifdef DEBUG_SAX;574;1
#ifdef DEBUG_SAX;624;1
#ifdef DEBUG_SAX;635;1
#ifdef LIBXML_HTML_ENABLED;640;1
#else;649;1
#ifdef DEBUG_SAX;689;1
#ifdef LIBXML_VALID_ENABLED;694;1
#if defined(LIBXML_SAX1_ENABLED) || defined(LIBXML_HTML_ENABLED) || defined(LIBXML_WRITER_ENABLED) || defined(LIBXML_DOCB_ENABLED);715;2
#ifdef LIBXML_VALID_ENABLED;1317;1
#ifdef LIBXML_VALID_ENABLED;1414;1
#ifdef LIBXML_VALID_ENABLED;1467;1
#ifdef LIBXML_VALID_ENABLED;1589;1
#ifdef LIBXML_VALID_ENABLED;1657;1
#ifdef LIBXML_VALID_ENABLED;1688;1
#ifdef DEBUG_SAX;1701;1
#ifdef DEBUG_SAX_TREE;1709;1
#ifdef DEBUG_SAX;1723;1
#ifdef DEBUG_SAX_TREE;1728;1
#ifdef DEBUG_SAX_TREE;1735;1
#ifdef DEBUG_SAX;1813;1
#ifdef DEBUG_SAX;1827;1
#ifdef DEBUG_SAX_TREE;1849;1
#ifdef DEBUG_SAX_TREE;1857;1
#ifdef DEBUG_SAX_TREE;1863;1
#ifdef DEBUG_SAX;1879;1
#ifdef DEBUG_SAX_TREE;1900;1
#ifdef DEBUG_SAX_TREE;1908;1
#ifdef DEBUG_SAX_TREE;1914;1
#ifdef DEBUG_SAX;1928;1
#ifdef DEBUG_SAX_TREE;1933;1
#ifdef LIBXML_SAX1_ENABLED;1946;1
#ifdef LIBXML_SAX1_ENABLED;1968;1
#ifdef LIBXML_SAX1_ENABLED;2017;1
#ifdef LIBXML_HTML_ENABLED;2021;1
#ifdef LIBXML_DOCB_ENABLED;2062;1
#ifdef HAVE_CTYPE_H;5;1
#ifdef HAVE_STDLIB_H;8;1
#ifdef WITH_BUFFER_COMPAT;27;1
#else;30;1
#ifdef DEBUG_BUFFER;148;1
#ifdef DEBUG_BUFFER;160;1
#ifdef DEBUG_BUFFER;187;1
#if 1;257;1
#else;262;1
#ifdef DEBUG_BUFFER;309;1
#ifdef DEBUG_BUFFER;316;1
#ifdef DEBUG_BUFFER;494;1
#ifdef DEBUG_BUFFER;526;1
#ifdef DEBUG_BUFFER;533;1
#ifdef DEBUG_BUFFER;585;1
#ifdef DEBUG_BUFFER;632;1
#ifdef __cplusplus;4;1
#ifdef __cplusplus;39;1
#ifdef LIBXML_C14N_ENABLED;3;3
#ifdef LIBXML_CATALOG_ENABLED;3;4
#ifdef LIBXML_DEBUG_ENABLED;3;4
#ifdef HAVE_STDLIB_H;4;1
#ifdef HAVE_TIME_H;7;1
#if defined(HAVE_RAND) && defined(HAVE_SRAND) && defined(HAVE_TIME);10;1
#ifdef HAVE_STDINT_H;14;1
#else;16;2
#ifdef WITH_BIG_KEY;32;1
#else;35;1
#ifdef DICT_RANDOMIZATION;70;2
#ifdef DICT_RANDOMIZATION;84;2
#ifdef DICT_RANDOMIZATION;96;2
#ifdef DICT_DEBUG_PATTERNS;124;1
#ifdef DICT_DEBUG_PATTERNS;152;1
#ifdef DICT_DEBUG_PATTERNS;173;1
#ifdef DICT_DEBUG_PATTERNS;201;1
#ifdef WITH_BIG_KEY;216;1
#ifdef DICT_DEBUG_PATTERNS;337;1
#ifdef DICT_RANDOMIZATION;351;1
#else;353;1
#ifdef DICT_DEBUG_PATTERNS;366;1
#ifdef DEBUG_GROW;392;1
#ifdef DICT_DEBUG_PATTERNS;403;1
#ifdef DEBUG_GROW;445;1
#ifdef DEBUG_GROW;469;1
#ifdef DEBUG_GROW;476;1
#ifdef __GNUC__;552;1
#else;557;1
#ifdef __GNUC__;564;1
#else;569;1
#ifdef __GNUC__;589;1
#else;594;1
#ifdef __GNUC__;601;1
#else;606;1
#ifdef __GNUC__;660;1
#else;665;1
#ifdef __GNUC__;672;1
#else;677;1
#ifdef __GNUC__;697;1
#else;702;1
#ifdef __GNUC__;709;1
#else;714;1
#ifdef LIBXML_XINCLUDE_ENABLED;7;2
#else;67;1
