feature;sd
SPECIFIER_BINARY;1
xmlLoadCatalogs;1
xmlSAX2EndElementNs;1
xmlDebugDumpDocumentHead;1
xmlXPathNewNodeSet;1
xmlSetProp;1
xmlXPathNodeSetFreeNs;1
xmlStrchr;1
__IBMC__;1
xmlRegisterDefaultInputCallbacks;1
xmlGetDocEntity;1
xmlParserInputBufferCreateMem;1
xmlUTF8Strlen;1
xmlHashQLookup2;1
xmlSchemaValidateListSimpleTypeFacet;1
xmlTextWriterWriteFormatAttributeNS;1
xmlTextWriterEndElement;1
TRIO_INT64_T;1
xmlUCSIsMusicalSymbols;1
xmlSchemaValidateFacet;1
xmlRegisterHTTPPostCallbacks;1
xmlHasFeature;1
xmlExpGetStart;1
xmlDumpAttributeTable;1
xmlFreeNodeList;1
xmlRelaxNGGetValidErrors;1
xmlFreeRMutex;1
DEBUG_VALID_ALGO;2
WITHOUT_TRIO;1
xmlOutputBufferWriteEscape;1
xmlHashCopy;1
xmlValidateOneNamespace;1
xmlXIncludeProcessTree;1
TRIO_PLATFORM_QNX;1
xmlLastElementChild;1
xmlBuildURI;1
__MINGW32__;9
__xlC__;1
EISDIR;1
EROFS;1
xmlXPathConvertBoolean;1
xmlValidateNmtokenValue;1
xmlTextReaderValue;1
xmlGetBufferAllocationScheme;1
xmlUCSIsGreekandCoptic;1
IS_OP;1
bottom_globals;26
xmlStrQEqual;1
xmlUCSIsKanbun;1
xmlSetListDoc;1
GetAddrInfo;1
xmlNanoFTPDele;1
xmlEncodeSpecialChars;1
xmlXPathCountFunction;1
_CFE;1
xmlNewIOInputStream;1
xmlXPathNodeLeadingSorted;1
xmlNodeDump;1
xmlXPathSubstringBeforeFunction;1
FORMAT_ERRNO;3
xmlGetNodePath;1
xmlReadIO;1
XPTR_XMLNS_SCHEME;1
xmlXPathLangFunction;1
xmlSwitchToEncoding;1
xmlTextReaderGetErrorHandler;1
xmlIsPubidChar;1
xmlNanoHTTPRead;1
xmlNewDocNode;1
xmlSchemaSAXPlug;1
xmlNanoFTPCheckResponse;1
LIBXML_SAX1_ENABLED;146
htmlTagLookup;1
xmlSetExternalEntityLoader;1
xmlRelaxParserSetFlag;1
LIBXML_XPATH_ENABLED;379
bottom_xpath;155
xmlNodeAddContent;1
QUALIFIER_SIZE_T;6
ECONNREFUSED;1
xmlShellValidate;1
xmlFreeNotationTable;1
xmlXPathBooleanFunction;1
xmlSAX2InternalSubset;1
xmlUCSIsSinhala;1
xmlCharStrndup;1
xmlFreeTextReader;1
xmlTextReaderLocatorLineNumber;1
xmlNanoFTPScanProxy;1
xmlParseURIReference;1
TRIO_COMPILER_SUPPORTS_C99;9
xmlGcMemSetup;1
xmlReaderForFile;1
bottom_dict;13
TRIO_STRING_PRIVATE;1
xmlValidateNCName;1
xmlPatternGetStreamCtxt;1
xmlStringLenDecodeEntities;1
xmlXPathCompareValues;1
xmlCreateEntitiesTable;1
TRIO_PLATFORM_SUNOS;2
HAVE_SPRINTF;1
xmlThrDefRegisterNodeDefault;1
xmlSAX2SetDocumentLocator;1
xmlResetError;1
htmlDocDumpMemory;1
xmlFreeElementTable;1
xmlSchemaWhiteSpaceReplace;1
xmlSAXDefaultVersion;1
xmlSchemaValidCtxtGetParserCtxt;1
xmlParseCharData;1
SUPPORT_IP6;19
bottom_tree;141
HAVE___VA_COPY;2
xmlUCSIsCatL;1
xmlSetStructuredErrorFunc;1
xmlSchemaNewParserCtxt;1
xmlXPathPopString;1
HAVE_VSSCANF;1
xmlUCSIsUgaritic;1
__STDC_VERSION__;3
xmlGetCharEncodingHandler;1
xmlUCSIsUnifiedCanadianAboriginalSyllabics;1
xmlXPathNormalizeFunction;1
xmlSAX2Characters;1
SORT_CMP;1
xmlFreeParserCtxt;1
xmlSchemaValueGetNext;1
DEBUG_CONTENT;2
SPECIFIER_CHAR_UPPER;1
xmlNewDocProp;1
DEBUG_INTERLEAVE;3
TRIO_MICROSOFT;3
xmlUCSIsCatSo;1
xmlSearchNsByHref;1
xmlTextWriterWriteCDATA;1
DBL_EPSILON;2
xmlListReverseWalk;1
htmlCtxtReadDoc;1
EBADMSG;1
xmlNodeSetContentLen;1
xmlRegExecNextValues;1
xmlParseURIRaw;1
xmlC14NDocSave;1
xmlSAX2CDataBlock;1
XML_XML_NAMESPACE;3
xmlParserError;1
xmlReadFd;1
xmlTextReaderGetParserColumnNumber;1
xmlTextWriterWriteVFormatDTD;1
xmlDocDumpMemoryEnc;1
xmlValidateDocument;1
xmlPopInputCallbacks;1
xmlListDup;1
HAVE_LZMA_H;5
bottom_catalog;36
xmlIsLetter;1
xmlUCSIsCatZs;1
xmlXPathNodeSetMerge;1
xmlCreateEntityParserCtxt;1
xmlInitGlobals;1
xmlTextWriterWriteDTDInternalEntity;1
xmlTextWriterEndDTD;1
__osf__;2
xmlTextReaderIsEmptyElement;1
xmlStringCurrentChar;1
xmlUCSIsLinearBIdeograms;1
xmlSaveToFd;1
xmlTextReaderConstNamespaceUri;1
xmlCtxtReadFd;1
xmlXPathRegisterVariableLookup;1
xmlFreeDoc;1
xmlXPathFreeCompExpr;1
xmlListDelete;1
