guard;line;td
#ifdef LIBXML_DOCB_ENABLED;3;1
#ifdef LIBXML_HTML_ENABLED;3;1
#ifdef HAVE_CTYPE_H;5;1
#ifdef HAVE_STDLIB_H;8;1
#ifdef HAVE_SYS_STAT_H;11;1
#ifdef HAVE_FCNTL_H;14;1
#ifdef HAVE_UNISTD_H;17;1
#ifdef HAVE_ZLIB_H;20;1
#ifdef LIBXML_PUSH_ENABLED;3385;1
#ifdef DEBUG_PUSH;3459;1
#ifdef DEBUG_PUSH;3478;1
#ifdef DEBUG_PUSH;3551;1
#ifdef DEBUG_PUSH;3653;1
#ifdef DEBUG_PUSH;3659;1
#ifdef DEBUG_PUSH;3665;1
#ifdef DEBUG_PUSH;3693;1
#ifdef DEBUG_PUSH;3703;1
#ifdef DEBUG_PUSH;3717;1
#ifdef DEBUG_PUSH;3723;1
#ifdef DEBUG_PUSH;3732;1
#ifdef DEBUG_PUSH;3753;1
#ifdef DEBUG_PUSH;3763;1
#ifdef DEBUG_PUSH;3774;1
#ifdef DEBUG_PUSH;3800;1
#ifdef DEBUG_PUSH;3810;1
#ifdef DEBUG_PUSH;3823;1
#ifdef DEBUG_PUSH;3849;1
#ifdef DEBUG_PUSH;3858;1
#ifdef DEBUG_PUSH;3891;1
#ifdef DEBUG_PUSH;3910;1
#ifdef DEBUG_PUSH;3924;1
#ifdef DEBUG_PUSH;3989;1
#ifdef DEBUG_PUSH;4014;1
#ifdef DEBUG_PUSH;4024;1
#ifdef DEBUG_PUSH;4035;1
#ifdef DEBUG_PUSH;4043;1
#ifdef DEBUG_PUSH;4053;1
#ifdef DEBUG_PUSH;4063;1
#ifdef DEBUG_PUSH;4094;1
#ifdef DEBUG_PUSH;4105;1
#ifdef DEBUG_PUSH;4116;1
#ifdef DEBUG_PUSH;4127;1
#ifdef DEBUG_PUSH;4138;1
#ifdef DEBUG_PUSH;4149;1
#ifdef DEBUG_PUSH;4160;1
#ifdef DEBUG_PUSH;4171;1
#ifdef DEBUG_PUSH;4182;1
#ifdef DEBUG_PUSH;4193;1
#ifdef DEBUG_PUSH;4204;1
#ifdef DEBUG_PUSH;4231;1
#ifdef DEBUG_PUSH;4256;1
#ifdef DEBUG_PUSH;4352;1
#ifdef LIBXML_SAX1_ENABLED;4401;1
#ifdef LIBXML_HTML_ENABLED;3;1
#ifdef HAVE_CTYPE_H;5;1
#ifdef HAVE_STDLIB_H;8;1
#ifdef LIBXML_OUTPUT_ENABLED;230;1
#ifdef LIBXML_LEGACY_ENABLED;20;1
#ifdef LIBXML_SAX1_ENABLED;21;1
#ifdef LIBXML_HTML_ENABLED;58;1
#ifdef LIBXML_DOCB_ENABLED;94;1
#ifndef SIZE_T_MAX;20;1
#ifdef DEBUG_SAX;194;1
#ifdef DEBUG_SAX;220;1
#ifdef DEBUG_SAX;307;1
#ifdef DEBUG_SAX;323;1
#ifdef DEBUG_SAX;385;1
#ifdef DEBUG_SAX;399;1
#ifdef DEBUG_SAX;454;1
#ifdef LIBXML_VALID_ENABLED;483;1
#ifdef DEBUG_SAX;504;1
#ifdef LIBXML_VALID_ENABLED;520;1
#ifdef DEBUG_SAX;537;1
#ifdef LIBXML_VALID_ENABLED;558;1
#ifdef DEBUG_SAX;574;1
#ifdef DEBUG_SAX;624;1
#ifdef DEBUG_SAX;635;1
#ifdef LIBXML_HTML_ENABLED;640;1
#ifdef DEBUG_SAX;689;1
#ifdef LIBXML_VALID_ENABLED;694;1
#if defined(LIBXML_SAX1_ENABLED) || defined(LIBXML_HTML_ENABLED) || defined(LIBXML_WRITER_ENABLED) || defined(LIBXML_DOCB_ENABLED);715;4
#ifdef LIBXML_HTML_ENABLED;755;1
#ifdef LIBXML_VALID_ENABLED;763;1
#ifdef LIBXML_VALID_ENABLED;807;1
#ifdef LIBXML_VALID_ENABLED;861;1
#ifdef LIBXML_VALID_ENABLED;922;1
#ifdef DEBUG_SAX;1097;1
#ifdef DEBUG_SAX_TREE;1120;1
