feature;sd
TCP_DEFER_ACCEPT;1
USE_BZ2LIB;6
HAVE_WRITEV;5
_XOPEN_IOV_MAX;1
HAVE_MEMCACHE_H;21
__USE_GNU;1
IOV_MAX;1
HAVE_CRYPT;1
SSL_OP_NO_COMPRESSION;1
O_BINARY;2
_LARGEFILE_SOURCE;1
PATH_MAX;1
__GNUC__;2
DEBUG_PROC_OPEN;1
HAVE_CRYPT_H;1
HAVE_SYS_WAIT_H;3
HAVE_SYS_FILIO_H;7
HAVE_POLL_H;2
HAVE_LIBSSL;1
SIZE_T_MAX;1
HAVE_SOCKLEN_T;1
FD_CLOEXEC;2
HAVE_GETRLIMIT;3
USE_FREEBSD_KQUEUE;5
LIGHTTPD_STATIC;2
TRUE;1
USE_SOLARIS_DEVPOLL;5
SSL_OP_DONT_INSERT_EMPTY_FRAGMENTS;1
elementsof;1
ENABLE_MMAP;1
USE_WRITEV;4
NAME_MAX;1
HAVE_SENDFILE;2
AF_INET;1
HAVE_SYS_SYSLIMITS_H;1
SA_LEN;1
HAVE_SYS_PRCTL_H;2
_GNU_SOURCE;1
__CYGWIN__;4
O_LARGEFILE;3
HAVE_OPENSSL_SSL_H;1
OPENSSL_NO_ECDH;3
HAVE_STDINT_H;8
SHUT_WR;1
__linux__;2
DEBUG_ARRAY;1
HAVE_SYS_MMAN_H;1
HAVE_STRUCT_TM_GMTOFF;3
YYERRORSYMBOL;3
SIGTTOU;3
HAVE_LIBEV;1
YYFALLBACK;6
HAVE_IPV6;38
HAVE_MYSQL;4
HAVE_SELECT;1
TEST;3
HAVE_LBER_H;2
DEBUG;4
uint32_t;1
HAVE_SYS_DEVPOLL_H;1
HAVE_SIGNAL;3
HAVE_KQUEUE;1
HAVE_SENDFILE64;1
HAVE_CONFIG_H;14
__aix;1
DEBUG_STAT_CACHE;14
HAVE_VALGRIND_VALGRIND_H;5
HAVE_ATTR_ATTRIBUTES_H;2
HAVE_GETUID;3
SO_ACCEPTFILTER;1
HAVE_GMTIME_R;1
HAVE_PCRE_H;41
SA_SIGINFO;2
HAVE_FASTCGI_FASTCGI_H;3
HAVE_PORT_CREATE;1
HAVE_LUA_H;7
SIZEOF_LONG;2
HAVE_INET_PTON;3
HAVE_FORK;13
MYSQL_VERSION_ID;5
WIN32;7
LOCAL_BUFFERING;2
HAVE_LIBPCRE;1
UIO_MAXIOV;3
USE_SELECT;5
HAVE_VERSION_H;1
SUN_LEN;5
__sgi;1
HAVE_LIBXML_H;3
HAVE_SYS_EPOLL_H;1
HAVE_SYSLOG_H;6
HAVE_LOCALTIME_R;4
HAVE_MEMSET;2
HAVE_GDBM;1
USE_LINUX_SENDFILE;4
HAVE_SIGACTION;7
HAVE_FAM_H;17
FALSE;1
HAVE_ISSETUGID;1
HAVE_STRUCT_SOCKADDR_STORAGE;1
HAVE_SYS_SELECT_H;1
__WIN32__;2
USE_FREEBSD_SENDFILE;4
OPENSSL_NO_DH;3
NDEBUG;46
USE_MMAP;7
HAVE_PATHCONF;1
HAVE_SYS_UN_H;10
HAVE_ZLIB_H;2
SIZE_MAX;1
HAVE_XATTR;4
HAVE_LIBZ;2
HAVE_SOCKADDR_SA_LEN;1
HAVE_SYS_POLL_H;1
HAVE_SEND_FILE;1
HAVE_CHROOT;1
AF_INET6;1
HAVE_SYS_RESOURCE_H;2
SSL_CTRL_SET_TLSEXT_HOSTNAME;1
HAVE_POLL;1
OPENSSL_VERSION_NUMBER;3
HAVE_LDAP_H;2
HAVE_SYS_SENDFILE_H;2
HAVE_LIBLBER;2
HAVE_POSIX_FADVISE;2
PR_SET_DUMPABLE;1
USE_ALARM;3
HAVE_SQLITE3_H;3
USE_POLL;5
O_NONBLOCK;1
HAVE_GDBM_H;14
USE_LOCKS;4
OPENSSL_NO_TLSEXT;10
HAVE_PWD_H;10
__WIN32;29
USE_SOLARIS_PORT;6
__APPLE__;1
HAVE_GETOPT_H;1
MAP_FAILED;3
HAVE_SYS_EVENT_H;1
SIGTSTP;3
EWOULDBLOCK;1
USE_ZLIB;6
HAVE_UUID_UUID_H;1
HAVE_LIBLDAP;2
USE_OPENSSL;48
__FreeBSD__;2
HAVE_FASTCGI_H;1
HAVE_LIBCRYPT;2
USE_LINUX_EPOLL;5
HAVE_MEMCPY;2
HAVE_BZLIB_H;2
SIGTTIN;3
HAVE_SENDFILE_BROKEN;1
HAVE_LIBBZ2;2
HAVE_SENDFILEV;1
INTERFACE;3
EAGAIN;1
DEBUG_MOD_MYSQL_VHOST;1
HAVE_LSTAT;14
SIZEOF_OFF_T;2
__sun;3
USE_LIBEV;5
__DragonFly__;2
USE_PROPPATCH;14
HAVE_INTTYPES_H;8
HAVE_SYS_UIO_H;5
SSIZE_MAX;1
TCP_CORK;3
HAVE_FAMNOEXISTS;1
USE_LDAP;12
HAVE_MMAP;4
USE_SOLARIS_SENDFILEV;4
AI_NUMERICSERV;1
HAVE_MADVISE;1
_WIN32;1
HAVE_PORT_H;1
USE_LINUX_SIGIO;2
HAVE_EPOLL_CTL;1
