branch;line;nd
#ifdef CFAG12864B_DOCHECK;14;1
#else;16;1
#if 0;20;1
#ifdef DEBUG;21;1
#else;23;1
#if 0;43;1
#if 0;121;1
#ifdef DEBUG;11;1
#else;13;1
#ifndef VIRTIO_NET_HDR_F_DATA_VALID;38;1
#if GSO_ENABLED;78;1
#else;86;1
#if GSO_ENABLED;186;1
#if GSO_ENABLED;205;1
#ifdef DEBUG;421;1
#ifdef DEBUG;489;1
#ifdef DEBUG;495;1
#ifdef DEBUG;514;1
#ifdef DEBUG;540;1
#ifdef DEBUG;554;1
#ifdef DEBUG;571;1
#ifdef DEBUG;672;1
#ifdef DEBUG;691;1
#ifdef DEBUG;719;1
#ifdef DEBUG;736;1
#ifdef DEBUG;1024;1
#ifdef DEBUG;1038;1
#ifdef DEBUG;1092;1
#ifndef SO_TIMESTAMPING;14;1
#ifndef SO_TIMESTAMPNS;18;1
#ifndef SIOCGSTAMPNS;21;1
#ifndef SIOCSHWTSTAMP;24;1
#ifdef SO_EE_ORIGIN_TIMESTAMPING;174;1
#else;177;1
#ifndef PR_GET_TSC;9;1
#ifndef PR_GET_TSC;9;1
#ifndef PR_GET_TSC;8;1
#ifndef ADJ_SETOFFSET;19;1
#ifndef CLOCK_INVALID;22;1
#ifndef __x86_64__;8;1
#ifdef TODO;63;1
#ifdef TODO;251;1
#ifdef TODO;307;1
#ifdef INITRD_IMAGE_SIZE;95;1
#ifdef INITRD_IMAGE_SIZE;105;1
#ifdef INITRD_IMAGE_SIZE;112;1
#ifdef DEBUG_CHECK_RANGE;40;1
#ifdef DEBUG_CHECK_RANGE;49;1
#ifdef INITRD_IMAGE_SIZE;101;1
#else;103;1
#ifdef DEBUG_ADDRESSES;149;1
#ifdef DEBUG_ADDRESSES;164;1
#if 0;174;1
#else;178;1
#ifdef DEBUG_ADDRESSES;186;1
#ifdef INITRD_IMAGE_SIZE;196;2
#ifdef DEBUG_ADDRESSES;208;1
#ifdef DEBUG_LAST_STEPS;219;1
#ifdef INITRD_IMAGE_SIZE;224;2
#ifdef DEBUG_LAST_STEPS;231;1
#ifdef DEBUG;27;1
#else;34;1
#ifndef MAXPARTITIONS;5;1
#ifndef u8;8;1
#ifndef u16;11;1
#ifndef u32;14;1
#ifdef __ELF__;11;1
#ifdef __ELF__;32;1
#ifdef __ELF__;103;1
#ifdef __KERNEL__;3;1
#ifdef CONFIG_SMP;8;1
#else;10;1
#ifndef _LINUX_BITOPS_H;3;1
#ifdef CONFIG_SMP;95;1
#ifdef CONFIG_SMP;105;1
#ifdef CONFIG_SMP;129;1
#ifdef CONFIG_SMP;155;1
#ifdef CONFIG_SMP;165;1
#ifdef CONFIG_SMP;191;1
#ifdef CONFIG_SMP;199;1
#if defined(CONFIG_ALPHA_EV6) && defined(CONFIG_ALPHA_EV67);237;1
#else;239;1
#if defined(CONFIG_ALPHA_EV6) && defined(CONFIG_ALPHA_EV67);250;1
#else;252;1
#ifdef __KERNEL__;261;2
#ifdef __KERNEL__;315;1
#ifdef CONFIG_BUG;4;1
#if defined(CONFIG_ALPHA_GENERIC) || defined(CONFIG_ALPHA_EV6);3;1
