feature;sd
VDSO_BUILD;1
MCFPM_PPMCR0;1
CONFIG_RT2X00_LIB_LEDS;14
CONFIG_EFI_VARS_MODULE;1
HCF_TYPE_USB;1
CONFIG_USB_DWC3_GADGET;1
CONFIG_PGTABLE_4;10
CONFIG_HISAX_16_0;2
HIGHMEM_START;2
pte_accessible;1
CONFIG_B43_DEBUG;11
CONFIG_CPU_NEVADA;2
user_siginfo_t;1
P_PPI2_FS2;1
HCF_ENC_SUP;1
CONFIG_FB_MATROX_MILLENIUM;8
CONFIG_IP_PNP_RARP;3
PCI_VENDOR_ID_SCM;1
CONFIG_CPU_COPY_FEROCEON;1
CONFIG_ETRAX_SERIAL_PORT1_DMA9_IN;1
CONFIG_BFIN_KERNEL_CLOCK_MEMINIT_CALC;2
CONFIG_RING_BUFFER;1
MGSLPC_PARANOIA_CHECK;1
CONFIG_PROC_VMCORE;4
CONFIG_MTD_NAND_OMAP2;6
CONFIG_BOARD_ATNGW100_EVKLCD10X_POW_QVGA;1
ACPI_USE_ALTERNATE_PROTOTYPE_acpi_os_get_table_by_address;1
_TRACE_BLOCK_H;1
CONFIG_SYSCTL_ARCH_UNALIGN_NO_WARN;2
assert;4
DBG_PRINTC;1
CONFIG_MOUSE_SYNAPTICS_USB_MODULE;1
WANT_COMPAT_REG_H;2
RNDIS_RX_IS_USABLE;1
CONFIG_FB_PXA_MODULE;20
MS_SPEEDUP;11
IFNAMSIZ;1
CONFIG_SERIAL_SA1100;1
CONFIG_PPC_EARLY_DEBUG_USBGECKO;2
CONFIG_DVB_DS3000;1
UART2_DLL;1
CONFIG_MACH_DAVINCI_EVM;3
ACPI_USE_ALTERNATE_PROTOTYPE_acpi_os_signal_semaphore;1
CONFIG_CPU_ABRT_EV4;1
__kernel_uid32_t;1
CONFIG_I8259;6
CONFIG_USB_STORAGE_USBAT;1
DEBUG_ADB_IOP;4
CONFIG_FB_ATMEL_MODULE;8
CONFIG_USB_ALI_M5632;2
__T4_H__;1
SB1000_DEBUG;1
CONFIG_FPE_FASTFPE;1
GDTH_STATISTICS;10
SIGRTMAX;1
CONFIG_AB8500_CORE;1
CONFIG_TULIP_DM910X;5
CONFIG_F2FS_CHECK_FS;2
CONFIG_CGROUPS;9
CONFIG_TOUCHSCREEN_USB_NEXIO;3
NDEBUG_ABORT;3
_TMS320C5XX;1
CONFIG_SBE_WAN256T3_HDLC_V7_MODULE;2
smp_mb__before_spinlock;1
CONFIG_AT91RM9200_WATCHDOG;1
CONFIG_SMS_SIANO_RC;1
REG_READ;1
VXGE_DEBUG_MODULE_MASK;1
HCF_ACT_PRS_SCAN;1
CONFIG_DVB_STV0900;1
