feature;sd
OPENSSL;1
HAVE_UINT16_T;1
HAVE_STPCPY;2
HRT_CPUTIME_METHOD;26
HAVE_SYS_FPU_H;2
DEBUG_ERROR_LOG;1
assert;4
LNAMES;1
UNIV_FORMAT_A;1
HAVE_SLEEP;1
HAVE_PTHREAD_YIELD_NP;1
SUN_OS;1
HAVE_SOLARIS_LARGE_PAGES;2
__IBMC__;1
PTHREAD_STACK_MIN;1
OLD_GCC_OFFSET;9
MYSQL_PORT_DEFAULT;12
SAFE_MUTEX;47
CDISCARD;3
__ICC;3
HAVE_GRP_H;1
_M_IA64;3
_KERNEL;2
PAGEOUT;1
USE_MY_STREAM;3
ATARI;1
JOB_OBJECT_LIMIT_KILL_ON_JOB_CLOSE;1
WINDOWS;5
__x86_64__;22
USE_MY_STAT_STRUCT;1
EMULTIHOP;1
yystrlen;3
YY_TYPEDEF_YY_SIZE_T;2
OCRNL;1
HRT_USE_GETRUSAGE;7
HAVE_REPLICATION;239
NDB_MGMAPI;6
CQUIT;1
ONLRET;2
HAVE_REALPATH;2
HAVE_VIDATTR;1
__xlC__;2
HAVE_NDB_CONFIG_H;1
HAVE_BROKEN_RWLOCK;1
kalle;1
SETDBG;38
UNIV_AIX;4
NDBD_MULTITHREADED;39
OPTIONS_WRITTEN_TO_BIN_LOG;1
NODEID_BITS;1
COMPILE_FLAG_WERROR;1
USE_SYMDIR;5
DBL_MIN;1
CANT_OPEN_FILES_TWICE;3
Inaccurate_Divide;1
HAVE_CHARSET_gbk;4
ROW_LOG_APPLY_PRINT;5
__SSP__;2
HAVE_CHARSET_eucjpms;3
HAVE_NL_LANGINFO;1
my_write;1
HAVE_QUERY_CACHE;27
DEBUG_OBJECTMAP;1
my_sigset;3
FIL_NULL;1
LEX_YYSTYPE;1
IGNORE_VALGRIND_WARNINGS;4
HAVE_FAKE_PAUSE_INSTRUCTION;1
CHECK_LICENSE;2
HAVE_SOLARIS_AFFINITY;5
_DIAGASSERT;1
HAVE_gcov;3
FILE_WRITE_TO_END_OF_FILE;1
SECURE_SOCKETS;1
VPAGE;6
atarist;1
FN_DEVCHAR;8
va_copy;1
__386__;1
VEOL2;6
__alpha__;8
GUNZIP;8
CREAD;1
DEBUG_ARBIT;3
__USE_UNIX98;1
UNIV_DEBUG_FILE_ACCESSES;16
floatstore;1
USE_NEW_READLINE_INTERFACE;4
PFS_MAX_SETUP_OBJECT;1
BIG_ENDIAN_ORDER;6
HAVE_STRTOUL;1
HAVE_PSI_IDLE_INTERFACE;4
__USE_GNU;1
TAOCRYPT_ENABLE_X86ASM;1
HAVE_TIMERISSET;1
UNIV_HOTBACKUP;361
TZ_MAX_CHARS;1
TAO_ASM;8
HAVE_GETTIMEOFDAY_H;1
NARROW_WRAPPER;1
UNCTRL;1
DATA_TRX_ID;4
IOV_MAX;1
EXTRA_DEBUG_THREADS;3
HAVE_CRYPT;2
LOG_FTP;1
LIST_EXTRA_DEBUG;1
_mm_free;1
YY_START_STACK_INCR;2
WANT_OUR_ATOI;1
TEST_DO_NOT_CHECK_FOR_DUPLICATE_ROWS;1
BACKTRACE_DEMANGLE;4
NOT_REALLY_USED_YET;1
__MSDOS__;1
KEYCACHE_DEBUG_LOG;5
_NODE_BITMASK_SIZE;1
_POWER;4
__MY_NOSYS__;1
HAVE_INT64;1
OLD_HEAP_VERSION;5
PAGE_DIR_SLOT_MIN_N_OWNED;1
__COMPACT__;1
__STDC_VERSION__;6
DISABLE_PSI_STATEMENT_DIGEST;1
LOCK_MODULE_IMPLEMENTATION;1
SAFE_MUTEX_DETECT_DESTROY;6
MGMAPI_LOG;7
HAVE_TERMIO_H;4
UNIV_SQL_DEBUG;4
HAVE_SPATIAL;101
NDB_SCI_TRANSPORTER;8
CLOCK_MONOTONIC;7
UNIV_ZIP_COPY;5
USE_CALLGRIND;2
TZINFO2SQL;7
HAVE_STRUCT_IN6_ADDR;3
HAVE_STACKTRACE;5
ECHO_OUT;2
convex;1
SYNC_DROP_;1
HAVE_GETPW_R_POSIX;5
HAVE_FSYNC;1
MY_ATOMIC_HAS_8_16;5
Honor_FLT_ROUNDS;21
SIZEOF_LONG_LONG;12
PARMRK;1
YASSL_MYSQL_COMPATIBLE;3
SASL_TESTING;1
HAVE_MMAP64;1
VSWTCH;6
VM_TRACE_TIME;19
_lint;13
CMIN;1
TEST_HASH;1
NO_MEMCPY;1
PSI_THREAD_CALL;1
WITH_PERFSCHEMA_STORAGE_ENGINE;15
NDB_NO_DROPPED_SIGNAL;20
HAVE_FCNTL;7
HAVE_STDBOOL_H;2
MI_KEYMAP_BITS;1
_atomic_h_cleanup_;3
HAVE_INT16;1
DISABLE_PSI_STATEMENT;2
UNIV_BLOB_DEBUG;12
O_BINARY;1
HAVE_PTHREAD_YIELD_ZERO_ARG;2
DEBUG_PRINT_PROPERTIES;1
BUF_BUDDY_STAMP_NONFREE;2
SHOULD_BE_CHECKED;1
HAVE_PSI_RWLOCK_INTERFACE;30
CSTATUS;1
__s390__;3
COMPILE_STOPWORDS_IN;1
PSI_FILE_CALL;1
_LARGEFILE_SOURCE;1
PATH_MAX;1
ENABLED_PROFILING;29
TRACE_INTERPRETER;7
HAVE_GETPAGESIZE;3
HAVE_WRITE_CORE;2
__GNUC__;123
PAGE_CUR_ADAPT;2
HAVE_TIMESPEC_TS_SEC;4
UNIV_LOG_LSN_DEBUG;6
CBAUD;1
HAVE_EXECINFO_H;1
FORCE_STATIC;1
HAVE_CRYPT_H;1
_STDLIB_H;12
YYLEX_PARAM;3
ENABLE_SASL;5
__WIN__;389
BUF_LRU_OLD_RATIO_MAX;2
HAVE_SYS_WAIT_H;5
GZIP;6
NODE_REC;1
BINARY;2
HAVE_ASM_MSR_H;3
HAVE_FGETLN;2
TO_BE_DELETED_ON_PRODUCTION;2
HAVE_MKSTEMP;1
YYCOPY;3
HAVE_FLOAT_H;1
MAX_BUFFER_POOLS;1
YY_EXTRA_TYPE;2
USE_FILE_LOCK;4
CLIENT_SETTINGS_INCLUDED;2
HAVE_POSIX_FALLOCATE;1
YY_NO_INPUT;2
HAVE_POLL_H;1
FTS_CHARSET_DEBUG;1
LL;1
HAVE_XFS_XFS_H;2
_AIX41;1
Ndb_H;1
DEBUG_READ;8
HAVE_LDIV;1
ENABLE_MEMCACHED_SASL;3
HAVE_LINUX_SCHEDULING;6
WITH_CSV_STORAGE_ENGINE;1
__convex__;1
TEST_IPV6;4
FIONREAD_IN_SYS_IOCTL;1
UNIV_MATERIALIZE;5
PFS_MAX_SOCKET_CLASS;1
SIZE_T_MAX;2
FTS_OPTIMIZE_DEBUG;4
DBTUP_FIXALLOC_CPP;1
__sparc;4
ndb_api_crash_on_complex_blob_abort;1
EVDNS_MAIN;1
ALLOW_LINESEPARATOR_IN_STRINGS;1
MCL_FUTURE;1
NDB_WITHOUT_COLUMN_FORMAT;5
pthread_sigmask;1
_AIX52;4
__unix__;1
HAVE_SCHED_GET_PRIORITY_MIN;1
EILSEQ;2
__SCO_VERSION__;1
UINT32_MAX;2
I_S_PAGE_TYPE_UNKNOWN;1
HAVE_MALLOC_INFO;3
HAVE_CHARSET_cp852;4
CRPRNT;1
NO_EMULATED_JAM;7
TAOCRYPT_WIN32_AVAILABLE;1
FLT_ROUNDS;1
HAVE_CHARSET_tis620;3
EXIT_SUCCESS;6
HAVE_ARPA_INET_H;2
JTIE_JNI_INT_T;1
SIGBREAK;2
BACKSLASH_MBTAIL;5
TEST_PARSER;1
PAGE_ATOMIC_REF_COUNT;12
DBTUP_BUFFER_CPP;1
__sparcv9;7
POSTINC;1
PRINT_ONLY;3
CLOCK_SGI_CYCLE;2
HAVE_CHARSET_cp866;4
USE_ONE_SIGNAL_HAND;18
F_SETFL;2
UNIV_STATS_DEBUG;2
__OS2__;1
ZUTIL_H;1
ANCHOR;6
NOT_YET_READY_FOR_8_BYTE_POINTERS;1
CHARBITS;1
HAVE_NBTOOL_CONFIG_H;4
HAVE_DEC_3_2_THREADS;7
HAVE_SYS_IPC_H;1
HAVE_GETRLIMIT;4
WORD64_IS_DISTINCT_TYPE;1
protected;1
AUTHENTICATION_WIN;2
_OPENSSL_Applink;1
timersub;1
__s390x__;3
ENABLE_WHEN_BINLOG_WILL_BE_ABLE_TO_PREPARE;1
PFS_MAX_FILE_HANDLE;1
thread_safe_increment;1
DISABLE_TAO_ASM;1
_REENTRANT;8
private;1
VMIN;6
GTEST_HAS_DEATH_TEST;3
__SMALL__;1
TRUE;5
ENABLED_LOCAL_INFILE;1
TARGET_OS_MAC;1
LATER_WL2333;2
HAVE_PREAD;19
my_atomic_rwlock_init;1
SIZEOF_SHORT;1
NOT_YET_FREE_EXTENT;3
UNIV_DDL_DEBUG;3
MAP_ANONYMOUS;1
NOT_ANYMORE;1
NI_MAXSERV;1
PAGE_ZIP_DIR_SLOT_MASK;2
DBTUP_ROUTINES_CPP;1
CANT_BE_USED_AS_MEMORY_IS_FREED;1
MAP_NOSYNC;1
HAVE_PTHREAD_SET_SCHEDPARAM;1
REC_STATUS_NODE_PTR;1
LF_BACKOFF;1
NDB_NO_WAIT_SETUP;2
HAVE_GETEUID;1
ETIME;2
HAVE_LINK_H;1
ZEXPORT;1
PAGE_ZIP_SSIZE_MAX;1
ENABLE_NLS;3
HAVE_FTIME;3
FASTEST;13
EXTPROC;2
NO_GCP;3
NOT_YET_WORKING;2
ndb_mt_hpp;1
__GXX_EXPERIMENTAL_CXX0X__;1
DO_SHA_ASM;3
WE_WANT_TO_SUPPORT_VERY_OLD_FRM_FILES;1
YYERROR_VERBOSE;22
EXTRA_DBUG;1
OS_CODE;1
DONT_MAP_VIO;1
longlong_defined;1
__RENAME;1
HAVE_STDDEF_H;3
HAVE_GETTIMEOFDAY;8
VERBOSE;12
WRAP;1
PRINT_SCHEMA_RESTART;2
GCC_VERSION;6
CTRL;2
