guard;line;td
#ifndef WEXITSTATUS;7;1
# ifdef __WIN__;8;1
#if defined(HAVE_BROKEN_GETPASS) && !defined(HAVE_GETPASSPHRASE);7;2
#ifdef HAVE_GETPASS;10;1
#ifdef HAVE_PWD_H;11;1
#ifndef __WIN__;15;1
#ifdef HAVE_TERMIOS_H;17;1
#ifdef HAVE_TERMIO_H;21;1
#ifdef alpha_linux_port;29;1
#ifdef HAVE_GETPASSPHRASE;37;1
#ifdef __WIN__;40;1
#ifndef HAVE_GETPASS;76;1
#ifdef HAVE_GETPASS;118;1
#ifdef HAVE_GETPASS;125;1
#ifdef _PASSWORD_LEN;128;1
#if defined(HAVE_TERMIOS_H);137;1
#elif defined(HAVE_TERMIO_H);146;1
#ifndef __GNU_LIBRARY__;6;1
#if defined(USE_LIBEDIT_INTERFACE) && defined(HAVE_LOCALE_H);15;2
#if defined(HAVE_CURSES_H) && defined(HAVE_TERM_H);25;2
#if defined(HAVE_TERMIOS_H);29;1
#elif defined(HAVE_TERMBITS_H);32;1
#elif defined(HAVE_ASM_TERMBITS_H) && (!defined __GLIBC__ || !(__GLIBC__ > 2 || __GLIBC__ == 2 && __GLIBC_MINOR__ > 0));34;3
#if defined(HAVE_TERMCAP_H);38;1
#ifdef HAVE_CURSES_H;41;1
#ifdef HAVE_TERM_H;45;1
#if defined(__WIN__);50;1
#if !defined(HAVE_VIDATTR);58;1
#ifdef FN_NO_CASE_SENSE;62;1
#if !defined(HAVE_YASSL);126;1
#ifdef HAVE_SMEM;148;1
#ifdef __WIN__;155;1
#ifdef USE_POPEN;190;1
#if defined(HAVE_READLINE);215;1
#ifdef USE_POPEN;237;1
#ifdef USE_POPEN;245;1
#ifdef USE_POPEN;249;1
#ifdef USE_POPEN;260;1
#ifdef HAVE_READLINE;995;1
#if !defined(HAVE_HIST_ENTRY);996;1
#if defined(HAVE_TERMIOS_H) && defined(GWINSZ_IN_SYS_IOCTL);1028;2
#ifdef _WIN32;1049;1
#ifdef __WIN__;1107;1
#ifndef _WIN32;1154;1
#if defined(HAVE_TERMIOS_H) && defined(GWINSZ_IN_SYS_IOCTL);1164;2
#ifdef HAVE_READLINE;1175;1
#ifndef _lint;1233;1
#ifdef HAVE_READLINE;1240;1
#ifdef HAVE_SMEM;1272;1
#ifdef _WIN32;1316;1
#if defined(HAVE_TERMIOS_H) && defined(GWINSZ_IN_SYS_IOCTL);1323;2
#ifdef DBUG_OFF;1372;1
#ifdef USE_POPEN;1449;1
#ifdef __WIN__;1461;1
