branch;line;nd
#ifdef HAVE_CYRUS_SASL;11;2
#ifdef HAVE_CYRUS_SASL;48;1
#ifdef LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ;61;1
#ifdef LDAP_CONTROL_X_CHAINING_BEHAVIOR;74;1
#ifdef LDAP_CONTROL_X_SESSION_TRACKING;79;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;93;1
#ifdef LDAP_CONTROL_X_DEREF;98;1
#ifdef LDAP_CONTROL_X_WHATFAILED;101;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;112;1
#ifdef LDAP_CONTROL_X_DEREF;117;1
#ifdef LDAP_CONTROL_X_WHATFAILED;120;1
#ifdef LDAP_CONTROL_X_SESSION_TRACKING;127;2
#ifdef HAVE_CYRUS_SASL;183;1
#ifdef HAVE_TLS;186;1
#ifdef LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ;239;2
#ifdef LDAP_CONTROL_X_CHAINING_BEHAVIOR;244;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;251;1
#ifdef LDAP_CONTROL_X_SESSION_TRACKING;257;1
#ifdef LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ;377;1
#ifdef LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ;393;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;450;1
#ifdef LDAP_CONTROL_X_CHAINING_BEHAVIOR;480;1
#ifdef LDAP_CONTROL_X_SESSION_TRACKING;521;1
#ifdef HAVE_CYRUS_SASL;613;1
#else;623;1
#ifdef HAVE_CYRUS_SASL;691;1
#else;703;1
#ifdef HAVE_CYRUS_SASL;750;1
#else;760;1
#ifdef HAVE_CYRUS_SASL;766;1
#else;779;1
#ifdef HAVE_CYRUS_SASL;786;1
#else;799;1
#ifdef HAVE_CYRUS_SASL;828;1
#else;840;1
#ifdef HAVE_CYRUS_SASL;854;1
#else;866;1
#ifdef HAVE_TLS;872;1
#else;874;1
#ifdef HAVE_CYRUS_SASL;931;1
#else;937;1
#ifdef LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ;958;1
#ifdef LDAP_CONTROL_X_CHAINING_BEHAVIOR;961;1
#ifdef LDAP_CONTROL_X_SESSION_TRACKING;964;1
#ifdef HAVE_TLS;972;1
#ifdef HAVE_CYRUS_SASL;978;1
#ifdef SIGPIPE;1010;1
#ifdef HAVE_CYRUS_SASL;1153;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;1201;1
#ifdef LDAP_CONTROL_X_SESSION_TRACKING;1213;1
#ifdef HAVE_CYRUS_SASL;1246;1
#else;1277;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;1316;1
#ifdef LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ;1386;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;1392;1
#ifdef LDAP_CONTROL_X_CHAINING_BEHAVIOR;1397;1
#ifdef LDAP_CONTROL_X_SESSION_TRACKING;1400;1
#ifdef LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ;1437;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;1475;1
#ifdef LDAP_CONTROL_X_CHAINING_BEHAVIOR;1530;1
#ifdef LDAP_CONTROL_X_SESSION_TRACKING;1568;1
#ifdef LDAP_CONTROL_X_DEREF;1764;1
#ifdef LDAP_CONTROL_X_WHATFAILED;1837;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;1863;1
#ifdef HAVE_CYRUS_SASL;39;1
#ifdef LDAP_CONTROL_X_CHAINING_BEHAVIOR;56;1
#ifdef HAVE_FCNTL_H;11;1
#ifdef HAVE_SYS_TYPES_H;14;1
#ifdef HAVE_IO_H;17;1
#ifdef LDAP_CONTROL_DONTUSECOPY;55;1
#ifdef LDAP_CONTROL_DONTUSECOPY;80;1
#ifdef LDAP_CONTROL_DONTUSECOPY;152;1
#ifdef LDAP_CONTROL_DONTUSECOPY;157;1
#if 0;47;1
#ifdef HAVE_SYS_STAT_H;9;1
#ifdef HAVE_SYS_FILE_H;12;1
#ifdef HAVE_FCNTL_H;15;1
#ifdef LDAP_X_TXN;69;1
#ifdef LDAP_X_TXN;91;1
#ifdef LDAP_X_TXN;123;1
#ifdef LDAP_X_TXN;206;1
#ifdef LDAP_X_TXN;220;1
#ifdef LDAP_X_TXN;225;1
#ifdef LDAP_X_TXN;278;1
#ifdef LIBERAL_CHANGETYPE_MODOP;395;1
#ifdef LIBERAL_CHANGETYPE_MODOP;547;1
#if 0;607;1
#ifdef LDAP_X_TXN;1017;1
#if 0;46;1
#if 0;42;1
#ifdef HAVE_FCNTL_H;11;1
#ifdef HAVE_SYS_TYPES_H;14;1
#ifdef HAVE_IO_H;17;1
#if !LDAP_DEPRECATED;27;1
#if defined(__CYGWIN__) || defined(__MINGW32__);45;1
#ifdef LDAP_CONTROL_X_DEREF;75;1
#ifdef LDAP_CONTROL_DONTUSECOPY;134;1
#ifdef LDAP_CONTROL_X_DEREF;158;1
#ifdef LDAP_CONTROL_DONTUSECOPY;329;1
#ifdef LDAP_CONTROL_X_DEREF;466;1
#ifdef LDAP_CONTROL_DONTUSECOPY;726;1
#ifdef LDAP_CONTROL_X_DEREF;729;1
#ifdef LDAP_CONTROL_DONTUSECOPY;740;1
#ifdef LDAP_CONTROL_X_DEREF;871;1
#ifdef LDAP_CONTROL_X_DEREF;977;1
#if 0;28;1
#ifdef LDAP_OPT_DIAGNOSTIC_MESSAGE;26;1
#else;28;1
#ifdef HAVE_TERMIOS_H;5;1
#ifdef HAVE_TERMIOS_H;38;1
#ifdef HAVE_TERMIOS_H;60;1
#if 0;32;1
#ifdef TIME_WITH_SYS_TIME;3;1
#elif defined HAVE_SYS_TIME_H;6;2
#else;11;1
#ifdef WITH_DEBUG;13;1
#else;15;1
#if defined(OPEN_LDAP);10;2
#elif defined( LDAP_OPT_SIZELIMIT );20;1
#else;22;1
#if LDAP_API_VERSION >= 2004;118;1
#ifdef UMICH_LDAP;301;1
#ifdef UMICH_LDAP;316;1
#else;320;1
#ifdef UMICH_LDAP;332;1
#else;334;1
#ifdef LDAP_OPT_DEREF;600;1
#ifdef UMICH_LDAP;668;1
#if 0;674;1
#ifdef LDAP_OPT_DEREF;687;1
#if 0;702;2
#if defined(UMICH_LDAP) || (defined(OPEN_LDAP) && !defined(LDAP_API_VERSION));744;1
#else;837;1
#ifdef LDAP_DEBUG;910;1
#ifdef UMICH_LDAP;1015;1
#if LDAPTCL_PROTOCOL_VERSION_DEFAULT;1041;1
#ifdef LDAP_OPT_PROTOCOL_VERSION;1047;2
#else;1064;1
#ifdef LDAP_OPT_PROTOCOL_VERSION;1081;1
#ifdef UMICH_LDAP;1097;1
#ifdef TCL_TEST;4;1
#ifdef USE_TCLX;12;1
#else;14;1
#ifdef USE_ITCL;26;1
#ifdef TCL_TEST;32;1
#ifdef USE_TCLX;39;1
#ifdef __cplusplus;5;1
#else;9;1
#ifdef USE_TCLX;16;1
#else;18;1
#ifdef __cplusplus;23;1
#else;26;1
