feature;sd
BOTH_STRINGS_H;1
SLAPD_OVER_TRACE;2
USE_REWRITE_LDAP_PVT_THREADS;58
SLAP_CONTROL_X_TREE_DELETE;8
HAVE_GRP_H;3
HAVE_MKVERSION;1
STDC_HEADERS;3
LDAP_THREAD_POOL_IMPLEMENTATION;3
EMULTIHOP;1
SLAPD_OVER_DEREF;2
SLAPD_OVER_NOPS;3
__MINGW32__;2
SLAPD_OVER_COLLECT;2
HAVE_SYS_ERRLIST;3
SHA2_USE_INTTYPES_H;4
SASL_CB_GETREALM;1
SLAPD_OVER_NSSOV;2
SLAPD_HDB;2
X;1
HAVE_KRB5;2
LDAP_NEED_ASSERT;1
SLAPD_OVER_CLOAK;3
LDAP_USE_NON_BLOCKING_TLS;3
SLAPD_LDAP_H;1
SLAPD_MODULES;19
HAVE_SASL_VERSION;2
LDAP_FILTER_PRESENT;1
SLAP_MOD_ADD_IF_NOT_PRESENT;1
BDB_MULTIPLE_SUFFIXES;12
FD_SETSIZE;6
IOV_MAX;1
SO_KEEPALIVE;4
__STDC_VERSION__;3
LDAP_THREAD_DEBUG_IMPLEMENTATION;1
LDAP_OPT_PROTOCOL_VERSION;2
EBADMSG;1
SLAPD_OVER_SSSVLV;2
SLAP_X_DEVPOLL;3
VALID_FLAGS;1
PERL_EXIT_DESTRUCT_END;1
LDAP_X_TXN;49
HAVE_SETUID;7
LDAP_THREAD_HAVE_SETCONCURRENCY;3
LDAP_PF_LOCAL;31
LBER_MAX_BUFF_SIZE;1
SLAPD_OVER_DENYOP;2
HAVE_FCNTL;7
SLAP_AUTH_REWRITE;13
LDAP_THREAD_HAVE_SLEEP;1
PATH_MAX;1
__GNUC__;9
HAVE_CRYPT_H;1
SLAPD_META_H;1
BACKSQL_PRETTY_VALIDATE;5
HAVE_SYS_WAIT_H;1
IDL_BINARY_SEARCH;2
HAVE_MKSTEMP;2
HAVE_SLP;4
SASL_GSS_CREDS;2
HAVE_SYS_FILIO_H;1
HAVE_TCPD;6
HAVE_POLL_H;1
DOS;1
LDAP_VENDOR_VERSION;1
CSTATIC;1
DO_SAMBA;12
SLAPD_OVER_VERNUM;2
LDAP_THREAD_DEBUG;3
SASL_VERSION_FULL;4
HAVE_MKTEMP;1
MDB_CLOEXEC;1
