branch;line;nd
#ifdef ZTS;2;3
#if !defined(__CYGWIN__) && defined(WIN32);3;1
#else;6;1
#ifdef TSRM_WIN32;9;2
#elif defined(__GNUC__) && __GNUC__ >= 4;15;1
#else;17;1
#ifdef _WIN64;20;1
#else;23;1
#ifdef ZTS;27;3
#else;121;1
#ifndef __CYGWIN__;3;2
#ifdef TSRM_WIN32;8;1
#else;10;1
#if HAVE_ALLOCA_H && !defined(_ALLOCA_H);14;1
#ifndef __GNUC__;17;5
#if HAVE_UNISTD_H;30;1
#if HAVE_LIMITS_H;33;1
#ifndef MAXPATHLEN;36;2
#if (HAVE_ALLOCA || (defined (__GNUC__) && __GNUC__ >= 2));45;1
#else;51;1
#ifdef NETWARE;5;2
#if 0;38;1
#ifdef TSRM_WIN32;10;2
#ifdef ZTS;43;1
#else;45;1
#ifdef ZTS;13;1
#else;18;1
#ifdef ZEND_SIGNALS;72;1
#ifdef ZTS;76;1
#ifdef ZTS;393;1
#else;397;1
#ifdef ZTS;427;2
#if defined(__FreeBSD__) || defined(__DragonFly__);512;1
#ifdef ZTS;537;1
#else;542;1
#if defined(__FreeBSD__) || defined(__DragonFly__);548;1
#ifndef ZEND_SIGNALS;562;1
#if HAVE_DTRACE;572;1
#else;576;1
#ifdef ZTS;599;1
#else;615;1
#ifndef ZTS;626;1
#ifdef ZTS;631;1
#ifdef ZTS;643;1
#else;667;1
#ifdef ZEND_SIGNALS;673;1
#ifdef ZEND_WIN32;676;1
#ifdef ZTS;694;1
#ifdef ZTS;749;1
#if ZEND_DEBUG;775;1
#if GC_BENCH;780;1
#ifdef HAVE_DTRACE;895;1
#ifndef va_copy;925;2
#ifdef va_copy;934;1
#if defined(__GNUC__) && __GNUC__ >= 3 && !defined(__INTEL_COMPILER) && !defined(DARWIN) && !defined(__hpux) && !defined(_AIX) && !defined(__osf__);1024;1
#if ZEND_DEBUG;1029;2
#ifdef __cplusplus;5;1
#else;8;1
#ifdef ZEND_WIN32;12;1
#elif defined(NETWARE);15;1
#elif defined(__riscos__);18;1
#else;21;1
#ifdef ZEND_WIN32;25;1
#else;27;1
#ifdef HAVE_UNIX_H;31;1
#ifdef HAVE_STDARG_H;34;1
#ifdef HAVE_DLFCN_H;37;1
#if defined(HAVE_LIBDL) && !defined(ZEND_WIN32);40;2
#elif defined(ZEND_WIN32);63;1
#else;69;1
#if HAVE_ALLOCA_H && !defined(_ALLOCA_H);73;1
#ifndef __GNUC__;76;4
#ifndef __has_attribute;87;1
#ifdef __GNUC__;90;1
#else;92;1
#if ZEND_GCC_VERSION >= 2096;95;1
#else;97;1
#if ZEND_GCC_VERSION >= 4003 || __has_attribute(alloc_size);100;1
#else;103;1
#if ZEND_GCC_VERSION >= 2007;107;1
#else;109;1
#if ZEND_GCC_VERSION >= 3001 && !defined(__INTEL_COMPILER);112;1
#else;114;1
#if ZEND_GCC_VERSION >= 3001;117;1
#elif defined(ZEND_WIN32) && defined(_MSC_VER) && _MSC_VER >= 1300;119;1
#else;121;1
#if defined(__GNUC__) && ZEND_GCC_VERSION >= 3004 && defined(__i386__);124;1
#elif defined(_MSC_VER) && defined(_M_IX86);126;1
#else;128;1
#if defined(__GNUC__) && ZEND_GCC_VERSION >= 3004;131;1
#else;132;1
#if (HAVE_ALLOCA || (defined (__GNUC__) && __GNUC__ >= 2)) && !(defined(ZTS) && defined(NETWARE)) && !(defined(ZTS) && defined(HPUX)) && !defined(DARWIN);136;1
#else;143;1
#if ZEND_DEBUG;149;1
#else;163;1
#ifdef ZTS;178;1
#else;180;1
#ifdef HAVE_LIMITS_H;187;1
#ifndef LONG_MAX;190;1
#ifndef LONG_MIN;193;1
#if SIZEOF_LONG == 4;196;1
#elif SIZEOF_LONG == 8;199;1
#else;202;1
#if defined(__GNUC__) && __GNUC__ >= 3 && !defined(__INTEL_COMPILER) && !defined(DARWIN) && !defined(__hpux) && !defined(_AIX) && !defined(__osf__);215;1
#else;217;1
#if ZEND_DEBUG;277;1
#else;280;3
#if (defined (__GNUC__) && __GNUC__ > 2 ) && !defined(DARWIN) && !defined(__hpux) && !defined(_AIX);297;1
#else;300;1
#ifdef HAVE_SIGSETJMP;471;1
#else;475;1
#if ZEND_DEBUG;502;1
#else;504;1
#ifndef ZTS;512;1
#else;514;1
#ifndef ZEND_SIGNALS;544;1
#else;547;1
#ifdef HAVE_STDARG_H;8;1
#if ZTS;885;1
#else;887;1
#if ZTS;927;1
#else;930;1
#ifdef ZTS;1331;1
#else;1333;1
#if 0;1471;1
#if 0;1837;1
#if 0;1879;1
#ifdef ZTS;1885;1
#else;1889;1
#if HAVE_LIBDL;1899;2
#if 0;1922;1
#ifdef ZEND_WIN32;2084;1
#ifdef ZEND_WIN32;2095;1
#ifdef ZTS;90;1
#else;94;1
#ifdef ZTS;107;1
#else;109;1
#ifndef ZEND_WIN32;202;1
#if ZEND_DEBUG;304;1
#else;307;1
#ifdef HAVE_SIGNAL_H;5;1
#ifdef HAVE_UNISTD_H;8;1
#ifdef ZEND_WIN32;11;1
#ifndef ZEND_MM_HEAP_PROTECTION;15;1
#ifndef ZEND_MM_SAFE_UNLINKING;18;1
#ifndef ZEND_MM_COOKIES;21;1
#ifdef _WIN64;24;1
#else;26;1
#if ZEND_DEBUG;29;2
#if (defined (__GNUC__) && __GNUC__ > 2 ) && !defined(__INTEL_COMPILER) && !defined(DARWIN) && !defined(__hpux) && !defined(_AIX);44;1
#ifdef PHP_WIN32;50;1
#if ZEND_DEBUG && defined(HAVE_KILL) && defined(HAVE_GETPID);53;1
#ifdef ZEND_WIN32;58;1
#if HAVE_LIMITS_H;64;1
#if defined(HAVE_MEM_MMAP_ANON) || defined(HAVE_MEM_MMAP_ZERO);69;3
#if defined(HAVE_MEM_MMAP_ANON) || defined(HAVE_MEM_MMAP_ZERO);102;3
#ifdef HAVE_MEM_MMAP_ANON;129;1
#ifdef HAVE_MEM_MMAP_ZERO;140;1
#ifdef HAVE_MEM_WIN32;168;1
#ifdef HAVE_MEM_MALLOC;208;1
#ifdef HAVE_MEM_WIN32;224;1
#ifdef HAVE_MEM_MALLOC;227;1
#ifdef HAVE_MEM_MMAP_ANON;230;1
#ifdef HAVE_MEM_MMAP_ZERO;233;1
#if ZEND_MM_COOKIES;248;1
#if ZEND_DEBUG;254;2
#elif ZEND_MM_HEAP_PROTECTION;265;1
#if ZEND_DEBUG;273;2
#elif ZEND_MM_HEAP_PROTECTION;279;1
#if ZEND_DEBUG;285;2
#if ZEND_DEBUG;296;2
#ifndef ZEND_MM_CACHE_STAT;310;1
#if ZEND_MM_CACHE;333;1
#if ZEND_MM_CACHE_STAT;341;1
#if ZEND_MM_COOKIES;354;1
#else;359;1
#ifdef _WIN64;365;1
#else;367;1
#if ZEND_DEBUG;399;2
#else;411;1
#if ZEND_MM_HEAP_PROTECTION;417;1
#else;424;2
#if ZEND_MM_SAFE_UNLINKING;433;1
#else;436;1
#if defined(__GNUC__) && (defined(__native_client__) || defined(i386));446;1
#elif defined(__GNUC__) && defined(__x86_64__);450;1
#elif defined(_MSC_VER) && defined(_M_IX86);454;1
#elif defined(__GNUC__) && (defined(__arm__) || defined(__aarch64__));458;1
#else;460;1
#if defined(__GNUC__) && (defined(__native_client__) || defined(i386));471;1
#elif defined(__GNUC__) && defined(__x86_64__);475;1
#elif defined(_MSC_VER) && defined(_M_IX86);479;1
#elif defined(__GNUC__) && (defined(__arm__) || defined(__aarch64__));483;1
#else;485;1
#if ZEND_MM_SAFE_UNLINKING;556;1
#if ZEND_MM_SAFE_UNLINKING;590;1
#if ZEND_MM_CACHE;642;1
#if ZEND_MM_CACHE_STAT;646;1
#if ZEND_MM_CACHE;671;2
#if ZEND_MM_HEAP_PROTECTION || ZEND_MM_COOKIES;709;2
#if 0;768;1
#if ZEND_MM_HEAP_PROTECTION;784;1
#if ZEND_MM_COOKIES;792;1
#ifdef PHP_WIN32;799;1
#ifdef PHP_WIN32;807;1
#ifdef PHP_WIN32;816;1
# if ZEND_MM_CACHE_STAT;826;1
#ifdef PHP_WIN32;892;1
#ifdef PHP_WIN32;898;1
#ifdef PHP_WIN32;910;1
#ifdef PHP_WIN32;916;1
#if ZEND_DEBUG;935;2
#if ZEND_DEBUG;1287;1
#if ZEND_MM_CACHE_STAT;1294;1
#if ZEND_DEBUG;1337;1
#ifndef ZEND_WIN32;1358;1
#ifndef ZEND_WIN32;1374;1
#if ZEND_DEBUG;1409;1
#if ZEND_DEBUG;1441;1
#if ZEND_DEBUG;1452;1
#ifdef PHP_WIN32;1459;1
#ifdef ZEND_SIGNALS;1541;1
#if ZEND_MM_CACHE;1551;2
#if ZEND_MM_CACHE_STAT;1573;1
#if ZEND_MM_CACHE_STAT;1579;1
#if ZEND_MM_CACHE;1608;1
#if ZEND_DEBUG;1612;1
#else;1614;1
#if ZEND_MM_CACHE;1620;1
#if ZEND_DEBUG;1625;1
#else;1627;1
#ifdef ZEND_SIGNALS;1679;1
#if ZEND_DEBUG || ZEND_MM_HEAP_PROTECTION;1689;1
#if ZEND_MM_CACHE;1692;2
#ifdef ZEND_SIGNALS;1736;1
#if ZEND_MM_CACHE;1769;2
#if ZEND_MM_CACHE;1859;1
#if ZEND_DEBUG;1863;1
#else;1865;1
#if ZEND_MM_CACHE;1872;1
#if ZEND_DEBUG;1877;1
#else;1879;1
#if ZEND_DEBUG || ZEND_MM_HEAP_PROTECTION;1920;1
#else;1922;1
#if ZEND_DEBUG || ZEND_MM_HEAP_PROTECTION;1949;1
#else;1951;1
#ifdef ZTS;1958;1
#else;1961;1
#if defined(__GNUC__) && (defined(__native_client__) || defined(i386));2001;1
#elif defined(__GNUC__) && defined(__x86_64__);2017;2
#elif defined(__GNUC__) && defined(__arm__);2041;1
#elif defined(__GNUC__) && defined(__aarch64__);2058;1
#elif SIZEOF_SIZE_T == 4 && defined(HAVE_ZEND_LONG64);2074;1
#else;2084;1
#ifdef ZEND_SIGNALS;2116;1
#ifdef ZEND_SIGNALS;2133;1
#ifdef ZEND_SIGNALS;2150;1
#ifdef ZEND_SIGNALS;2167;1
#if ZEND_MM_CACHE;2195;1
#ifdef ZTS;2227;1
#ifdef ZTS;2235;1
#else;2237;1
#if ZEND_DEBUG;2262;1
#ifndef ZEND_MM_ALIGNMENT;6;1
#elif ZEND_MM_ALIGNMENT < 4;9;1
#if ZEND_DEBUG;103;1
#else;109;1
#ifdef ZTS;5;1
#else;7;1
#if ZEND_DEBUG;10;1
#else;12;1
#if defined(ZEND_WIN32) && defined(PHP_COMPILER_ID);15;1
#else;17;1
#if ZEND_DEBUG;33;2
#if ZEND_DEBUG;64;2
#if ZEND_DEBUG;146;1
#if ZEND_DEBUG;210;2
#if ZEND_DEBUG;243;2
#if ZEND_DEBUG;1071;2
#if ZEND_DEBUG;1374;2
#ifndef ZTS;23;1
#ifdef ZTS;2211;1
#else;2214;1
#ifdef ZTS;2929;1
#else;2937;1
