feature;sd
HAVE_UINT16_T;2
NEW_LIBC;1
HAVE_STMT_NEXT_RESULT;1
HAVE_FTP;5
LNAMES;1
SIGRTMAX;1
ZEND_EXTENSIONS_SUPPORT;5
HAVE_GD_BUNDLED;23
_SQLITE3_H_;1
static;1
PHP_MAJOR_VERSION;46
HAVE_UINT16_T_LIBZIP;1
PHP_HTTP_PARSER_STRICT;1
LOG_KERN;1
SUPPORT_VALGRIND;1
ER_CANT_REMOVE_ALL_FIELDS;1
HAVE_GRP_H;4
ER_SELECT_REDUCED;1
CRAY_STACK;1
MB_SERVICE_NOTIFICATION;1
PHP_ZIP_USE_OO;7
WINDOWS;26
__x86_64__;14
STDC_HEADERS;2
ESC_r;1
COMPILE_DL_ICONV;1
HAVE_ST_BLOCKS;5
HAVE_NON_BLOCKING_CONNECT;1
EMULTIHOP;1
COMPILE_DL_OPENSSL;1
ER_WRONG_OUTER_JOIN;1
yystrlen;2
COMPILE_DL_SESSION;11
ER_GRANT_WRONG_HOST_OR_USER;1
PHP_ROUND_HALF_DOWN;1
SA_INTERRUPT;1
LDAP_OPT_MATCHED_DN;3
S_IFBLK;1
HAVE_REALPATH;7
__MINGW32__;2
ER_PARSE_ERROR;1
EISDIR;2
__gnu_linux__;10
HAVE_DEPRECATED_DNS_FUNCS;1
ER_UPDATE_LOG_DEPRECATED_IGNORED;1
EROFS;1
SIZEOF_LONG_LONG_INT;2
VIRTUAL_CWD_DEBUG;6
HAVE_ECDH;3
PIKE_THREADS;1
HAVE_GETINFO_FUNCS;2
HAVE_FLOORF;2
HAVE_SYSVSEM;2
TSRM_DEBUG;3
Inaccurate_Divide;1
LDAP_REFERRAL;1
PT_IO;1
XMLRPC_LIB_VERSION;1
TSRM_WIN32;52
USE_CALENDAR_POINTER;1
php_syslog;1
HAVE_NL_LANGINFO;6
COMPILE_DL_XMLREADER;1
HAVE_AES;1
MATCH_LIMIT;1
HAS_MCAST_EXT;11
ER_SP_CURSOR_ALREADY_OPEN;1
NEWLINE;1
SQLITE_API;1
safe_emalloc;1
ONIG_ENCODING_ISO_8859_16;1
PHP_WIN32;674
LIBXML_XPATH_ENABLED;13
ER_CANT_DO_THIS_DURING_AN_TRANSACTION;1
MALLOC;1
ER_KEY_DOES_NOT_EXITS;1
HAVE_PQSETNONBLOCKING;1
va_copy;8
ECONNREFUSED;1
ZEND_DECLARE_INHERITED_CLASS_DELAYED;1
OPENSSL_NO_RC2;2
__alpha__;1
SAPI_EXPORTS;1
WUNTRACED;1
INT64_C;1
EBCDIC_NL25;2
SCANNER_DEBUG;1
BUS_ADRERR;1
EBADR;1
IS_NOT_NULL;1
HAVE_STRTOUL;1
CURLOPT_PASSWDFUNCTION;5
__USE_GNU;3
PCREPOSIX_EXP_DECL;2
HAVE_MONETARY_H;1
ER_SP_DUP_HANDLER;1
R_OK;4
HAVE_UNSIGNED_LONG_LONG;1
HAVE_OCI8;7
HAVE_PROTOTYPES;1
IOV_MAX;2
BUILTIN_ELF;2
QUANT_2PASS_SUPPORTED;1
HAVE_CRYPT;7
LOG_FTP;1
XML_UNICODE;1
ER_COLUMNACCESS_DENIED_ERROR;1
HAVE___INT64_LIBZIP;2
CURLVERSION_NOW;2
PCRE_STATIC;4
GD_VERSION_STRING;1
UINT8_C;1
ZIP_DISABLE_DEPRECATED;1
INT_FRAC_DIGITS;2
__GNU__;1
HAVE_INT16_T;2
TEST_KDDI;2
HAVE_INT64;1
ENABLE_CHROOT_FUNC;4
HAVE_CURL_GNUTLS;1
__STDC_VERSION__;1
OCI_DEFAULT;1
ONIG_ENCODING_UTF8;1
HAVE_DOM;36
ONIG_DEBUG_SEARCH;9
DB1_INCLUDE_FILE;1
Unsigned_Shifts;1
ONIG_EXTERN;4
ONIGURUMA_H;1
CLOCK_MONOTONIC;1
PHP_PDO_OCI_CLIENT_VERSION;1
ERA_YEAR;2
ONIG_ENCODING_ISO_8859_1;1
_SC_TTY_NAME_MAX;2
UNSIGNED_FLAG;1
HAS_MESSAGE_PATTERN;4
EBADMSG;1
GDCACHE_TEST;1
ER_BAD_NULL_ERROR;1
COMPILE_DL_SPL;3
USE_NT_PSINFO;2
HAVE_MBSTATE_T;5
COMPILE_DL_PDO_MSSQL;1
EHOSTUNREACH;1
SIZEOF_LONG_LONG;22
PARSE_SERVER;1
bit_uint6korr;1
_H_REGEX;1
DBA_DB4;4
MSG_WAITFORONE;1
HAVE_GLIBC_ICONV;2
Z_ADDREF_P;4
HAVE_GD_PNG;17
DBA_INIFILE;3
__osf__;6
MYSQLND_SSL_SUPPORTED;4
HAVE_STDBOOL_H;1
SIGLWP;1
_STDINT;1
HAVE___INT32_LIBZIP;2
COMPILE_DL_PDO_ODBC;1
SQLT_INTERVAL_YM;2
HAVE_INT16;1
USE_UPPER_CASE_TABLE;2
HAVE_OCISTMTFETCH2;3
GROUPING;2
HAVE_MBRLEN;5
O_BINARY;8
PHP_5_5_API_NO;7
moriyoshi_0;1
HAVE_SYS_TYPES_H_LIBZIP;1
HAVE_STDINT_H_LIBZIP;1
__s390__;1
PATH_MAX;2
PROCESSOR_ARCHITECTURE_IA32_ON_WIN64;1
__GNUC__;103
COMPILE_DL_LDAP;1
PHP_BZ2_EXPORTS;1
ZEND_API;1
ENABLE_CONDITIONALS;11
__arm;2
HAVE_CRYPT_H;1
_STDLIB_H;6
HAVE_BUNDLED_PCRE;19
YYLEX_PARAM;2
HAVE_NSLDAP;22
__WIN__;1
HAVE_SYS_WAIT_H;12
HAVE_PQESCAPE_BYTEA_CONN;3
P_;2
ER_WRONG_PARAMETERS_TO_NATIVE_FCT;1
LIBCURL_VERSION_NUM;143
PHP_MAX_SALT_LEN;1
LDAP_OPT_NETWORK_TIMEOUT;3
VER_SUITE_WH_SERVER;1
ER_UNSUPPORTED_EXTENSION;1
HAVE_STRFTIME;5
HAVE_MKSTEMP;4
CLIENT_MULTI_STATEMENTS;5
HAVE_ERRMSG_H;1
YYCOPY;2
MAP_FILE;1
ER_TOO_LONG_BODY;1
TEST_DOCOMO;2
HAVE_FPM_TRACE;4
PHP_NEED_REENTRANCY;3
IPV6_RECVPKTINFO;1
HAVE_PTRACE;1
HAVE_ALPHASORT;3
UTEXT_CURRENT32;1
_PROTOTYPE;1
LDAP_VENDOR_VERSION;1
CMSG_DATA;1
SQLT_INTERVAL_DS;2
DBVERSION_71;1
X509_PURPOSE_ANY;1
STR_TRANSLATION;3
BUS_OBJERR;1
accept;2
HAVE_LDAP_SASL_SASL_H;1
ONIG_DEBUG_STATISTICS;5
dv_unit;1
HAVE_SOLID_30;19
__sparc;3
MODULE_MAGIC_NUMBER;36
MSG_DONTWAIT;2
HAVE_INT8_T;2
EPROTOTYPE;1
HAVE_USLEEP;3
HAVE_IMAP2000;9
HAVE_MEM_WIN32;2
HAVE_CLI0EXT1_H;1
LDAP_X_OPT_CONNECT_TIMEOUT;3
PHP_ICONV_IMPL;1
HAVE_POSIX;2
UINT32_MAX;1
SIGSTOP;1
SIOCGIFNAME;1
ER_UNKNOWN_COM_ERROR;1
HAVE_READLINE_HISTORY_H;1
HAVE_SOCKETS;1
HAVE_SOCKLEN_T;3
FD_CLOEXEC;2
MSG_CMSG_CLOEXEC;1
EXIT_SUCCESS;6
HAVE_ARPA_INET_H;11
HAVE_UINT8_T_LIBZIP;1
DNS_T_SOA;1
ILL_COPROC;1
HAVE_FLUSHIO;3
errno;1
HAVE_CODBC;1
ZEND_JMP_SET_VAR;2
SHUT_RDWR;1
__sparcv9;1
USE_UNICODE_CASE_FOLD_TURKISH_AZERI;12
ENOPROTOOPT;1
ONIG_ENCODING_ISO_8859_5;1
IS_UNUSED;32
HAVE_GETPROTOBYNAME;3
PACKAGE;1
VAX;11
F_SETFL;1
_SC_PAGE_SIZE;3
ZEND_YIELD;3
IO_REPARSE_TAG_DEDUP;1
IT_WAS_USED;2
MYSQLND_DBG_ENABLED;4
HAVE_LIBVPX;2
EEXIST;1
ELIBBAD;1
ZEND_BROKEN_SPRINTF;1
VIRTUAL_DIR;6
HAVE_SYS_IPC_H;1
MYSQLND_DEBUG_MEMORY;2
RLIMIT_DATA;1
HAVE_GETRLIMIT;4
HAVE_GD_XPM;10
int16_t;1
protected;2
HAVE_STATVFS;5
GC_BENCH;6
timersub;1
__s390x__;2
VER_NT_WORKSTATION;1
UNICODE_TABLE_CP936_DEF;1
_REENTRANT;5
ER_SP_DUP_PARAM;1
_INTRINSICS;1
ER_SIGNAL_WARN;1
USE_NEWLINE_AT_END_OF_STRING_HAS_EMPTY_LINE;6
int64_t;2
TRUE;12
HAVE_PREAD;1
ECONNABORTED;1
HAVE_GETPWUID_R;5
SIZEOF_SHORT;3
HAVE_FLOCK_LINUX;1
MAP_ANONYMOUS;3
HAVE_ICONV;7
LOG_PERROR;1
ENFILE;2
ABDAY_1;2
CHARSET_EBCDIC;10
MSG_PEEK;1
COMPILE_DL_SOAP;1
CONTINUITY_CDPEXT;1
SIZEOF_INTMAX_T;11
PAGE_SIZE;2
HAVE_STD_SYSLOG;1
ETXTBSY;1
ENOSPC;1
HAVE_SYSVSHM;2
safe_erealloc;1
sighandler_t;1
HAVE_SOLID;21
__DEBUG;4
ZEND_MM_ALIGNMENT;2
RTLD_WORLD;1
HAVE_PHTTPD;1
COMPILE_DL_EREG;1
FIELD_TYPE_GEOMETRY;2
ZEND_DEBUG_INTERNED_STRINGS;9
ETIME;1
LC_NUMERIC;2
HAVE_LIBXML;40
SM_SERVERR2;1
HAVE_NANOSLEEP;4
HAVE_DEV_URANDOM;2
SERIALIZE_HEADERS;3
ONIG_ENCODING_ISO_8859_13;1
ER_WRONG_COLUMN_NAME;1
PHP5PI3WEB_EXPORTS;1
EREMCHG;1
ENABLE_NLS;2
LC_MESSAGES;2
