guard;line;td
#ifdef ZTS;2;1
#if HAVE_STDARG_H;4;1
#if TSRM_DEBUG;31;1
#if defined(PTHREADS);38;1
#elif defined(TSRM_ST);42;1
#elif defined(TSRM_WIN32);46;1
#elif defined(BETHREADS);50;1
#if defined(GNUPTH);61;1
#elif defined(PTHREADS);63;1
#elif defined(TSRM_ST);65;1
#elif defined(TSRM_WIN32);68;1
#elif defined(BETHREADS);70;1
#if defined(GNUPTH);130;1
#elif defined(PTHREADS);132;1
#elif defined(TSRM_WIN32);135;1
#ifdef NETWARE;215;1
#ifdef NETWARE;250;1
#ifdef TSRM_WIN32;395;1
#elif defined(GNUPTH);397;1
#elif defined(PTHREADS);399;1
#elif defined(NSAPI);401;1
#elif defined(PI3WEB);403;1
#elif defined(TSRM_ST);405;1
#elif defined(BETHREADS);407;1
#ifdef TSRM_WIN32;414;1
#elif defined(GNUPTH);417;1
#elif defined(PTHREADS);420;1
#elif defined(NSAPI);423;1
#elif defined(PI3WEB);425;1
#elif defined(TSRM_ST);427;1
#elif defined(BETHREADS);429;1
#ifdef THR_DEBUG;434;1
#ifdef TSRM_WIN32;442;1
#elif defined(GNUPTH);445;1
#elif defined(PTHREADS);447;1
#elif defined(NSAPI);450;1
#elif defined(PI3WEB);452;1
#elif defined(TSRM_ST);454;1
#elif defined(BETHREADS);456;1
#ifdef THR_DEBUG;461;1
#ifdef TSRM_WIN32;468;1
#elif defined(GNUPTH);471;1
#elif defined(PTHREADS);476;1
#elif defined(NSAPI);478;1
#elif defined(PI3WEB);481;1
#elif defined(TSRM_ST);483;1
#elif defined(BETHREADS);485;1
#ifdef TSRM_WIN32;494;1
#elif defined(GNUPTH);497;1
#elif defined(PTHREADS);502;1
#elif defined(NSAPI);504;1
#elif defined(PI3WEB);507;1
#elif defined(TSRM_ST);509;1
#elif defined(BETHREADS);511;1
#ifdef HAVE_SIGPROCMASK;517;1
#ifdef PTHREADS;521;1
#if TSRM_DEBUG;540;1
#if TSRM_DEBUG;561;1
#if !defined(__CYGWIN__) && defined(WIN32);3;2
#ifdef TSRM_WIN32;9;1
# ifdef TSRM_EXPORTS;10;1
#elif defined(__GNUC__) && __GNUC__ >= 4;15;1
#ifdef _WIN64;20;1
#ifdef ZTS;27;1
#ifdef TSRM_WIN32;28;1
# ifndef TSRM_INCLUDE_FULL_WINDOWS_HEADERS;29;1
#elif defined(GNUPTH);34;1
#elif defined(PTHREADS);36;1
#elif defined(TSRM_ST);38;1
#elif defined(BETHREADS);40;1
#ifdef TSRM_WIN32;45;1
#elif defined(GNUPTH);48;1
#elif defined(PTHREADS);51;1
