branch;line;nd
#ifdef WIN32;12;2
#ifdef USE_FLOAT8_BYVAL;29;1
#else;31;1
#ifdef HAVE_INT64_TIMESTAMP;141;1
#else;143;1
#ifdef HAVE_INT64_TIMESTAMP;195;1
#else;197;1
#ifdef USE_FLOAT8_BYVAL;31;1
#else;33;1
#ifdef HAVE_INT64_TIMESTAMP;130;1
#else;132;1
#ifdef HAVE_INT64_TIMESTAMP;156;1
#else;158;1
#ifdef HAVE_INT64_TIMESTAMP;179;1
#else;181;1
#ifdef HAVE_INT64_TIMESTAMP;32;1
#else;34;1
#ifdef HAVE_CRYPT_H;4;1
#ifdef PG_MODULE_MAGIC;6;1
#ifndef YYDEBUG;31;1
#ifdef YYERROR_VERBOSE;34;1
#else;37;1
#ifndef YYTOKEN_TABLE;40;1
#ifndef YYTOKENTYPE;43;1
#if ! defined YYSTYPE && ! defined YYSTYPE_IS_DECLARED;54;1
#ifdef short;61;1
#ifdef YYTYPE_UINT8;64;1
#else;66;1
#ifdef YYTYPE_INT8;69;1
#elif (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);71;1
#else;73;1
#ifdef YYTYPE_UINT16;76;1
#else;78;1
#ifdef YYTYPE_INT16;81;1
#else;83;1
#ifndef YYSIZE_T;86;2
#ifndef YY_;99;3
#if ! defined lint || defined __GNUC__;110;1
#else;112;1
#ifndef lint;115;1
#else;117;2
#if ! defined yyoverflow || YYERROR_VERBOSE;130;6
#if (! defined yyoverflow      && (! defined __cplusplus   || (defined YYSTYPE_IS_TRIVIAL && YYSTYPE_IS_TRIVIAL)));184;1
#if defined YYCOPY_NEEDED && YYCOPY_NEEDED;195;3
#if YYDEBUG;243;1
#if YYDEBUG || YYERROR_VERBOSE || YYTOKEN_TABLE;259;1
# ifdef YYPRINT;267;1
#if defined YYFAIL;326;1
#ifndef YYLLOC_DEFAULT;333;1
#ifndef YY_LOCATION_PRINT;336;1
#ifdef YYLEX_PARAM;339;1
#else;341;1
#if YYDEBUG;344;2
#else;443;1
#ifndef YYINITDEPTH;449;1
#ifndef YYMAXDEPTH;452;1
#if YYERROR_VERBOSE;455;4
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);613;1
#else;616;1
#ifdef YYPARSE_PARAM;636;2
#else;642;2
#ifdef YYPARSE_PARAM;652;2
#else;661;2
#if YYERROR_VERBOSE;685;1
#ifdef yyoverflow;711;1
#else;722;2
#if ! YYERROR_VERBOSE;926;1
#else;928;1
#if !defined(yyoverflow) || YYERROR_VERBOSE;1016;1
#ifndef yyoverflow;1036;1
#if YYERROR_VERBOSE;1040;1
#ifndef M_PI;4;1
#ifdef USE_FLOAT8_BYVAL;37;1
#else;49;1
#ifndef DMETAPHONE_MAIN;1;1
#ifndef DMETAPHONE_MAIN;15;2
#else;59;1
#ifdef DMETAPHONE_MAIN;1050;1
#ifndef USE_TRADITIONAL_METAPHONE;273;1
#else;281;1
#ifndef USE_TRADITIONAL_METAPHONE;356;1
#ifdef LEVENSHTEIN_LESS_EQUAL;1;1
#else;4;1
#ifdef LEVENSHTEIN_LESS_EQUAL;10;1
#else;13;1
#ifdef LEVENSHTEIN_LESS_EQUAL;30;1
#else;37;1
#ifdef LEVENSHTEIN_LESS_EQUAL;59;1
#ifdef LEVENSHTEIN_LESS_EQUAL;109;1
#else;122;1
#ifdef LEVENSHTEIN_LESS_EQUAL;166;1
#ifndef HSTORE_POLLUTE_NAMESPACE;63;1
#if HSTORE_POLLUTE_NAMESPACE;66;1
#else;68;1
#if HSTORE_IS_HSTORE_NEW;117;1
#else;125;1
#ifdef BS_DEBUG;357;1
#ifdef BS_DEBUG;393;1
#ifdef BS_DEBUG;426;1
#ifdef GIST_DEBUG;311;1
#ifdef ISN_DEBUG;19;1
#ifdef ISN_DEBUG;682;1
#ifdef ISN_WEAK_MODE;818;1
#else;820;1
#ifdef LOWER_NODE;5;1
#else;8;1
#ifdef LOWER_NODE;46;1
#else;48;1
#ifdef BS_DEBUG;263;1
#ifdef HAVE_GETOPT_H;3;1
#ifdef USE_CRACKLIB;3;1
#ifdef USE_CRACKLIB;57;1
#ifndef WIN32;7;2
#else;13;1
#ifdef WIN32;93;1
#ifdef WIN32;7;1
#else;9;2
#ifndef WIN32;26;1
#ifdef WIN32;56;1
#else;68;2
#ifdef WIN32;105;1
#ifdef WIN32;140;1
#else;142;1
#ifdef WIN32;156;1
#ifndef WIN32;333;1
#ifndef WIN32;364;1
#ifdef NOT_USED;388;1
#ifndef WIN32;509;1
#ifdef HAVE_STRTOULL;517;1
#else;519;1
#ifndef WIN32;15;1
#else;17;1
#ifndef WIN32;38;1
#else;40;1
#ifdef HAVE_FSYNC_WRITETHROUGH;44;1
#ifndef WIN32;56;1
#ifdef SIGHUP;59;1
#if PG_O_DIRECT != 0;124;1
#else;126;1
#ifdef OPEN_DATASYNC_FLAG;166;1
#else;188;1
#ifdef HAVE_FDATASYNC;193;1
#else;208;1
#ifdef HAVE_FSYNC_WRITETHROUGH;230;1
#else;246;1
#ifdef OPEN_SYNC_FLAG;251;1
#else;271;1
#ifdef OPEN_SYNC_FLAG;295;1
#ifdef OPEN_SYNC_FLAG;302;1
#else;320;1
#ifdef HAVE_FSYNC_WRITETHROUGH;394;2
#ifndef WIN32;417;1
#else;423;1
#ifdef KEEPONLYALNUM;22;1
#else;25;1
#ifndef IGNORECASE;70;1
