feature;sd
CopSTASH;2
assert;1
sv_vsetpvf_mg;1
PERL_BCDVERSION;33
PERLIO_FUNCS_DECL;1
PGSCRIPTS;1
AI_PASSIVE;1
PUSHu;1
SvIV_nomg;1
sv_vsetpvf;1
dJMPENV;1
EXEC_EVALDEBUG;1
__x86_64__;6
S_UNLOCK;1
PoisonFree;1
ERX;6
PERL_PRIfldbl;1
SvVSTRING_mg;1
HAVE_PPC_LWARX_MUTEX_HINT;1
_ECPG_INFORMIX_H;5
yystrlen;8
UCHAR_MAX;1
PERL_MAGIC_tied;1
PUSHmortal;1
KRB5;10
__MINGW32__;2
dUNDERBAR;1
SHA1_RESULTLEN;1
SV_NOSTEAL;1
PERL_PV_ESCAPE_FIRSTCHAR;1
EROFS;2
Poison;1
MATCH_LOWER;2
DPPP_PL_parser_NO_DUMMY_WARNING;1
MAX_CACHED_RES;1
PERL_PV_PRETTY_REGPROP;1
SHORT_MIN;1
SECSPERREPEAT_BITS;1
NEED_grok_oct;2
WARN_DEBUGGING;1
NEED_my_strlcpy_GLOBAL;1
PERL_UQUAD_MIN;2
MALLOC;1
WARN_CLOSURE;1
DEFAULT_EDITOR_LINENUMBER_ARG;1
PGERROR;1
sv_setsv_nomg;1
__alpha__;4
NEED_newSVpvn_flags_GLOBAL;1
false;3
USE_WIDE_UPPER_LOWER;39
VAL_CONFIGURE;1
vfprintf;1
SECSPERREPEAT;1
sv_setnv_mg;1
FD_SETSIZE;1
CATCACHE_STATS;13
HAVE_CRYPT;1
INT2PTR;1
USE_FLOAT8_BYVAL;16
TRY_WIN32_PERFC;1
HvNAMELEN_get;1
NEED_vload_module;2
HAVE_INT64;4
DMETAPHONE_NOSTRICT;2
HAVE_LONG_LONG_INT_64;7
MULTIPLICITY;2
SvPV_flags_const_nolen;1
SSL_OP_NO_COMPRESSION;1
HAVE_WORKING_LINK;4
EBADMSG;1
LC_ALL;6
HAVE_LOCALE_T;48
MININT;3
WIN32_ONLY_COMPILER;23
convex;2
pg_write_barrier;1
EHOSTUNREACH;1
PROVIDE_64BIT_CRC;2
WARN_GLOB;1
sv_setiv_mg;1
PERL_MAGIC_substr;1
HAVE_SPINLOCKS;3
pTHX;1
DMETAPHONE_MAIN;3
TRACE_SYNCSCAN;6
HJDEBUG;4
WARN_PRINTF;1
ISN_DEBUG;2
GEQO_DEBUG;16
__osf__;2
sv_vcatpvf;1
MULTIXACT_DEBUG;1
RELCACHE_FORCE_RELEASE;1
sv_setuv_mg;1
S_INIT_LOCK;1
my_sprintf;1
__s390__;1
VAL_LDFLAGS;1
__GNUC__;42
XPUSHu;1
SPIN_DELAY;1
IN_PERL_COMPILETIME;1
SvPVbyte;1
__arm;1
HAVE_KRB5_TICKET_ENC_PART2;1
HAVE_CRYPT_H;2
YYLEX_PARAM;8
PERL_QUAD_MIN;2
memNE;2
SvREFCNT_inc_simple_void_NN;1
memmove;1
PERL_MAGIC_defelem;1
HAVE_MKSTEMP;1
LINUX_PROFILE;3
sv_uv;1
NEED_PL_signals;1
IN_LOCALE;1
YYCOPY;8
NEED_my_sprintf_GLOBAL;1
PERL_SCAN_DISALLOW_PREFIX;1
HASH_STATISTICS;9
PERL_UNUSED_CONTEXT;1
HAVE_POLL_H;3
ckWARN;1
HAVE_KRB5_ERROR_TEXT_DATA;1
POSTGRES_SQLCA_H;13
calloc;1
PATCHLEVEL;2
warner;1
USE_LIBXSLT;4
HAVE__BUILTIN_CONSTANT_P;2
__sparc;2
UV_MAX;4
GETPWUID_R_5ARG;1
__PATCHLEVEL_H_INCLUDED__;1
POSTGRES_ECPG_INTERNAL;14
HAVE_READLINE_HISTORY_H;1
VAL_LDFLAGS_EX;1
FD_CLOEXEC;1
pv_escape;2
SvPV_nomg_const;1
TAS_SPIN;1
EXIT_SUCCESS;49
newSVpvs;1
HAVE_WCSTOMBS;1
ZIC_MAX_ABBR_LEN_WO_WARN;1
HAVE_INT64_TIMESTAMP;189
__sparcv9;1
eval_sv;1
NI_MAXHOST;1
PGSQL_AF_INET6;1
__OS2__;1
SvREFCNT_inc_simple;1
PERL_LONG_MAX;1
PTR2UV;1
EEXIST;2
HAVE_NBTOOL_CONFIG_H;6
HAVE_SYS_IPC_H;2
HAVE_GETRLIMIT;12
PERL_ULONG_MAX;1
__s390x__;1
NEED_my_strlcpy;2
TCP_KEEPALIVE;3
PERL_INT_MIN;1
TRUE;5
eval_pv;2
EAI_FAIL;1
ECONNABORTED;1
PERL_MAGIC_mutex;1
HAVE_GETPWUID_R;8
CACHEDEBUG;3
MAP_ANONYMOUS;1
RANDOMIZE_ALLOCATED_MEMORY;7
NBYTS;3
NEED_grok_bin_GLOBAL;1
NI_MAXSERV;1
WARN_UNPACK;1
HAVE_UCRED_H;1
PERL_PV_ESCAPE_UNI_DETECT;1
ETXTBSY;1
RL_PROMPT_START_IGNORE;1
WARN_ASSERTIONS;1
NEED_newSV_type;2
sv_catpvs;1
XIDCACHE_DEBUG;3
PERL_PV_ESCAPE_NOBACKSLASH;1
sv_catsv_mg;1
NEED_sv_catpvf_mg_nocontext_GLOBAL;1
PG_KRB_SRVTAB;1
dTHR;1
ENABLE_NLS;26
LC_MESSAGES;9
UUID_LEN_BIN;1
AvFILLp;1
CopFILEGV_set;1
YYERROR_VERBOSE;64
newSVpvn_flags;2
NOT_POSTGRESQL;3
SHORT_MAX;1
INT_STRLEN_MAXIMUM;1
ENABLE_GSS;35
HAVE_GETTIMEOFDAY;2
BF_SCALE;1
PG_O_DIRECT;1
IN_LOCALE_RUNTIME;1
dXSTARG;1
XSPROTO;1
_DEBUG;1
__SIZE_TYPE__;8
newCONSTSUB;1
PL_numeric_radix_sv;1
NEED_sv_catpvf_mg;2
grok_bin;2
HAVE_UTIMES;2
MAXUSHORT;1
grok_oct;2
CHAR_BITS;2
HAVE_SYS_TAS_H;1
HAVE_STRTOUQ;1
PLPERL_ENABLE_OPMASK_EARLY;1
HAVE_STRINGIZE;1
MSG_NOSIGNAL;3
YYPRINT;16
SELECTIVITY_DEBUG;1
mPUSHp;1
NUMERIC_DEBUG;2
PS_USE_WIN32;1
EOVERFLOW;1
SvUOK;1
MINLONG;1
SPRINTF_CHAR;2
HAVE_SYS_PSTAT_H;1
YYTYPE_UINT16;8
_P_P_PORTABILITY_H_;1
PS_USE_PS_STRINGS;1
__x86_64;1
PERL_MAGIC_isaelem;1
__COM_ERR_H;2
NEED_sv_2pv_nolen;1
HAVE_CRTDEFS_H;1
PTRSIZE;3
NEED_my_strlcat;2
TCP_KEEPIDLE;5
SvPV_const;1
HAVE_RL_FILENAME_COMPLETION_FUNCTION;1
ILIST_DEBUG;2
SvREFCNT_inc_simple_NN;1
IS_NUMBER_GREATER_THAN_UV_MAX;1
YYENABLE_NLS;8
PX_OWN_ALLOC;1
size_t;8
HAVE_WCTYPE_H;3
HAVE_MBSTOWCS_L;1
UNDERBAR;1
dAX;1
HAVE_IEEEFP_H;1
WARN_INTERNAL;1
__INTEL_COMPILER;7
