guard;line;td
#ifdef WIN32;12;1
#ifdef rename;13;1
#ifdef unlink;16;1
#ifdef USE_FLOAT8_BYVAL;29;1
#ifdef HAVE_INT64_TIMESTAMP;141;1
#ifdef HAVE_INT64_TIMESTAMP;195;1
#ifdef USE_FLOAT8_BYVAL;31;1
#ifdef HAVE_INT64_TIMESTAMP;130;1
#ifdef HAVE_INT64_TIMESTAMP;156;1
#ifdef HAVE_INT64_TIMESTAMP;179;1
#ifdef HAVE_INT64_TIMESTAMP;32;1
#ifdef HAVE_CRYPT_H;4;1
#ifdef PG_MODULE_MAGIC;6;1
#ifndef YYDEBUG;31;1
#ifdef YYERROR_VERBOSE;34;1
#ifndef YYTOKEN_TABLE;40;1
#ifndef YYTOKENTYPE;43;1
#if ! defined YYSTYPE && ! defined YYSTYPE_IS_DECLARED;54;2
#ifdef short;61;1
#ifdef YYTYPE_UINT8;64;1
#ifdef YYTYPE_INT8;69;1
#elif (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);71;4
#ifdef YYTYPE_UINT16;76;1
#ifdef YYTYPE_INT16;81;1
#ifndef YYSIZE_T;86;1
# ifdef __SIZE_TYPE__;87;1
# elif defined size_t;89;1
# elif ! defined YYSIZE_T && (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);91;5
#ifndef YY_;99;1
# if defined YYENABLE_NLS && YYENABLE_NLS;100;1
# if ENABLE_NLS;101;1
# ifndef YY_;106;1
#if ! defined lint || defined __GNUC__;110;2
#ifndef lint;115;1
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);118;4
#if ! defined yyoverflow || YYERROR_VERBOSE;130;2
# ifdef YYSTACK_USE_ALLOCA;131;1
# if YYSTACK_USE_ALLOCA;132;1
# ifdef __GNUC__;133;1
# elif defined __BUILTIN_VA_ARG_INCR;135;1
# elif defined _AIX;137;1
# elif defined _MSC_VER;139;1
# if ! defined _ALLOCA_H && ! defined EXIT_SUCCESS && (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);144;6
# ifndef EXIT_SUCCESS;146;1
# ifdef YYSTACK_ALLOC;153;1
# ifndef YYSTACK_ALLOC_MAXIMUM;155;1
# ifndef YYSTACK_ALLOC_MAXIMUM;161;1
# if (defined __cplusplus && ! defined EXIT_SUCCESS        && ! ((defined YYMALLOC || defined malloc)       && (defined YYFREE || defined free)));164;6
# ifndef EXIT_SUCCESS;166;1
# ifndef YYMALLOC;170;1
# if ! defined malloc && ! defined EXIT_SUCCESS && (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);172;6
# ifndef YYFREE;176;1
# if ! defined free && ! defined EXIT_SUCCESS && (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);178;6
#if (! defined yyoverflow      && (! defined __cplusplus   || (defined YYSTYPE_IS_TRIVIAL && YYSTYPE_IS_TRIVIAL)));184;3
#if defined YYCOPY_NEEDED && YYCOPY_NEEDED;195;1
# ifndef YYCOPY;196;1
# if defined __GNUC__ && 1 < __GNUC__;197;1
#if YYDEBUG;243;1
#if YYDEBUG || YYERROR_VERBOSE || YYTOKEN_TABLE;259;3
# ifdef YYPRINT;267;1
#if defined YYFAIL;326;1
#ifndef YYLLOC_DEFAULT;333;1
#ifndef YY_LOCATION_PRINT;336;1
#ifdef YYLEX_PARAM;339;1
#if YYDEBUG;344;1
# ifndef YYFPRINTF;345;1
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);351;4
# ifdef YYPRINT;366;1
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);378;4
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);397;4
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);416;4
#ifndef YYINITDEPTH;449;1
#ifndef YYMAXDEPTH;452;1
#if YYERROR_VERBOSE;455;1
# ifndef yystrlen;456;1
# if defined __GLIBC__ && defined _STRING_H;457;2
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);460;4
# ifndef yystpcpy;476;1
# if defined __GLIBC__ && defined _STRING_H && defined _GNU_SOURCE;477;3
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);480;4
# ifndef yytnamerr;498;1
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);613;4
#ifdef YYPARSE_PARAM;636;1
#if defined __STDC__ || defined __cplusplus;637;2
#if defined __STDC__ || defined __cplusplus;643;2
#ifdef YYPARSE_PARAM;652;1
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);653;4
#if (defined __STDC__ || defined __C99__FUNC__      || defined __cplusplus || defined _MSC_VER);662;4
#if YYERROR_VERBOSE;685;1
#ifdef yyoverflow;711;1
# ifndef YYSTACK_RELOCATE;723;1
#if ! YYERROR_VERBOSE;926;1
#if !defined(yyoverflow) || YYERROR_VERBOSE;1016;2
#ifndef yyoverflow;1036;1
#if YYERROR_VERBOSE;1040;1
#ifndef M_PI;4;1
#ifdef USE_FLOAT8_BYVAL;37;1
#ifndef DMETAPHONE_MAIN;1;1
#ifndef DMETAPHONE_MAIN;15;1
#ifdef DMETAPHONE_NOSTRICT;24;1
#ifdef DMETAPHONE_NOSTRICT;44;1
#ifdef DMETAPHONE_MAIN;1050;1
#ifndef USE_TRADITIONAL_METAPHONE;273;1
#ifndef USE_TRADITIONAL_METAPHONE;356;1
#ifdef LEVENSHTEIN_LESS_EQUAL;1;1
#ifdef LEVENSHTEIN_LESS_EQUAL;10;1
#ifdef LEVENSHTEIN_LESS_EQUAL;30;1
#ifdef LEVENSHTEIN_LESS_EQUAL;59;1
#ifdef LEVENSHTEIN_LESS_EQUAL;109;1
#ifdef LEVENSHTEIN_LESS_EQUAL;166;1
#ifndef HSTORE_POLLUTE_NAMESPACE;63;1
#if HSTORE_POLLUTE_NAMESPACE;66;1
#if HSTORE_IS_HSTORE_NEW;117;1
#ifdef BS_DEBUG;357;1
#ifdef BS_DEBUG;393;1
#ifdef BS_DEBUG;426;1
#ifdef GIST_DEBUG;311;1
#ifdef ISN_DEBUG;19;1
#ifdef ISN_DEBUG;682;1
#ifdef ISN_WEAK_MODE;818;1
#ifdef LOWER_NODE;5;1
#ifdef LOWER_NODE;46;1
#ifdef BS_DEBUG;263;1
#ifdef HAVE_GETOPT_H;3;1
#ifdef USE_CRACKLIB;3;1
#ifdef USE_CRACKLIB;57;1
#ifndef WIN32;7;1
#ifdef HAVE_GETOPT_H;10;1
#ifdef WIN32;93;1
#ifdef WIN32;7;1
#ifdef HAVE_GETOPT_H;12;1
#ifndef WIN32;26;1
#ifdef WIN32;56;1
#if HAVE_WORKING_LINK;73;1
#ifdef WIN32;105;1
#ifdef WIN32;140;1
#ifdef WIN32;156;1
#ifndef WIN32;333;1
#ifndef WIN32;364;1
#ifdef NOT_USED;388;1
#ifndef WIN32;509;1
#ifdef HAVE_STRTOULL;517;1
#ifndef WIN32;15;1
#ifndef WIN32;38;1
#ifdef HAVE_FSYNC_WRITETHROUGH;44;1
#ifndef WIN32;56;1
#ifdef SIGHUP;59;1
#if PG_O_DIRECT != 0;124;1
#ifdef OPEN_DATASYNC_FLAG;166;1
#ifdef HAVE_FDATASYNC;193;1
#ifdef HAVE_FSYNC_WRITETHROUGH;230;1
#ifdef OPEN_SYNC_FLAG;251;1
#ifdef OPEN_SYNC_FLAG;295;1
#ifdef OPEN_SYNC_FLAG;302;1
#ifdef HAVE_FSYNC_WRITETHROUGH;394;1
#ifdef WIN32;398;1
#elif defined(F_FULLFSYNC);400;1
#ifndef WIN32;417;1
#ifdef KEEPONLYALNUM;22;1
#ifndef IGNORECASE;70;1
#ifndef IGNORECASE;77;1
#ifdef DIVUNION;140;1
#ifndef IGNORECASE;147;1
#ifndef IGNORECASE;162;1
#ifndef IGNORECASE;177;1
#ifndef IGNORECASE;185;1
#ifndef IGNORECASE;252;1
#ifndef IGNORECASE;285;1
#ifdef IGNORECASE;155;1
#ifdef IGNORECASE;162;1
#ifdef IGNORECASE;312;1
#ifdef IGNORECASE;319;1
#ifdef DIVUNION;414;1
#ifdef TRGM_REGEXP_DEBUG;132;1
#ifdef IGNORECASE;152;1
#ifdef TRGM_REGEXP_DEBUG;180;1
#ifdef TRGM_REGEXP_DEBUG;184;1
#ifdef TRGM_REGEXP_DEBUG;193;1
#ifdef IGNORECASE;324;1
#ifdef TRGM_REGEXP_DEBUG;994;1
#ifdef WIN32;16;1
#ifndef WIN32;294;1
#ifndef WIN32;323;1
#ifndef WIN32;343;1
#ifndef WIN32;357;1
#ifndef WIN32;373;1
#ifndef WIN32;408;1
#ifndef WIN32;437;1
#ifndef WIN32;67;1
#ifdef WIN32;99;1
#ifdef WIN32;9;1
#ifdef WIN32;22;1
#ifdef WIN32;38;1
#ifdef WIN32;43;1
#ifdef WIN32;55;1
#ifdef WIN32;60;1
#ifdef WIN32;65;1
#ifndef WIN32;85;1
#ifndef WIN32;112;1
#ifdef WIN32;124;1
#ifdef WIN32;184;1
#ifndef WIN32;195;1
#ifndef WIN32;202;1
#ifndef WIN32;4;1
#ifdef PAGE_CONVERSION;22;1
#ifdef PAGE_CONVERSION;43;1
#ifndef WIN32;75;1
#ifdef WIN32;149;1
#ifdef WIN32;8;1
#ifndef WIN32;160;1
#ifndef WIN32;186;1
#ifdef HAVE_UNIX_SOCKETS;229;1
#ifdef PAGE_CONVERSION;4;1
#ifdef WIN32;7;1
#ifdef WIN32;11;1
#ifndef WIN32;39;1
#ifdef WIN32;52;1
#ifndef WIN32;70;1
#ifdef WIN32;96;1
#ifndef WIN32;110;1
#ifdef WIN32;120;1
#ifndef WIN32;138;1
#ifdef WIN32;170;1
#ifndef WIN32;182;1
#ifndef WIN32;191;1
#ifdef HAVE_LANGINFO_H;3;1
#ifdef WIN32;18;1
#ifndef WIN32;203;1
#ifndef WIN32;21;1
#ifndef WIN32;28;1
#ifdef PAGE_CONVERSION;204;1
#ifdef PAGE_CONVERSION;66;1
#ifdef HAVE_UNIX_SOCKETS;109;1
#ifndef WIN32;107;1
#ifdef WIN32;127;1
#ifndef WIN32;142;1
#ifndef WIN32;153;1
#ifdef PG_MODULE_MAGIC;8;1
#ifdef HAVE_INT64_TIMESTAMP;10;1
#ifdef HAVE_INT64_TIMESTAMP;29;1
#ifdef WIN32;1;1
#ifndef WIN32;11;1
#ifdef HAVE_SYS_SELECT_H;15;1
#ifdef HAVE_SYS_RESOURCE_H;18;1
#ifndef INT64_MAX;21;1
#ifdef WIN32;24;1
#elif defined(ENABLE_THREAD_SAFETY);29;1
#ifdef FD_SETSIZE;44;1
#ifdef DEBUG;580;1
#ifndef WIN32;703;1
#ifdef NOT_USED;861;1
#ifdef DEBUG;893;1
#ifdef HAVE_GETRLIMIT;1589;1
#ifdef WIN32;1610;1
#ifdef HAVE_GETRLIMIT;1656;1
#ifdef RLIMIT_NOFILE;1657;1
#ifdef WIN32;1791;1
#ifndef ENABLE_THREAD_SAFETY;1862;1
#ifndef WIN32;2194;1
#ifndef ENABLE_THREAD_SAFETY;2206;1
#ifdef __i386__;4;1
#elif defined(__x86_64__) || defined(__alpha__) || defined(__hppa__);7;3
#ifndef WORDS_BIGENDIAN;372;1
#if BF_SCALE;382;1
#if BF_ASM;389;1
#ifndef DISABLE_XDES;477;1
#if TRACEABLE_CLAMP;56;1
#if TRACEABLE_FREE;79;1
#if TRACEABLE_CLAMP;85;1
#if TRACEABLE_FREE;1428;1
#if TRACEABLE_CLAMP;1449;1
#ifdef USE_LONG_LONG;8;1
#ifndef MD5_DIGEST_LENGTH;13;1
#ifndef SHA1_DIGEST_LENGTH;16;1
#ifdef SHA1_RESULTLEN;17;1
#ifndef WORDS_BIGENDIAN;113;1
#ifndef WORDS_BIGENDIAN;130;1
#ifdef WORDS_BIGENDIAN;151;1
#ifndef WORDS_BIGENDIAN;161;1
#if OPENSSL_VERSION_NUMBER >= 0x00907000L;11;1
#if OPENSSL_VERSION_NUMBER < 0x00908000L;85;1
#ifdef HAVE_LIBZ;5;1
#ifndef PX_OWN_ALLOC;6;1
#ifdef PX_DEBUG;139;1
#if defined(__linux__) || defined(__FreeBSD__) || defined(__OpenBSD__)  || defined(__NetBSD__) || defined(__DragonFly__)  || defined(__darwin__) || defined(__SOLARIS__)  || defined(__hpux) || defined(__HPUX__)  || defined(__CYGWIN__) || defined(_AIX);4;11
#ifdef WIN32;48;1
#ifndef WIN32;83;1
#ifdef TRY_DEV_RANDOM;127;1
#ifdef TRY_WIN32_GENRAND;130;1
#ifdef TRY_WIN32_PERFC;133;1
#ifdef TRY_UNIXSTD;136;1
#ifdef WORDS_BIGENDIAN;12;1
#ifdef PRINT_TABS;17;1
#ifdef PRE_CALC_TABLES;20;1
#ifdef LARGE_TABLES;31;1
#ifdef LARGE_TABLES;40;1
#ifndef PRE_CALC_TABLES;52;1
#ifdef LARGE_TABLES;88;1
#ifdef LARGE_TABLES;104;1
#ifdef PRINT_TABS;339;1
#ifdef LARGE_TABLES;385;1
#ifndef WORDS_BIGENDIAN;29;1
#ifdef WORDS_BIGENDIAN;184;1
