feature;sd
MAP_PRIVATE;1
USAGE_ERROR_ACTION;1
Z_LARGE64;3
_SC_NZERO;1
SIGRTMAX;1
HAVE_UTIMENSAT;5
TCP_DEFER_ACCEPT;1
_ALL_SOURCE;1
HKEY_DYN_DATA;1
__IBMC__;1
FIONCLEX;3
WSAETOOMANYREFS;2
PTHREAD_STACK_MIN;1
AF_IPX;1
IOCSIZE_SHIFT;1
SSL_R_INVALID_CHALLENGE_LENGTH;1
HAVE_LONG_DOUBLE;1
_CS_LFS64_LIBS;1
LLTRACE;7
SOUND_MIXER_VIDEO;1
SSL_R_SCSV_RECEIVED_WHEN_RENEGOTIATING;1
__ANDROID__;1
AI_PASSIVE;2
HAVE_GRP_H;1
UF_NOUNLINK;1
_M_IA64;1
_SC_XOPEN_XPG2;1
IP_RECVRETOPTS;1
_CS_SYSNAME;1
_PC_SYMLINK_MAX;1
SSL_R_OPAQUE_PRF_INPUT_TOO_LONG;1
EX_NOUSER;1
__LONG_DOUBLE_128__;2
ATARI;1
WINDOWS;5
TCSBRKP;1
__x86_64__;21
_SC_UIO_MAXIOV;1
STDC_HEADERS;6
O_TMPFILE;1
Py_HAVE_NATIVE_TLS;2
EMULTIHOP;1
SSL_R_UNSUPPORTED_CIPHER;1
UCHAR_MAX;2
LOCK_MAND;1
OCRNL;1
SF_MNOWAIT;1
CBAUDEX;1
SSL_R_SSL_SESSION_ID_CONTEXT_TOO_LONG;1
CQUIT;1
ONLRET;1
S_IFBLK;1
HAVE_REALPATH;4
__MINGW32__;3
NETLINK_SKIP;1
EISDIR;2
__gnu_linux__;1
HAVE_BROKEN_PTHREAD_SIGMASK;4
SEEK_HOLE;2
EROFS;1
_SC_AIO_PRIO_DELTA_MAX;1
MSG_BTAG;1
_BSD_WCHAR_T_DEFINED_;1
IN_EXPERIMENTAL;1
POWERPC;4
PyAPI_DATA;1
MIN_BYTES_PER_CHAR;1
YPPROG;1
WITH_DOC_STRINGS;1
RDS_RDMA_DONTWAIT;1
SRE_MODULE;1
WSAEUSERS;2
AF_IRDA;1
HAVE_WRITEV;3
SO_PRIORITY;1
SSL_R_UNABLE_TO_LOAD_SSL2_MD5_ROUTINES;1
F_GETLEASE;1
EDEVERR;1
USE_COMPUTED_GOTOS;5
INADDR_MAX_LOCAL_GROUP;1
SSL_R_NO_REQUIRED_DIGEST;1
RDS_CONG_MONITOR;1
_SC_CHAR_BIT;1
WSANOTINITIALISED;1
SSL_R_BAD_WRITE_RETRY;1
SSL_R_UNSUPPORTED_STATUS_TYPE;1
SF_APPEND;1
AF_AAL5;1
SSL_R_REUSE_CERT_TYPE_NOT_ZERO;1
_SC_ICACHE_LINESZ;1
atarist;1
SIZEOF__BOOL;5
SSL_R_CLIENTHELLO_TLSEXT;1
__386__;1
ECONNREFUSED;2
Py_LL;1
VEOL2;1
SSL_R_PEER_ERROR_NO_CIPHER;1
__alpha__;2
USE_BUILTIN_COPY;5
GUNZIP;8
WUNTRACED;1
O_APPEND;1
SSL_R_SSL_CTX_HAS_NO_DEFAULT_SSL_VERSION;1
_SC_DCACHE_LINESZ;1
Py_SYMTABLE_H;1
EBADR;1
MAC_OS_X_VERSION_10_4;1
_O_SHORT_LIVED;1
__LP64__;8
USE_INET_ATON_WEAKLINK;5
X509_R_UNABLE_TO_FIND_PARAMETERS_IN_CHAIN;1
DGUX;1
EAI_AGAIN;1
_SC_PHYS_PAGES;1
HASH_OBJ_CONSTRUCTOR;3
R_OK;2
Py_IS_NAN;1
SSL_R_UNABLE_TO_EXTRACT_PUBLIC_KEY;1
HAVE_READLINKAT;3
SSL_R_UNKNOWN_STATE;1
MPD_RDIGITS;2
SF_ARCHIVED;1
EAI_MAX;1
FD_SETSIZE;2
_MIPS_SIM;10
SOCK_NONBLOCK;3
SSL_R_COMPRESSION_ID_NOT_WITHIN_PRIVATE_RANGE;1
XML_UNICODE;6
SD_RECEIVE;1
SSL_R_INCONSISTENT_COMPRESSION;1
SO_KEEPALIVE;1
__MSDOS__;1
PEM_R_PROBLEMS_GETTING_PASSWORD;1
MPD_MAJOR_VERSION;1
HAVE_GETSPENT;3
__GNU__;1
HAVE_LE64TOH;2
LACKS_SYS_MMAN_H;1
OPENSSL_NPN_NEGOTIATED;8
SOL_ATALK;1
__COMPACT__;1
ARM;4
__STDC_VERSION__;2
ITIMER_VIRTUAL;1
MALLOC_CLOSURE_DEBUG;1
WSAECONNRESET;3
_CS_XBS5_ILP32_OFF32_LIBS;1
SSL_R_BAD_PROTOCOL_VERSION_NUMBER;1
SSL_OP_NO_COMPRESSION;1
SSL_R_PUBLIC_KEY_IS_NOT_RSA;1
CLOCK_MONOTONIC;3
USE_CTERMID_R;1
__hp9000s300;1
TIOCMBIS;1
_SC_TTY_NAME_MAX;1
SSL_R_UNKNOWN_KEY_EXCHANGE_TYPE;1
S_ISWHT;1
FFI_SIZEOF_JAVA_RAW;5
EBADMSG;1
HAVE_STAT_TV_NSEC2;2
_PC_MAX_CANON;1
EHOSTUNREACH;1
HAVE_FSYNC;2
SSL_R_CCS_RECEIVED_EARLY;1
SIZEOF_LONG_LONG;21
SSL_R_UNKNOWN_PKEY_TYPE;1
_CS_INITTAB_NAME;1
PyMethod_MAXFREELIST;1
TEST_COVERAGE;2
X509_R_PUBLIC_KEY_ENCODE_ERROR;1
__DATE__;1
SSL_R_UNKNOWN_PROTOCOL;1
HAVE_SETUID;2
TIOCM_LE;1
SSL_R_TLSV1_UNRECOGNIZED_NAME;1
__LONG_LONG_MAX__;1
MSG_BCAST;1
VSWTCH;2
SCHED_FX;1
_SC_SYNCHRONIZED_IO;1
SSL_R_UNABLE_TO_LOAD_SSL3_MD5_ROUTINES;1
B3000000;1
HAVE_UNAME;2
__osf__;1
SSL_R_BAD_CHECKSUM;1
NO_MEMCPY;1
Z_HAVE_STDARG_H;5
