branch;line;nd
#ifndef lint;2;1
#ifndef lint;6;1
#ifndef ISC_UNIX;10;1
#ifdef EX_OK;16;1
#if HASFCHOWN;75;1
#if HASFCHOWN;168;2
#ifndef SMFI_VERSION;3;2
#ifdef __cplusplus;18;1
#ifndef _SOCK_ADDR;21;1
#if _FFR_WORKERS_POOL;26;1
#if defined(__linux__) && defined(__GNUC__) && defined(__cplusplus) && __GNUC_MINOR__ >= 8;34;1
#else;36;1
#ifndef __P;39;2
#if SM_CONF_STDBOOL_H;46;1
#else;48;4
#if 0;82;1
#if 0;125;1
#if _FFR_THREAD_MONITOR;154;1
#ifdef __cplusplus;157;1
#ifndef SMFI_PROT_VERSION;3;1
#if _FFR_MDS_NEGOTIATE;10;1
#if _FFR_MILTER_CHECK;85;1
# ifdef NDBM;7;1
# ifdef NEWDB;10;1
# ifdef NEWDB;105;1
# ifdef NDBM;110;1
# ifndef _PATH_SENDMAILCF;3;2
# ifndef _PATH_SENDMAILPID;10;2
# ifndef _PATH_SENDMAIL;17;1
# ifndef _PATH_MAILDIR;20;1
# ifndef _PATH_LOCTMP;23;1
# ifndef _PATH_HOSTS;26;1
# ifndef _DIR_SENDMAILCF;29;1
#ifndef MAXMAILERS;6;1
#if _FFR_GROUPREADABLEAUTHINFOFILE;80;1
# ifndef SM_CHECK_ALL;18;1
# ifndef SM_CHECK_REQUIRE;21;1
# ifndef SM_CHECK_ENSURE;24;1
# ifndef SM_CHECK_ASSERT;27;1
# if SM_CHECK_REQUIRE;30;2
# else;36;1
# if SM_CHECK_ENSURE;40;2
# else;46;1
# if SM_CHECK_ASSERT;49;2
# else;55;1
#if NEWDB;3;3
# if SM_CONF_SYS_CDEFS_H;4;1
# if !SM_CONF_SYS_CDEFS_H;7;3
# ifndef SM_DEAD;30;3
# ifndef SM_UNUSED;44;3
# ifdef SM_OMIT_BOGUS_WARNINGS;55;1
# else;57;1
# ifndef SM_CONF_FORMAT_TEST;60;2
# ifndef PRINTFLIKE;67;2
# ifndef SCANFLIKE;74;2
# if SM_CONF_SETITIMER;4;1
# if SM_CONF_SETITIMER;9;1
# else;11;1
# ifdef __STDC__;5;1
# ifndef HASLSTAT;8;1
# ifndef HASNICE;11;1
# ifndef HASRRESVPORT;14;1
# ifdef __hpux;18;3
# ifdef _AIX5;86;2
# ifdef _AIX4;96;3
# ifdef _AIX3;119;3
# ifdef AIX;146;2
# if defined(_AIX);177;1
# ifdef IRIX;181;3
# if defined(sun) && !defined(BSD);225;5
# ifdef DGUX_5_4_2;382;1
# ifdef DGUX;385;2
# ifdef ultrix;408;2
# ifdef __ksr__;438;2
# ifdef __PARAGON__;444;2
# ifdef __osf__;452;3
# ifdef NeXT;484;3
# if defined(DARWIN);539;2
# if defined(BSD4_4) && !defined(__bsdi__) && !defined(__GNU__) && !defined(DARWIN);585;2
# ifdef __bsdi__;604;2
# if defined(__QNX__);641;2
# if defined(__DragonFly__) || defined(__FreeBSD__) || defined(__NetBSD__) || defined(__OpenBSD__);684;5
# if defined(MACH) && defined(i386) && !defined(__GNU__);812;2
# if defined(__GNU__) && !defined(NeXT);836;2
# if defined(oldBSD43) || defined(MORE_BSD) || defined(umipsbsd);861;2
# if _SCO_DS >= 1;879;2
# ifdef _SCO_unix_4_2;901;1
# ifdef _SCO_unix_;905;2
# ifdef ISC_UNIX;938;2
