feature;sd
SUN_EXTENSIONS;17
UMAXV;1
XDEBUG;23
_PATH_VENDOR_CF;27
SIGFUNC_DEFINED;1
HAS_ST_GEN;6
_FFR_MIME_CR_OK;1
SASL_SEC_PASS_CREDENTIALS;1
SASL_SEC_MASK;1
FAST_PID_RECYCLE;2
S_IFBLK;1
USE_SETEUID;3
LOG_ERR;1
LDAP_URL_ERR_BADSCHEME;1
LDAP_OPT_URI;1
EROFS;1
IRIX6;5
MAILER_DAEMON;1
_FFR_ANY_FREE_FS;3
PATH;1
ALTOS_SYSTEM_V;5
va_copy;1
ECONNREFUSED;2
SETGIDCALL;1
LDAPMAP_MAX_PASSWD;1
SSL_OP_TLS_ROLLBACK_BUG;1
__uxp__;1
USE_SOCK_STREAM;2
O_APPEND;1
HASWAITPID;2
DGUX;1
_FFR_RESET_MACRO_GLOBALS;2
MAXQUEUEGROUPS;2
FD_SETSIZE;1
_MIPS_SIM;2
FILESYS_UPDATE_INTERVAL;1
_FFR_SHM_STATUS;2
_FFR_ADD_NULL;2
_FFR_CHECKCONFIG;2
SM_CONF_BROKEN_SIZE_T;4
USE_B_CLASS;2
__GNU__;3
MAXETRNCOMMANDS;1
__STDC_VERSION__;2
NISPLUS;8
SSL_OP_NO_COMPRESSION;1
LA_MACH;1
SPT_BUILTIN;3
LOGIN_SETMAC;1
SSL_OP_TLS_BLOCK_PADDING_BUG;1
EHOSTUNREACH;3
MI_SOMAXCONN;1
CI_DATA;1
SSL_OP_COOKIE_EXCHANGE;1
SUID_ROOT_FILES_OK;3
SM_OPEN_EXLOCK;4
HASSNPRINTF;2
__osf__;5
SPT_CHANGEARGV;2
CONTENTLENGTH;7
_FFR_FIPSMODE;5
HASULIMIT;5
SOCKADDR_LEN_T;2
O_BINARY;2
SOL_IP;1
NETNS;7
PATH_MAX;1
USE_SIGLONGJMP;6
__GNUC__;10
REQUIRES_DIR_FSYNC;7
RES_NOALIASES;1
SYS5SIGNALS;3
LDAP_OPT_NETWORK_TIMEOUT;1
sequent;1
SECUREWARE;7
LDAP_URL_ERR_PARAM;1
SM_DEBUG_CHECK;3
FDSET_CAST;2
SOCKOPT_LEN_T;2
FSCALE;1
SASL_VERSION_FULL;2
SFS_MOUNT;2
_SCO_unix_4_2;3
GETLDAPALIASBYNAME_VERSION;2
__SCO_VERSION__;1
SM_CHECK_ALL;1
SM_CONF_SEM;16
HASRRESVPORT;5
USE_SETREUID;3
SIGSTOP;1
FD_CLOEXEC;1
SPT_ALIGN_SIZE;2
NeXT;2
SM_DEFAULT_TTL;1
S_IROTH;1
NI_MAXHOST;1
MILTER_NO_NAGLE;6
DAEMON_C;1
_POSIX_VERSION;3
timersub;1
_H3050R;1
_REENTRANT;1
SM_CONF_STDBOOL_H;4
SSL_OP_SSLREF2_REUSE_CERT_TYPE_BUG;1
USESWAPCTL;2
ECONNABORTED;5
UID_T;1
_FFR_MORE_MACROS;2
ENFILE;3
SPT_REUSEARGV;1
NI_MAXSERV;1
QUAD_T;1
CI_HELO;1
SM_CONF_QUAD_T;3
ETXTBSY;2
ENOSPC;1
_SOCK_ADDR;1
SSL_OP_DONT_INSERT_EMPTY_FRAGMENTS;1
NDBM_YP_COMPAT;2
MAXMACROID;1
TZ_TM_ZONE;1
_LDAP_EXAMPLE_;4
NEWDB;28
longjmp;1
NO_GROUP_SET;3
NX_CURRENT_COMPILER_RELEASE;1
AUTO_NETINFO_HOSTS;2
_FFR_MDS_NEGOTIATE;9
HES_ER_OK;1
HASGETUSERSHELL;11
_PATH_MAILDIR;1
_FFR_HANDLE_ISO8859_GECOS;3
MAX_MAP_ARGS;1
T_SRV;1
HAVE_NANOSLEEP;4
LDAP_AUTH_KRBV4;3
NETLINK;2
_FFR_MSG_ACCEPT;5
_FFR_FIX_DASHT;2
SM_IO_BINARY;1
RISCOS;1
WCOREDUMP;1
__svr4__;8
_PATH_SENDMAIL;1
NEEDPUTENV;3
T_AAAA;1
NO_DATA;3
__va_copy;1
USEPROCMEMINFO;2
SM_LOG_STR;1
SO_RCVBUF;2
__GLIBC_MINOR__;3
h_errno;1
HASSETREGID;5
INADDR_LOOPBACK;1
LDAPMAP_MAX_ATTR;1
WNOHANG;1
_FFR_CHK_QUEUE;3
MBDB_DEFAULT_LDAP_SERVER;1
_FFR_DPRINTF_MAP;3
SM_UNUSED;1
_FFR_MILTER_CHECK_REJECTIONS_TOO;2
NEEDINTERRNO;1
MAXSYMLINKS;1
EFBIG;2
WIFSTOPPED;1
LA_HPUX;1
_DIR_SENDMAILCF;1
MAXHELOCOMMANDS;1
MPE;3
ENOSYS;1
SOCKETMAP;8
NGROUPS;1
PH_MAP;6
SSL_OP_PKCS1_CHECK_2;1
LA_ZERO;1
USESYSCTL;2
_FFR_HPUX_NSSWITCH;2
MAILGID;1
DB_KEYEXIST;1
FSHIFT;2
CI_ENVFROM;1
SYS5SETPGRP;2
jmp_buf;1
LA_READKSYM;1
__svr4;4
SEM_A;1
SSL_OP_NO_TICKET;2
_FFR_THREAD_MONITOR;4
NETINFO;14
S_IRGRP;1
_PATH_KMEM;1
_FFR_QUEUE_MACRO;2
ultrix;5
DSN;4
DB_LOCK_DEADLOCK;1
NEEDFSYNC;2
ALLOW_255;3
SM_LDAP_ERROR_ON_MISSING_ARGS;3
_AIX5;3
SSL_OP_NETSCAPE_DEMO_CIPHER_CHANGE_BUG;1
SIOCGLIFFLAGS;3
LA_TYPE;34
RISCOS_4_0;1
_FFR_SS_PER_DAEMON;5
__QNXNTO__;2
ENOMEM;2
NO_UID;1
_FFR_SESSID;4
HASUNAME;3
SUNOS403;3
LA_DGUX;1
SSL_OP_TLS_D5_BUG;1
MIOC_READKSYM;1
_AIX;1
_FFR_QOS;1
UDB_DEFAULT_SPEC;1
LA_LONGLONG;4
DB_HASH_NELEM;3
DB_RUNRECOVERY;1
UNICOS;2
ESHUTDOWN;1
__linux__;3
_SCO_DS;2
KERNEL_VERSION;2
_PATH_SENDMAILCF;1
HASHSPOOLMD5;5
_FFR_SPT_ALIGN;3
SM_IO_MAX_BUF_FILE;1
SSL_OP_MICROSOFT_SESS_ID_BUG;1
_FFR_DOTTED_USERNAMES;3
HASURANDOMDEV;4
MAXNAME;1
_FFR_CLIENT_SIZE;2
NEEDLOCAL_HOSTNAME_LENGTH;3
MIN_WORKERS;1
SM_VA_STD;13
_FFR_QUEUE_SCHED_DBG;9
SSL_OP_NO_SESSION_RESUMPTION_ON_RENEGOTIATION;1
MAX_RSA_TMP_CNT;1
USE_SETUID;2
MONCONTROL;1
SASL_VERSION_MAJOR;1
__KAME__;2
SM_CONF_SETREGID;3
LDAP_VERSION_MAX;7
HASSETREUID;8
LOGIN_SETCPUMASK;1
IDENTPROTO;16
HAS_GETHOSTBYNAME2;1
_FFR_MIME7TO8_OLD;1
AI_V4MAPPED;1
NX_COMPILER_RELEASE_3_0;1
LOGIN_SETLOGINCLASS;1
O_SYNC;1
IRIX64;5
SASL_VERSION_MINOR;1
__INTERIX;1
HASFCHMOD;5
sigmask;3
IP_SRCROUTE;7
AUTO_NIS_ALIASES;2
SUNET_ID;1
luna2;1
EGD;2
DCOSx;1
DB_VERSION_MINOR;3
UNIXWARE;1
ERRLIST_PREDEFINED;2
LOG_WARNING;1
HASSETLOGIN;2
_FFR_SPOOL_PATH;4
USE_DOUBLE_FORK;4
T_AFSDB;1
SM_DEAD;1
GIDSET_T;2
__ksr__;2
DEBUG;25
sun;3
ECONNRESET;3
SOMAXCONN;1
_UNICOSMP;3
MBDB_LDAP_FILTER;1
_FFR_MAXDATASIZE;3
PARANOID;1
LLONG_MAX;1
newstr;1
MAX_CT_STEPS;1
INADDR_NONE;1
LDAP_URL_ERR_NOTLDAP;1
SM_SSL_OP_TLS_BLOCK_PADDING_BUG;2
SSL_OP_ALLOW_UNSAFE_LEGACY_RENEGOTIATION;1
_PC_CHOWN_RESTRICTED;1
HASSETUSERCONTEXT;5
HESIOD;18
SIGCLD;1
TZ_TZNAME;1
CLIX;1
SM_ASSERT;2
_FFR_MAX_SLEEP_TIME;3
S_IXUSR;1
_FFR_USE_SEM_LOCKING;7
_FFR_DAEMON_NETUNIX;8
PRINTFLIKE;1
SM_UINT16;1
LA_KSTAT;1
SM_IO_MAX_BUF;3
IN_LINKLOCAL;1
SVC_HESIOD;1
_FFR_QUEUE_GROUP_SORTORDER;5
_PATH_AVENRUN;1
LOG_NOTICE;1
vax;1
luna88k;1
EX_NOTFOUND;1
EHOSTDOWN;3
SPT_PSTAT;3
_FFR_NO_PIPE;6
__ROKEN_RESOLVE_H__;1
_FFR_DEBUG_PID_TIME;3
LDAP_SERVER_DOWN;4
BSD;4
i386;1
PS_STRINGS;1
SFS_BAVAIL;1
PSARGSZ;1
WTERMSIG;1
AIX;1
DB_KEYEMPTY;1
AI_ADDRCONFIG;2
LDA_CONTENTLENGTH;1
MAXMAILERS;1
SM_CONF_POLL;6
SIG_ERR;1
SM_CONF_STRL;5
unixpc;1
NEEDSTRTOL;2
SUN_LOOKUP_MACRO;1
LOG_CRIT;1
RATECTL_DEBUG;5
_FFR_EIGHT_BIT_ADDR_OK;3
SIGFUNC_DECL;1
NO_GETSERVBYNAME;13
ENOSR;2
IS_SAFE_CHOWN;1
NonStop_UX_BXX;2
SM_ALIGN_SIZE;1
_FFR_DM_ONE;6
UID_MAX;5
STDOUT_FILENO;1
NAMED_BIND;56
HW_NCPU;1
USE_TTYPATH;2
SMFI_VERSION;3
NetBSD0_9;1
SIOCGLIFNUM;3
NETINET6;204
MAXRULERECURSION;1
HASNICE;8
CPMHSIZE;1
EALREADY;1
NOTUNIX;2
SM_IO_MIN_BUF;4
OPTIONS;1
sgi;1
AI_DEFAULT;2
_XOPEN_SOURCE;2
STDIN_FILENO;1
_FFR_GEN_ORCPT;2
TZNAME_MAX;1
timercmp;1
SIOCGIFFLAGS;2
LA_SUBR;1
SSL_OP_NO_SSLv2;2
_FFR_MILTER_CONVERT_ALL_LF_TO_CRLF;2
STDERR_FILENO;1
SM_OMIT_BOGUS_WARNINGS;1
_FFR_BESTMX_BETTER_TRUNCATION;4
umipsbsd;1
HASHSPOOL;11
DB_LOCK_NOTGRANTED;1
MORE_BSD;1
ADDRCONFIG_IS_BROKEN;3
_USE_DEC_SVC_CONF_;6
REMOTE_MODE;1
HAS_IN_H;2
SFS_STATVFS;4
MAXHOSTNAMELEN;2
EXAMPLE_CODE;1
SOLARIS;24
SSL_OP_NETSCAPE_CHALLENGE_BUG;1
NOERROR;1
BSD4_4_SOCKADDR;6
S_IRUSR;2
DGUX_5_4_2;3
LA_IRIX6;1
LDAP_URL_ERR_BADEXTS;1
SIOCGIFCONF_IS_BROKEN;3
SSL_OP_CISCO_ANYCONNECT;1
ENETUNREACH;3
V4FS;3
SLEEP_T;1
_nec_ews_svr4;1
DB_FCNTL_LOCKING;1
LOG_MAIL;5
TLS_VRFY_PER_CTX;4
NIS_TABLE_OBJ;1
BF_STANDALONE;1
IP_MAXPACKET;1
RLIMIT_NOFILE;2
NETINET;113
DEAL_WITH_ERROR_SSL;4
titan;2
MODE_T;1
DELL_SVR4;1
SIOCGIFNUM;1
LOCK_SH;1
MAXPACKET;1
LOCK_ON_OPEN;12
VENDOR_DEFAULT;1
_FFR_HOST_SORT_REVERSE;2
STATLEN;2
LDAP_URL_ERR_BADHOST;1
YPERR_BUSY;1
_FFR_TRUSTED_QF;2
SFS_NONE;2
USING_NETSCAPE_LDAP;2
MXHOSTBUFSIZE;2
NEEDSTRSTR;2
SSL_OP_MSIE_SSLV2_RSA_PADDING;1
_CRAYCOM;2
_NET_IF_H;1
_AIX4;12
XLA;13
LDAP_URL_ERR_BADFILTER;1
EDQUOT;5
_PowerUX;1
ESTALE;3
_FFR_IGNORE_BOGUS_ADDR;2
LINUX_VERSION_CODE;5
CI_ENVRCPT;1
ALLOWSEMI;1
SUN_INIT_DOMAIN;7
_FFR_LOG_NTRIES;2
TTYNAME;2
RLIMIT_NEEDS_SYS_TIME_H;2
FORK;2
MAXINPLINE;1
DB_NOTFOUND;1
luna;1
__PARAGON__;1
BROKEN_PTHREAD_SLEEP;1
S_ISREG;1
INT16SZ;1
ISC_UNIX;6
NetBSD1_2;1
AI_ALL;2
LOG_INFO;1
SEEK_SET;1
HASSETSID;2
SPT_SCO;3
SEM_R;1
LA_AVENRUN;1
HASSETVBUF;2
MAILLOCK;3
SM_RPOOL;5
ARG_MAX;2
SFS_NT;1
SOLARIS < 10000 && SOLARIS >;9
__svr5__;3
IP_TOS;1
_FFR_ALLOW_SASLINFO;6
SM_CONF_BROKEN_STRTOD;4
SOCK_STREAM;1
S_IXOTH;1
__NetBSD_Version__;4
LDAP_REFERRALS;3
USE_ENVIRON;3
__GNU_LIBRARY__;1
UNICOSMK;1
MIME8TO7;10
LDAPMAP;27
GID_T;1
LDAP_URL_ERR_MEM;1
_SC_NPROCESSORS_ONLN;3
LA_SHORT;4
DB_INCOMPLETE;1
LOG_DEBUG;1
NO_GID;1
setjmp;1
S_IFLNK;2
