guard;line;td
#ifndef lint;2;1
#ifndef lint;6;1
#ifndef ISC_UNIX;10;1
#ifdef EX_OK;16;1
#if HASFCHOWN;75;1
#if HASFCHOWN;168;1
# ifdef UID_MAX;204;1
#ifndef SMFI_VERSION;3;1
# if _FFR_MDS_NEGOTIATE;4;1
#ifdef __cplusplus;18;1
#ifndef _SOCK_ADDR;21;1
#if _FFR_WORKERS_POOL;26;1
#if defined(__linux__) && defined(__GNUC__) && defined(__cplusplus) && __GNUC_MINOR__ >= 8;34;4
#ifndef __P;39;1
# ifdef __STDC__;40;1
#if SM_CONF_STDBOOL_H;46;1
# ifndef __cplusplus;49;1
# ifndef bool;50;1
# ifndef __bool_true_false_are_defined;51;1
#if _FFR_THREAD_MONITOR;154;1
#ifdef __cplusplus;157;1
#ifndef SMFI_PROT_VERSION;3;1
#if _FFR_MDS_NEGOTIATE;10;1
#if _FFR_MILTER_CHECK;85;1
# ifdef NDBM;7;1
# ifdef NEWDB;10;1
# ifdef NEWDB;105;1
# ifdef NDBM;110;1
# ifndef _PATH_SENDMAILCF;3;1
# if defined(USE_VENDOR_CF_PATH) && defined(_PATH_VENDOR_CF);4;2
# ifndef _PATH_SENDMAILPID;10;1
# ifdef BSD4_4;11;1
# ifndef _PATH_SENDMAIL;17;1
# ifndef _PATH_MAILDIR;20;1
# ifndef _PATH_LOCTMP;23;1
# ifndef _PATH_HOSTS;26;1
# ifndef _DIR_SENDMAILCF;29;1
#ifndef MAXMAILERS;6;1
#if _FFR_GROUPREADABLEAUTHINFOFILE;80;1
# ifndef SM_CHECK_ALL;18;1
# ifndef SM_CHECK_REQUIRE;21;1
# ifndef SM_CHECK_ENSURE;24;1
# ifndef SM_CHECK_ASSERT;27;1
# if SM_CHECK_REQUIRE;30;1
# if defined(__STDC__) || defined(__cplusplus);31;2
# if SM_CHECK_ENSURE;40;1
# if defined(__STDC__) || defined(__cplusplus);41;2
# if SM_CHECK_ASSERT;49;1
# if defined(__STDC__) || defined(__cplusplus);50;2
#if NEWDB;3;1
# ifndef DB_VERSION_MAJOR;5;1
# if DB_VERSION_MAJOR >= 4 && DB_VERSION_MINOR >= 1;8;2
# if !HASFLOCK && defined(DB_FCNTL_LOCKING);13;2
# if SM_CONF_SYS_CDEFS_H;4;1
# if !SM_CONF_SYS_CDEFS_H;7;1
# if defined(__cplusplus);8;1
# if defined(__STDC__) || defined(__cplusplus);15;2
# ifndef __P;16;1
# ifndef SM_DEAD;30;1
# if __GNUC__ >= 2;31;1
# if __GNUC__ == 2 && __GNUC_MINOR__ < 5;32;2
# ifndef SM_UNUSED;44;1
# if __GNUC__ >= 2;45;1
# if __GNUC__ == 2 && __GNUC_MINOR__ < 7;46;2
# ifdef SM_OMIT_BOGUS_WARNINGS;55;1
# ifndef SM_CONF_FORMAT_TEST;60;1
# if __GNUC__ == 2 && __GNUC_MINOR__ >= 7;61;2
# ifndef PRINTFLIKE;67;1
# if SM_CONF_FORMAT_TEST;68;1
# ifndef SCANFLIKE;74;1
# if SM_CONF_FORMAT_TEST;75;1
# if SM_CONF_SETITIMER;4;1
# if SM_CONF_SETITIMER;9;1
# ifdef __STDC__;5;1
# ifndef HASLSTAT;8;1
# ifndef HASNICE;11;1
# ifndef HASRRESVPORT;14;1
# ifdef __hpux;18;1
# ifndef HASGETUSERSHELL;33;1
