feature;sd
APR_HAVE_IPV6;4
APR_VERSION_AT_LEAST;1
APR_HAS_USER;4
SVN_LIBSVN_FS_LINKS_FS_BASE;1
apr_set_os_error;1
_M_IA64;2
SVN_BDB_AUTO_COMMIT;1
SVN_CLIENT_EDITOR;1
__MINGW32__;9
SVN_HAVE_MACHO_ITERATE;4
APR_HAS_RANDOM;2
SVN_USE_WIN32_CRASHHANDLER;4
XML_UNICODE;1
CONNECTION_HAVE_THREAD_OPTION;1
SVN_CXXHL_HPP;1
SVN_HAVE_KEYCHAIN_SERVICES;5
SIZEOF_LONG_LONG;1
APR_HAS_ANSI_FS;2
HAVE_UNAME;4
SVN_DISABLE_ENTRY_CACHE;1
__GNUC__;5
ACQUIRE_PYTHON_LOCK;3
APR_ARRAY_PUSH;1
SVN_CXXHL_TRISTATE_HPP;1
SVN_HAS_ATOMIC_BUILTINS;1
APLOG_USE_MODULE;1
SIGBREAK;7
SVN_NO_WIN32_RETRY_LOOP;1
__OS2__;26
TRUE;1
APR_POOL_DEBUG;5
WC_DB_PRIVATE_H;1
SVN_LIBSVN_CLIENT_LINKS_RA_SERF;2
apr_time_from_msec;1
SVN_ERR__TRACING;11
ENABLE_NLS;4
APR_SIZEOF_VOIDP;3
LC_MESSAGES;1
__GXX_EXPERIMENTAL_CXX0X__;1
XML_VERSION_AT_LEAST;1
ONIG_OPTION_IGNORECASE;1
ENABLE_ORDERING_CHECK;8
DESCRIPTION;1
SERF_VERSION_AT_LEAST;1
SVN_PATH_LOCAL_SEPARATOR;3
__x86_64;1
HAVE_SYS_UTSNAME_H;1
SVN_FS__TRAIL_DEBUG;2
NAME;1
SVN_DEBUG_WORK_QUEUE;3
SVN_LIBSVN_FS_LINKS_FS_FS;1
__CYGWIN__;11
_MSC_VER;11
SVN_DEBUG_DSO;1
SVN_HAVE_KWALLET;4
SVN_UTF_NO_UNINITIALISED_ACCESS;1
DEFAULT_FS_TYPE;1
SVN_DEBUG;48
PY_VERSION_HEX;1
__linux__;4
__HAIKU__;4
_INTEGRAL_MAX_BITS;1
APR_HAS_FORK;4
SWIGRUBY;1
SVN_DEPRECATED;5
USE_EV2_IMPL;4
RE_OPTION_IGNORECASE;1
SIZEOF_VOIDP;1
MAX_SECS_TO_LINGER;4
SIGHUP;7
SVN_UNALIGNED_ACCESS_IS_OK;13
DB_AUTO_COMMIT;1
SVN_CXXHL_HAVE_STD_TR1_SHARED_PTR;2
MAX_KEY_SIZE;1
SVN_IO_TEST_ALL_PERMUTATIONS;6
HAVE_TERMIOS_H;5
WIN32_RETRY_LOOP;1
QUOPRINT_SVNDIFFS;1
SVN_LIBSVN_DELTA_H;1
SVN_DBG__PROTOTYPES;3
i386;1
SVN_DAV_SEND_VTXN_NAME;1
SVN_DISABLE_FULL_VERSION_MATCH;3
SVN_DISABLE_PREFIX_SUFFIX_SCANNING;2
MIN;3
APR_STATUS_IS_EPERM;1
APR_STRINGIFY;1
SVN_DEBUG_CACHE_MEMBUFFER;10
DOXYGEN_SHOULD_SKIP_THIS;8
COMPAT_INITFUNC;1
SVN_LIBSVN_CLIENT_LINKS_RA_LOCAL;3
APR_WSTICKY;1
SVN_LIBSVN_CLIENT_LINKS_RA_SVN;2
SIZEOF_LONG;1
DB_BUFFER_SMALL;1
SVN_WC__I_AM_WC_DB;1
WIN32;146
SVN_HAVE_GPG_AGENT;3
SVN_HAVE_MACOS_PLIST;6
CHECK_FOR_SAME_FILE;1
SVN_DBG_QUIET;1
APR_HAS_MMAP;8
ESTALE;4
RSTRING_PTR;2
FALSE;1
SVN_SQLITE_INLINE;5
SVN_LIBSVN_CLIENT_LINKS_RA_NEON;1
DB_INCOMPLETE;1
SVN_FS__TXN_MAX_LEN;1
SVN_CXXHL_EXCEPTION_HPP;1
SVN_ERROR_BUILD_ARRAY;6
SVN_ERROR_ENUM_DEFINED;2
ZLIB_VERNUM;1
SVN_DIFF3_HAS_DIFF_PROGRAM_ARG;1
TIOCGWINSZ;1
NDEBUG;7
APR_FILE_ATTR_HIDDEN;1
__cplusplus;339
DB_REGISTER;1
HAVE_UNISTD_H;2
SVN_RUN_WORK_QUEUE_TWICE;1
HAVE_RUBY_IO_H;1
SVN_RANGE_INDEX_TEST_H;1
PY_SSIZE_T_MIN;1
RARRAY_LEN;1
SVN_BDB_PATH_UTF8;1
EDEADLK;1
HAVE_BIND_TEXTDOMAIN_CODESET;1
SVN_CMDLINE_ERROR_ENUM_DEFINED;4
HAVE_RB_ERRINFO;1
SIGPIPE;8
SVN_CLIENT_COMMIT_DEBUG;1
RSTRING_LEN;2
SVN_BDB_AUTO_RECOVER;1
SVN_HAVE_CRYPTO;9
VTBL;1
SVN_SQLITE_REVERSE_UNORDERED_SELECTS;1
_WIN32_WINNT;1
__clang_analyzer__;2
APR_CHARSET_EBCDIC;2
SIGXFSZ;8
__MAC_OS_X_VERSION_MIN_REQUIRED;2
APR_OS_DEFAULT;1
CTYPESGEN;1
SVN_HAVE_OLD_EXPAT;1
APR_HAVE_UNISTD_H;1
SVN_HI_RES_SLEEP_MS;1
__GNUC_MINOR__;5
SVN_DEBUG_CACHE_DUMP_STATS;2
EPERM;1
_;2
SVN_CL_NO_EXCLUSIVE_LOCK;1
APR_HAS_UNICODE_FS;4
SQLITE_VERSION_NUMBER;1
SVN_CXXHL_COMPAT_HPP;1
HAVE_READLINK;2
WITH_THREAD;1
SVN_HAVE_SASL;11
SWIG;1
APR_ARRAY_IDX;1
SVN_VA_NULL;1
SVN_CXXHL_HAVE_STD_SHARED_PTR;3
__powerpc__;1
SVN_USE_DOS_PATHS;67
DARWIN;13
_M_IX86;5
ENABLE_EV2_SHIMS;4
APU_VERSION_STRING;1
SVN_DIRENT_URI_H;1
SQLITE3_PROFILE;2
SVN_ENABLE_DEPRECATION_WARNINGS_IN_TESTS;1
__APPLE__;2
SVN_HAVE_GNOME_KEYRING;4
CHOOSABLE_DAV_MODULE;3
HAVE_SYMLINK;15
MAGIC_MIME_TYPE;2
TEST16K_ADD;2
SVN_MERGE__ALLOW_ALL_FORWARD_MERGES_FROM_SELF;1
SQLITE_VERSION_AT_LEAST;1
__ppc__;1
NOT_USED_YET;1
SWIGPERL;1
SQLITE3_DEBUG;3
APR_HAVE_SYS_IOCTL_H;1
SVN_USE_DSO;4
SIGTERM;7
RARRAY_PTR;1
SVN_DISABLE_PLAINTEXT_PASSWORD_STORAGE;10
SVN_SWIG_SWIGUTIL_RB_C;1
SVN_SWIG_SWIGUTIL_PY_C;1
INITFUNC;1
XML_STATUS_OK;1
EXPAT_HAS_STOPPARSER;3
InterlockedExchangeAdd64;1
PACK_AFTER_EVERY_COMMIT;1
SWIGPYTHON;1
MAX;2
__APPLE_CC__;3
DOXYGEN;6
APU_HAVE_CRYPTO;1
APR_HAS_LARGE_FILES;1
__clang__;1
SVN_HAVE_MEMCACHE;2
ENABLE_EV2_IMPL;1
SVN_DEBUG_CRASH_AT_REPOS_OPEN;1
SVN_BDB_HAS_DB_INCOMPLETE;2
APR_HAS_DSO;6
APR_HAS_THREADS;40
SVN_FS_FS_DEFAULT_MAX_FILES_PER_DIR;1
SVN_SQLITE_MIN_VERSION_NUMBER;1
apr_get_os_error;1
_M_X64;5
SVN_HAVE_LIBMAGIC;5
SVN_AVOID_CIRCULAR_LINKAGE_AT_ALL_COSTS_HACK;2
_WIN32;2
SWIG_IsOK;1
SUFFIX_LINES_TO_KEEP;2
