branch;line;nd
#ifdef HAVE_CONFIG_H;1;1
#if 0;245;1
#ifdef HAVE_CONFIG_H;1;1
#if HAVE_LOCALE_H;11;1
#if 0;482;1
#if USE_THREADS;587;1
#else;591;1
#if 1;753;1
#else;756;1
#if 0;765;1
#if 0;874;1
#ifdef G_OS_WIN32;1372;1
#elif defined(__APPLE__);1374;1
#else;1376;1
#if !defined(G_OS_WIN32) && !defined(__APPLE__);1585;1
#if defined(G_OS_WIN32) || defined(__APPLE__);1610;1
#else;1614;1
#if defined(G_OS_WIN32) || defined(__APPLE__);1644;1
#else;1649;1
#ifdef G_OS_WIN32;1749;1
#else;1751;2
#ifdef HAVE_CONFIG_H;3;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef HAVE_CONFIG_H;3;1
#if HAVE_PATHS_H;7;1
#if HAVE_SYS_PARAM_H;10;1
#if defined(G_OS_WIN32) || defined(__APPLE__);19;1
#else;21;1
#ifdef G_OS_WIN32;58;1
#ifdef G_OS_WIN32;61;1
#else;63;1
#ifdef __APPLE__;69;1
#else;71;1
#ifdef _PATH_MAILDIR;74;1
#else;76;1
#ifndef MAXPATHLEN;80;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef HAVE_CONFIG_H;1;1
#if USE_ONIGURUMA;11;1
#elif HAVE_REGEX_H;13;1
#if defined(USE_ONIGURUMA) || defined(HAVE_REGCOMP);272;2
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_WIN32;601;1
#else;603;1
#ifdef G_OS_WIN32;923;1
#ifdef G_OS_WIN32;1254;1
#if 0;9;1
#if 0;21;1
#if 0;190;1
#ifdef HAVE_CONFIG_H;1;1
#if HAVE_ICONV;14;1
#if USE_SSL;34;1
#if USE_THREADS;49;1
#if USE_SSL;191;1
#else;196;1
#if USE_SSL;258;1
#if USE_THREADS;347;1
#if USE_SSL;529;1
#else;532;1
#if USE_SSL;541;1
#if USE_SSL;586;1
#else;589;1
#if USE_SSL;604;1
#if USE_THREADS;645;1
#if 0;654;1
#if 0;838;1
#else;845;1
#if 0;1662;1
#if 0;1890;1
#ifndef USE_THREADS;2207;1
#ifndef USE_THREADS;2226;1
#if USE_THREADS;2229;1
#if USE_THREADS;2239;1
#else;2242;1
#if USE_THREADS;2322;1
#else;2326;1
#if USE_SSL;2389;1
#else;2392;1
#if USE_THREADS;2400;1
#if USE_THREADS;2410;1
#else;2417;1
#if USE_SSL;2432;1
#if USE_SSL;3198;1
#if USE_THREADS;3437;1
#else;3439;1
#if USE_THREADS;3668;1
#if USE_THREADS;3679;1
#else;3681;1
#if USE_THREADS;3695;1
#if USE_THREADS;4081;1
#if USE_THREADS;4170;1
#else;4177;1
#ifdef HAVE_CONFIG_H;3;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_UNIX;255;3
#else;320;1
#if HAVE_FLOCK;337;1
#else;340;2
#if HAVE_TRUNCATE;368;1
#if HAVE_TRUNCATE;372;1
#if HAVE_TRUNCATE;381;1
#if (G_BYTE_ORDER == G_BIG_ENDIAN);39;1
#else;41;1
#ifdef __cplusplus;4;1
#ifdef __cplusplus;21;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_WIN32;13;1
#if USE_THREADS;24;1
#else;28;1
#ifdef MEASURE_TIME;178;1
#ifdef MEASURE_TIME;183;1
#ifdef MEASURE_TIME;232;1
#ifdef G_OS_WIN32;740;1
#ifdef G_OS_WIN32;818;1
#else;821;1
