feature;sd
yystrlen;1
__MINGW32__;1
USE_SIMPLE_GETTEXT;1
GDK_WINDOWING_X11;9
SIZEOF_UNSIGNED_SHORT;1
G_OS_UNIX;26
USE_UPDATE_CHECK_PLUGIN;15
HAVE_FSYNC;1
DEVEL_VERSION;2
__GNUC__;38
_STDLIB_H;6
YYLEX_PARAM;1
HAVE_SYS_WAIT_H;5
YYCOPY;1
PANGO_ENABLE_ENGINE;1
DEV_STANDALONE;8
PACKAGE;1
HAVE_REGCOMP;2
HAVE_ICONV;2
_PATH_MAILDIR;1
ENABLE_NLS;3
YYERROR_VERBOSE;7
__SIZE_TYPE__;1
YYPRINT;2
YYTYPE_UINT16;1
YYENABLE_NLS;1
HAVE_SYS_UTSNAME_H;3
size_t;1
YYTYPE_INT16;1
SIZEOF_UNSIGNED_INT;1
_GNU_SOURCE;1
YYLTYPE_IS_TRIVIAL;1
_MSC_VER;16
USE_GTKSPELL;21
_AIX;1
short;1
YY_LOCATION_PRINT;1
malloc;2
USE_ONIGURUMA;5
YYFREE;2
HAVE_SYS_MMAN_H;1
HAVE_FLOCK;3
HAVE_U32_TYPEDEF;1
YYSTACK_USE_ALLOCA;2
__BUILTIN_VA_ARG_INCR;1
YYSIZE_T;2
YYSTYPE_IS_DECLARED;2
YYTYPE_UINT8;1
HAVE_PATHS_H;1
HAVE_CONFIG_H;119
SIZEOF_UNSIGNED_LONG;1
G_BIG_ENDIAN;2
YYSTYPE;2
HAVE_GETUID;1
HAVE_LIBPISOCK_PI_ADDRESS_H;1
EGG_COMPILATION;1
YYDEBUG;4
G_OS_WIN32;242
HAVE_INET_ADDR;1
G_ENABLE_DEBUG;3
USE_XIM;1
yyoverflow;5
HAVE_TRUNCATE;3
USE_JPILOT;17
YYPARSE_PARAM;2
yystpcpy;1
YYTOKENTYPE;2
SPARSE_MEMORY;2
MIME_DEBUG;1
_ALLOCA_H;1
HAVE_INET_ATON;1
HAVE_LIBPISOCK_PI_ARGS_H;1
HAVE_SYS_SELECT_H;1
INET6;8
__cplusplus;23
GTK_STOCK_EDIT;2
YYSTACK_ALLOC_MAXIMUM;2
__SUNPRO_C;35
HAVE_FCHMOD;1
HAVE_LIBCOMPFACE;7
HAVE_DIRENT_D_TYPE;4
USE_GPGME;66
__STDC__;17
YYMAXDEPTH;1
__C99__FUNC__;15
MEASURE_TIME;3
YYFPRINTF;1
HAVE_ALLOCA_H;1
_;1
YY_;2
USE_ENCHANT;2
__GLIBC__;2
YYLLOC_DEFAULT;1
BIG_ENDIAN_HOST;1
__APPLE__;26
PILOT_LINK_MAJOR;2
MAXPATHLEN;1
USE_SSL;104
USE_UPDATE_CHECK;13
HAVE_MLOCK;2
HAVE_NETDB_H;1
HAVE_LOCKF;2
yytnamerr;1
YYSTACK_ALLOC;1
_STRING_H;2
HAVE_LOCALE_H;6
YYMALLOC;2
USE_THREADS;58
G_BYTE_ORDER;2
HAVE_SYS_PARAM_H;1
YYSTACK_RELOCATE;1
HAVE_REGEX_H;1
YYTOKEN_TABLE;2
lint;2
YYINITDEPTH;1
YYSTYPE_IS_TRIVIAL;1
USE_LDAP;22
WINVER;1
YYTYPE_INT8;1
free;2
HAVE_DRIVE_LETTERS;1
