guard;line;td
#ifdef HAVE_CONFIG_H;1;1
#ifdef HAVE_CONFIG_H;1;1
#if HAVE_LOCALE_H;11;1
#if USE_THREADS;587;1
#ifdef G_OS_WIN32;1372;1
#elif defined(__APPLE__);1374;1
#if !defined(G_OS_WIN32) && !defined(__APPLE__);1585;2
#if defined(G_OS_WIN32) || defined(__APPLE__);1610;2
#if defined(G_OS_WIN32) || defined(__APPLE__);1644;2
#ifdef G_OS_WIN32;1749;1
#ifdef HAVE_LOCALE_H;1757;1
#ifdef HAVE_CONFIG_H;3;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef HAVE_CONFIG_H;3;1
#if HAVE_PATHS_H;7;1
#if HAVE_SYS_PARAM_H;10;1
#if defined(G_OS_WIN32) || defined(__APPLE__);19;2
#ifdef G_OS_WIN32;58;1
#ifdef G_OS_WIN32;61;1
#ifdef __APPLE__;69;1
#ifdef _PATH_MAILDIR;74;1
#ifndef MAXPATHLEN;80;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef HAVE_CONFIG_H;1;1
#if USE_ONIGURUMA;11;1
#elif HAVE_REGEX_H;13;1
#if defined(USE_ONIGURUMA) || defined(HAVE_REGCOMP);272;2
#if USE_ONIGURUMA;275;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_WIN32;601;1
#ifdef G_OS_WIN32;923;1
#ifdef G_OS_WIN32;1254;1
#ifdef HAVE_CONFIG_H;1;1
#if HAVE_ICONV;14;1
#if USE_SSL;34;1
#if USE_THREADS;49;1
#if USE_SSL;191;1
#if USE_SSL;258;1
#if USE_THREADS;347;1
#if USE_SSL;529;1
#if USE_SSL;541;1
#if USE_SSL;586;1
#if USE_SSL;604;1
#if USE_THREADS;645;1
#ifndef USE_THREADS;2207;1
#ifndef USE_THREADS;2226;1
#if USE_THREADS;2229;1
#if USE_THREADS;2239;1
#if USE_THREADS;2322;1
#if USE_SSL;2389;1
#if USE_THREADS;2400;1
#if USE_THREADS;2410;1
#if USE_SSL;2432;1
#if USE_SSL;3198;1
#if USE_THREADS;3437;1
#if USE_THREADS;3668;1
#if USE_THREADS;3679;1
#if USE_THREADS;3695;1
#if USE_THREADS;4081;1
#if USE_THREADS;4170;1
#ifdef HAVE_CONFIG_H;3;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_UNIX;255;1
#if HAVE_FLOCK;290;1
#if HAVE_FLOCK;298;1
#if HAVE_LOCKF;302;1
#if HAVE_FLOCK;337;1
#if HAVE_LOCKF;341;1
#if HAVE_TRUNCATE;368;1
#if HAVE_TRUNCATE;372;1
#if HAVE_TRUNCATE;381;1
#if (G_BYTE_ORDER == G_BIG_ENDIAN);39;2
#ifdef __cplusplus;4;1
#ifdef __cplusplus;21;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_WIN32;13;1
#if USE_THREADS;24;1
#ifdef MEASURE_TIME;178;1
#ifdef MEASURE_TIME;183;1
#ifdef MEASURE_TIME;232;1
#ifdef G_OS_WIN32;740;1
#ifdef G_OS_WIN32;818;1
#ifdef G_OS_WIN32;842;1
#ifdef G_OS_WIN32;854;1
#ifdef G_OS_WIN32;1306;1
#ifdef G_OS_WIN32;1338;1
#ifdef G_OS_WIN32;1354;1
#ifdef G_OS_WIN32;1380;1
#ifdef G_OS_WIN32;1384;1
#if HAVE_DIRENT_D_TYPE;1387;1
#if HAVE_DIRENT_D_TYPE;1392;1
#ifndef G_OS_WIN32;1399;1
#ifdef G_OS_WIN32;1461;1
#ifdef G_OS_WIN32;1466;1
#ifdef HAVE_CONFIG_H;1;1
#if USE_SSL;25;1
#if USE_SSL;30;1
#if USE_SSL;52;1
#if USE_SSL;163;1
#if USE_SSL;178;1
#if USE_SSL;206;1
#ifdef HAVE_CONFIG_H;1;1
#if USE_SSL;11;1
#if USE_SSL;29;1
#if USE_SSL;64;1
#if USE_SSL;114;1
#if USE_SSL;4;1
#if USE_SSL;28;1
#ifdef HAVE_CONFIG_H;1;1
#if USE_SSL;25;1
#if USE_SSL;74;1
#if USE_SSL;347;1
#if USE_SSL;559;1
#if USE_SSL;624;1
#if USE_SSL;634;1
#ifdef HAVE_CONFIG_H;3;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_WIN32;11;1
#if HAVE_FSYNC;295;1
#elif defined(G_OS_WIN32);302;1
#ifdef G_OS_WIN32;383;1
#ifdef G_OS_WIN32;400;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef HAVE_CONFIG_H;3;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_WIN32;284;1
#ifdef G_OS_WIN32;292;1
#ifdef G_OS_WIN32;325;1
#ifdef G_OS_WIN32;348;1
#ifdef G_OS_WIN32;355;1
#ifdef G_OS_WIN32;381;1
#ifdef G_OS_WIN32;387;1
#ifdef G_OS_WIN32;394;1
