feature;sd
regexp_h_static;1
SA_INTERRUPT;1
REGEXP_H_STAKBLOK;1
COLL_WEIGHTS_MAX;1
__GNUC__;6
_SC_JOB_CONTROL;1
MAP_ANONYMOUS;1
CTRL;1
NAME_MAX;1
VREPRINT;1
REGEXP_H_STEP_INIT;1
FASTTAG;6
LIBUXRE_W_TYPE;1
REGDEBUG;1
NO_BE_BACKSLASH;2
LONG_BIT;2
EXSTRINGS;1
UCVISUAL;11
SIGWINCH;11
BEEHIVE;3
USHRT_MAX;1
CM_B;1
regexp_h_malloc;1
DEBUG;13
REGEXP_H_MASK;1
TDEBUG;1
BUFSIZ;3
LISPCODE;16
regexp_h_free;1
VDISCRD;1
_PC_VDISABLE;2
UCBV7;1
u370;6
getchar;1
OLD3BTTY;1
EATQS;1
DSHLIB;1
VSTART;1
TIOCLGET;1
HAS_JOB_CONTROL;1
CHARCLASS_NAME_MAX;1
TRACE;31
INCORB;9
O_NOFOLLOW;3
MDEBUG;17
REGEXP_H_USED_FROM_VI;1
debug;4
debugprint;1
LIBUXRE_WUCHAR_T;1
XTABS;3
_SC_PAGESIZE;1
REGEXP_H_ADVANCE_INIT;1
LANGMSG;7
MAXBSIZE;1
TIOCGWINSZ;8
NULL;3
__cplusplus;2
mbb;1
printf;1
EOF;1
ADEBUG;21
SIGEMT;2
notdef;25
REGEXP_H_WCHARS;30
IUCLC;1
REG_ICASE;1
__STDC__;1
LIBUXRE_STATIC;1
VDSUSP;1
ISO8859_1;5
SIGXFSZ;3
MB_LEN_MAX;1
VSUSP;1
TABS;1
S_IFIFO;1
__GNUC_MINOR__;2
CM_N;1
TAB3;3
V6;1
putchar;1
EXRECOVER;1
SA_RESTART;1
VMUNIX;27
EXPRESERVE;1
pdp11;2
__dietlibc__;2
LARGEF;9
regexp_h_inline;1
MAP_FAILED;1
SIGTSTP;8
REGEXP_H_VI_BACKSLASH;6
_CRAY;1
BIT8;53
VSTATUS;1
S_IFSOCK;1
VFORK;1
vprintf;1
UXRE;5
IDEBUG;2
DOSCCS;33
CM_D;1
MB_CUR_MAX;1
CHDIR;2
longdebug;2
MAXNAMLEN;1
lint;34
CM_GT;1
RDEBUG;2
MAP_ANON;2
var;1
VWERASE;1
ESIZE;3
FNSIZE;1
LINE_MAX;2
MB;34
VLNEXT;1
_POSIX_PATH_MAX;2
signal;1
