branch;line;nd
#ifdef XAW3D;4;1
#else;8;1
#if NeedFunctionPrototypes;406;1
#else;408;1
#if NeedFunctionPrototypes;417;1
#else;419;1
#if NeedFunctionPrototypes;428;1
#else;430;1
#ifdef X_NOT_STDC_ENV;6;1
#else;7;1
#ifdef XAW3D;11;1
#else;13;1
#ifdef XAW3D;49;1
#else;51;1
#ifdef XAW3D;94;1
#ifdef XAW3D;143;1
#else;145;1
#if (XtVersion >= 11006);149;1
#else;157;1
#ifndef XAW3D;163;1
#if (XtVersion >= 11006);184;1
#if (XtVersion >= 11006);199;1
#if (XtVersion >= 11006);216;1
#if (XtVersion >= 11006);256;1
#else;260;1
#if (XtVersion >= 11006);269;1
#ifdef XAW3D;314;1
#if (XtVersion >= 11006);334;2
#ifdef XAW3D;362;1
#ifdef XAW3D;369;1
#ifdef XAW3D;384;1
#ifdef XAW3D;399;1
#if (XtVersion >= 11006);471;1
#if (XtVersion >= 11006);479;1
#if (XtVersion >= 11006);492;1
#ifdef apollo;513;1
#ifdef XAW3D;4;1
#else;6;1
#ifndef XtNfontSet;17;1
#ifndef XtCFontSet;20;1
#ifdef XAW3D;3;1
#else;5;1
#ifdef XAW3D;15;1
#ifdef XAW3D;44;1
#ifdef XAW3D;7;1
#else;9;1
#ifdef XAW3D;71;1
#ifdef XAW3D;4;1
#else;6;1
#ifdef XAW3D;3;1
#else;5;1
#ifdef XAW3D;16;1
#ifdef XAW3D;32;1
#ifdef SEL_TEXT;29;1
#ifdef SEL_TEXT;40;1
#ifdef SEL_TEXT;89;1
#ifdef I18N;100;2
#ifdef I18N;128;2
#ifdef I18N;257;1
#ifdef SEL_TEXT;310;1
#ifdef I18N;357;1
#ifdef I18N;417;1
#ifdef SEL_TEXT;435;1
#ifdef SEL_TEXT;465;1
#ifdef SEL_TEXT;477;1
#ifdef SEL_TEXT;484;1
#ifdef I18N;533;1
#ifdef I18N;606;1
#ifdef I18N;620;1
#ifdef I18N;680;1
#ifdef SEL_TEXT;736;1
#ifdef I18N;757;1
#ifdef I18N;769;1
#ifdef I18N;782;1
#ifdef I18N;794;1
#ifdef I18N;801;1
#ifdef I18N;812;1
#ifdef I18N;819;1
#ifdef I18N;862;1
#ifdef I18N;908;1
#ifdef I18N;955;1
#ifdef I18N;962;1
#ifdef I18N;988;1
#ifdef SEL_TEXT;1004;1
#ifdef I18N;1063;1
#ifdef I18N;1087;1
#ifdef SEL_TEXT;1132;1
#ifdef I18N;1237;1
#ifdef I18N;1262;1
#ifdef SEL_TEXT;1284;1
#ifdef I18N;1410;1
#ifdef I18N;1440;3
#ifdef I18N;11;2
#ifndef __FreeBSD__;2;1
#if 0;249;1
#if 0;516;1
#if 0;697;1
#if 0;707;1
#ifdef I18N;107;1
#ifdef I18N;138;1
#ifdef I18N;143;1
#ifdef I18N;140;1
#ifdef I18N;183;1
#ifdef I18N;188;1
#ifdef USE_JPEG;196;1
#ifdef USE_XPM;200;1
#ifdef USE_XPM;1335;1
#ifdef USE_JPEG;1341;1
#ifdef USE_XPM;1633;1
#ifdef USE_JPEG;1636;1
#ifdef USE_JPEG;1668;1
#ifdef USE_XPM;1675;1
#ifdef I18N;1894;1
#else;1897;1
#ifdef I18N;3451;1
#ifdef ENAMETOOLONG;241;1
#ifndef DEFSMPFAC;19;2
#ifdef MAXERR;155;1
#ifdef USE_JPEG;23;1
#ifdef USE_XPM;26;1
#ifdef USE_JPEG;46;1
#ifdef USE_XPM;51;1
#ifdef I18N;124;1
#ifdef I18N;128;1
#ifdef GSBIT;115;1
#ifdef GSBIT;190;1
#ifdef USE_ALPHA;83;1
#if (PNG_LIBPNG_VER_MAJOR > 1 || (PNG_LIBPNG_VER_MAJOR == 1 && (PNG_LIBPNG_VER_MINOR > 4))) || defined(png_set_quantize);89;1
#else;91;1
#ifdef I18N;77;1
#ifdef I18N;105;1
#ifdef DONT_SHOW_DEPTHS;143;1
