feature;sd
ibm032;1
COMP_LED;1
CACHE_BITMAPS;4
NOSTRSTR;2
NO_COMPKEYDB;7
HAVE_NO_STRCASECMP;1
NEWARROWTYPES;2
XtNfontSet;1
strrchr;1
__osf__;1
X11R3;1
PATH_MAX;1
__convex__;1
SYSTYPE_SYSV;1
CACHE_SIZE_LIMIT;1
PNG_LIBPNG_VER_MAJOR;1
USE_TAB;2
Mips;2
USE_XPM;18
SCO;1
CLIP_LINE;2
sparc;2
NOSTDHDRS;1
ultrix;3
__CYGWIN__;2
SPEED;1
MOTOROLA;2
_XVERTEXT_INCLUDED_;1
I18N;83
_IBMR2;1
_AIX;1
REG_NOERROR;1
sun;3
NeedFunctionPrototypes;3
SVR4;9
vax;1
SIGBUS;3
XtCFontSet;1
BSD;2
i386;1
ENAMETOOLONG;1
USE_ALPHA;1
_XBCOPYFUNC;1
sgi;2
HAVE_NO_STRNCASECMP;1
UTEK;1
SEL_TEXT;17
strchr;1
titan;1
luna;1
CACHE_FID;3
_XFUNCS_H_;1
MAX_SIDERULER_HT;1
__GNU_LIBRARY__;2
XtVersion;15
SYSV386;3
__cplusplus;1
_XOSDEFS_H_;1
I18N_USE_PREEDIT;7
NEED_STRERROR;2
ISC;1
REPORT_XY_ALWAYS;1
X_NOT_STDC_ENV;4
__STDC__;3
S_IWOTH;1
USE_JPEG;7
glibc;1
MAX_TOPRULER_WD;1
GSBIT;2
png_set_quantize;1
FIXED_JAPANESE_PDF;1
MAXERR;1
USE_INLINE;1
SMOOTHMOTION;1
XtSpecificationRelease;1
__GLIBC__;3
linux;2
frandom;1
USE_XPM_ICON;3
DEFSMPFAC;1
XAW3D;34
hpux;1
MAXPATHLEN;1
S_IWUSR;1
CACHE_XIMAGES;3
DONT_SHOW_DEPTHS;1
macII;3
DIGITIZE;1
CRAY;2
HAVE_NO_DIRENT;3
__FreeBSD__;6
c_plusplus;1
__bsdi__;2
PNG_LIBPNG_VER_MINOR;1
X_NOT_POSIX;2
__NetBSD__;2
MAXNUMPTS;1
SYSV;13
__hpux;2
sony;1
BSDLPR;2
USL;2
_POSIX_SOURCE;5
apollo;2
SCO324;1
X_USEBFUNCS;1
WHEN_SAVE_YOURSELF_IS_FIXED;2
XAW3D1_5E;55
S_IWGRP;1
SETLOCALE;1
