Class,Methods,Over-exposed methods
Echo in org::example::tasks::TaskdefTestSimpleTask (Class),3,0
NestedContainer in org::apache::tools::ant::types::AddTypeTest (Class),3,0
Type in org::apache::tools::ant::types::resources::comparators (Class),1,0
JavacExternal in org::apache::tools::ant::taskdefs::compilers (Class),3,1
ScriptFilter in org::apache::tools::ant::types::optional (Class),14,1
LineContains in org::apache::tools::ant::filters (Class),11,1
TypeSelectorTest in org::apache::tools::ant::types::selectors (Class),4,0
ResourceEnumeration in org::apache::tools::ant::AntClassLoader (Class),4,0
JUnitTestRunner in org::apache::tools::ant::taskdefs::optional::junit (Class),42,2
Comment in org::apache::tools::ant::util::LayoutPreservingProperties (Class),1,0
AImpl in org::apache::tools::ant::types::AddTypeTest (Class),0,0
IsFileSelected in org::apache::tools::ant::taskdefs::condition (Class),5,0
PropertyOutputStream in org::apache::tools::ant::util (Class),3,0
anonymous(ProjectComponent) in org::apache::tools::ant::ProjectComponentTest.testClone() (Class),0,0
ABImpl in org::apache::tools::ant::types::AddTypeTest (Class),0,0
CompoundEnumeration in org::apache::tools::ant::taskdefs::optional::junit (Class),4,1
ReadPoint in org::apache::tools::ant::taskdefs::JavaTest (Class),1,0
JUnitTestRunnerMirror in org::apache::tools::ant::taskdefs::optional::junit::JUnitTaskMirror (Class),10,2
ProportionsAttribute in org::apache::tools::ant::types::optional::image::Scale (Class),1,0
Archives in org::apache::tools::ant::types::resources (Class),11,1
TokenFilter in org::apache::tools::ant::filters (Class),20,0
FilterSetTest in org::apache::tools::ant::types (Class),18,0
ConstantPool in org::apache::tools::ant::taskdefs::optional::jlink (Class),2,0
Html in org::apache::tools::ant::taskdefs::Javadoc (Class),4,0
LinkArgument in org::apache::tools::ant::taskdefs::Javadoc (Class),12,6
Handler in org::apache::tools::ant::taskdefs::Input (Class),9,1
anonymous(InputStream) in org::apache::tools::ant::types::resources::PropertyResource.<Initializer>() (Class),1,0
EchoXML in org::apache::tools::ant::taskdefs (Class),5,0
RenameExtensions in org::apache::tools::ant::taskdefs::optional (Class),7,0
ProjectHelper in org::apache::tools::ant (Class),29,2
Echo in org::apache::tools::ant::taskdefs (Class),11,0
FileSetTest in org::apache::tools::ant::types (Class),2,0
LoadFileTest in org::apache::tools::ant::taskdefs (Class),13,0
anonymous(P4HandlerAdapter) in org::apache::tools::ant::taskdefs::optional::perforce::P4Label.execute() (Class),1,0
PatternSet in org::apache::tools::ant::types (Class),24,2
PreSetDefTest in org::apache::tools::ant::taskdefs (Class),14,0
FileInput in org::apache::tools::ant::taskdefs::Replace (Class),6,0
IgnoreBlank in org::apache::tools::ant::filters::TokenFilter (Class),1,0
DispatchTaskTest in org::apache::tools::ant (Class),3,0
SplashScreen in org::apache::tools::ant::taskdefs::optional::splash (Class),17,1
WebAppParameter in org::apache::tools::ant::taskdefs::optional::jsp::JspC (Class),2,1
RemoteTimestamp in <Default Package> (Class),1,0
FormatterElement in org::apache::tools::ant::taskdefs::optional::junit (Class),19,3
DynamicElement in org::apache::tools::ant (Class),1,0
CrLf in org::apache::tools::ant::taskdefs::FixCRLF (Class),2,1
Sleeper in org::apache::tools::ant::taskdefs::optional::junit (Class),2,0
Section in org::apache::tools::ant::taskdefs::Manifest (Class),20,5
SummaryJUnitResultFormatterMirror in org::apache::tools::ant::taskdefs::optional::junit::JUnitTaskMirror (Class),1,0
TaskdefTestContainerTask in org::example::tasks (Class),1,0
CatalogResolver in org::apache::tools::ant::types::XMLCatalog (Class),2,0
AntClassLoader5Test in org::apache::tools::ant::loader (Class),2,0
JspCompilerAdapterFactory in org::apache::tools::ant::taskdefs::optional::jsp::compilers (Class),4,0
ReplaceTokens in org::apache::tools::ant::filters (Class),17,0
SymbolicLinkUtils in org::apache::tools::ant::util (Class),10,1
AssertionsTest in org::apache::tools::ant::types (Class),15,0
MappingSelector in org::apache::tools::ant::types::selectors (Class),9,1
Javac13 in org::apache::tools::ant::taskdefs::compilers (Class),3,1
Base64Converter in org::apache::tools::ant::util (Class),4,0
SelectorContainer in org::apache::tools::ant::types::selectors (Class),24,0
Sequential in org::apache::tools::ant::taskdefs (Class),4,1
Rotate in org::apache::tools::ant::types::optional::image (Class),5,0
BriefCodediffNofile in org::apache::tools::ant::taskdefs::optional::vss::MSVSSHISTORY (Class),1,0
P4Submit in org::apache::tools::ant::taskdefs::optional::perforce (Class),4,0
DynamicConfigurator in org::apache::tools::ant (Class),0,0
JakartaRegexpRegexpTest in org::apache::tools::ant::util::regexp (Class),5,0
ProjectComponentTest in org::apache::tools::ant (Class),2,0
TarResource in org::apache::tools::ant::types::resources (Class),12,0
Exec in org::apache::tools::ant::taskdefs (Class),11,1
ZipExtraFieldTest in org::apache::tools::ant::taskdefs (Class),1,0
CollectionUtilsTest in org::apache::tools::ant::util (Class),3,0
ParseProperties in org::apache::tools::ant::property (Class),7,0
AbstractResourceCollectionWrapper in org::apache::tools::ant::types::resources (Class),13,6
A in <Default Package> (Class),1,0
TelnetWrite in org::apache::tools::ant::taskdefs::optional::net::TelnetTask (Class),4,1
Description in org::apache::tools::ant::types (Class),4,0
Jdk14RegexpRegexp in org::apache::tools::ant::util::regexp (Class),4,1
WeblogicTOPLinkDeploymentTool in org::apache::tools::ant::taskdefs::optional::ejb (Class),7,1
JavadocTest in org::apache::tools::ant::taskdefs (Class),19,0
SOSCmd in org::apache::tools::ant::taskdefs::optional::sos (Class),1,0
MyRpm in org::apache::tools::ant::taskdefs::optional::RpmTest (Class),3,1
TimeProcess in org::apache::tools::ant::taskdefs (Class),1,0
BlockFor in org::apache::tools::ant::taskdefs::optional::testing (Class),4,0
LoaderUtils in org::apache::tools::ant::util (Class),9,0
ZipExtraField in org::apache::tools::zip (Class),6,5
Javadoc in org::apache::tools::ant::taskdefs (Class),106,5
SOSTest in org::apache::tools::ant::taskdefs::optional::sos (Class),16,0
TarEntryTest in org::apache::tools::tar (Class),2,0
Mapper in org::apache::tools::ant::types (Class),16,2
CommandlineJava in org::apache::tools::ant::types (Class),40,3
TestNull in org::apache::tools::ant::types::EnumeratedAttributeTest (Class),2,1
FileMode in org::apache::tools::ant::taskdefs::Length (Class),2,0
TelnetRead in org::apache::tools::ant::taskdefs::optional::net::TelnetTask (Class),5,1
CompilerAdapter in org::apache::tools::ant::taskdefs::compilers (Class),2,0
XSLTTraceSupport in org::apache::tools::ant::taskdefs::optional (Class),1,0
ReflectUtil in org::apache::tools::ant::util (Class),10,0
IsReachableTest in org::apache::tools::ant::taskdefs::condition (Class),11,0
DynamicAttributeNS in org::apache::tools::ant (Class),1,0
InputTest in org::apache::tools::ant::taskdefs (Class),14,0
IsSet in org::apache::tools::ant::taskdefs::condition (Class),2,0
CompositeMapper in org::apache::tools::ant::util (Class),2,0
AlgorithmName in org::apache::tools::ant::types::selectors::modifiedselector::ModifiedSelector (Class),2,1
ParallelTest in org::apache::tools::ant::taskdefs (Class),8,0
Classname in org::apache::tools::ant::taskdefs::optional::ejb::IPlanetEjbc (Class),7,0
XMLJUnitResultFormatter in org::apache::tools::ant::taskdefs::optional::junit (Class),16,0
AntVersion in org::apache::tools::ant::taskdefs::condition (Class),11,1
SizeLimitCollection in org::apache::tools::ant::types::resources (Class),5,1
