Class,Methods,Over-exposed methods
TestInnerClass in com::puppycrawl::tools::checkstyle::metrics::JavaNCSSCheckTestInput (Class),0,0
anonymous(ActionListener) in com::puppycrawl::tools::checkstyle::indention::InputValidClassDefIndent6.myMethod() (Class),1,0
InputInvalidAssignIndent in <Default Package> (Class),4,2
MyComparator in com::puppycrawl::tools::checkstyle::InputDesignForExtension (Class),1,0
InputInvalidTryIndent in com::puppycrawl::tools::checkstyle::indentation (Class),2,0
SuppressWithNearbyCommentFilterTest in com::puppycrawl::tools::checkstyle::filters (Class),13,0
MailLogger in com::mycompany::listeners (Class),9,0
ExplicitInitializationCheckTest in com::puppycrawl::tools::checkstyle::checks::coding (Class),1,0
InputCovariant6 in com::puppycrawl::tools::checkstyle (Class),1,0
SuppressElementTest in com::puppycrawl::tools::checkstyle::filters (Class),6,0
CheckerTest in com::puppycrawl::tools::checkstyle (Class),7,0
anonymous(ActionListener) in com::puppycrawl::tools::checkstyle::indention::InputValidClassDefIndent6.myMethod() (Class),1,0
anonymous(JavadocTagInfo) in com::puppycrawl::tools::checkstyle::api::JavadocTagInfo (Class),1,0
DeepVisitor in com::puppycrawl::tools::checkstyle::bcel::checks::UnreadVariableCheck (Class),5,0
CatchFinisher in com::puppycrawl::tools::checkstyle::checks::usage::transmogrify::TableMaker (Class),4,0
SeverityLevelTest in com::puppycrawl::tools::checkstyle::api (Class),2,0
CheckUtils in com::puppycrawl::tools::checkstyle::checks (Class),15,0
RedundantThrowsCheck in com::puppycrawl::tools::checkstyle::checks::coding (Class),6,0
WriteTagCheckTest in com::puppycrawl::tools::checkstyle::checks::javadoc (Class),15,0
anonymous(Runnable) in com::puppycrawl::tools::checkstyle::InputAnonInnerLength.<Initializer>() (Class),1,0
anonymous(JavadocTagInfo) in com::puppycrawl::tools::checkstyle::api::JavadocTagInfo (Class),1,0
InputImportOrder_Above in com::puppycrawl::tools::checkstyle::imports (Class),0,0
foo3 in com::puppycrawl::tools::checkstyle::indentation::InputValidClassDefIndent6 (Class),0,0
AbstractIllegalMethodCheck in com::puppycrawl::tools::checkstyle::checks::coding (Class),3,0
anonymous(AbstractAction) in com::puppycrawl::tools::checkstyle::InputFinalParameters.holder() (Class),2,0
DetectorOptions in com::puppycrawl::tools::checkstyle::checks::regexp (Class),16,7
TypeC in <Default Package>::InputUnnecessaryParentheses (Class),0,0
EmptyClassFileVisitor in com::puppycrawl::tools::checkstyle::bcel (Class),1,1
JavadocStyleCheck in com::puppycrawl::tools::checkstyle::checks::javadoc (Class),22,0
TestBean in com::puppycrawl::tools::checkstyle::api::AutomaticBeanTest (Class),2,0
DefaultContext in com::puppycrawl::tools::checkstyle (Class),5,1
IFoo2 in com::puppycrawl::tools::checkstyle::annotation (Class),1,0
InputIllegalThrowsCheck in com::puppycrawl::tools::checkstyle::checks::coding (Class),4,0
InputOneMethodPrivateField in com::puppycrawl::tools::checkstyle::usage (Class),3,0
MethodSignature in com::puppycrawl::tools::checkstyle::checks::usage::transmogrify (Class),8,1
IBar2 in com::puppycrawl::tools::checkstyle::annotation (Class),1,0
HideUtilityClassContructor3041574_3 in com::puppycrawl::tools::checkstyle::design (Class),3,0
JavadocTag in com::puppycrawl::tools::checkstyle::checks::javadoc (Class),14,8
NonAbstractInnerClass in com::puppycrawl::tools::checkstyle::checks::naming::AbstractClassName (Class),0,0
AttributeAxisIterator in com::puppycrawl::tools::checkstyle::checks::xpath (Class),5,0
anonymous(MethodCountCheckInput2) in com::puppycrawl::tools::checkstyle::checks::sizes::MethodCountCheckInput2 (Class),1,0
anonymous(JavadocTagInfo) in com::puppycrawl::tools::checkstyle::api::JavadocTagInfo (Class),1,0
SuppressionsLoader in com::puppycrawl::tools::checkstyle::filters (Class),7,1
foo3b in com::puppycrawl::tools::checkstyle::indention::InputValidClassDefIndent6 (Class),0,0
PublicMethodsInnerclassInnerclass in com::puppycrawl::tools::checkstyle::checks::sizes::MethodCountCheckInput (Class),5,0
InputInvalidForIndent in com::puppycrawl::tools::checkstyle::indentation (Class),2,0
RequireThisCheck in com::puppycrawl::tools::checkstyle::checks::coding (Class),10,0
anonymous(JavadocTagInfo) in com::puppycrawl::tools::checkstyle::api::JavadocTagInfo (Class),1,0
PrivateInterface in com::puppycrawl::tools::checkstyle::InputScopeInnerInterfaces (Class),3,0
MethodLimitCheck in com::mycompany::checks (Class),4,0
anonymous(Other) in <Default Package>::MoreOther.getMore() (Class),1,0
InnerTypeLastCheck in com::puppycrawl::tools::checkstyle::checks::design (Class),4,0
InterfaceMethod in com::puppycrawl::tools::checkstyle::usage (Class),1,0
SpecialCasesInForLoop in com::puppycrawl::tools::checkstyle (Class),2,1
InterfaceOK in com::puppycrawl::tools::checkstyle::InputDesignForExtension (Class),1,0
InputRedundantThrows in <Default Package> (Class),6,0
anonymous(Runnable) in com::puppycrawl::tools::checkstyle::coding::InputHasFinalizer.finalize() (Class),2,0
fooBS in com::puppycrawl::tools::checkstyle::indention::InputValidClassDefIndent6 (Class),0,0
anonymous(MouseAdapter) in com::puppycrawl::tools::checkstyle::InputScopeAnonInner.addInputAnonInner() (Class),1,0
IntMatchFilter in com::puppycrawl::tools::checkstyle::filters (Class),5,0
XPathCheck in com::puppycrawl::tools::checkstyle::checks::xpath (Class),5,0
AvoidStarImportTest in com::puppycrawl::tools::checkstyle::checks::imports (Class),3,0
EmptyBlockCheckTest in com::puppycrawl::tools::checkstyle::checks::blocks (Class),3,0
BadPackageAnnotation1 in com::puppycrawl::tools::checkstyle::annotation (Class),0,0
EmptyBlockCheck in com::puppycrawl::tools::checkstyle::checks::blocks (Class),4,0
InternalLoader in com::puppycrawl::tools::checkstyle::ConfigurationLoader (Class),4,0
RedundantImportCheck in com::puppycrawl::tools::checkstyle::checks::imports (Class),5,0
AnonInnerLengthCheckTest in com::puppycrawl::tools::checkstyle::checks::sizes (Class),2,0
LongHex in com::puppycrawl::tools::checkstyle (Class),1,0
anonymous(EquivalenceTester) in com::puppycrawl::tools::checkstyle::indentation::EquivalenceTester (Class),2,0
CommonsLoggingListener in com::mycompany::listeners (Class),8,0
QueryEngine in com::puppycrawl::tools::checkstyle::checks::usage::transmogrify (Class),12,0
Java7StringSwitchTest in com::puppycrawl::tools::checkstyle::grammars (Class),1,0
InnerInMethod3 in com::puppycrawl::tools::checkstyle::design::Temp2::Inner1.methodTestInner3() (Class),1,0
anonymous(JavadocTagInfo) in com::puppycrawl::tools::checkstyle::api::JavadocTagInfo (Class),1,0
InputDesignForExtension in com::puppycrawl::tools::checkstyle (Class),6,0
ClassImportException in com::puppycrawl::tools::checkstyle::checks::usage::transmogrify (Class),1,0
RegularClass in com::puppycrawl::tools::checkstyle::checks::AbstractTypeAwareCheck (Class),6,0
InputValidClassDefIndent5 in com::puppycrawl::tools::checkstyle::indentation (Class),0,0
anonymous(Runnable) in com::puppycrawl::tools::checkstyle::annotation::BadAnnonOverride.doFoo() (Class),1,0
HiddenInheritedFieldCheck in com::puppycrawl::tools::checkstyle::bcel::checks (Class),3,0
InnerFinalize in com::puppycrawl::tools::checkstyle::coding (Class),1,0
TrailingCommentCheck in com::puppycrawl::tools::checkstyle::checks (Class),7,0
InputUnusedField in com::puppycrawl::tools::checkstyle::usage (Class),4,0
BadOverrideFromObject in com::puppycrawl::tools::checkstyle::annotation (Class),2,0
RightCurlyCheckTest in com::puppycrawl::tools::checkstyle::checks::blocks (Class),5,0
CSVFilter in com::puppycrawl::tools::checkstyle::filters (Class),8,1
Point in com::puppycrawl::tools::checkstyle::checks::javadoc::TagParser (Class),3,2
Tag in com::puppycrawl::tools::checkstyle::filters::SuppressWithNearbyCommentFilter (Class),9,3
OperatorWrapCheck in com::puppycrawl::tools::checkstyle::checks::whitespace (Class),4,0
SeverityMatchFilterTest in com::puppycrawl::tools::checkstyle::filters (Class),4,0
JUnitTestCaseCheckTest in com::puppycrawl::tools::checkstyle::checks::coding (Class),1,0
BlockParentHandler in com::puppycrawl::tools::checkstyle::checks::indentation (Class),22,12
InputEmptyStatement in com::puppycrawl::tools::checkstyle (Class),3,0
TestException2 in com::puppycrawl::tools::checkstyle::checks::javadoc::Input_01 (Class),1,0
OuterTypeFilenameCheck in com::puppycrawl::tools::checkstyle::checks (Class),3,0
IllegalThrowsCheckTest in com::puppycrawl::tools::checkstyle::checks::coding (Class),4,0
IllegalTokenCheckTest in com::puppycrawl::tools::checkstyle::checks::coding (Class),2,0
DifferentUseStyles in com::puppycrawl::tools::checkstyle::annotation (Class),0,0
TypeParameterNameTest in com::puppycrawl::tools::checkstyle::checks::naming (Class),4,0
ConfigurationLoaderTest in com::puppycrawl::tools::checkstyle (Class),19,0
InputSemantic in com::puppycrawl::tools::checkstyle (Class),5,0
AbstractComplexityCheck in com::puppycrawl::tools::checkstyle::checks::metrics (Class),17,1
ClassCouplingCheckTestInput in com::puppycrawl::tools::checkstyle::checks::metrics (Class),2,0
InputValidClassDefIndent4a in com::puppycrawl::tools::checkstyle::indentation (Class),0,0
IllegalTokenTextCheck in com::puppycrawl::tools::checkstyle::checks::coding (Class),9,1
