Class,Methods,Over-exposed methods
FileLocker in net::sourceforge::cobertura::util (Class),6,0
Main in net::sourceforge::cobertura::instrument (Class),11,1
JavaCharStream in net::sourceforge::cobertura::javancss::parser::debug (Class),40,10
SomeOtherClass in someotherpackage (Class),5,0
CoberturaFile in net::sourceforge::cobertura::instrument (Class),7,2
CommandLineBuilder in net::sourceforge::cobertura::util (Class),8,0
ParseException in net::sourceforge::cobertura::javancss::parser::java15::debug (Class),6,1
SaveTimer in net::sourceforge::cobertura::coveragedata (Class),2,1
HTMLReport in net::sourceforge::cobertura::reporting::html (Class),23,0
ConditionCalls in test::condition (Class),8,1
SimpleTest in com::example::simple (Class),5,0
RegexUtil in net::sourceforge::cobertura::util (Class),3,0
ArchiveUtil in net::sourceforge::cobertura::util (Class),2,0
PackageData in net::sourceforge::cobertura::coveragedata (Class),11,0
Archive in net::sourceforge::cobertura::instrument (Class),6,0
MergeTest in net::sourceforge::cobertura::merge (Class),8,0
anonymous(ThreadGroup) in net::sourceforge::cobertura::coveragedata::TouchCollectorTest.runTestWithTwoThreads() (Class),1,0
ProjectDataTest in net::sourceforge::cobertura::coveragedata (Class),5,0
JarZipFilter in net::sourceforge::cobertura::util::FileFinder (Class),2,0
IncludeClasses in net::sourceforge::cobertura::ant (Class),3,2
ModifierSet in net::sourceforge::cobertura::javancss::parser::java15::JavaParser15 (Class),13,0
Ignore in net::sourceforge::cobertura::ant (Class),3,2
FunctionalConditionCoverageTest in net::sourceforge::cobertura::ant (Class),13,0
JUnitXMLHelper in net::sourceforge::cobertura::reporting (Class),3,0
JumpTouchData in net::sourceforge::cobertura::coveragedata::TouchCollector (Class),3,0
JUnitXMLParserEntityResolver in net::sourceforge::cobertura::reporting (Class),2,0
anonymous(FilenameFilter) in net::sourceforge::cobertura::ant::FunctionalTest.verifyHtml() (Class),1,0
FileFinderTest in net::sourceforge::cobertura::util (Class),9,0
LookaheadSuccess in net::sourceforge::cobertura::javancss::parser::java15::debug::JavaParser15Debug (Class),1,0
