Class,Methods,Over-exposed methods
anonymous(ZipOutputTest) in org::apache::commons::compress::archivers::zip::Zip64SupportIT.readSelfGenerated100KFilesUsingZipFile() (Class),1,0
BZip2TestCase in org::apache::commons::compress::compressors (Class),5,0
Data in org::apache::commons::compress::compressors::bzip2::BZip2CompressorOutputStream (Class),2,0
TapeSegmentHeader in org::apache::commons::compress::archivers::dump::DumpArchiveEntry (Class),9,5
UnparseableExtraField in org::apache::commons::compress::archivers::zip::ExtraFieldUtils (Class),3,1
ShortFileException in org::apache::commons::compress::archivers::dump (Class),2,1
CharsetNames in org::apache::commons::compress::utils (Class),1,0
ArchiveReadTests in org::apache::commons::compress (Class),6,0
ArchiveOutputStream in org::apache::commons::compress::archivers (Class),11,1
anonymous(ZipOutputTest) in org::apache::commons::compress::archivers::zip::Zip64SupportIT.writeSmallDeflatedEntryToFile() (Class),1,0
Pack200CompressorInputStream in org::apache::commons::compress::compressors::pack200 (Class),20,0
XZUtils in org::apache::commons::compress::compressors::xz (Class),5,0
ZipFile in org::apache::commons::compress::archivers::zip (Class),25,1
TarArchiveEntry in org::apache::commons::compress::archivers::tar (Class),62,13
UnsupportedZipFeatureException in org::apache::commons::compress::archivers::zip (Class),4,1
TarArchiveSparseEntry in org::apache::commons::compress::archivers::tar (Class),2,1
SimpleEncodingHolder in org::apache::commons::compress::archivers::zip::ZipEncodingHelper (Class),2,1
Zip64RequiredException in org::apache::commons::compress::archivers::zip (Class),3,0
Simple8BitChar in org::apache::commons::compress::archivers::zip::Simple8BitZipEncoding (Class),5,0
AsiExtraField in org::apache::commons::compress::archivers::zip (Class),22,10
anonymous(ZipOutputTest) in org::apache::commons::compress::archivers::zip::Zip64SupportIT.writeBigDeflatedEntryToStream() (Class),1,0
anonymous(ZipOutputTest) in org::apache::commons::compress::archivers::zip::Zip64SupportIT.writeBigDeflatedEntryKnownSizeToStreamModeNever() (Class),1,0
anonymous(FilterInputStream) in org::apache::commons::compress::compressors::pack200::Pack200CompressorInputStream.Pack200CompressorInputStream() (Class),1,0
AbstractUnicodeExtraField in org::apache::commons::compress::archivers::zip (Class),14,4
anonymous(ZipOutputTest) in org::apache::commons::compress::archivers::zip::Zip64SupportIT.read3EntriesCreatingBigArchiveFileUsingZipFile() (Class),1,0
ZipArchiveOutputStream in org::apache::commons::compress::archivers::zip (Class),46,3
BZip2Constants in org::apache::commons::compress::compressors::bzip2 (Class),1,0
XZCompressorInputStream in org::apache::commons::compress::compressors::xz (Class),8,0
anonymous(ZipOutputTest) in org::apache::commons::compress::archivers::zip::Zip64SupportIT.writeBigStoredEntry() (Class),1,0
NameAndComment in org::apache::commons::compress::archivers::zip::ZipFile (Class),1,0
Charsets in org::apache::commons::compress::utils (Class),3,0
CpioArchiveOutputStreamTest in org::apache::commons::compress::archivers::cpio (Class),1,0
anonymous(ZipOutputTest) in org::apache::commons::compress::archivers::zip::Zip64SupportIT.writeSmallStoredEntryModeAlways() (Class),1,0
CpioArchiveInputStream in org::apache::commons::compress::archivers::cpio (Class),19,0
StreamBridge in org::apache::commons::compress::compressors::pack200 (Class),6,1
Pack200TestCase in org::apache::commons::compress::compressors (Class),13,0
ArArchiveEntry in org::apache::commons::compress::archivers::ar (Class),15,4
DumpArchiveInputStreamTest in org::apache::commons::compress::archivers::dump (Class),2,0
UnrecognizedExtraField in org::apache::commons::compress::archivers::zip (Class),11,6
ZipUtilTest in org::apache::commons::compress::archivers::zip (Class),6,0
Simple8BitZipEncoding in org::apache::commons::compress::archivers::zip (Class),8,0
ArchiveInputStream in org::apache::commons::compress::archivers (Class),9,1
JarArchiveInputStream in org::apache::commons::compress::archivers::jar (Class),4,1
Buffer in org::apache::commons::compress::archivers::zip::ZipArchiveInputStream (Class),3,0
UnparseableExtraFieldData in org::apache::commons::compress::archivers::zip (Class),9,3
TarArchiveOutputStream in org::apache::commons::compress::archivers::tar (Class),27,0
CpioUtilTest in org::apache::commons::compress::archivers::cpio (Class),4,0
ZipArchiveEntry in org::apache::commons::compress::archivers::zip (Class),44,10
anonymous(ZipOutputTest) in org::apache::commons::compress::archivers::zip::Zip64SupportIT.writeSmallStoredEntry() (Class),1,0
CpioArchiveEntry in org::apache::commons::compress::archivers::cpio (Class),56,16
anonymous(Comparator) in org::apache::commons::compress::archivers::zip::ZipFile.<Initializer>() (Class),1,0
TapeInputStream in org::apache::commons::compress::archivers::dump (Class),13,3
GzipUtils in org::apache::commons::compress::compressors::gzip (Class),5,0
ExtraFieldUtils in org::apache::commons::compress::archivers::zip (Class),8,0
ZipEightByteIntegerTest in org::apache::commons::compress::archivers::zip (Class),7,0
TarArchiveOutputStreamTest in org::apache::commons::compress::archivers::tar (Class),14,0
CountingStreamTest in org::apache::commons::compress::utils (Class),2,0
DumpArchiveConstants in org::apache::commons::compress::archivers::dump (Class),2,0
anonymous(ZipEncoding) in org::apache::commons::compress::archivers::tar::TarUtils.<Initializer>() (Class),3,0
anonymous(ZipOutputTest) in org::apache::commons::compress::archivers::zip::Zip64SupportIT.<Initializer>() (Class),1,0
CpioArchiveOutputStream in org::apache::commons::compress::archivers::cpio (Class),19,0
ArchiveUtils in org::apache::commons::compress::utils (Class),12,0
anonymous(ZipOutputTest) in org::apache::commons::compress::archivers::zip::Zip64SupportIT.writeSmallDeflatedEntryToStreamModeAlways() (Class),1,0
DumpArchiveException in org::apache::commons::compress::archivers::dump (Class),5,0
DS in org::apache::commons::compress::compressors::bzip2::BlockSortTest (Class),1,0
anonymous(Pack200Strategy) in org::apache::commons::compress::compressors::pack200::Pack200Strategy (Class),1,0
DetectArchiverTestCase in org::apache::commons::compress (Class),10,0
Zip64ExtendedInformationExtraField in org::apache::commons::compress::archivers::zip (Class),21,7
ArArchiveInputStreamTest in org::apache::commons::compress::archivers::ar (Class),3,0
