Class,Methods,Over-exposed methods
TestShortCollectionCollection in org::apache::commons::collections::primitives::adapters (Class),10,0
ProxyFloatIterator in org::apache::commons::collections::primitives::decorators (Class),4,1
TestAbstractIntCollection in org::apache::commons::collections::primitives (Class),4,0
LongCollectionImpl in org::apache::commons::collections::primitives::TestAbstractLongCollection (Class),3,1
ProxyCharIterator in org::apache::commons::collections::primitives::decorators (Class),4,1
BaseProxyCharCollection in org::apache::commons::collections::primitives::decorators (Class),18,1
anonymous(BaseProxyFloatCollection) in org::apache::commons::collections::primitives::decorators::TestBaseProxyFloatCollection.testCollectionCallsAreProxied() (Class),1,0
PackageTestSuite in org::apache::commons::collections::primitives (Class),4,0
TestIntListIterator in org::apache::commons::collections::primitives (Class),5,2
TestAbstractShortCollection in org::apache::commons::collections::primitives (Class),4,0
BaseUnmodifiableIntList in org::apache::commons::collections::primitives::decorators (Class),14,0
InvocationCounter in org::apache::commons::collections::primitives::decorators::TestBaseProxyFloatCollection (Class),33,16
AbstractRandomAccessDoubleListImpl in org::apache::commons::collections::primitives::TestRandomAccessDoubleList (Class),3,1
AbstractListLongList in org::apache::commons::collections::primitives::adapters (Class),14,1
AbstractCollectionLongCollection in org::apache::commons::collections::primitives::adapters (Class),16,3
BaseUnmodifiableDoubleListTest in org::apache::commons::collections::primitives::decorators (Class),10,1
LongCollections in org::apache::commons::collections::primitives (Class),10,3
ArrayCharList in org::apache::commons::collections::primitives (Class),15,2
NonSerializableUnmodifiableFloatList in org::apache::commons::collections::primitives::decorators (Class),3,0
anonymous(Reader) in org::apache::commons::collections::primitives::adapters::io::TestReaderCharIterator.testErrorThrowingReader() (Class),2,0
UnmodifiableIntList in org::apache::commons::collections::primitives::decorators (Class),4,0
NonSerializableListLongList in org::apache::commons::collections::primitives::adapters (Class),3,0
TestArrayUnsignedByteList in org::apache::commons::collections::primitives (Class),16,0
anonymous(BaseProxyShortList) in org::apache::commons::collections::primitives::decorators::TestBaseProxyShortList.testListCallsAreProxied() (Class),1,0
BaseUnmodifiableShortIteratorTest in org::apache::commons::collections::primitives::decorators (Class),5,1
TestAbstractFloatCollection in org::apache::commons::collections::primitives (Class),4,0
TestUnmodifiableFloatIterator in org::apache::commons::collections::primitives::decorators (Class),7,0
RandomAccessByteList in org::apache::commons::collections::primitives (Class),20,2
AbstractFloatCollection in org::apache::commons::collections::primitives (Class),14,5
RandomAccessFloatSubList in org::apache::commons::collections::primitives::RandomAccessFloatList (Class),10,0
FloatListList in org::apache::commons::collections::primitives::adapters (Class),4,0
TestInputStreamByteIterator in org::apache::commons::collections::primitives::adapters::io (Class),10,0
TestUnmodifiableShortList in org::apache::commons::collections::primitives::decorators (Class),8,0
anonymous(RandomAccessDoubleList) in org::apache::commons::collections::primitives::adapters::TestDoubleCollectionCollection.testWrapNonSerializable() (Class),2,0
UnmodifiableIntIterator in org::apache::commons::collections::primitives::decorators (Class),5,0
TestArrayIntList in org::apache::commons::collections::primitives (Class),15,0
BaseUnmodifiableByteListIteratorTest in org::apache::commons::collections::primitives::decorators (Class),7,1
TestLongIterator in org::apache::commons::collections::primitives (Class),10,3
ShortListIteratorListIterator in org::apache::commons::collections::primitives::adapters (Class),12,0
TestIteratorFloatIterator in org::apache::commons::collections::primitives::adapters (Class),8,3
ByteListList in org::apache::commons::collections::primitives::adapters (Class),4,0
TestLongCollections in org::apache::commons::collections::primitives (Class),12,0
BaseProxyLongCollection in org::apache::commons::collections::primitives::decorators (Class),18,1
CharList in org::apache::commons::collections::primitives (Class),14,3
