Class,Methods,Over-exposed methods
TrainFieldStoreTypes in edu::umd::cs::findbugs::detect (Class),4,0
anonymous(Iterator) in edu::umd::cs::findbugs::ba::interproc::ParameterProperty.iterable()::anonymous(Iterable).iterator() (Class),6,0
FindSpinLoop in edu::umd::cs::findbugs::detect (Class),4,0
PrefixFilter in edu::umd::cs::findbugs::ProjectPackagePrefixes (Class),3,0
NestedZipFileCodeBaseLocator in edu::umd::cs::findbugs::classfile::impl (Class),8,2
LockAnalysis in edu::umd::cs::findbugs::ba (Class),14,0
UTF8 in edu::umd::cs::findbugs::charsets (Class),17,0
OneVariableInstruction in edu::umd::cs::findbugs::ba::bcp (Class),2,0
ReturnValueNullnessPropertyDatabase in edu::umd::cs::findbugs::ba::npe (Class),2,0
LVTHelper in edu::umd::cs::findbugs::visitclass (Class),2,0
PluginException in edu::umd::cs::findbugs (Class),3,0
BugLinkInterface in edu::umd::cs::findbugs::cloud (Class),0,0
Stream in edu::umd::cs::findbugs::detect (Class),28,9
anonymous(BasicSplitPaneDivider) in edu::umd::cs::findbugs::gui2::SplitLayout.removeSplitPaneBorders()::anonymous(BasicSplitPaneUI).createDefaultDivider() (Class),1,0
anonymous(ActionListener) in edu::umd::cs::findbugs::gui2::MainFrameMenu.setViewMenu() (Class),1,0
HashQueue in edu::umd::cs::findbugs::detect::Noise (Class),9,2
anonymous(java.awt.event.ActionListener) in edu::umd::cs::findbugs::gui::FindBugsFrame.initComponents() (Class),1,0
ExactStringMatcher in edu::umd::cs::findbugs::util (Class),3,0
MethodMatcher in edu::umd::cs::findbugs::filter (Class),7,0
FilterActivity in edu::umd::cs::findbugs::gui2 (Class),4,0
anonymous(AttributeCallback) in edu::umd::cs::findbugs::ml::ConvertToARFF.scan() (Class),1,0
IAnalysisCache in edu::umd::cs::findbugs::classfile (Class),21,1
anonymous(ActionListener) in edu::umd::cs::findbugs::gui::FindBugsFrame.rebuildRecentProjectsMenu()::anonymous(Runnable).run() (Class),1,0
EqualsKindSummary in edu::umd::cs::findbugs::ba (Class),4,1
anonymous(java.awt.event.ActionListener) in edu::umd::cs::findbugs::gui::FindBugsFrame.initComponents() (Class),1,0
SelfMethodCalls in edu::umd::cs::findbugs::classfile::engine (Class),3,0
AnalysisFeatures in edu::umd::cs::findbugs::ba (Class),1,0
FindRefComparison in edu::umd::cs::findbugs::detect (Class),16,0
Naming in edu::umd::cs::findbugs::detect (Class),25,0
CalledMethods in edu::umd::cs::findbugs::detect (Class),4,0
PointerEqualityCheck in edu::umd::cs::findbugs::ba::npe::IsNullValueAnalysis (Class),1,0
Constants2 in edu::umd::cs::findbugs::visitclass (Class),6,0
anonymous(java.awt.event.ActionListener) in edu::umd::cs::findbugs::gui::AnalysisErrorDialog.initComponents() (Class),1,0
FindNakedNotify in edu::umd::cs::findbugs::detect (Class),5,0
NumericAttribute in edu::umd::cs::findbugs::ml::ConvertToARFF (Class),3,0
BasicBlock in edu::umd::cs::findbugs::ba (Class),35,3
DocumentCharacterIterator in edu::umd::cs::findbugs::sourceViewer (Class),12,0
anonymous(Comparator) in edu::umd::cs::findbugs::gui::DefaultSortedTableModel.setupMapping() (Class),1,0
DeadBugFilter in edu::umd::cs::findbugs::gui2 (Class),3,0
anonymous(Iterable) in edu::umd::cs::findbugs::gui2::MainFrame.getDisplayedBugs() (Class),1,0
LaunchAppropriateUI in edu::umd::cs::findbugs (Class),5,1
anonymous(ActionListener) in edu::umd::cs::findbugs::gui2::PreferencesFrame.createFilterPane() (Class),1,0
MatchBox in edu::umd::cs::findbugs::gui2::PreferencesFrame (Class),2,0
PointerEqualityInfo in edu::umd::cs::findbugs::ba::npe::IsNullValueFrame (Class),3,0
BackwardsBranch in edu::umd::cs::findbugs::detect::InfiniteLoop (Class),4,0
Plugin in edu::umd::cs::findbugs (Class),73,22
OrderingConstraintException in edu::umd::cs::findbugs::plan (Class),2,0
PropertyDatabaseFormatException in edu::umd::cs::findbugs::ba::interproc (Class),2,0
ValueNumberAnalysis in edu::umd::cs::findbugs::ba::vna (Class),26,2
MethodWarningSuppressor in edu::umd::cs::findbugs (Class),2,0
UnreadFields in edu::umd::cs::findbugs::detect (Class),24,0
SorterDialog in edu::umd::cs::findbugs::gui2 (Class),9,0
SourceFileDataSource in edu::umd::cs::findbugs::ba (Class),3,3
DetectorNode in edu::umd::cs::findbugs::plan (Class),3,1
ReturnPathDataflow in edu::umd::cs::findbugs::ba (Class),1,0
Token in edu::umd::cs::findbugs (Class),5,2
PreferencesFrame in edu::umd::cs::findbugs::gui2 (Class),18,0
anonymous(java.beans.PropertyChangeListener) in edu::umd::cs::findbugs::gui::FindBugsFrame.initComponents() (Class),1,0
DiscoveredCodeBase in edu::umd::cs::findbugs::classfile::impl::ClassPathBuilder (Class),5,2
ZipSourceFileDataSource in edu::umd::cs::findbugs::ba (Class),4,0
AppendingToAnObjectOutputStream in edu::umd::cs::findbugs::detect (Class),3,0
SuppressionDecorator in edu::umd::cs::findbugs::bugReporter (Class),4,0
CloudPluginBuilder in edu::umd::cs::findbugs::cloud (Class),14,0
FilterBugsTask in edu::umd::cs::findbugs::anttask (Class),40,0
BugSet in edu::umd::cs::findbugs::gui2 (Class),28,3
anonymous(ActionListener) in edu::umd::cs::findbugs::gui2::MainFrameMenu.createMainMenuBar() (Class),1,0
URLClassPathRepository in edu::umd::cs::findbugs::ba (Class),12,0
StringsTest in edu::umd::cs::findbugs::util (Class),5,0
StreamResourceTracker in edu::umd::cs::findbugs::detect (Class),18,1
ForwardTypeQualifierDataflowFactoryFactory in edu::umd::cs::findbugs::classfile::engine::bcel (Class),2,1
FindDeadLocalStores in edu::umd::cs::findbugs::detect (Class),11,0
Data in edu::umd::cs::findbugs::workflow::Churn (Class),4,0
FindUnsyncGet in edu::umd::cs::findbugs::detect (Class),5,0
anonymous(java.awt.event.ActionListener) in edu::umd::cs::findbugs::gui::FindBugsFrame.initComponents() (Class),1,0
anonymous(ItemListener) in edu::umd::cs::findbugs::gui2::PreferencesFrame.updateFilterPanel() (Class),1,0
anonymous(ActionListener) in edu::umd::cs::findbugs::gui2::MainFrameComponentFactory.createSourceSearchPanel() (Class),1,0
anonymous(ActionListener) in edu::umd::cs::findbugs::gui2::MainFrameMenu.createMainMenuBar() (Class),1,0
anonymous(ActionListener) in edu::umd::cs::findbugs::gui2::MainFrameComponentFactory.createSourceSearchPanel() (Class),1,0
ClearGuiSaveState in edu::umd::cs::findbugs::gui2 (Class),1,0
anonymous(Comparator) in edu::umd::cs::findbugs::AbstractBugReporter.reportQueuedErrors() (Class),1,0
GuiUtil in edu::umd::cs::findbugs::gui2 (Class),1,0
LoadAnalysis in edu::umd::cs::findbugs::ba::heap (Class),4,0
DesignationMatcher in edu::umd::cs::findbugs::filter (Class),7,0
AnnotationVisitor in edu::umd::cs::findbugs::visitclass (Class),11,0
NonReportingDetectorToDetector2Adapter in edu::umd::cs::findbugs (Class),1,0
anonymous(Runnable) in edu::umd::cs::findbugs::gui2::DisplayNonmodelMessage.<Initializer>() (Class),1,0
CheckCallSitesAndReturnInstructions in edu::umd::cs::findbugs::detect::FindNullDeref (Class),0,0
anonymous(ActionListener) in edu::umd::cs::findbugs::gui2::MainFrameTree.bugListPanel() (Class),1,0
SuppressionMatcher in edu::umd::cs::findbugs::gui2 (Class),4,0
LookupFailure in edu::umd::cs::findbugs::ba::InnerClassAccessMap (Class),3,1
FilterListener in edu::umd::cs::findbugs::gui2 (Class),1,1
CountClassVersionsCommandLine in edu::umd::cs::findbugs::workflow::CountClassVersions (Class),4,0
Subtypes2 in edu::umd::cs::findbugs::ba::ch (Class),51,0
anonymous(XPathAttributeCreator) in edu::umd::cs::findbugs::ml::ConvertToARFF::C2ACommandLine.handleOptionWithArgument() (Class),1,0
Variable in edu::umd::cs::findbugs::ba::bcp (Class),1,0
anonymous(Runnable) in edu::umd::cs::findbugs::gui2::CloudCommentsPane.signInOrOutClicked() (Class),1,0
ReverseDFSComparator in edu::umd::cs::findbugs::ba::ReverseDFSOrder (Class),2,0
RedundantBranch in edu::umd::cs::findbugs::ba::npe (Class),4,0
DockParentListener in edu::umd::cs::findbugs::gui2::DockLayout (Class),2,0
EqualsOperandShouldHaveClassCompatibleWithThis in edu::umd::cs::findbugs::detect (Class),5,0
anonymous(TreeSelectionListener) in edu::umd::cs::findbugs::gui::FindBugsFrame.postInitComponents() (Class),1,0
ClassNodeDetector in edu::umd::cs::findbugs::asm (Class),4,0
anonymous(Runnable) in edu::umd::cs::findbugs::gui2::MainFrame.redoAnalysis() (Class),1,0
NonImplicitExceptionPostDominatorsAnalysis in edu::umd::cs::findbugs::classfile::engine::bcel (Class),1,0
PropertyBundle in edu::umd::cs::findbugs (Class),18,4
SubtypeTypeMatcher in edu::umd::cs::findbugs::util (Class),6,0
XMethod in edu::umd::cs::findbugs::ba (Class),26,4
ClassSummary in edu::umd::cs::findbugs::ba (Class),4,0
