Class,Methods,Over-exposed methods
DeleteChildAction in freemind::modes::mindmapmode::actions (Class),8,1
MindMapCloudModel in freemind::modes::mindmapmode (Class),1,0
MouseHandler in accessories::plugins::time::TableSorter (Class),2,0
ExportSvg in plugins::svg (Class),1,0
HideAllAttributesAction in freemind::controller::Controller (Class),3,1
AttributeRegistry in freemind::modes::attributes (Class),48,4
ModeControllerActionHandler in freemind::modes::mindmapmode::actions (Class),4,0
FilterChangeListener in freemind::controller::filter::FilterToolbar (Class),5,1
anonymous(AbstractAction) in accessories::plugins::time::TimeList.startupMapHook() (Class),1,0
MindMapNodeDropListener in freemind::modes::mindmapmode::listeners (Class),9,0
ListSelectionChangeListener in freemind::modes::mindmapmode::attributeactors::ListDialog (Class),2,0
SortNodes in accessories::plugins (Class),2,0
ToggleToolbarAction in freemind::controller::Controller (Class),3,0
ExtensionDataListener in freemind::controller::filter::util::ExtendedComboBoxModel (Class),4,0
BlindIcon in freemind::controller (Class),4,0
PermanentMindMapNodeHookAdapter in freemind::modes::mindmapmode::hooks (Class),5,0
JZoomedHotEqn in plugins::latex (Class),9,0
anonymous(DefaultTableModel) in accessories::plugins::time::TimeList.updateModel() (Class),1,0
XsdHandler in de::foltin::CompileXsdStart (Class),12,4
AttributeRemover in freemind::modes::mindmapmode::attributeactors::MindMapModeAttributeController (Class),2,0
EditNodeDialog in freemind::view::mindmapview (Class),2,0
anonymous(JLabel) in freemind::main::FreeMindSplashModern.FreeMindSplashModern() (Class),5,0
IconSelectionPlugin in accessories::plugins (Class),2,0
JInfoPanel in accessories::plugins::time::JTripleCalendar (Class),2,1
IntHolder in freemind::main::Tools (Class),5,0
anonymous(TextTranslator) in tests::freemind::DontShowAgainDialogTests.testDialog() (Class),1,0
anonymous(Runnable) in freemind::controller::filter::FilterComposerDialog::ConditionListMouseListener.mouseClicked() (Class),1,0
FontProperty in freemind::common (Class),8,1
MyFreemindPropertyListener in accessories::plugins::AutomaticLayout::Registration (Class),2,0
ManagePatternsPopupDialog in accessories::plugins::dialogs (Class),25,0
DefaultDestinationNodesGetter in freemind::extensions::HookInstanciationMethod (Class),3,0
FocusSearch in freemind::main::FreeMind (Class),3,0
IconContainedCondition in freemind::controller::filter::condition (Class),10,0
NodeViewLayoutAdapter in freemind::view::mindmapview (Class),20,5
UnfoldAll in accessories::plugins (Class),13,0
DefaultMindMapNodeCreator in freemind::modes::mindmapmode::MindMapController (Class),2,1
ScriptingSecurityManager in plugins::script (Class),34,0
OptionAntialiasAction in freemind::controller::Controller (Class),4,0
TestMindMapNode in tests::freemind::findreplace (Class),110,0
CutAction in freemind::modes::mindmapmode::actions (Class),8,1
AttributePopupMenu in freemind::view::mindmapview::attributeview (Class),18,1
anonymous(ItemListener) in accessories::plugins::FormularEditor::CheckBoxEntity.addToPanel() (Class),1,0
AttributeHandler in de::foltin::CompileXsdStart (Class),2,0
JAutoScrollBarPane in freemind::modes::mindmapmode (Class),3,0
anonymous(ActionListener) in freemind::preferences::layout::OptionPanel.buildPanel() (Class),1,0
OptionalDontShowMeAgainDialog in freemind::common (Class),5,0
anonymous(JComboBox) in freemind::controller::filter::FilterToolbar.FilterToolbar() (Class),1,0
UnfoldAncestorsAction in freemind::controller::filter::FilterToolbar (Class),4,0
EditAction in freemind::modes::mindmapmode::actions (Class),11,1
ID_RegisteredAdapter in freemind::modes::LinkRegistryAdapter (Class),1,0
MindMapEdgeModel in freemind::modes::mindmapmode (Class),1,0
DatabaseConnector in plugins::collaboration::database (Class),3,0
AutomaticLayoutPropertyContributor in accessories::plugins::AutomaticLayout (Class),2,0
JCondition in freemind::controller::filter::condition (Class),1,1
BlinkingNodeHook in accessories::plugins (Class),4,0
TestScriptModel in tests::freemind::ScriptEditorPanelTest (Class),11,0
DeclineButtonClickListener in plugins::collaboration::jabber::mindmap::MapSharingController (Class),6,0
PathBBox in freemind::view::mindmapview (Class),6,0
PropertyBean in freemind::common (Class),8,0
ChoiceElementHandler in de::foltin::CompileXsdStart (Class),2,0
AttributesListener in freemind::modes::mindmapmode::attributeactors (Class),1,0
anonymous(ActionListener) in freemind::modes::browsemode::BrowseToolBar.BrowseToolBar() (Class),1,0
timeDelayedSelection in freemind::modes::common::listeners::CommonNodeMouseMotionListener (Class),2,0
IconSelectionPopupDialog in freemind::modes::common::dialogs (Class),29,0
anonymous(AbstractAction) in freemind::common::OptionalDontShowMeAgainDialog.show() (Class),1,0
InsertAttributeActor in freemind::modes::mindmapmode::attributeactors (Class),7,0
anonymous(ActionListener) in freemind::view::mindmapview::EditNodeDialog::LongNodeDialog.LongNodeDialog() (Class),1,0
MindMapActions in freemind::modes::mindmapmode::actions (Class),64,0
EnterPasswordDialog in accessories::plugins::dialogs (Class),15,0
SetAttributeNameActor in freemind::modes::mindmapmode::attributeactors (Class),6,0
StdOutErrLevel in freemind::main::StdFormatter (Class),1,0
NodeHookUndoableContentActor in freemind::modes::mindmapmode::actions::xml (Class),10,2
anonymous(EditHandler) in freemind::modes::mindmapmode::MindMapController.startupController() (Class),1,0
CloudAdapterListener in freemind::modes::CloudAdapter (Class),2,1
UndoActionHandler in freemind::modes::mindmapmode::actions::xml (Class),4,0
Registration in accessories::plugins::RemoveNote (Class),4,0
MapElement in freemind::controller::filter::util::SortedMapVector (Class),4,0
NodeAdapter in freemind::modes (Class),131,36
BrowseXMLElement in freemind::modes::browsemode (Class),9,0
anonymous(OptionalDontShowMeAgainDialog.DontShowPropertyHandler) in tests::freemind::DontShowAgainDialogTests.testDialog() (Class),2,0
MindMapMock in tests::freemind (Class),35,0
EncryptNode in accessories::plugins (Class),7,0
FileEdgeModel in freemind::modes::filemode (Class),1,0
anonymous(ActionListener) in freemind::view::mindmapview::EditNodeWYSIWYG::HTMLDialog.HTMLDialog() (Class),1,0
anonymous(OptionPanelFeedback) in freemind::controller::Controller::PropertyAction.actionPerformed() (Class),1,0
NodeNoteBase in freemind::modes::common::plugins (Class),1,0
ChoiceHandler in de::foltin::CompileXsdStart (Class),6,1
RevisionPlugin in accessories::plugins (Class),7,0
GrabKeyDialog in freemind::preferences::layout (Class),16,1
anonymous(ActionListener) in freemind::view::mindmapview::attributeview::AttributePopupMenu.getDown() (Class),1,0
ScriptingPluginPropertyContributor in plugins::script::ScriptingRegistration (Class),2,0
RemoveAttributeActor in freemind::modes::mindmapmode::attributeactors (Class),7,0
CommonToggleChildrenFoldedAction in freemind::modes::viewmodes (Class),2,0
FormatNewNodes in accessories::plugins (Class),8,0
anonymous(WindowAdapter) in freemind::modes::common::dialogs::IconSelectionPopupDialog.IconSelectionPopupDialog() (Class),1,0
NodeViewEvent in freemind::modes (Class),1,0
ApplyPatternAction in freemind::modes::mindmapmode::actions (Class),9,0
MindMapNode in freemind::modes (Class),93,10
IconAction in freemind::modes::mindmapmode::actions (Class),23,1
AutomaticLayout in accessories::plugins (Class),10,0
Buffer in freemind::preferences::layout::GrabKeyDialog (Class),2,0
DelayedTextEntry in accessories::plugins::time::TimeList::FilterTextDocumentListener (Class),2,0
LicenseAction in freemind::controller::Controller (Class),2,0
NodeAttributeTableModel in freemind::modes::attributes (Class),31,0
anonymous(ActionListener) in accessories::plugins::time::TimeManagement.startupMapHook() (Class),1,0
anonymous(ActionListener) in freemind::view::mindmapview::attributeview::AttributePopupMenu.getInsert() (Class),1,0
NodeView in freemind::view::mindmapview (Class),99,24
ComboProperty in freemind::common (Class),13,1
MindMapNodeMotionListener in freemind::modes::mindmapmode::listeners (Class),17,2
SetAttributeVisibleActor in freemind::modes::mindmapmode::attributeactors (Class),6,0
PersistentEditableComboBox in freemind::modes::common::dialogs (Class),6,0
Selected in freemind::view::mindmapview::MapView (Class),11,3
MindMapHTMLWriter in freemind::modes::mindmapmode (Class),17,0
HierarchicalIcons in accessories::plugins (Class),14,0
anonymous(SingleNodeOperation) in freemind::modes::mindmapmode::actions::UseRichFormattingAction.UseRichFormattingAction() (Class),1,0
NewScriptAction in plugins::script::ScriptEditorPanel (Class),2,0
FreeMindSplash in freemind::main (Class),5,0
ExtensionHandler in de::foltin::CompileXsdStart (Class),2,0
TreeNodeInfo in freemind::modes::mindmapmode::attributeactors::ImportAttributesDialog (Class),6,0
ReplaceValueAction in freemind::modes::mindmapmode::attributeactors::AssignAttributeDialog (Class),3,0
OpenAction in freemind::modes::ControllerAdapter (Class),2,0
EditCopyAction in freemind::view::mindmapview::EditNodeBase (Class),2,0
HookAction in freemind::modes::mindmapmode::actions (Class),1,0
ChangeTabAction in freemind::preferences::layout::OptionPanel (Class),2,0
EditPopupMenu in freemind::view::mindmapview::EditNodeBase (Class),1,0
MindMap in freemind::modes (Class),22,0
anonymous(WindowAdapter) in freemind::common::OptionalDontShowMeAgainDialog.show() (Class),1,0
TextChangeListener in freemind::modes::mindmapmode::attributeactors::ListDialog (Class),5,0
DeleteConditionAction in freemind::controller::filter::FilterComposerDialog (Class),2,0
StylePatternProperty in accessories::plugins::AutomaticLayout (Class),9,1
RemoveNodeBackgroundColorAction in freemind::modes::mindmapmode::actions::NodeBackgroundColorAction (Class),1,0
anonymous(ChangeListener) in freemind::common::NumberProperty.NumberProperty() (Class),1,0
anonymous(ChangeListener) in freemind::main::FreeMind.setScreenBounds() (Class),1,0
Preview in freemind::controller::printpreview (Class),12,2
NodeUpAction in freemind::modes::mindmapmode::actions (Class),9,1
StringProperty in freemind::common (Class),8,1
ImportWizard in freemind::extensions (Class),6,0
FileToolBar in freemind::modes::filemode (Class),1,0
ChangeArrowLinkEndPoints in freemind::modes::mindmapmode::actions (Class),8,0
anonymous(Runnable) in freemind::modes::mindmapmode::listeners::MindMapNodeMotionListener.mouseDragged() (Class),1,0
anonymous(ItemListener) in freemind::modes::mindmapmode::attributeactors::AssignAttributeDialog.AssignAttributeDialog() (Class),1,0
VariableSizeCardLayout in freemind::preferences::layout (Class),3,1
Attribute in freemind::modes::attributes (Class),8,0
MoveNodeAction in freemind::modes::mindmapmode::actions (Class),7,0
anonymous(JList) in freemind::modes::mindmapmode::attributeactors::ListDialog.ListDialog() (Class),1,0
anonymous(ActionListener) in freemind::view::mindmapview::EditNodeDialog::LongNodeDialog.LongNodeDialog() (Class),1,0
FontSizeAction in freemind::modes::mindmapmode::actions (Class),8,0
anonymous(AbstractAction) in plugins::collaboration::database::DatabaseBasics::FormDialog.setUp() (Class),1,0
StringFlavorHandler in freemind::modes::mindmapmode::actions::PasteAction (Class),3,0
SplashTests in tests::freemind (Class),1,0
MultipleImage in freemind::view::mindmapview (Class),8,0
anonymous(MenuAdder) in freemind::controller::StructuredMenuHolder.updateMenus() (Class),3,0
anonymous(ActionListener) in accessories::plugins::dialogs::ManagePatternsPopupDialog.getJContentPane() (Class),1,0
SortedListModel in freemind::controller::filter::util (Class),6,1
CommonNodeMouseMotionListener in freemind::modes::common::listeners (Class),12,2
LatexNodeHook in plugins::latex (Class),11,0
KeyDocumentationAction in freemind::controller::Controller (Class),2,0
ExitAction in plugins::script::ScriptEditorPanel (Class),2,0
FileMapModel in freemind::modes::filemode (Class),12,0
ScriptingEngine in plugins::script (Class),6,0
FinalActionFilter in freemind::modes::mindmapmode::actions::xml::ActionFilter (Class),0,0
MindMapHook in freemind::extensions (Class),9,0
