Class,Methods,Over-exposed methods
Employee in org::hibernate::metamodel::source::annotations::entity::MapsIdTest (Class),0,0
HierarchyDetails in org::hibernate::metamodel::binding (Class),15,0
Task in org::hibernate::test::stateless::fetching (Class),17,2
AbstractPluralAttributeBinding in org::hibernate::metamodel::binding (Class),48,1
anonymous(CriteriaExecutor) in org::hibernate::test::querycache::AbstractQueryCacheResultTransformerTest.testMultiSelectNewWithLiteralList() (Class),2,0
InternetProvider in org::hibernate::test::annotations::embedded (Class),7,3
FieldAccessBean in org::hibernate::ejb::test::util::PersistenceUtilHelperTest (Class),1,1
Government in org::hibernate::test::annotations::xml::hbm (Class),7,1
InstrumentTask in org::hibernate::tool::instrument::javassist (Class),1,0
GoofyException in org::hibernate::test::cfg::persister (Class),2,1
EnumeratedBindingTest in org::hibernate::metamodel::source::annotations::entity (Class),1,0
anonymous(WrapperOptions) in org::hibernate::type::AbstractStandardBasicType.nullSafeGet() (Class),3,0
SQLServer2008Dialect in org::hibernate::dialect (Class),1,0
PropertyContainer in org::hibernate::cfg (Class),17,2
AbstractEhcacheRegionFactory in org::hibernate::cache::ehcache (Class),13,0
Wallet in org::hibernate::ejb::test (Class),9,3
NotAuditedManyToOneComponent in org::hibernate::envers::test::entities::components::relations (Class),9,0
Car in org::hibernate::envers::test::integration::entityNames::oneToManyNotAudited (Class),8,2
IndexPropertyAccessor in org::hibernate::property (Class),3,0
LongVarbinaryTypeDescriptor in org::hibernate::type::descriptor::sql (Class),3,1
DNA in org::hibernate::test::annotations::generics (Class),2,0
anonymous(InvocationHandler) in org::hibernate::service::jta::platform::internal::WebSphereExtendedJtaPlatform::TransactionManagerAdapter::TransactionAdapter.registerSynchronization() (Class),1,0
CollectionReattachmentTest in org::hibernate::test::reattachment (Class),3,0
Alias in org::hibernate::sql (Class),8,0
State in org::hibernate::test::stats (Class),0,0
UniqueConstraintBindingTest in org::hibernate::metamodel::source::annotations::entity (Class),1,0
TestDriver1 in org::hibernate::connection::DriverManagerRegistrationTest (Class),2,0
Child in org::hibernate::test::subselectfetch (Class),6,1
EmbeddableClass in org::hibernate::metamodel::source::annotations::entity (Class),7,2
CustomVersionOneStrategyTest in org::hibernate::id::uuid (Class),2,0
AbstractToOneMapper in org::hibernate::envers::entities::mapper::relation (Class),8,0
ToListResultTransformer in org::hibernate::transform (Class),4,0
PropertyInferredData in org::hibernate::cfg (Class),11,0
TransformingClassLoader in org::hibernate::bytecode::internal::javassist (Class),3,0
SyntheticAndFactory in org::hibernate::hql::internal::ast::util (Class),5,0
Delete in org::hibernate::sql (Class),13,0
GoofyPersisterClassProvider in org::hibernate::ejb::test::ejb3configuration::PersisterClassProviderTest (Class),4,0
Person in org::hibernate::test::annotations::cascade (Class),7,1
anonymous(Modifier) in org::hibernate::ejb::criteria::expression::SubqueryComparisonModifierExpression::Modifier (Class),1,0
anonymous(CollectionType) in org::hibernate::cfg::HbmBinder::CollectionType.<Initializer>() (Class),1,0
DefaultLockEventListener in org::hibernate::event::internal (Class),3,0
MultiCircleNonJpaCascadeSequenceTest in org::hibernate::test::annotations::cascade::multicircle::nonjpa::sequence (Class),8,0
EntityOperation in org::hibernate::test::cascade::circle::MultiPathCircleCascadeTest (Class),1,0
TicketComparator in org::hibernate::test::annotations (Class),2,1
WhereTest in org::hibernate::test::where (Class),2,0
TransactionalEntityRegionAccessStrategy in org::hibernate::testing::cache (Class),5,0
anonymous(Callable) in org::hibernate::ejb::test::lock::LockTest.testQueryTimeout() (Class),1,0
ConfigHelper in org::hibernate::internal::util (Class),9,0
Ticket in org::hibernate::test::annotations (Class),7,2
NotOwnedBidirectional in org::hibernate::envers::test::integration::inheritance::single::notownedrelation (Class),5,0
Room in org::hibernate::test::annotations::uniqueconstraint (Class),5,1
AnnotationMetadataSourceProcessorImpl in org::hibernate::metamodel::source::annotations (Class),10,0
