Class,Methods,Over-exposed methods
SlidingGanttCategoryDataset in org::jfree::data::gantt (Class),33,1
MovingAverageTests in org::jfree::data::time::junit (Class),5,0
BoxAndWhiskerRenderer in org::jfree::chart::renderer::category (Class),31,3
ChartEditor in org::jfree::chart::editor (Class),1,0
ContourPlot in org::jfree::chart::plot (Class),80,15
PlumNeedle in org::jfree::chart::needle (Class),6,1
LineChartTests in org::jfree::chart::junit (Class),8,0
TestDrawable in org::jfree::chart::annotations::junit::XYDrawableAnnotationTests (Class),4,1
MyComparableObjectSeries in org::jfree::data::junit::ComparableObjectSeriesTests (Class),4,0
CategoryMarkerTests in org::jfree::chart::plot::junit (Class),8,0
TestIntervalCategoryDataset in org::jfree::data::general::junit (Class),29,5
DataGeneralPackageTests in org::jfree::data::general::junit (Class),4,0
DialLayerChangeEvent in org::jfree::chart::plot::dial (Class),2,0
XYTextAnnotationTests in org::jfree::chart::annotations::junit (Class),7,0
GridArrangementTests in org::jfree::chart::block::junit (Class),22,0
XYIntervalSeriesCollectionTests in org::jfree::data::xy::junit (Class),8,0
SWTNumberAxisEditor in org::jfree::experimental::chart::swt::editor (Class),8,0
StandardCategorySeriesLabelGeneratorTests in org::jfree::chart::labels::junit (Class),8,0
DateTickMarkPosition in org::jfree::chart::axis (Class),5,0
RendererUtilitiesTests in org::jfree::chart::renderer::junit (Class),8,0
TaskSeries in org::jfree::data::gantt (Class),10,2
Title in org::jfree::chart::title (Class),31,0
XYZDataset in org::jfree::data::xy (Class),2,0
XIntervalSeriesCollectionTests in org::jfree::data::xy::junit (Class),8,0
ClipPath in org::jfree::chart (Class),26,2
AbstractXYItemRenderer in org::jfree::chart::renderer::xy (Class),60,4
TimePeriodAnchorTests in org::jfree::data::time::junit (Class),4,0
Series in org::jfree::data::general (Class),24,2
MeterInterval in org::jfree::chart::plot (Class),11,5
Function2D in org::jfree::data::function (Class),1,0
RectangleConstraintTests in org::jfree::chart::block::junit (Class),4,0
DefaultKeyedValues in org::jfree::data (Class),25,4
DefaultCategoryDataset in org::jfree::data::category (Class),26,5
anonymous(DefaultBoxAndWhiskerCategoryDataset) in org::jfree::chart::renderer::category::junit::BoxAndWhiskerRendererTests.testBug1572478Vertical() (Class),2,0
XYStepAreaChartTests in org::jfree::chart::junit (Class),7,0
CategoryLineAnnotationTests in org::jfree::chart::annotations::junit (Class),7,0
NormalDistributionFunction2DTests in org::jfree::data::function::junit (Class),7,0
CombinedCategoryPlot in org::jfree::experimental::chart::plot (Class),5,0
PolarChartPanel in org::jfree::chart (Class),8,0
XYDifferenceRendererTests in org::jfree::chart::renderer::xy::junit (Class),8,0
AxisCollection in org::jfree::chart::axis (Class),7,0
UtilPackageTests in org::jfree::chart::util::junit (Class),3,0
KeyedValues2DDataset in org::jfree::data::general (Class),0,0
StandardTickUnitSource in org::jfree::chart::axis (Class),7,1
ChartProgressEvent in org::jfree::chart::event (Class),8,0
StandardDialFrame in org::jfree::chart::plot::dial (Class),18,1
NullLegendLabelGenerator in org::jfree::chart::plot::junit::PiePlotTests (Class),3,0
XYIntervalDataItem in org::jfree::data::xy (Class),7,6
LocalListener in org::jfree::chart::junit::PieChartTests (Class),3,0
CategorySeriesLabelGenerator in org::jfree::chart::labels (Class),1,0
YIntervalTests in org::jfree::data::xy::junit (Class),5,0
DefaultHighLowDataset in org::jfree::data::xy (Class),19,0
StandardEntityCollection in org::jfree::chart::entity (Class),12,2
StandardBarPainterTests in org::jfree::chart::renderer::category::junit (Class),6,0
StandardXYItemRenderer in org::jfree::chart::renderer::xy (Class),39,4
DateTickUnitTests in org::jfree::chart::axis::junit (Class),5,0
XYBlockRendererTests in org::jfree::chart::renderer::xy::junit (Class),12,0
DatasetReader in org::jfree::data::xml (Class),4,0
SWTUtils in org::jfree::experimental::swt (Class),24,0
LineAndShapeRenderer in org::jfree::chart::renderer::category (Class),45,6
IntervalDataItem in org::jfree::data::general::junit (Class),4,3
MovingAverage in org::jfree::data::time (Class),6,0
OutlierList in org::jfree::chart::renderer (Class),10,4
ChartEntity in org::jfree::chart::entity (Class),21,4
CategoryAxis3DTests in org::jfree::chart::axis::junit (Class),4,0
StandardXYBarPainter in org::jfree::chart::renderer::xy (Class),6,0
DataPackageResources_ru in org::jfree::data::resources (Class),2,0
BoxAndWhiskerCategoryDataset in org::jfree::data::statistics (Class),18,0
DataGanttPackageTests in org::jfree::data::gantt::junit (Class),4,0
Pointer in org::jfree::chart::plot::dial::DialPointer (Class),14,0
BoxAndWhiskerCalculator in org::jfree::data::statistics (Class),4,0
PieLabelLinkStyle in org::jfree::chart::plot (Class),6,0
XYSeriesCollectionTests in org::jfree::data::xy::junit (Class),17,0
StandardXYZToolTipGenerator in org::jfree::chart::labels (Class),10,0
DataPackageResources_es in org::jfree::data::resources (Class),2,0
CategoryStepRendererTests in org::jfree::chart::renderer::category::junit (Class),7,0
TickType in org::jfree::chart::axis (Class),5,0
XYTaskDatasetTests in org::jfree::data::gantt::junit (Class),5,0
XYSeriesLabelGenerator in org::jfree::chart::labels (Class),1,0
TimeSeriesURLGeneratorTests in org::jfree::chart::urls::junit (Class),6,0
BorderArrangementTests in org::jfree::chart::block::junit (Class),9,0
XYBarPainter in org::jfree::chart::renderer::xy (Class),4,0
TimeSeriesURLGenerator in org::jfree::chart::urls (Class),9,0
XIntervalDataItem in org::jfree::data::xy (Class),5,4
QuarterTests in org::jfree::data::time::junit (Class),26,0
MonthTests in org::jfree::data::time::junit (Class),25,0
DefaultKeyedValueTests in org::jfree::data::junit (Class),6,0
anonymous(SelectionAdapter) in org::jfree::experimental::chart::swt::editor::SWTNumberAxisEditor.SWTNumberAxisEditor() (Class),1,0
SimpleHistogramDatasetTests in org::jfree::data::statistics::junit (Class),8,0
VectorRenderer in org::jfree::chart::renderer::xy (Class),7,2
AxisChangeListener in org::jfree::chart::event (Class),1,0
DefaultTableXYDatasetTests in org::jfree::data::xy::junit (Class),9,0
DefaultWindDataset in org::jfree::data::xy (Class),13,1
SegmentedTimelineTests in org::jfree::chart::axis::junit (Class),47,1
AbstractXYZDataset in org::jfree::data::xy (Class),2,0
ChartProgressListener in org::jfree::chart::event (Class),1,0
LegendTitleTests in org::jfree::chart::title::junit (Class),6,0
SimpleTimePeriod in org::jfree::data::time (Class),10,2
IntervalCategoryToolTipGenerator in org::jfree::chart::labels (Class),6,1
XYItemLabelGenerator in org::jfree::chart::labels (Class),1,0
DialScale in org::jfree::chart::plot::dial (Class),2,0
ThermometerPlot in org::jfree::chart::plot (Class),80,9
DefaultDrawingSupplierTests in org::jfree::chart::plot::junit (Class),5,0
DialShape in org::jfree::chart::plot (Class),6,0
SWTChartEditor in org::jfree::experimental::chart::swt::editor (Class),5,0
State in org::jfree::chart::renderer::xy::StandardXYItemRenderer (Class),5,2
PinNeedleTests in org::jfree::chart::needle::junit (Class),5,0
DefaultKeyedValues2D in org::jfree::data (Class),24,7
