Class,Methods,Over-exposed methods
SubWrong in org::junit::tests::running::methods::TestMethodTest (Class),1,0
anonymous(SafeNotifier) in org::junit::runner::notification::RunNotifier.fireTestIgnored() (Class),1,0
TeardownFailureTest in org::junit::tests::running::methods::AnnotationTest (Class),2,0
ErrorInAfterClass in org::junit::tests::running::methods::AnnotationTest (Class),2,0
Unexpected in org::junit::tests::running::methods::ExpectedTest (Class),1,0
TestMethodTest in org::junit::tests::running::methods (Class),9,0
anonymous(TestCase) in org::junit::tests::junit3compatibility::OldTestClassAdaptingListenerTest.addFailureDelegatesToNotifier() (Class),0,0
ExampleTest in org::junit::tests::running::classes::ParentRunnerFilteringTest (Class),1,0
NoRulesTest in org::junit::tests::experimental::rules::MethodRulesTest (Class),1,0
anonymous(TextFeedbackTest) in junit::tests::runner::TextFeedbackTest.testFailure() (Class),1,0
anonymous(Statement) in org::junit::experimental::theories::Theories::TheoryAnchor.methodCompletesWithParameters() (Class),1,0
TestClassTest in org::junit::tests::running::classes (Class),5,0
TeardownTest in org::junit::tests::running::methods::AnnotationTest (Class),2,0
anonymous(Statement) in org::junit::tests::experimental::rules::TestRuleTest::CustomTestName.apply() (Class),1,0
AllTests in junit::tests::framework (Class),2,0
TheoriesPerformanceTest in org::junit::tests::experimental::theories::runner (Class),2,0
anonymous(ReflectiveCallable) in org::junit::runners::model::FrameworkMethod.invokeExplosively() (Class),1,0
ResultPrinter in junit::textui (Class),18,1
ExpectedException in org::junit::tests::assertion::MultipleFailureExceptionTest (Class),2,0
AllTests in junit::tests (Class),2,0
WrongTypedField in org::junit::tests::experimental::rules::MethodRulesTest (Class),2,0
CreatesSubFolder in org::junit::tests::experimental::rules::TempFolderRuleTest (Class),5,0
VerySlowTests in org::junit::tests::experimental::categories::CategoryTest (Class),0,0
ThrowExceptionWithMatchingCause in org::junit::tests::experimental::rules::ExpectedExceptionTest (Class),2,0
RunAllAftersRegardless in org::junit::tests::running::methods::AnnotationTest (Class),3,0
TestOne in org::junit::tests::manipulation::SingleMethodTest (Class),2,0
anonymous(Protectable) in junit::framework::TestResult.run() (Class),1,0
Computer in org::junit::runner (Class),4,1
anonymous(Statement) in org::junit::tests::experimental::rules::BlockJUnit4ClassRunnerOverrideTest::FlipBitRule.apply() (Class),1,0
VerifierRuleTest in org::junit::tests::experimental::rules (Class),6,0
TestImplementorTest in junit::tests::framework (Class),2,0
Exit in org::junit::tests::running::core::SystemExitTest (Class),1,0
TypeVariableOnComponentOfArrayTypeOnTheoryParm in org::junit::tests::experimental::theories::runner::WithUnresolvedGenericTypeVariablesOnTheoryParms (Class),2,0
RunListener in org::junit::runner::notification (Class),7,0
ParameterizedOneTimeSetup in org::junit::tests::manipulation::SingleMethodTest (Class),3,0
SuiteTest in org::junit::tests::running::classes (Class),12,0
NameClashes in org::junit::tests::experimental::rules::TempFolderRuleTest (Class),3,0
CategoryFilter in org::junit::experimental::categories::Categories (Class),8,0
ValueAnnotatedClass in org::junit::tests::description::AnnotatedDescriptionTest (Class),1,0
Example1 in org::junit::tests::experimental::parallel::ParallelClassTest (Class),1,0
anonymous(Comparator) in org::junit::tests::manipulation::SortableTest.forward() (Class),1,0
FailedBefore in org::junit::internal::runners (Class),2,0
MethodParameterValue in org::junit::experimental::theories::internal::AllMembersSupplier (Class),3,0
anonymous(TestCase) in junit::tests::framework::TestCaseTest.testFailure() (Class),1,0
OneFastSuite in org::junit::tests::experimental::categories::CategoryTest (Class),0,0
FailureWithTimeoutTest in org::junit::tests::running::methods::TimeoutTest (Class),1,0
anonymous(TestWatcher) in org::junit::tests::experimental::rules::TestRuleTest::OnFailureTest.<Initializer>() (Class),1,0
TextRunnerSingleMethodTest in junit::tests::runner (Class),1,0
TestDescriptionTest in org::junit::tests::description (Class),3,0
SuiteMethodBuilder in org::junit::internal::builders (Class),3,0
ExampleTest in org::junit::tests::running::classes::RunWithTest (Class),0,0
FailedConstructionTest in org::junit::tests::validation (Class),1,0
RunRules in org::junit::rules (Class),3,0
ExampleSuiteWithUnmodifyableChildList in org::junit::tests::running::classes::ParentRunnerFilteringTest (Class),0,0
ReguessableValue in org::junit::tests::experimental::theories::extendingwithstubs (Class),2,0
TestSuite in junit::framework (Class),27,0
UsesErrorCollectorCheckSucceeds in org::junit::tests::experimental::rules::VerifierRuleTest (Class),2,0
MethodTestWithProtectedClassRule in org::junit::tests::experimental::rules::RuleFieldValidatorTest (Class),1,0
BeforeAndAfterEachTime in org::junit::tests::experimental::theories::runner::SuccessfulWithDataPointFields (Class),5,0
ComparisonCriteria in org::junit::internal (Class),4,0
Enclosed in org::junit::experimental::runners (Class),1,0
anonymous(TornDown) in junit::tests::framework::TestCaseTest.testTearDownSetupFails() (Class),1,0
ErrorWhenTestHasParametersDespiteTheories in org::junit::tests::experimental::theories::runner::WithOnlyTestAnnotations (Class),2,0
PrintableResult in org::junit::experimental::results (Class),6,0
TextFeedbackTest in junit::tests::runner (Class),8,0
NoExitSecurityManager in org::junit::tests::running::core::MainRunner (Class),35,0
WronglyExpectsExceptionMessage in org::junit::tests::experimental::rules::ExpectedExceptionTest (Class),2,0
UsesErrorCollectorCheckSucceedsPasses in org::junit::tests::experimental::rules::VerifierRuleTest (Class),2,0
OneTwoSuite in org::junit::tests::manipulation::SingleMethodTest (Class),0,0
BeforeAndAfterTest in org::junit::tests::experimental::rules::NameRulesTest (Class),4,0
MalformedJUnit38Test in org::junit::tests::experimental::max::MaxStarterTest (Class),2,0
StaticPublicNonDataPoints in org::junit::tests::experimental::theories::runner::SuccessfulWithDataPointFields (Class),2,0
anonymous(OutputStream) in junit::tests::runner::TextRunnerTest.testRunReturnsResult() (Class),1,0
ParameterTokenSuiteWellFormed in org::junit::tests::experimental::categories::CategoriesAndParameterizedTest (Class),0,0
ClassWithInvalidMethod in org::junit::tests::junit3compatibility::JUnit38ClassRunnerTest (Class),1,0
Expected in org::junit::tests::running::methods::ExpectedTest (Class),1,0
HasGlobalTimeout in org::junit::tests::experimental::rules::TimeoutRuleTest (Class),3,0
Example in org::junit::tests::experimental::parallel::ParallelMethodTest (Class),2,0
ResultMatchersTest in org::junit::tests::experimental::results (Class),2,0
InaccessibleBaseClassTest in org::junit::tests::validation (Class),1,0
TwoOldTests in org::junit::tests::experimental::max::MaxStarterTest (Class),2,0
UnsortableRunnersAreHandledWithoutCrashing in org::junit::tests::manipulation::SortableTest (Class),1,0
MethodNoRulesTest in org::junit::tests::experimental::rules::TestRuleTest (Class),1,0
TestSuiteWithNoCategories in org::junit::tests::experimental::categories::CategoryTest (Class),0,0
TestRule in org::junit::rules (Class),1,0
SomeAreSlowSuite in org::junit::tests::experimental::categories::CategoryTest (Class),0,0
SortMe in org::junit::tests::manipulation::SortableTest::TestClassRunnerIsSortable (Class),3,0
Hercules in org::junit::tests::running::classes::SuiteTest (Class),0,0
FailureWithTimeoutRunTimeExceptionTest in org::junit::tests::running::methods::TimeoutTest (Class),1,0
DoubleTestCase in junit::tests::framework::TestImplementorTest (Class),3,1
BadBeforeMethodWithLegacyRunner in org::junit::tests::validation::BadlyFormedClassesTest (Class),2,0
SimpleTestWithFutureProofExplicitRunner in org::junit::tests::running::methods::AnnotationTest (Class),1,0
RememberingListener in org::junit::experimental::max::MaxHistory (Class),6,0
NotPublicTestCase in junit::tests::framework (Class),2,0
anonymous(SafeNotifier) in org::junit::runner::notification::RunNotifier.fireTestFailures() (Class),1,0
LoggingTestWatchman in org::junit::tests::experimental::rules::TestWatchmanTest (Class),6,0
NoExceptionTest in org::junit::tests::running::methods::AnnotationTest (Class),1,0
IgnoreMe in org::junit::tests::running::classes::IgnoreClassTest (Class),2,0
WithUnresolvedGenericTypeVariablesOnTheoryParms in org::junit::tests::experimental::theories::runner (Class),9,0
anonymous(Statement) in org::junit::experimental::theories::Theories::TheoryAnchor.runWithCompleteAssignment()::anonymous(BlockJUnit4ClassRunner).methodBlock() (Class),1,0
FilterTest in org::junit::tests::manipulation (Class),3,0
UnsortableRunner in org::junit::tests::manipulation::SortableTest::UnsortableRunnersAreHandledWithoutCrashing (Class),3,0
NewTestSuiteFails in org::junit::tests::junit3compatibility::SuiteMethodTest (Class),2,0
NonStatic in junit::tests::runner::BaseTestRunnerTest (Class),1,0
TypeVariableOnArrayTypeOnTheoryParm in org::junit::tests::experimental::theories::runner::WithUnresolvedGenericTypeVariablesOnTheoryParms (Class),2,0
All in org::junit::tests::running::classes::SuiteTest (Class),0,0
anonymous(Statement) in org::junit::tests::experimental::rules::TestRuleTest::MethodMultipleRuleTest::Increment.apply() (Class),1,0
anonymous(RunListener) in org::junit::tests::experimental::AssumptionTest.failedAssumptionsCanBeDetectedByListeners() (Class),1,0
TestRuleTest in org::junit::tests::experimental::rules (Class),27,0
EmptyTest in org::junit::tests::running::classes::ParameterizedTestTest (Class),2,0
ConstructorParameter in org::junit::tests::running::methods::TestMethodTest (Class),2,0
ClassAsCategory in org::junit::tests::experimental::categories::CategoryTest (Class),0,0
anonymous(TestRule) in org::junit::tests::experimental::rules::TestRuleTest::MethodExampleTest.<Initializer>() (Class),1,0
TestWatchman in org::junit::rules (Class),5,0
BlockJUnit4ClassRunnerTest in org::junit::tests::running::classes (Class),1,0
MethodExampleTestWithCustomClassRule in org::junit::tests::experimental::rules::ClassRulesTest (Class),4,0
NewTest in org::junit::tests::junit3compatibility::ForwardCompatibilityTest (Class),3,0
InitializationError in org::junit::internal::runners (Class),5,1
ParameterizedAssertionErrorTest in org::junit::tests::experimental::theories (Class),6,0
MyListener in org::junit::tests::listening::RunnerTest (Class),2,1
IncorrectUsage in org::junit::tests::experimental::rules::TempFolderRuleTest (Class),4,0
ComparisonCompactorTest in junit::tests::framework (Class),19,0
InheritsAll in org::junit::tests::running::classes::SuiteTest (Class),0,0
ListenerTest in org::junit::tests::listening (Class),1,0
BeforeAndAfter in org::junit::tests::running::classes::ParameterizedTestTest (Class),5,0
ParameterizedTestWithAttemptedMethodCategory in org::junit::tests::experimental::categories::CategoriesAndParameterizedTest (Class),3,0
CantInitializeTests in org::junit::tests::junit3compatibility::InitializationErrorForwardCompatibilityTest (Class),0,0
CustomTestName in org::junit::tests::experimental::rules::MethodRulesTest (Class),3,0
anonymous(Statement) in org::junit::rules::TestWatchman.apply() (Class),1,0
ExampleTest in org::junit::tests::listening::RunnerTest (Class),1,0
anonymous(Callable) in org::junit::experimental::ParallelComputer.parallelize()::anonymous(RunnerScheduler).schedule() (Class),1,0
SimpleTest in org::junit::samples (Class),4,0
NonStaticInnerClass in org::junit::tests::running::classes::TestClassTest::OuterClass (Class),0,0
VanillaCategorizedJUnitTest in org::junit::tests::experimental::categories::CategoriesAndParameterizedTest (Class),1,0
anonymous(BaseMatcher) in org::junit::internal::matchers::Each.each() (Class),2,0
Success in junit::tests::framework (Class),2,0
RuleChainTest in org::junit::tests::experimental::rules (Class),2,0
StoppedByUserException in org::junit::runner::notification (Class),2,1
Test in junit::framework (Class),2,1
Unsortable in org::junit::tests::manipulation::SortableTest::UnsortableRunnersAreHandledWithoutCrashing (Class),1,0
ComparisonFailure in org::junit (Class),5,0
anonymous(RunListener) in org::junit::tests::listening::ListenerTest.notifyListenersInTheOrderInWhichTheyAreAdded() (Class),1,0
MainRunner in org::junit::tests::running::core (Class),2,1
TestB in org::junit::tests::running::classes::UseSuiteAsASuperclassTest (Class),1,0
FailOnTimeout in org::junit::internal::runners::statements (Class),5,0
AllTests in junit::samples (Class),2,1
UsesErrorCollector in org::junit::tests::experimental::rules::VerifierRuleTest (Class),2,0
Enclosing in org::junit::tests::running::classes::EnclosedTest (Class),0,0
MultipleRuleTest in org::junit::tests::experimental::rules::MethodRulesTest (Class),2,0
TestFailure in junit::framework (Class),7,0
HasFailingAssumeInBefore in org::junit::tests::experimental::AssumptionTest (Class),2,0
TestB in org::junit::tests::running::classes::SuiteTest (Class),1,0
HasFailingAssumption in org::junit::tests::experimental::AssumptionTest (Class),1,0
CauseMatcherTest in org::junit::tests::assertion (Class),2,0
anonymous(Filter) in org::junit::tests::manipulation::SingleMethodTest.filteringAwayEverythingThrowsException() (Class),2,0
Increment in org::junit::tests::experimental::rules::TestRuleTest::MultipleRuleTest (Class),2,0
Example2 in org::junit::tests::experimental::parallel::ParallelClassTest (Class),1,0
OneFastOneSlow in org::junit::tests::experimental::categories::CategoryTest (Class),2,0
TestMethodWithNonStaticTestRule in org::junit::tests::experimental::rules::RuleFieldValidatorTest (Class),1,0
anonymous(Filter) in org::junit::runner::manipulation::Filter.intersect() (Class),2,0
DataPointArrayToBeUsedForWholeParameter in org::junit::tests::experimental::theories::runner::WithExtendedParameterSources (Class),2,0
Fail in org::junit::tests::running::core::JUnitCoreReturnsCorrectExitCodeTest (Class),1,0
Super in org::junit::tests::running::methods::InheritedTestTest (Class),1,0
anonymous(Statement) in org::junit::rules::TestWatcher.apply() (Class),1,0
IMoney in junit::samples::money (Class),8,0
anonymous(Statement) in org::junit::rules::Verifier.apply() (Class),1,0
FastTests in org::junit::tests::experimental::categories::CategoryTest (Class),0,0
ThrowExpectedAssertionError in org::junit::tests::experimental::rules::ExpectedExceptionTest (Class),2,0
JUnit4ClassRunnerTest in org::junit::tests::deprecated (Class),2,0
PrivateRule in org::junit::tests::experimental::rules::TestRuleTest (Class),2,0
ExpectSuperclass in org::junit::tests::running::methods::ExpectedTest (Class),1,0
ArrayComparisonFailure in org::junit::internal (Class),5,0
AssertionFailedError in junit::framework (Class),4,0
DataPointsMustBePublic in org::junit::tests::experimental::theories::runner::UnsuccessfulWithDataPointFields (Class),2,0
anonymous(TypeSafeMatcher) in org::junit::rules::ExpectedException.hasMessage() (Class),2,0
anonymous(RunListener) in org::junit::tests::experimental::max::MaxStarterTest.listenersAreCalledCorrectlyInTheFaceOfFailures() (Class),1,0
DummySortWithDefault in org::junit::internal::MethodSorterTest (Class),6,0
AnnotatedBuilder in org::junit::internal::builders (Class),4,0
LoggingTestWatcher in org::junit::tests::experimental::rules (Class),5,0
ExceptionTest in org::junit::tests::running::methods::AnnotationTest (Class),1,0
TimeoutRuleTest in org::junit::tests::experimental::rules (Class),1,0
ExampleTest in org::junit::tests::experimental::rules::TestRuleTest (Class),2,0
DoesntExtendTestCase in junit::tests::runner::BaseTestRunnerTest (Class),1,0
HasDataPoints in org::junit::tests::experimental::theories::AllMembersSupplierTest (Class),2,0
Sub in org::junit::tests::validation::anotherpackage (Class),0,0
NoExceptionTest in org::junit::tests::junit3compatibility::ForwardCompatibilityTest (Class),1,0
MethodOneFieldTwoKindsOfRule in org::junit::tests::experimental::rules::TestRuleTest (Class),3,0
Sub in org::junit::internal::MethodSorterTest (Class),1,0
ErrorCollector in org::junit::rules (Class),9,0
anonymous(TestCase) in junit::tests::framework::TestImplementorTest.TestImplementorTest() (Class),1,0
StubbedTheories in org::junit::tests::experimental::theories::extendingwithstubs (Class),2,0
DescriptionTest in org::junit::tests::experimental::max (Class),4,0
FailAndDontHandleAssertinErrors in org::junit::tests::experimental::rules::ExpectedExceptionTest (Class),2,0
anonymous(TestCase) in junit::tests::runner::TextFeedbackTest.testTwoTests() (Class),1,0
TestSetup in junit::extensions (Class),4,2
TestName in org::junit::rules (Class),3,0
AllWithBeforeAndAfterClass in org::junit::tests::running::classes::SuiteTest (Class),2,0
OneTest in org::junit::tests::listening::TestListenerTest (Class),1,0
SlowTestSuite in org::junit::tests::experimental::categories::CategoryTest (Class),0,0
ATest in org::junit::tests::junit3compatibility::ForwardCompatibilityPrintingTest (Class),1,0
UsesExternalResource in org::junit::tests::experimental::rules::ExternalResourceRuleTest (Class),2,0
TornDown in junit::tests::framework::TestCaseTest (Class),4,0
Categories in org::junit::experimental::categories (Class),6,0
NoTests in org::junit::tests::validation::BadlyFormedClassesTest (Class),0,0
Request in org::junit::runner (Class),11,0
Timeout in org::junit::rules (Class),2,0
anonymous(TypeSafeMatcher) in org::junit::tests::experimental::rules::EventCollector.hasNumberOfAssumptionFailures() (Class),2,0
ParameterTokenSuiteMalformedAndSwapped in org::junit::tests::experimental::categories::CategoriesAndParameterizedTest (Class),0,0
CouldNotReadCoreException in org::junit::experimental::max (Class),2,0
anonymous(TypeSafeMatcher) in org::junit::tests::running::classes::ParentRunnerTest.isEmpty() (Class),2,0
anonymous(Statement) in org::junit::tests::experimental::rules::MethodRulesTest::MultipleRuleTest::Increment.apply() (Class),1,0
OldSuiteTest in org::junit::tests::running::methods::AnnotationTest (Class),1,0
RepeatedTestTest in junit::tests::extensions (Class),5,0
BothTest in org::junit::tests::assertion (Class),8,0
AllTests in junit::tests::runner (Class),3,0
AssumptionViolatedExceptionTest in org::junit::tests::experimental (Class),5,0
NoneThrown in org::junit::tests::running::methods::ExpectedTest (Class),1,0
BaseTestRunner in junit::runner (Class),30,3
OneMoreTest in org::junit::tests::experimental::categories::CategoryTest (Class),1,0
anonymous(BaseMatcher) in org::junit::experimental::results::ResultMatchers.hasFailureContaining() (Class),2,0
OneTest in org::junit::tests::junit3compatibility::AllTestsTest (Class),1,0
ParallelMethodTest in org::junit::tests::experimental::parallel (Class),2,0
WithOnlyTestAnnotations in org::junit::tests::experimental::theories::runner (Class),4,0
TempFolderRuleTest in org::junit::tests::experimental::rules (Class),11,0
EverythingWrong in org::junit::tests::running::methods::TestMethodTest (Class),26,0
CantConstruct in org::junit::tests::validation::FailedConstructionTest (Class),2,0
anonymous(TestCase) in junit::tests::framework::TestCaseTest.testError() (Class),1,0
ExampleTest in org::junit::tests::running::classes::ParentRunnerTest (Class),3,0
IgnoredBuilder in org::junit::internal::builders (Class),2,1
OldTests in org::junit::tests::junit3compatibility (Class),1,0
anonymous(Suite) in org::junit::experimental::max::MaxCore.constructLeafRequest()::anonymous(Request).getRunner() (Class),0,0
ExampleTest in org::junit::tests::experimental::rules::MethodRulesTest (Class),2,0
TestSystem in org::junit::tests (Class),3,2
UnsuccessfulWithDataPointFields in org::junit::tests::experimental::theories::runner (Class),8,0
DataPointArrays in org::junit::tests::experimental::theories::runner::WithExtendedParameterSources (Class),2,0
B in org::junit::tests::experimental::categories::CategoryTest (Class),1,0
OldTestClassAdaptingListener in org::junit::internal::runners::JUnit38ClassRunner (Class),8,0
SuccessfulWithDataPointFields in org::junit::tests::experimental::theories::runner (Class),0,0
anonymous(TypeSafeMatcher) in org::junit::experimental::results::ResultMatchers.failureCountIs() (Class),2,0
JUnit4 in org::junit::runners (Class),1,0
TestNames in org::junit::tests::experimental::rules::NameRulesTest (Class),3,0
BeforesAndAfters in org::junit::tests::experimental::rules::MethodRulesTest (Class),4,0
AnnotatedDescriptionTest in org::junit::tests::description (Class),7,0
anonymous(RunnerScheduler) in org::junit::tests::running::classes::ParentRunnerTest.useChildHarvester() (Class),2,0
HasUglyDataPointMethod in org::junit::tests::experimental::theories::runner::WithDataPointMethod (Class),3,0
GuesserQueue in org::junit::tests::experimental::theories::extendingwithstubs (Class),5,0
Failure in org::junit::runner::notification (Class),8,0
anonymous(TypeSafeMatcher) in org::junit::rules::ExpectedException.hasCause() (Class),2,0
BiInfiniteLoop in org::junit::tests::running::classes::SuiteTest (Class),0,0
SuperInheritance in org::junit::tests::running::methods::AnnotationTest (Class),4,0
UpToTen in org::junit::tests::experimental::theories::runner::TheoriesPerformanceTest (Class),2,0
OldTest in org::junit::tests::junit3compatibility::SuiteMethodTest (Class),3,0
ThrowExpectedNullCause in org::junit::tests::experimental::rules::ExpectedExceptionTest (Class),2,0
anonymous(TestRule) in org::junit::tests::experimental::rules::BlockJUnit4ClassRunnerOverrideTest::OverrideTestRulesRunner.getTestRules() (Class),1,0
anonymous(SafeNotifier) in org::junit::runner::notification::RunNotifier.fireTestAssumptionFailed() (Class),1,0
StringContains in org::junit::internal::matchers (Class),4,0
ReguessableDecorator in org::junit::tests::experimental::theories::extendingwithstubs::GuesserQueue (Class),4,0
anonymous(Callable) in org::junit::tests::experimental::rules::VerifierRuleTest::UsesErrorCollectorCheckSucceedsPasses.example() (Class),1,0
SubWithBefore in org::junit::tests::running::methods::InheritedTestTest (Class),1,0
TestedOnSupplier in org::junit::experimental::theories::suppliers (Class),2,0
IgnoredClass in org::junit::tests::description::AnnotatedDescriptionTest (Class),1,0
TestWatchmanTest in org::junit::tests::experimental::rules (Class),2,0
HasATheory in org::junit::tests::experimental::theories::runner::UnsuccessfulWithDataPointFields (Class),2,0
AllWithOutAnnotation in org::junit::tests::running::classes::SuiteTest (Class),0,0
ParameterizedWithoutSpecialTestname in org::junit::tests::running::classes::ParameterizedTestTest (Class),3,0
Enclosing in org::junit::tests::manipulation::SortableTest::TestClassRunnerIsSortable (Class),0,0
BeforeClassTest in org::junit::tests::junit3compatibility::ForwardCompatibilityTest (Class),6,0
MethodWrongTypedField in org::junit::tests::experimental::rules::TestRuleTest (Class),2,0
OuterClass in org::junit::tests::running::classes::TestClassTest (Class),0,0
MethodOnFailureTest in org::junit::tests::experimental::rules::TestRuleTest (Class),3,0
anonymous(Runnable) in org::junit::internal::runners::MethodRoadie.runTest() (Class),1,0
DataPointMethodReturnsMutableObject in org::junit::tests::experimental::theories::runner::WithDataPointMethod (Class),3,0
MoneyBag in junit::samples::money (Class),19,2
Verifier in org::junit::rules (Class),2,1
B in org::junit::tests::running::classes::EnclosedTest::Enclosing (Class),3,0
TestClassRunnerIsSortable in org::junit::tests::manipulation::SortableTest (Class),6,0
ResultTest in junit::tests::runner (Class),3,0
OneTimeTeardown in org::junit::tests::running::methods::AnnotationTest (Class),3,0
Counter in org::junit::tests::experimental::rules::ClassRulesTest (Class),3,0
SimpleTest in org::junit::tests::running::methods::AnnotationTest (Class),1,0
ReflectiveCallable in org::junit::internal::runners::model (Class),2,1
AllTests in org::junit::tests (Class),1,0
anonymous(SafeNotifier) in org::junit::runner::notification::RunNotifier.fireTestFinished() (Class),1,0
AllTestsTest in org::junit::tests::junit3compatibility (Class),5,0
NonStaticBeforeClass in org::junit::tests::validation::ValidationTest (Class),2,0
Enclosed in org::junit::tests::running::classes::BlockJUnit4ClassRunnerTest::OuterClass (Class),1,0
anonymous(TestWatchman) in org::junit::tests::experimental::rules::MethodRulesTest::WatchmanTest.<Initializer>() (Class),2,0
Super in org::junit::tests::validation::anotherpackage (Class),1,0
Failure in junit::tests::framework (Class),1,0
MethodSorter in org::junit::internal (Class),4,0
anonymous(Statement) in org::junit::tests::experimental::rules::TestRuleTest::ExampleTest.<Initializer>()::anonymous(TestRule).apply() (Class),1,0
StuckStatement in org::junit::tests::internal::runners::statements::FailOnTimeoutTest (Class),4,0
anonymous(Filter) in org::junit::tests::running::classes::ParentRunnerFilteringTest.notThisMethodName() (Class),2,0
TestA in org::junit::tests::running::classes::UseSuiteAsASuperclassTest (Class),1,0
TestWithNonStaticTestRule in org::junit::tests::experimental::rules::RuleFieldValidatorTest (Class),1,0
HonorExpectedException in org::junit::tests::experimental::theories::runner::WithOnlyTestAnnotations (Class),1,0
SuiteMethodTest in org::junit::tests::junit3compatibility (Class),5,0
WhenNoParametersMatch in org::junit::tests::experimental::theories::runner (Class),2,0
SortMe in org::junit::tests::manipulation::SortableTest::TestClassRunnerIsSortableWithSuiteMethod (Class),4,0
UsesErrorCollectorTwice in org::junit::tests::experimental::rules::VerifierRuleTest (Class),2,0
FailureList in org::junit::experimental::results (Class),2,1
EnclosedTest in org::junit::tests::running::classes (Class),3,0
ThrowAssumptionViolatedExceptionButExpectOtherType in org::junit::tests::experimental::rules::ExpectedExceptionTest (Class),2,0
ParentRunnerFilteringTest in org::junit::tests::running::classes (Class),6,0
ViolatedAssumptionTest in org::junit::tests::experimental::rules::TestWatcherTest (Class),2,0
anonymous(Comparator) in org::junit::runners::ParentRunner.comparator() (Class),1,0
AnnotationTest in org::junit::tests::running::methods (Class),28,0
NotVoidTestCase in junit::tests::framework (Class),2,0
Theories in org::junit::experimental::theories (Class),7,0
ActiveTestTest in junit::tests::extensions (Class),5,1
TypeVariableOnTheoryParm in org::junit::tests::experimental::theories::runner::WithUnresolvedGenericTypeVariablesOnTheoryParms (Class),2,0
FilterRequest in org::junit::internal::requests (Class),2,0
StackFilterTest in junit::tests::runner (Class),2,0
anonymous(Statement) in org::junit::runners::ParentRunner.childrenInvoker() (Class),1,0
EmptyTestExpectingNoException in org::junit::tests::experimental::rules::ExpectedExceptionTest (Class),2,0
GuessMap in org::junit::tests::experimental::theories::extendingwithstubs::Guesser (Class),7,1
PositiveIntsWithMethodParams in org::junit::tests::experimental::theories::runner::SuccessfulWithDataPointFields (Class),3,0
MockRunner in junit::tests::runner::BaseTestRunnerTest (Class),6,1
JUnit38ClassRunnerTest in org::junit::tests::junit3compatibility (Class),4,0
SortableTest in org::junit::tests::manipulation (Class),2,0
ParameterSignatureTest in org::junit::tests::experimental::theories (Class),5,0
Example in org::junit::tests::listening::RunnerTest (Class),1,0
ResultMatchers in org::junit::experimental::results (Class),6,0
ClassRequest in org::junit::internal::requests (Class),4,0
