Class,Methods,Over-exposed methods
ModelEditTextAction in com::cburch::draw::actions (Class),29,0
MyModel in com::cburch::logisim::gui::main::ProjectExplorer (Class),45,1
anonymous(Comparator) in com::cburch::logisim::util::TableSorter.<Initializer>() (Class),1,0
TruthTable in com::cburch::logisim::analyze::model (Class),172,0
SearchNode in com::cburch::logisim::tools::move (Class),164,6
anonymous(WindowAdapter) in com::cburch::logisim::std::memory::Ram::RamState.getHexFrame() (Class),1,0
ModelReorderAction in com::cburch::draw::actions (Class),72,0
UnloadLibraries in com::cburch::logisim::file::LogisimFileActions (Class),32,0
ProjectCircuitActions in com::cburch::logisim::gui::menu (Class),81,0
CollectionUtil in com::cburch::logisim::util (Class),21,0
PolyTool in com::cburch::draw::tools (Class),115,0
Attributes in com::cburch::logisim::data (Class),271,0
Copy in com::cburch::logisim::gui::main::SelectionActions (Class),41,0
ControlledBuffer in com::cburch::logisim::std::gates (Class),101,0
MyAttributeListener in com::cburch::logisim::tools::AddTool (Class),21,0
anonymous(Comparator) in com::cburch::logisim::util::TableSorter.<Initializer>() (Class),1,0
TunnelListener in com::cburch::logisim::circuit::CircuitWires (Class),21,0
Listener in com::cburch::logisim::gui::appear::AppearanceCanvas (Class),16,0
PinPoker in com::cburch::logisim::std::base::Pin (Class),25,0
RevertDefaults in com::cburch::logisim::file::LogisimFileActions (Class),42,0
Assignments in com::cburch::logisim::analyze::model (Class),22,1
anonymous(IntVisitor) in com::cburch::logisim::analyze::model::Expression.isCircular() (Class),7,0
LibraryDescriptor in com::cburch::logisim::file::LibraryManager (Class),30,0
OutputData in com::cburch::logisim::analyze::model::OutputExpressions (Class),100,0
BitWidth in com::cburch::logisim::data (Class),92,0
InstanceStateImpl in com::cburch::logisim::instance (Class),151,0
PainterShaped in com::cburch::logisim::std::gates (Class),81,0
anonymous(ComponentListener) in com::cburch::logisim::analyze::gui::Analyzer.addTab() (Class),4,0
MemContents in com::cburch::logisim::std::memory (Class),202,3
CircuitAppearanceListener in com::cburch::logisim::circuit::appear (Class),8,0
ProbeAttributes in com::cburch::logisim::std::wiring (Class),20,1
Demultiplexer in com::cburch::logisim::std::plexers (Class),85,0
MyDialog in com::cburch::logisim::gui::generic::AttributeTable (Class),13,0
InputData in com::cburch::logisim::std::gates::CircuitBuilder (Class),32,0
Oval in com::cburch::draw::model (Class),7,0
HexFile in com::cburch::logisim::gui::hex (Class),52,0
OptionsFrame in com::cburch::logisim::gui::opts (Class),62,1
Drawables in com::cburch::draw::model (Class),8,0
Projects in com::cburch::logisim::proj (Class),100,0
Item in com::cburch::logisim::gui::main::ProjectToolbarModel (Class),17,1
UndoLogListener in com::cburch::draw::undo (Class),8,0
MoveCircuit in com::cburch::logisim::file::LogisimFileActions (Class),51,0
ModelListener in com::cburch::logisim::gui::log (Class),30,0
SplitterData in com::cburch::logisim::circuit::CircuitWires (Class),1,0
BooleanAttribute in com::cburch::logisim::data::Attributes (Class),22,0
anonymous(JScrollBar) in com::cburch::logisim::analyze::gui::TableTab.getVerticalScrollBar() (Class),2,0
Entry in com::cburch::logisim::analyze::model (Class),53,0
LogisimMenuItem in com::cburch::logisim::gui::menu (Class),11,0
LZWCompressor in com::cburch::logisim::util::GifEncoder (Class),10,0
anonymous(Visitor) in com::cburch::logisim::analyze::model::Expression.toString() (Class),7,0
Strings in com::cburch::logisim::std::plexers (Class),41,0
RevertAttributeValue in com::cburch::logisim::file::LogisimFileActions (Class),2,0
LoaderException in com::cburch::logisim::file (Class),6,0
Value in com::cburch::logisim::data (Class),297,0
ToolbarModelEvent in com::cburch::draw::toolbar (Class),1,0
ConstantAttributes in com::cburch::logisim::std::gates::Constant (Class),26,0
SelectionSave in com::cburch::logisim::gui::main (Class),91,0
StateData in com::cburch::logisim::std::memory::AbstractFlipFlop (Class),2,0
Model in com::cburch::logisim::gui::opts::ToolbarList (Class),60,1
KeyConfigurationEvent in com::cburch::logisim::tools::key (Class),61,3
CompareByName in com::cburch::logisim::gui::log::ComponentSelector (Class),11,0
BitOutOption in com::cburch::logisim::circuit::SplitterAttributes (Class),11,0
ModelRemoveAction in com::cburch::draw::actions (Class),36,0
VariableListEvent in com::cburch::logisim::analyze::model (Class),41,0
ToolAttributeAction in com::cburch::logisim::tools (Class),31,0
DirtyListener in com::cburch::logisim::file::ProjectsDirty (Class),11,0
Rectangular in com::cburch::draw::model (Class),19,5
TextHandler in com::cburch::logisim::legacy::Version1Support (Class),7,0
CanvasListener in com::cburch::draw::canvas (Class),119,1
Rectangular in com::cburch::draw::shapes (Class),125,4
InstanceTextField in com::cburch::logisim::instance (Class),111,0
anonymous(ExpressionComputer) in com::cburch::logisim::std::gates::NotGate.getInstanceFeature() (Class),1,0
LibraryEvent in com::cburch::logisim::file (Class),31,0
AttrTableModelListener in com::cburch::logisim::gui::generic (Class),12,0
